country,data_source,cohort_from,cohort_to,edu_eurrep,edu_from,edu_to,sex,origin,stat,value
Argentina,Census 2001,1901,1901,Level 1,ISCED0,ISCED0,F,Total,children_total,4830
Argentina,Census 2001,1901,1901,Level 1,ISCED0,ISCED0,F,Total,parity_0,130
Argentina,Census 2001,1901,1901,Level 1,ISCED0,ISCED0,F,Total,parity_1,30
Argentina,Census 2001,1901,1901,Level 1,ISCED0,ISCED0,F,Total,parity_2,90
Argentina,Census 2001,1901,1901,Level 1,ISCED0,ISCED0,F,Total,parity_3,90
Argentina,Census 2001,1901,1901,Level 1,ISCED0,ISCED0,F,Total,parity_4,90
Argentina,Census 2001,1901,1901,Level 1,ISCED0,ISCED0,F,Total,parity_5,50
Argentina,Census 2001,1901,1901,Level 1,ISCED0,ISCED0,F,Total,parity_6,80
Argentina,Census 2001,1901,1901,Level 1,ISCED0,ISCED0,F,Total,parity_7,80
Argentina,Census 2001,1901,1901,Level 1,ISCED0,ISCED0,F,Total,parity_8,260
Argentina,Census 2001,1901,1901,Level 1,ISCED0,ISCED0,F,Total,women_total,900
Argentina,Census 2001,1901,1901,Level 1,ISCED1,ISCED2A,F,Total,children_total,1380
Argentina,Census 2001,1901,1901,Level 1,ISCED1,ISCED2A,F,Total,parity_0,120
Argentina,Census 2001,1901,1901,Level 1,ISCED1,ISCED2A,F,Total,parity_1,100
Argentina,Census 2001,1901,1901,Level 1,ISCED1,ISCED2A,F,Total,parity_2,150
Argentina,Census 2001,1901,1901,Level 1,ISCED1,ISCED2A,F,Total,parity_3,60
Argentina,Census 2001,1901,1901,Level 1,ISCED1,ISCED2A,F,Total,parity_4,10
Argentina,Census 2001,1901,1901,Level 1,ISCED1,ISCED2A,F,Total,parity_5,20
Argentina,Census 2001,1901,1901,Level 1,ISCED1,ISCED2A,F,Total,parity_6,10
Argentina,Census 2001,1901,1901,Level 1,ISCED1,ISCED2A,F,Total,parity_7,20
Argentina,Census 2001,1901,1901,Level 1,ISCED1,ISCED2A,F,Total,parity_8,50
Argentina,Census 2001,1901,1901,Level 1,ISCED1,ISCED2A,F,Total,women_total,540
Argentina,Census 2001,1901,1901,Level 2,ISCED3C,ISCED4A,F,Total,children_total,220
Argentina,Census 2001,1901,1901,Level 2,ISCED3C,ISCED4A,F,Total,parity_0,40
Argentina,Census 2001,1901,1901,Level 2,ISCED3C,ISCED4A,F,Total,parity_2,20
Argentina,Census 2001,1901,1901,Level 2,ISCED3C,ISCED4A,F,Total,parity_3,10
Argentina,Census 2001,1901,1901,Level 2,ISCED3C,ISCED4A,F,Total,parity_8,10
Argentina,Census 2001,1901,1901,Level 2,ISCED3C,ISCED4A,F,Total,women_total,80
Argentina,Census 2001,1902,1902,Level 1,ISCED0,ISCED0,F,Total,children_total,2560
Argentina,Census 2001,1902,1902,Level 1,ISCED0,ISCED0,F,Total,parity_0,140
Argentina,Census 2001,1902,1902,Level 1,ISCED0,ISCED0,F,Total,parity_1,130
Argentina,Census 2001,1902,1902,Level 1,ISCED0,ISCED0,F,Total,parity_2,100
Argentina,Census 2001,1902,1902,Level 1,ISCED0,ISCED0,F,Total,parity_3,110
Argentina,Census 2001,1902,1902,Level 1,ISCED0,ISCED0,F,Total,parity_4,90
Argentina,Census 2001,1902,1902,Level 1,ISCED0,ISCED0,F,Total,parity_5,40
Argentina,Census 2001,1902,1902,Level 1,ISCED0,ISCED0,F,Total,parity_6,60
Argentina,Census 2001,1902,1902,Level 1,ISCED0,ISCED0,F,Total,parity_7,30
Argentina,Census 2001,1902,1902,Level 1,ISCED0,ISCED0,F,Total,parity_8,80
Argentina,Census 2001,1902,1902,Level 1,ISCED0,ISCED0,F,Total,women_total,780
