"country","data_source","cohort_from","cohort_to","edu_eurrep","edu_from","edu_to","sex","origin","stat","value"
"Brazil","Census 2010",1871,1871,"Level 1","ISCED0","ISCED1","F","Total","children_total",0
"Brazil","Census 2010",1871,1871,"Level 1","ISCED0","ISCED1","F","Total","parity_0",1
"Brazil","Census 2010",1871,1871,"Level 1","ISCED0","ISCED1","F","Total","women_total",1
"Brazil","Census 2010",1877,1877,"Level 1","ISCED0","ISCED1","F","Total","children_total",0
"Brazil","Census 2010",1877,1877,"Level 1","ISCED0","ISCED1","F","Total","parity_0",1
"Brazil","Census 2010",1877,1877,"Level 1","ISCED0","ISCED1","F","Total","women_total",1
"Brazil","Census 2010",1878,1878,"Level 1","ISCED0","ISCED1","F","Total","children_total",0
"Brazil","Census 2010",1878,1878,"Level 1","ISCED0","ISCED1","F","Total","parity_0",1
"Brazil","Census 2010",1878,1878,"Level 1","ISCED0","ISCED1","F","Total","women_total",1
"Brazil","Census 2010",1879,1879,"Level 1","ISCED0","ISCED1","F","Total","children_total",0
"Brazil","Census 2010",1879,1879,"Level 1","ISCED0","ISCED1","F","Total","parity_0",1
"Brazil","Census 2010",1879,1879,"Level 1","ISCED0","ISCED1","F","Total","women_total",1
"Brazil","Census 2010",1880,1880,"Level 2","ISCED3C","ISCED4A","F","Total","children_total",0
"Brazil","Census 2010",1880,1880,"Level 2","ISCED3C","ISCED4A","F","Total","parity_0",1
"Brazil","Census 2010",1880,1880,"Level 2","ISCED3C","ISCED4A","F","Total","women_total",1
"Brazil","Census 2010",1881,1881,"Level 2","ISCED3C","ISCED4A","F","Total","children_total",0
"Brazil","Census 2010",1881,1881,"Level 2","ISCED3C","ISCED4A","F","Total","parity_0",1
"Brazil","Census 2010",1881,1881,"Level 2","ISCED3C","ISCED4A","F","Total","women_total",1
"Brazil","Census 2010",1882,1882,"Level 1","ISCED2C","ISCED2A","F","Total","children_total",0
"Brazil","Census 2010",1882,1882,"Level 1","ISCED2C","ISCED2A","F","Total","parity_0",1
"Brazil","Census 2010",1882,1882,"Level 1","ISCED2C","ISCED2A","F","Total","women_total",1
"Brazil","Census 2010",1882,1882,"Level 4","ISCED5B","ISCED6","F","Total","children_total",0
"Brazil","Census 2010",1882,1882,"Level 4","ISCED5B","ISCED6","F","Total","parity_0",1
"Brazil","Census 2010",1882,1882,"Level 4","ISCED5B","ISCED6","F","Total","women_total",1
"Brazil","Census 2010",1883,1883,"Level 1","ISCED0","ISCED1","F","Total","children_total",2
"Brazil","Census 2010",1883,1883,"Level 1","ISCED0","ISCED1","F","Total","parity_2",1
"Brazil","Census 2010",1883,1883,"Level 1","ISCED0","ISCED1","F","Total","women_total",1
"Brazil","Census 2010",1887,1887,"Level 1","ISCED0","ISCED1","F","Total","children_total",0
"Brazil","Census 2010",1887,1887,"Level 1","ISCED0","ISCED1","F","Total","parity_0",1
"Brazil","Census 2010",1887,1887,"Level 1","ISCED0","ISCED1","F","Total","women_total",1
"Brazil","Census 2010",1887,1887,"Level 2","ISCED3C","ISCED4A","F","Total","children_total",0
"Brazil","Census 2010",1887,1887,"Level 2","ISCED3C","ISCED4A","F","Total","parity_0",2
"Brazil","Census 2010",1887,1887,"Level 2","ISCED3C","ISCED4A","F","Total","women_total",2
"Brazil","Census 2010",1888,1888,"Level 1","ISCED0","ISCED1","F","Total","children_total",0
"Brazil","Census 2010",1888,1888,"Level 1","ISCED0","ISCED1","F","Total","parity_0",1
"Brazil","Census 2010",1888,1888,"Level 1","ISCED0","ISCED1","F","Total","women_total",1
"Brazil","Census 2010",1888,1888,"Level 2","ISCED3C","ISCED4A","F","Total","children_total",0
"Brazil","Census 2010",1888,1888,"Level 2","ISCED3C","ISCED4A","F","Total","parity_0",1
"Brazil","Census 2010",1888,1888,"Level 2","ISCED3C","ISCED4A","F","Total","women_total",1
"Brazil","Census 2010",1889,1889,"Level 2","ISCED3C","ISCED4A","F","Total","children_total",0
"Brazil","Census 2010",1889,1889,"Level 2","ISCED3C","ISCED4A","F","Total","parity_0",2
"Brazil","Census 2010",1889,1889,"Level 2","ISCED3C","ISCED4A","F","Total","women_total",2
"Brazil","Census 2010",1890,1890,"Level 1","ISCED0","ISCED1","F","Total","children_total",8
"Brazil","Census 2010",1890,1890,"Level 1","ISCED0","ISCED1","F","Total","parity_0",1
"Brazil","Census 2010",1890,1890,"Level 1","ISCED0","ISCED1","F","Total","parity_8",1
"Brazil","Census 2010",1890,1890,"Level 1","ISCED0","ISCED1","F","Total","women_total",2
"Brazil","Census 2010",1893,1893,"Level 2","ISCED3C","ISCED4A","F","Total","children_total",0
"Brazil","Census 2010",1893,1893,"Level 2","ISCED3C","ISCED4A","F","Total","parity_0",1
"Brazil","Census 2010",1893,1893,"Level 2","ISCED3C","ISCED4A","F","Total","women_total",1
"Brazil","Census 2010",1895,1895,"Level 1","ISCED0","ISCED1","F","Total","children_total",21
"Brazil","Census 2010",1895,1895,"Level 1","ISCED0","ISCED1","F","Total","parity_1",1
"Brazil","Census 2010",1895,1895,"Level 1","ISCED0","ISCED1","F","Total","parity_3",1
"Brazil","Census 2010",1895,1895,"Level 1","ISCED0","ISCED1","F","Total","parity_8",1
"Brazil","Census 2010",1895,1895,"Level 1","ISCED0","ISCED1","F","Total","women_total",3
"Brazil","Census 2010",1896,1896,"Level 1","ISCED0","ISCED1","F","Total","children_total",24
"Brazil","Census 2010",1896,1896,"Level 1","ISCED0","ISCED1","F","Total","parity_6",1
"Brazil","Census 2010",1896,1896,"Level 1","ISCED0","ISCED1","F","Total","parity_8",2
"Brazil","Census 2010",1896,1896,"Level 1","ISCED0","ISCED1","F","Total","women_total",3
"Brazil","Census 2010",1897,1897,"Level 2","ISCED3C","ISCED4A","F","Total","children_total",0
"Brazil","Census 2010",1897,1897,"Level 2","ISCED3C","ISCED4A","F","Total","parity_0",2
"Brazil","Census 2010",1897,1897,"Level 2","ISCED3C","ISCED4A","F","Total","women_total",2
"Brazil","Census 2010",1898,1898,"Level 1","ISCED0","ISCED1","F","Total","children_total",36
"Brazil","Census 2010",1898,1898,"Level 1","ISCED0","ISCED1","F","Total","parity_0",1
"Brazil","Census 2010",1898,1898,"Level 1","ISCED0","ISCED1","F","Total","parity_2",1
"Brazil","Census 2010",1898,1898,"Level 1","ISCED0","ISCED1","F","Total","parity_5",2
"Brazil","Census 2010",1898,1898,"Level 1","ISCED0","ISCED1","F","Total","parity_8",2
"Brazil","Census 2010",1898,1898,"Level 1","ISCED0","ISCED1","F","Total","women_total",6
"Brazil","Census 2010",1899,1899,"Level 1","ISCED0","ISCED1","F","Total","children_total",36
"Brazil","Census 2010",1899,1899,"Level 1","ISCED0","ISCED1","F","Total","parity_4",1
