"country","data_source","cohort_from","cohort_to","edu_eurrep","edu_from","edu_to","sex","origin","stat","value"
"Chile","Census 2002",1893,1893,"Level 4","ISCED5B","ISCED6","F","Total","parity_0",3
"Chile","Census 2002",1893,1893,"Level 4","ISCED5B","ISCED6","F","Total","women_total",3
"Chile","Census 2002",1896,1896,"Level 4","ISCED5B","ISCED6","F","Total","parity_0",1
"Chile","Census 2002",1896,1896,"Level 4","ISCED5B","ISCED6","F","Total","parity_4",1
"Chile","Census 2002",1896,1896,"Level 4","ISCED5B","ISCED6","F","Total","women_total",2
"Chile","Census 2002",1899,1899,"Level 1","ISCED2C","ISCED2A","F","Total","parity_1",1
"Chile","Census 2002",1899,1899,"Level 1","ISCED2C","ISCED2A","F","Total","parity_2",6
"Chile","Census 2002",1899,1899,"Level 1","ISCED2C","ISCED2A","F","Total","parity_3",4
"Chile","Census 2002",1899,1899,"Level 1","ISCED2C","ISCED2A","F","Total","parity_4",4
"Chile","Census 2002",1899,1899,"Level 1","ISCED2C","ISCED2A","F","Total","parity_5",1
"Chile","Census 2002",1899,1899,"Level 1","ISCED2C","ISCED2A","F","Total","parity_6",3
"Chile","Census 2002",1899,1899,"Level 1","ISCED2C","ISCED2A","F","Total","parity_8",8
"Chile","Census 2002",1899,1899,"Level 1","ISCED2C","ISCED2A","F","Total","women_total",31
"Chile","Census 2002",1901,1901,"Level 2","ISCED3C","ISCED4A","F","Total","parity_1",7
"Chile","Census 2002",1901,1901,"Level 2","ISCED3C","ISCED4A","F","Total","parity_2",12
"Chile","Census 2002",1901,1901,"Level 2","ISCED3C","ISCED4A","F","Total","parity_3",4
"Chile","Census 2002",1901,1901,"Level 2","ISCED3C","ISCED4A","F","Total","parity_4",3
"Chile","Census 2002",1901,1901,"Level 2","ISCED3C","ISCED4A","F","Total","parity_5",2
"Chile","Census 2002",1901,1901,"Level 2","ISCED3C","ISCED4A","F","Total","parity_6",3
"Chile","Census 2002",1901,1901,"Level 2","ISCED3C","ISCED4A","F","Total","parity_7",2
"Chile","Census 2002",1901,1901,"Level 2","ISCED3C","ISCED4A","F","Total","parity_8",7
"Chile","Census 2002",1893,1893,"Level 1","ISCED0","ISCED1","F","Total","children_total",13
"Chile","Census 2002",1893,1893,"Level 1","ISCED0","ISCED1","F","Total","parity_0",1
"Chile","Census 2002",1893,1893,"Level 1","ISCED0","ISCED1","F","Total","parity_2",1
"Chile","Census 2002",1893,1893,"Level 1","ISCED0","ISCED1","F","Total","parity_5",1
"Chile","Census 2002",1893,1893,"Level 1","ISCED0","ISCED1","F","Total","parity_6",1
"Chile","Census 2002",1893,1893,"Level 1","ISCED0","ISCED1","F","Total","women_total",4
"Chile","Census 2002",1893,1893,"Level 1","ISCED2C","ISCED2A","F","Total","children_total",48
"Chile","Census 2002",1893,1893,"Level 1","ISCED2C","ISCED2A","F","Total","parity_0",1
"Chile","Census 2002",1893,1893,"Level 1","ISCED2C","ISCED2A","F","Total","parity_4",2
"Chile","Census 2002",1893,1893,"Level 1","ISCED2C","ISCED2A","F","Total","parity_5",1
"Chile","Census 2002",1893,1893,"Level 1","ISCED2C","ISCED2A","F","Total","parity_6",1
"Chile","Census 2002",1893,1893,"Level 1","ISCED2C","ISCED2A","F","Total","parity_7",1
"Chile","Census 2002",1893,1893,"Level 1","ISCED2C","ISCED2A","F","Total","parity_8",2
"Chile","Census 2002",1893,1893,"Level 1","ISCED2C","ISCED2A","F","Total","women_total",8
"Chile","Census 2002",1893,1893,"Level 2","ISCED3C","ISCED4A","F","Total","children_total",25
"Chile","Census 2002",1893,1893,"Level 2","ISCED3C","ISCED4A","F","Total","parity_0",3
"Chile","Census 2002",1893,1893,"Level 2","ISCED3C","ISCED4A","F","Total","parity_1",1
"Chile","Census 2002",1893,1893,"Level 2","ISCED3C","ISCED4A","F","Total","parity_2",2
"Chile","Census 2002",1893,1893,"Level 2","ISCED3C","ISCED4A","F","Total","parity_3",2
"Chile","Census 2002",1893,1893,"Level 2","ISCED3C","ISCED4A","F","Total","parity_6",1
"Chile","Census 2002",1893,1893,"Level 2","ISCED3C","ISCED4A","F","Total","parity_8",1
"Chile","Census 2002",1893,1893,"Level 2","ISCED3C","ISCED4A","F","Total","women_total",10
"Chile","Census 2002",1894,1894,"Level 1","ISCED0","ISCED1","F","Total","children_total",47
"Chile","Census 2002",1894,1894,"Level 1","ISCED0","ISCED1","F","Total","parity_5",1
"Chile","Census 2002",1894,1894,"Level 1","ISCED0","ISCED1","F","Total","parity_7",2
"Chile","Census 2002",1894,1894,"Level 1","ISCED0","ISCED1","F","Total","parity_8",2
"Chile","Census 2002",1894,1894,"Level 1","ISCED0","ISCED1","F","Total","women_total",5
"Chile","Census 2002",1894,1894,"Level 1","ISCED2C","ISCED2A","F","Total","children_total",61
"Chile","Census 2002",1894,1894,"Level 1","ISCED2C","ISCED2A","F","Total","parity_1",2
"Chile","Census 2002",1894,1894,"Level 1","ISCED2C","ISCED2A","F","Total","parity_2",2
"Chile","Census 2002",1894,1894,"Level 1","ISCED2C","ISCED2A","F","Total","parity_3",3
"Chile","Census 2002",1894,1894,"Level 1","ISCED2C","ISCED2A","F","Total","parity_4",2
"Chile","Census 2002",1894,1894,"Level 1","ISCED2C","ISCED2A","F","Total","parity_6",2
"Chile","Census 2002",1894,1894,"Level 1","ISCED2C","ISCED2A","F","Total","parity_7",1
"Chile","Census 2002",1894,1894,"Level 1","ISCED2C","ISCED2A","F","Total","parity_8",2
"Chile","Census 2002",1894,1894,"Level 1","ISCED2C","ISCED2A","F","Total","women_total",14
"Chile","Census 2002",1894,1894,"Level 2","ISCED3C","ISCED4A","F","Total","children_total",18
"Chile","Census 2002",1894,1894,"Level 2","ISCED3C","ISCED4A","F","Total","parity_0",5
"Chile","Census 2002",1894,1894,"Level 2","ISCED3C","ISCED4A","F","Total","parity_1",2
"Chile","Census 2002",1894,1894,"Level 2","ISCED3C","ISCED4A","F","Total","parity_2",1
"Chile","Census 2002",1894,1894,"Level 2","ISCED3C","ISCED4A","F","Total","parity_3",1
"Chile","Census 2002",1894,1894,"Level 2","ISCED3C","ISCED4A","F","Total","parity_5",1
"Chile","Census 2002",1894,1894,"Level 2","ISCED3C","ISCED4A","F","Total","parity_6",1
"Chile","Census 2002",1894,1894,"Level 2","ISCED3C","ISCED4A","F","Total","women_total",11
"Chile","Census 2002",1894,1894,"Level 4","ISCED5B","ISCED6","F","Total","parity_0",2
"Chile","Census 2002",1894,1894,"Level 4","ISCED5B","ISCED6","F","Total","women_total",2
"Chile","Census 2002",1895,1895,"Level 1","ISCED0","ISCED1","F","Total","children_total",32
"Chile","Census 2002",1895,1895,"Level 1","ISCED0","ISCED1","F","Total","parity_4",1
"Chile","Census 2002",1895,1895,"Level 1","ISCED0","ISCED1","F","Total","parity_6",1
"Chile","Census 2002",1895,1895,"Level 1","ISCED0","ISCED1","F","Total","parity_8",2
"Chile","Census 2002",1895,1895,"Level 1","ISCED0","ISCED1","F","Total","women_total",4
"Chile","Census 2002",1895,1895,"Level 1","ISCED2C","ISCED2A","F","Total","children_total",44
"Chile","Census 2002",1895,1895,"Level 1","ISCED2C","ISCED2A","F","Total","parity_1",3
"Chile","Census 2002",1895,1895,"Level 1","ISCED2C","ISCED2A","F","Total","parity_2",1
"Chile","Census 2002",1895,1895,"Level 1","ISCED2C","ISCED2A","F","Total","parity_3",2
"Chile","Census 2002",1895,1895,"Level 1","ISCED2C","ISCED2A","F","Total","parity_4",1
"Chile","Census 2002",1895,1895,"Level 1","ISCED2C","ISCED2A","F","Total","parity_5",1
"Chile","Census 2002",1895,1895,"Level 1","ISCED2C","ISCED2A","F","Total","parity_7",1
"Chile","Census 2002",1895,1895,"Level 1","ISCED2C","ISCED2A","F","Total","parity_8",2
"Chile","Census 2002",1895,1895,"Level 1","ISCED2C","ISCED2A","F","Total","women_total",11
"Chile","Census 2002",1895,1895,"Level 2","ISCED3C","ISCED4A","F","Total","children_total",39
"Chile","Census 2002",1895,1895,"Level 2","ISCED3C","ISCED4A","F","Total","parity_0",1
"Chile","Census 2002",1895,1895,"Level 2","ISCED3C","ISCED4A","F","Total","parity_1",2
"Chile","Census 2002",1895,1895,"Level 2","ISCED3C","ISCED4A","F","Total","parity_2",4
"Chile","Census 2002",1895,1895,"Level 2","ISCED3C","ISCED4A","F","Total","parity_3",5
"Chile","Census 2002",1895,1895,"Level 2","ISCED3C","ISCED4A","F","Total","parity_4",1
"Chile","Census 2002",1895,1895,"Level 2","ISCED3C","ISCED4A","F","Total","parity_5",2
"Chile","Census 2002",1895,1895,"Level 2","ISCED3C","ISCED4A","F","Total","women_total",15
"Chile","Census 2002",1895,1895,"Level 4","ISCED5B","ISCED6","F","Total","children_total",12
"Chile","Census 2002",1895,1895,"Level 4","ISCED5B","ISCED6","F","Total","parity_0",1
"Chile","Census 2002",1895,1895,"Level 4","ISCED5B","ISCED6","F","Total","parity_2",4
"Chile","Census 2002",1895,1895,"Level 4","ISCED5B","ISCED6","F","Total","parity_4",1
"Chile","Census 2002",1895,1895,"Level 4","ISCED5B","ISCED6","F","Total","women_total",6
"Chile","Census 2002",1896,1896,"Level 1","ISCED0","ISCED1","F","Total","children_total",102
"Chile","Census 2002",1896,1896,"Level 1","ISCED0","ISCED1","F","Total","parity_0",1
"Chile","Census 2002",1896,1896,"Level 1","ISCED0","ISCED1","F","Total","parity_3",1
"Chile","Census 2002",1896,1896,"Level 1","ISCED0","ISCED1","F","Total","parity_4",2
"Chile","Census 2002",1896,1896,"Level 1","ISCED0","ISCED1","F","Total","parity_5",4
"Chile","Census 2002",1896,1896,"Level 1","ISCED0","ISCED1","F","Total","parity_6",1
"Chile","Census 2002",1896,1896,"Level 1","ISCED0","ISCED1","F","Total","parity_7",1
"Chile","Census 2002",1896,1896,"Level 1","ISCED0","ISCED1","F","Total","parity_8",5
"Chile","Census 2002",1896,1896,"Level 1","ISCED0","ISCED1","F","Total","women_total",15
"Chile","Census 2002",1896,1896,"Level 1","ISCED2C","ISCED2A","F","Total","children_total",155
"Chile","Census 2002",1896,1896,"Level 1","ISCED2C","ISCED2A","F","Total","parity_0",1
"Chile","Census 2002",1896,1896,"Level 1","ISCED2C","ISCED2A","F","Total","parity_2",1
"Chile","Census 2002",1896,1896,"Level 1","ISCED2C","ISCED2A","F","Total","parity_3",4
"Chile","Census 2002",1896,1896,"Level 1","ISCED2C","ISCED2A","F","Total","parity_4",1
