"","year","month","dom","doy","dow","hour","Southern","circumstance","deaths","H"
"1",2006,1,1,1,"0",0,FALSE,NA,1,48
"2",2006,1,1,1,"0",1,FALSE,"Homicide",1,49
"3",2006,1,1,1,"0",4,FALSE,"Accident",1,52
"4",2006,1,1,1,"0",6,FALSE,"Accident",2,54
"5",2006,1,1,1,"0",9,FALSE,NA,2,57
"6",2006,1,1,1,"0",14,FALSE,NA,3,62
"7",2006,1,1,1,"0",15,FALSE,"Homicide",1,63
"8",2006,1,1,1,"0",16,FALSE,NA,1,64
"9",2006,1,1,1,"0",17,FALSE,NA,1,65
"10",2006,1,1,1,"0",20,FALSE,NA,1,68
"11",2006,1,2,2,"1",0,FALSE,NA,1,72
"12",2006,1,2,2,"1",9,FALSE,NA,2,81
"13",2006,1,2,2,"1",11,FALSE,NA,1,83
"14",2006,1,2,2,"1",12,FALSE,NA,1,84
"15",2006,1,2,2,"1",13,FALSE,NA,1,85
"16",2006,1,2,2,"1",18,FALSE,NA,1,90
"17",2006,1,2,2,"1",19,FALSE,NA,1,91
"18",2006,12,30,364,"6",8,FALSE,NA,1,8
"19",2006,12,30,364,"6",10,FALSE,NA,1,10
"20",2006,12,30,364,"6",11,FALSE,NA,1,11
"21",2006,12,30,364,"6",14,FALSE,NA,2,14
"22",2006,12,30,364,"6",15,FALSE,NA,1,15
"23",2006,12,30,364,"6",16,FALSE,"Homicide",1,16
"24",2006,12,30,364,"6",18,FALSE,NA,1,18
"25",2006,12,30,364,"6",21,FALSE,NA,1,21
"26",2006,12,31,365,"0",2,FALSE,NA,1,26
"27",2006,12,31,365,"0",3,FALSE,NA,1,27
"28",2006,12,31,365,"0",4,FALSE,"Accident",1,28
"29",2006,12,31,365,"0",10,FALSE,NA,1,34
"30",2006,12,31,365,"0",14,FALSE,NA,1,38
"31",2006,12,31,365,"0",16,FALSE,NA,1,40
"32",2006,12,31,365,"0",17,FALSE,NA,1,41
"33",2006,12,31,365,"0",20,FALSE,"Accident",1,44
"34",2006,12,31,365,"0",21,FALSE,NA,1,45
"35",2006,1,1,1,"0",0,FALSE,"Accident",1,48
"36",2006,1,1,1,"0",0,FALSE,NA,2,48
"37",2006,1,1,1,"0",1,FALSE,NA,2,49
"38",2006,1,1,1,"0",2,FALSE,"Homicide",2,50
"39",2006,1,1,1,"0",3,FALSE,"Accident",1,51
"40",2006,1,1,1,"0",3,FALSE,"Homicide",1,51
"41",2006,1,1,1,"0",3,FALSE,NA,1,51
"42",2006,1,1,1,"0",4,FALSE,NA,1,52
"43",2006,1,1,1,"0",5,FALSE,"Suicide",1,53
"44",2006,1,1,1,"0",5,FALSE,NA,3,53
"45",2006,1,1,1,"0",6,FALSE,"Accident",2,54
"46",2006,1,1,1,"0",6,FALSE,NA,2,54
"47",2006,1,1,1,"0",7,FALSE,NA,1,55
"48",2006,1,1,1,"0",8,FALSE,"Accident",5,56
"49",2006,1,1,1,"0",8,FALSE,NA,1,56
"50",2006,1,1,1,"0",9,FALSE,NA,1,57
"51",2006,1,1,1,"0",10,FALSE,"Accident",1,58
"52",2006,1,1,1,"0",10,FALSE,"Homicide",1,58
"53",2006,1,1,1,"0",11,FALSE,NA,1,59
"54",2006,1,1,1,"0",12,FALSE,"Accident",1,60
"55",2006,1,1,1,"0",12,FALSE,NA,1,60
"56",2006,1,1,1,"0",13,FALSE,"Homicide",2,61
"57",2006,1,1,1,"0",13,FALSE,NA,2,61
"58",2006,1,1,1,"0",14,FALSE,NA,1,62
"59",2006,1,1,1,"0",15,FALSE,NA,3,63
"60",2006,1,1,1,"0",16,FALSE,"Accident",2,64
"61",2006,1,1,1,"0",16,FALSE,NA,2,64
"62",2006,1,1,1,"0",17,FALSE,"Homicide",1,65
"63",2006,1,1,1,"0",17,FALSE,NA,1,65
"64",2006,1,1,1,"0",18,FALSE,"Accident",1,66
"65",2006,1,1,1,"0",18,FALSE,NA,2,66
"66",2006,1,1,1,"0",20,FALSE,"Homicide",1,68
"67",2006,1,1,1,"0",20,FALSE,NA,2,68
"68",2006,1,1,1,"0",21,FALSE,NA,3,69
"69",2006,1,1,1,"0",22,FALSE,"Homicide",1,70
"70",2006,1,1,1,"0",22,FALSE,NA,1,70
"71",2006,1,1,1,"0",23,FALSE,NA,1,71
"72",2006,1,2,2,"1",1,FALSE,NA,1,73
"73",2006,1,2,2,"1",3,FALSE,"Accident",1,75
"74",2006,1,2,2,"1",3,FALSE,NA,2,75
"75",2006,1,2,2,"1",4,FALSE,NA,5,76
"76",2006,1,2,2,"1",5,FALSE,NA,1,77
"77",2006,1,2,2,"1",6,FALSE,NA,2,78
"78",2006,1,2,2,"1",7,FALSE,NA,3,79
"79",2006,1,2,2,"1",8,FALSE,NA,1,80
"80",2006,1,2,2,"1",9,FALSE,NA,1,81
