"","doy","circumstance","deaths"
"1",1,"Accident",1107
"2",1,"Suicide",114
"3",1,"Homicide",948
"4",2,"Accident",678
"5",2,"Suicide",80
"6",2,"Homicide",422
"7",3,"Accident",666
"8",3,"Suicide",77
"9",3,"Homicide",432
"10",4,"Accident",712
"11",4,"Suicide",85
"12",4,"Homicide",445
"13",5,"Accident",572
"14",5,"Suicide",77
"15",5,"Homicide",459
"16",6,"Accident",509
"17",6,"Suicide",77
"18",6,"Homicide",392
"19",7,"Accident",529
"20",7,"Suicide",61
"21",7,"Homicide",403
"22",8,"Accident",614
"23",8,"Suicide",69
"24",8,"Homicide",422
"25",9,"Accident",610
"26",9,"Suicide",91
"27",9,"Homicide",524
"28",10,"Accident",671
"29",10,"Suicide",97
"30",10,"Homicide",555
"31",11,"Accident",710
"32",11,"Suicide",58
"33",11,"Homicide",470
"34",12,"Accident",665
"35",12,"Suicide",80
"36",12,"Homicide",455
"37",13,"Accident",607
"38",13,"Suicide",98
"39",13,"Homicide",395
"40",14,"Accident",590
"41",14,"Suicide",85
"42",14,"Homicide",360
"43",15,"Accident",598
"44",15,"Suicide",76
"45",15,"Homicide",461
"46",16,"Accident",661
"47",16,"Suicide",68
"48",16,"Homicide",514
"49",17,"Accident",724
"50",17,"Suicide",80
"51",17,"Homicide",545
"52",18,"Accident",748
"53",18,"Suicide",77
"54",18,"Homicide",515
"55",19,"Accident",764
"56",19,"Suicide",71
"57",19,"Homicide",496
"58",20,"Accident",617
"59",20,"Suicide",91
"60",20,"Homicide",363
"61",21,"Accident",637
"62",21,"Suicide",70
"63",21,"Homicide",425
"64",22,"Accident",637
"65",22,"Suicide",69
"66",22,"Homicide",451
"67",23,"Accident",714
"68",23,"Suicide",89
"69",23,"Homicide",540
"70",24,"Accident",780
"71",24,"Suicide",93
"72",24,"Homicide",527
"73",25,"Accident",628
"74",25,"Suicide",77
"75",25,"Homicide",520
"76",26,"Accident",641
"77",26,"Suicide",83
"78",26,"Homicide",461
"79",27,"Accident",529
"80",27,"Suicide",75
"81",27,"Homicide",361
"82",28,"Accident",492
"83",28,"Suicide",66
"84",28,"Homicide",347
"85",29,"Accident",552
"86",29,"Suicide",67
"87",29,"Homicide",461
"88",30,"Accident",675
"89",30,"Suicide",86
"90",30,"Homicide",579
"91",31,"Accident",726
"92",31,"Suicide",72
"93",31,"Homicide",573
"94",32,"Accident",695
"95",32,"Suicide",90
"96",32,"Homicide",584
"97",33,"Accident",658
"98",33,"Suicide",72
"99",33,"Homicide",492
"100",34,"Accident",541
"101",34,"Suicide",89
"102",34,"Homicide",413
"103",35,"Accident",503
"104",35,"Suicide",90
"105",35,"Homicide",432
"106",36,"Accident",593
"107",36,"Suicide",68
"108",36,"Homicide",534
"109",37,"Accident",674
"110",37,"Suicide",84
"111",37,"Homicide",582
"112",38,"Accident",761
"113",38,"Suicide",77
"114",38,"Homicide",578
"115",39,"Accident",813
"116",39,"Suicide",89
"117",39,"Homicide",569
"118",40,"Accident",691
"119",40,"Suicide",77
"120",40,"Homicide",449
"121",41,"Accident",633
"122",41,"Suicide",80
"123",41,"Homicide",381
"124",42,"Accident",587
"125",42,"Suicide",78
"126",42,"Homicide",390
"127",43,"Accident",581
"128",43,"Suicide",76
"129",43,"Homicide",438
"130",44,"Accident",737
"131",44,"Suicide",91
"132",44,"Homicide",495
"133",45,"Accident",722
