"state","year","month","dom","deaths"
"AC",2007,1,1,21
"AC",2007,1,2,7
"AC",2007,1,3,11
"AC",2007,1,4,10
"AC",2007,1,5,8
"AC",2007,1,6,4
"AC",2007,1,7,7
"AC",2007,1,8,10
"AC",2007,1,9,9
"AC",2007,1,10,9
"AC",2007,1,11,9
"AC",2007,1,12,5
"AC",2007,1,13,11
"AC",2007,1,14,9
"AC",2007,1,15,7
"AC",2007,1,16,16
"AC",2007,1,17,5
"AC",2007,1,18,9
"AC",2007,1,19,10
"AC",2007,1,20,7
"AC",2007,1,21,12
"AC",2007,1,22,14
"AC",2007,1,23,13
"AC",2007,1,24,8
"AC",2007,1,25,2
"AC",2007,1,26,8
"AC",2007,1,27,12
"AC",2007,1,28,16
"AC",2007,1,29,10
"AC",2007,1,30,7
"AC",2007,1,31,8
"AC",2007,2,1,6
"AC",2007,2,2,9
"AC",2007,2,3,14
"AC",2007,2,4,5
"AC",2007,2,5,9
"AC",2007,2,6,4
"AC",2007,2,7,10
"AC",2007,2,8,6
"AC",2007,2,9,10
"AC",2007,2,10,8
"AC",2007,2,11,6
"AC",2007,2,12,6
"AC",2007,2,13,6
"AC",2007,2,14,9
"AC",2007,2,15,6
"AC",2007,2,16,5
"AC",2007,2,17,11
"AC",2007,2,18,13
"AC",2007,2,19,10
"AC",2007,2,20,7
"AC",2007,2,21,9
"AC",2007,2,22,10
"AC",2007,2,23,9
"AC",2007,2,24,5
"AC",2007,2,25,7
"AC",2007,2,26,7
"AC",2007,2,27,10
"AC",2007,2,28,6
"AC",2007,3,1,5
"AC",2007,3,2,7
"AC",2007,3,3,10
"AC",2007,3,4,9
"AC",2007,3,5,7
"AC",2007,3,6,4
"AC",2007,3,7,12
"AC",2007,3,8,7
"AC",2007,3,9,7
"AC",2007,3,10,6
"AC",2007,3,11,7
"AC",2007,3,12,6
"AC",2007,3,13,9
"AC",2007,3,14,9
"AC",2007,3,15,8
"AC",2007,3,16,9
"AC",2007,3,17,6
"AC",2007,3,18,5
"AC",2007,3,19,6
"AC",2007,3,20,4
"AC",2007,3,21,11
"AC",2007,3,22,10
"AC",2007,3,23,4
"AC",2007,3,24,4
"AC",2007,3,25,6
"AC",2007,3,26,7
"AC",2007,3,27,4
"AC",2007,3,28,2
"AC",2007,3,29,7
"AC",2007,3,30,5
"AC",2007,3,31,7
"AC",2007,4,1,8
"AC",2007,4,2,10
"AC",2007,4,3,12
"AC",2007,4,4,8
"AC",2007,4,5,5
"AC",2007,4,6,5
"AC",2007,4,7,10
"AC",2007,4,8,15
"AC",2007,4,9,4
"AC",2007,4,10,3
"AC",2007,4,11,11
"AC",2007,4,12,6
"AC",2007,4,13,4
"AC",2007,4,14,7
"AC",2007,4,15,8
"AC",2007,4,16,10
"AC",2007,4,17,6
"AC",2007,4,18,8
"AC",2007,4,19,11
"AC",2007,4,20,4
"AC",2007,4,21,8
"AC",2007,4,22,8
"AC",2007,4,23,7
"AC",2007,4,24,8
"AC",2007,4,25,8
"AC",2007,4,26,8
"AC",2007,4,27,10
"AC",2007,4,28,9
"AC",2007,4,29,11
"AC",2007,4,30,9
"AC",2007,5,1,7
"AC",2007,5,2,4
"AC",2007,5,3,5
"AC",2007,5,4,5
"AC",2007,5,5,6
"AC",2007,5,6,16
"AC",2007,5,7,5
"AC",2007,5,8,6
"AC",2007,5,9,1
"AC",2007,5,10,9
"AC",2007,5,11,8
"AC",2007,5,12,15
"AC",2007,5,13,7
"AC",2007,5,14,10
"AC",2007,5,15,7
"AC",2007,5,16,7
"AC",2007,5,17,5
"AC",2007,5,18,7
"AC",2007,5,19,6
"AC",2007,5,20,11
"AC",2007,5,21,6
"AC",2007,5,22,6
"AC",2007,5,23,8
"AC",2007,5,24,7
"AC",2007,5,25,13
"AC",2007,5,26,5
"AC",2007,5,27,9
"AC",2007,5,28,7
"AC",2007,5,29,6
"AC",2007,5,30,6
"AC",2007,5,31,9
"AC",2007,6,1,5
"AC",2007,6,2,3
"AC",2007,6,3,7
"AC",2007,6,4,8
"AC",2007,6,5,15
"AC",2007,6,6,6
"AC",2007,6,7,8
"AC",2007,6,8,6
"AC",2007,6,9,8
"AC",2007,6,10,14
"AC",2007,6,11,10
"AC",2007,6,12,8
"AC",2007,6,13,6
"AC",2007,6,14,7
"AC",2007,6,15,5
"AC",2007,6,16,9
"AC",2007,6,17,4
"AC",2007,6,18,9
"AC",2007,6,19,11
"AC",2007,6,20,9
"AC",2007,6,21,12
"AC",2007,6,22,13
"AC",2007,6,23,10
"AC",2007,6,24,6
"AC",2007,6,25,4
"AC",2007,6,26,5
"AC",2007,6,27,2
"AC",2007,6,28,7
"AC",2007,6,29,5
"AC",2007,6,30,6
"AC",2007,7,1,7
"AC",2007,7,2,8
"AC",2007,7,3,8
"AC",2007,7,4,5
"AC",2007,7,5,9
"AC",2007,7,6,4
"AC",2007,7,7,7
"AC",2007,7,8,10
"AC",2007,7,9,10
"AC",2007,7,10,7
"AC",2007,7,11,4
"AC",2007,7,12,5
"AC",2007,7,13,9
"AC",2007,7,14,5
"AC",2007,7,15,10
"AC",2007,7,16,9
"AC",2007,7,17,11
"AC",2007,7,18,6
"AC",2007,7,19,4
"AC",2007,7,20,9
"AC",2007,7,21,9
"AC",2007,7,22,5
"AC",2007,7,23,10
"AC",2007,7,24,8
"AC",2007,7,25,12
"AC",2007,7,26,6
"AC",2007,7,27,5
"AC",2007,7,28,6
"AC",2007,7,29,7
"AC",2007,7,30,7
"AC",2007,7,31,6
"AC",2007,8,1,7
"AC",2007,8,2,10
"AC",2007,8,3,10
"AC",2007,8,4,6
"AC",2007,8,5,9
"AC",2007,8,6,3
"AC",2007,8,7,9
"AC",2007,8,8,9
"AC",2007,8,9,10
"AC",2007,8,10,9
"AC",2007,8,11,5
"AC",2007,8,12,6
"AC",2007,8,13,7
"AC",2007,8,14,8
"AC",2007,8,15,9
"AC",2007,8,16,5
"AC",2007,8,17,4
"AC",2007,8,18,13
"AC",2007,8,19,10
"AC",2007,8,20,10
"AC",2007,8,21,8
"AC",2007,8,22,3
"AC",2007,8,23,11
"AC",2007,8,24,8
"AC",2007,8,25,5
"AC",2007,8,26,8
"AC",2007,8,27,10
"AC",2007,8,28,8
"AC",2007,8,29,6
"AC",2007,8,30,5
"AC",2007,8,31,4
"AC",2007,9,1,9
"AC",2007,9,2,5
"AC",2007,9,3,10
"AC",2007,9,4,3
"AC",2007,9,5,11
"AC",2007,9,6,5
"AC",2007,9,7,2
"AC",2007,9,8,15
"AC",2007,9,9,6
"AC",2007,9,10,7
"AC",2007,9,11,12
"AC",2007,9,12,3
"AC",2007,9,13,8
"AC",2007,9,14,5
"AC",2007,9,15,7
"AC",2007,9,16,7
"AC",2007,9,17,7
"AC",2007,9,18,10
"AC",2007,9,19,7
"AC",2007,9,20,8
"AC",2007,9,21,8
"AC",2007,9,22,14
"AC",2007,9,23,10
"AC",2007,9,24,8
"AC",2007,9,25,4
"AC",2007,9,26,5
"AC",2007,9,27,5
"AC",2007,9,28,5
"AC",2007,9,29,4
"AC",2007,9,30,9
"AC",2007,10,1,7
"AC",2007,10,2,4
"AC",2007,10,3,8
"AC",2007,10,4,3
"AC",2007,10,5,13
"AC",2007,10,6,9
"AC",2007,10,7,7
"AC",2007,10,8,6
"AC",2007,10,9,7
"AC",2007,10,10,11
"AC",2007,10,11,7
"AC",2007,10,12,6
"AC",2007,10,13,9
"AC",2007,10,14,5
"AC",2007,10,15,9
"AC",2007,10,16,4
"AC",2007,10,17,4
"AC",2007,10,18,8
"AC",2007,10,19,8
"AC",2007,10,20,10
"AC",2007,10,21,9
"AC",2007,10,22,6
"AC",2007,10,23,8
"AC",2007,10,24,15
"AC",2007,10,25,6
"AC",2007,10,26,11
"AC",2007,10,27,6
"AC",2007,10,28,8
"AC",2007,10,29,7
"AC",2007,10,30,7
"AC",2007,10,31,4
"AC",2007,11,1,8
"AC",2007,11,2,10
"AC",2007,11,3,6
"AC",2007,11,4,7
"AC",2007,11,5,9
"AC",2007,11,6,10
"AC",2007,11,7,6
"AC",2007,11,8,7
"AC",2007,11,9,9
"AC",2007,11,10,11
"AC",2007,11,11,10
"AC",2007,11,12,8
"AC",2007,11,13,5
"AC",2007,11,14,7
"AC",2007,11,15,5
"AC",2007,11,16,4
"AC",2007,11,17,10
"AC",2007,11,18,7
"AC",2007,11,19,3
"AC",2007,11,20,10
"AC",2007,11,21,18
"AC",2007,11,22,12
"AC",2007,11,23,8
"AC",2007,11,24,9
"AC",2007,11,25,4
"AC",2007,11,26,4
"AC",2007,11,27,7
"AC",2007,11,28,7
"AC",2007,11,29,3
"AC",2007,11,30,5
"AC",2007,12,1,8
"AC",2007,12,2,5
"AC",2007,12,3,5
"AC",2007,12,4,7
"AC",2007,12,5,6
"AC",2007,12,6,9
"AC",2007,12,7,4
"AC",2007,12,8,7
"AC",2007,12,9,6
"AC",2007,12,10,6
"AC",2007,12,11,7
"AC",2007,12,12,6
"AC",2007,12,13,8
"AC",2007,12,14,13
"AC",2007,12,15,6
"AC",2007,12,16,9
"AC",2007,12,17,11
"AC",2007,12,18,10
"AC",2007,12,19,8
"AC",2007,12,20,12
"AC",2007,12,21,12
"AC",2007,12,22,7
"AC",2007,12,23,4
"AC",2007,12,24,7
"AC",2007,12,25,2
"AC",2007,12,26,7
"AC",2007,12,27,6
