Russian Federation, Period mean ages at birth by birth order and period mean ages at birth by birth order by age 40
Last modified: 24/05/2016
Year       MAB      MAB1      MAB2      MAB3      MAB4     MAB5p     MAB40   MAB40_1   MAB40_2   MAB40_3   MAB40_4  MAB40_5p
1959     28.19     24.44     27.94     30.55     32.74     36.73     27.51     24.34     27.76     30.14     31.95     34.53
1960     28.16     24.40     28.01     30.52     32.65     36.62     27.51     24.28     27.83     30.13     31.91     34.48
1961     27.76     24.12     27.88     30.35     32.42     36.34     27.17     24.02     27.70     29.98     31.72     34.23
1962     27.74     24.16     28.00     30.48     32.46     36.33     27.16     24.04     27.81     30.11     31.75     34.26
1963     27.55     24.01     27.94     30.48     32.43     36.26     26.99     23.90     27.75     30.09     31.72     34.22
1964     27.47     24.06     28.03     30.54     32.48     36.20     26.93     23.95     27.83     30.14     31.80     34.16
1965     27.47     24.03     28.12     30.59     32.55     36.15     26.95     23.92     27.93     30.18     31.86     34.19
1966     27.40     23.97     28.18     30.67     32.53     36.06     26.91     23.86     28.00     30.30     31.86     34.20
1967     27.28     23.95     28.12     30.72     32.42     35.99     26.82     23.84     27.95     30.33     31.76     34.19
1968     27.21     23.91     28.11     30.74     32.55     35.97     26.76     23.81     27.94     30.34     31.92     34.22
1969     27.06     23.75     28.20     30.84     32.59     36.00     26.66     23.65     28.05     30.44     31.92     34.33
1970     26.88     23.64     28.25     30.78     32.61     35.92     26.50     23.54     28.10     30.41     31.96     34.32
1971     26.77     23.52     28.25     30.90     32.60     35.91     26.42     23.43     28.11     30.52     31.93     34.38
1972     26.72     23.44     28.20     30.97     32.78     36.02     26.37     23.36     28.06     30.58     32.08     34.42
1973     26.63     23.40     28.08     30.97     32.81     35.99     26.29     23.32     27.94     30.58     32.12     34.37
1974     26.50     23.34     27.89     30.92     32.70     36.08     26.16     23.27     27.76     30.53     31.99     34.42
1975     26.38     23.29     27.77     30.78     32.70     36.00     26.05     23.22     27.64     30.39     32.01     34.33
1976     26.21     23.22     27.61     30.59     32.46     35.94     25.89     23.15     27.49     30.20     31.75     34.18
1977     26.10     23.18     27.54     30.41     32.35     35.83     25.80     23.12     27.42     30.03     31.61     34.11
1978     25.95     23.10     27.50     30.32     32.19     35.76     25.68     23.05     27.39     29.94     31.47     34.09
1979     25.80     23.03     27.42     30.15     32.02     35.61     25.54     22.98     27.31     29.77     31.31     33.97
1980     25.68     22.99     27.33     30.07     31.81     35.49     25.44     22.93     27.23     29.72     31.12     33.85
1981     25.74     23.01     27.31     30.02     31.74     35.29     25.52     22.96     27.21     29.68     31.06     33.72
1982     25.81     23.00     27.26     30.07     31.73     35.13     25.60     22.95     27.17     29.75     31.06     33.53
1983     25.91     22.96     27.28     30.12     31.66     34.91     25.72     22.91     27.20     29.84     31.07     33.38
1984     25.79     22.92     27.20     30.10     31.57     34.72     25.60     22.87     27.11     29.82     31.01     33.26
1985     25.78     22.91     27.13     30.04     31.54     34.57     25.59     22.86     27.04     29.77     30.99     33.22
1986     25.97     22.95     27.21     30.23     31.70     34.56     25.78     22.90     27.11     29.96     31.17     33.32
