pop,year,Q
AL,1941,0.40739960529525243
AL,1942,0.37740374133344956
AL,1943,0.3670840825876899
AL,1944,0.36006610284825513
AL,1945,0.35101048145836466
AL,1946,0.3357882697508364
AL,1947,0.3480272979313287
AL,1948,0.34269429941622453
AL,1949,0.338028918844098
AL,1950,0.3439447174838388
AL,1951,0.3401640215012641
AL,1952,0.32567936080133275
AL,1953,0.32071525892753405
AL,1954,0.29797127733608886
AL,1955,0.29327912937518386
AL,1956,0.29364862593495256
AL,1957,0.2970494837122247
AL,1958,0.30082904396253485
AL,1959,0.2928994704547365
AL,1960,0.29974763406940064
AL,1961,0.29211751383995976
AL,1962,0.2898682941151798
AL,1963,0.29347803226281366
AL,1964,0.29073136929634835
AL,1965,0.291937649477615
AL,1966,0.29159068519566533
AL,1967,0.2830212339073733
AL,1968,0.28822288149757647
AL,1969,0.28863888249932035
AL,1970,0.28382559774964833
AL,1971,0.280616703424743
AL,1972,0.28361728651568663
AL,1973,0.28353994061338483
AL,1974,0.2752848006136559
AL,1975,0.26416810509669353
AL,1976,0.25529099161505775
AL,1977,0.25404769521293613
AL,1978,0.2471579207512975
AL,1979,0.2424584908762124
AL,1980,0.23893878054293993
AL,1981,0.23598149967256055
AL,1982,0.22488219627125594
AL,1983,0.22464480203087256
AL,1984,0.22827966561275337
AL,1985,0.22317135549872125
AL,1986,0.2234272651789284
AL,1987,0.2190451824182572
AL,1988,0.22331546864132878
AL,1989,0.21649906813852993
AL,1990,0.21843314200354014
AL,1991,0.21986352522328056
AL,1992,0.2142849848347137
AL,1993,0.2178106545149887
AL,1994,0.2146826288586079
AL,1995,0.21610719063715933
AL,1996,0.21315308508357245
AL,1997,0.20676822056364452
AL,1998,0.20467508085992103
AL,1999,0.20547833363949952
AL,2000,0.20387855083977546
AL,2001,0.20380044603305536
AL,2002,0.20363299426744463
AL,2003,0.2080655004068348
AL,2004,0.2064491839309699
AL,2005,0.20921383295858054
AL,2006,0.20918019439214286
AL,2007,0.2040618955512572
AL,2008,0.20500615343931483
AL,2009,0.20342734157682074
AL,2010,0.2005625907609192
AL,2011,0.2026582458420486
AL,2012,0.20216797212317006
AL,2013,0.20537100752062842
AL,2014,0.20455560971646758
AL,2015,0.20954546377311756
AL,2016,0.2119533735098934
AL,2017,0.2111867398383056
AL,2018,0.21115077272542893
AL,2019,0.2055185440955437
AL,2020,0.24092402547357317
AL,2021,0.27349020564090054
AL,2022,0.23540504917367944
AK,1959,0.26082910321489006
AK,1960,0.28503284745365687
AK,1961,0.277319587628866
AK,1962,0.2799407689460045
AK,1963,0.27216690374585106
AK,1964,0.2968459915611814
AK,1965,0.27519981417545636
AK,1966,0.2620322546642775
AK,1967,0.2637116679914655
AK,1968,0.28509933084571926
AK,1969,0.2619886069394096
AK,1970,0.27880439321807404
AK,1971,0.2806860520783465
AK,1972,0.276000829703381
AK,1973,0.2558588679950575
AK,1974,0.2479194225421063
AK,1975,0.248775295066041
AK,1976,0.2462261611413662
AK,1977,0.22933236799917256
AK,1978,0.23248114388585972
AK,1979,0.2091436475494447
AK,1980,0.2306988318525831
AK,1981,0.2169743293914047
AK,1982,0.21072200428142696
AK,1983,0.2078450721598618
AK,1984,0.19194193938029092
AK,1985,0.19534845580623006
AK,1986,0.18738208514477894
AK,1987,0.18250674625889285
AK,1988,0.1752748265061721
AK,1989,0.17505271130580746
AK,1990,0.18597850869569665
AK,1991,0.1825291622481442
AK,1992,0.18274028796799902
AK,1993,0.17169541696437685
AK,1994,0.17164725999511443
AK,1995,0.1718730896197579
AK,1996,0.1673706172713857
AK,1997,0.15742658084522554
AK,1998,0.1579919801025329
AK,1999,0.1592600489374879
AK,2000,0.15872352569460013
AK,2001,0.16235598520887873
AK,2002,0.1726445124794712
AK,2003,0.15706662321526776
AK,2004,0.14890562964471143
AK,2005,0.15034979215248911
AK,2006,0.14479969105063106
AK,2007,0.15219886831171203
AK,2008,0.1479358379919442
AK,2009,0.1468953486013348
AK,2010,0.14885542534458684
AK,2011,0.15513440262130618
AK,2012,0.15243052046488126
AK,2013,0.1559932322219183
AK,2014,0.15622308900258342
AK,2015,0.16058416384192253
AK,2016,0.16559999188583363
AK,2017,0.16083980010563526
AK,2018,0.15728663078840954
AK,2019,0.15852494312642185
AK,2020,0.1810243407707911
AK,2021,0.21914999441720717
AK,2022,0.19801054674402296
AZ,1941,0.3644854357597338
AZ,1942,0.3696289626191961
AZ,1943,0.361452558849522
AZ,1944,0.37526404373806865
AZ,1945,0.35666178950777927
AZ,1946,0.3447179263776955
AZ,1947,0.334916268203751
AZ,1948,0.34048955563579864
AZ,1949,0.3167011206615167
AZ,1950,0.3050794370821588
AZ,1951,0.3129246532224803
AZ,1952,0.3083338721148251
AZ,1953,0.29711128344319504
AZ,1954,0.2679685841647209
AZ,1955,0.2665884169230932
AZ,1956,0.26347973435214134
