PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
USA,b,1960-1969,0,0.02446,0.02394,0.12,100000,2394,97884,7019610,70.20
USA,b,1960-1969,1,0.00155,0.00155,0.5,97606,152,97530,6921726,70.91
USA,b,1960-1969,2,0.00097,0.00097,0.5,97454,94,97407,6824196,70.02
USA,b,1960-1969,3,0.00074,0.00074,0.5,97360,72,97324,6726788,69.09
USA,b,1960-1969,4,0.00062,0.00062,0.5,97288,60,97258,6629464,68.14
USA,b,1960-1969,5,0.00055,0.00055,0.5,97228,53,97201,6532206,67.18
USA,b,1960-1969,6,0.00048,0.00048,0.5,97175,47,97151,6435004,66.22
USA,b,1960-1969,7,0.00044,0.00044,0.5,97128,42,97107,6337853,65.25
USA,b,1960-1969,8,0.00040,0.00040,0.5,97085,39,97066,6240747,64.28
USA,b,1960-1969,9,0.00037,0.00037,0.5,97047,36,97029,6143680,63.31
USA,b,1960-1969,10,0.00036,0.00036,0.5,97011,35,96994,6046651,62.33
USA,b,1960-1969,11,0.00037,0.00037,0.5,96977,36,96959,5949658,61.35
USA,b,1960-1969,12,0.00039,0.00039,0.5,96941,38,96922,5852699,60.37
USA,b,1960-1969,13,0.00045,0.00045,0.5,96903,43,96881,5755777,59.40
USA,b,1960-1969,14,0.00053,0.00053,0.5,96860,51,96834,5658896,58.42
USA,b,1960-1969,15,0.00065,0.00065,0.5,96808,63,96777,5562062,57.45
USA,b,1960-1969,16,0.00085,0.00084,0.5,96745,82,96704,5465285,56.49
USA,b,1960-1969,17,0.00101,0.00101,0.5,96664,98,96615,5368580,55.54
USA,b,1960-1969,18,0.00120,0.00120,0.5,96566,116,96508,5271966,54.59
USA,b,1960-1969,19,0.00126,0.00126,0.5,96450,122,96389,5175458,53.66
USA,b,1960-1969,20,0.00125,0.00125,0.5,96328,121,96268,5079069,52.73
USA,b,1960-1969,21,0.00133,0.00133,0.5,96208,128,96144,4982801,51.79
USA,b,1960-1969,22,0.00133,0.00133,0.5,96080,128,96016,4886657,50.86
USA,b,1960-1969,23,0.00130,0.00130,0.5,95952,125,95889,4790641,49.93
USA,b,1960-1969,24,0.00129,0.00129,0.5,95827,123,95765,4694752,48.99
USA,b,1960-1969,25,0.00132,0.00132,0.5,95703,126,95641,4598987,48.05
USA,b,1960-1969,26,0.00131,0.00131,0.5,95578,125,95515,4503347,47.12
USA,b,1960-1969,27,0.00133,0.00133,0.5,95452,127,95389,4407832,46.18
USA,b,1960-1969,28,0.00138,0.00138,0.5,95325,132,95259,4312443,45.24
USA,b,1960-1969,29,0.00141,0.00141,0.5,95193,134,95126,4217184,44.30
USA,b,1960-1969,30,0.00149,0.00149,0.5,95059,142,94988,4122057,43.36
USA,b,1960-1969,31,0.00155,0.00154,0.5,94917,147,94844,4027069,42.43
USA,b,1960-1969,32,0.00166,0.00166,0.5,94771,157,94692,3932225,41.49
USA,b,1960-1969,33,0.00176,0.00175,0.5,94614,166,94531,3837533,40.56
USA,b,1960-1969,34,0.00189,0.00189,0.5,94448,178,94359,3743002,39.63
USA,b,1960-1969,35,0.00205,0.00205,0.5,94270,193,94173,3648643,38.70
USA,b,1960-1969,36,0.00218,0.00218,0.5,94076,205,93974,3554470,37.78
USA,b,1960-1969,37,0.00237,0.00236,0.5,93872,222,93761,3460496,36.86
USA,b,1960-1969,38,0.00262,0.00261,0.5,93650,245,93528,3366735,35.95
USA,b,1960-1969,39,0.00284,0.00283,0.5,93405,265,93273,3273208,35.04
USA,b,1960-1969,40,0.00311,0.00310,0.5,93141,289,92996,3179935,34.14
USA,b,1960-1969,41,0.00331,0.00331,0.5,92852,307,92698,3086939,33.25
USA,b,1960-1969,42,0.00376,0.00375,0.5,92544,347,92371,2994241,32.35
USA,b,1960-1969,43,0.00405,0.00404,0.5,92197,372,92011,2901870,31.47
USA,b,1960-1969,44,0.00439,0.00438,0.5,91825,402,91624,2809859,30.60
USA,b,1960-1969,45,0.00486,0.00485,0.5,91423,443,91202,2718235,29.73
USA,b,1960-1969,46,0.00522,0.00521,0.5,90980,474,90743,2627033,28.87
USA,b,1960-1969,47,0.00582,0.00580,0.5,90506,525,90244,2536290,28.02
USA,b,1960-1969,48,0.00632,0.00630,0.5,89981,567,89697,2446047,27.18
USA,b,1960-1969,49,0.00693,0.00690,0.5,89414,617,89105,2356349,26.35
USA,b,1960-1969,50,0.00775,0.00772,0.5,88796,685,88454,2267244,25.53
USA,b,1960-1969,51,0.00826,0.00823,0.5,88111,725,87749,2178790,24.73
USA,b,1960-1969,52,0.00925,0.00921,0.5,87386,805,86984,2091042,23.93
USA,b,1960-1969,53,0.00995,0.00990,0.5,86581,857,86153,2004058,23.15
USA,b,1960-1969,54,0.01085,0.01079,0.5,85724,925,85262,1917905,22.37
USA,b,1960-1969,55,0.01165,0.01159,0.5,84800,983,84308,1832644,21.61
USA,b,1960-1969,56,0.01263,0.01256,0.5,83817,1052,83291,1748335,20.86
USA,b,1960-1969,57,0.01373,0.01363,0.5,82765,1128,82200,1665045,20.12
USA,b,1960-1969,58,0.01496,0.01485,0.5,81636,1212,81030,1582844,19.39
USA,b,1960-1969,59,0.01613,0.01600,0.5,80424,1287,79780,1501814,18.67
USA,b,1960-1969,60,0.01764,0.01748,0.5,79137,1384,78445,1422034,17.97
USA,b,1960-1969,61,0.01857,0.01840,0.5,77753,1431,77038,1343589,17.28
USA,b,1960-1969,62,0.02106,0.02084,0.5,76323,1590,75527,1266551,16.59
USA,b,1960-1969,63,0.02222,0.02198,0.5,74732,1642,73911,1191024,15.94
USA,b,1960-1969,64,0.02397,0.02368,0.5,73090,1731,72224,1117113,15.28
USA,b,1960-1969,65,0.02702,0.02666,0.5,71359,1903,70407,1044889,14.64
USA,b,1960-1969,66,0.02790,0.02751,0.5,69456,1911,68500,974481,14.03
USA,b,1960-1969,67,0.03104,0.03057,0.5,67545,2065,66513,905981,13.41
USA,b,1960-1969,68,0.03335,0.03280,0.5,65480,2148,64406,839468,12.82
USA,b,1960-1969,69,0.03548,0.03487,0.5,63332,2208,62228,775062,12.24
USA,b,1960-1969,70,0.03961,0.03884,0.5,61124,2374,59937,712834,11.66
USA,b,1960-1969,71,0.04101,0.04019,0.5,58750,2361,57570,652896,11.11
USA,b,1960-1969,72,0.04718,0.04609,0.5,56389,2599,55090,595327,10.56
USA,b,1960-1969,73,0.05014,0.04892,0.5,53790,2631,52475,540237,10.04
USA,b,1960-1969,74,0.05467,0.05321,0.5,51159,2722,49798,487762,9.53
USA,b,1960-1969,75,0.06037,0.05860,0.5,48437,2838,47018,437964,9.04
USA,b,1960-1969,76,0.06402,0.06203,0.5,45599,2829,44184,390947,8.57
USA,b,1960-1969,77,0.06843,0.06616,0.5,42770,2830,41355,346762,8.11
USA,b,1960-1969,78,0.07589,0.07312,0.5,39940,2920,38480,305407,7.65
USA,b,1960-1969,79,0.08225,0.07900,0.5,37020,2925,35558,266927,7.21
USA,b,1960-1969,80,0.09320,0.08905,0.5,34095,3036,32577,231370,6.79
USA,b,1960-1969,81,0.09673,0.09226,0.5,31059,2866,29626,198792,6.40
USA,b,1960-1969,82,0.10957,0.10388,0.5,28194,2929,26729,169166,6.00
USA,b,1960-1969,83,0.12133,0.11439,0.5,25265,2890,23820,142437,5.64
USA,b,1960-1969,84,0.13374,0.12536,0.5,22375,2805,20972,118617,5.30
USA,b,1960-1969,85,0.14580,0.13590,0.5,19570,2660,18240,97644,4.99
USA,b,1960-1969,86,0.15851,0.14687,0.5,16911,2484,15669,79404,4.70
USA,b,1960-1969,87,0.17380,0.15990,0.5,14427,2307,13273,63735,4.42
USA,b,1960-1969,88,0.18604,0.17021,0.5,12120,2063,11089,50462,4.16
USA,b,1960-1969,89,0.20327,0.18452,0.5,10057,1856,9129,39373,3.91
USA,b,1960-1969,90,0.22384,0.20131,0.5,8201,1651,7376,30244,3.69
USA,b,1960-1969,91,0.23181,0.20773,0.5,6550,1361,5870,22868,3.49
USA,b,1960-1969,92,0.25535,0.22644,0.5,5190,1175,4602,16998,3.28
USA,b,1960-1969,93,0.27569,0.24229,0.5,4015,973,3528,12396,3.09
USA,b,1960-1969,94,0.29530,0.25731,0.5,3042,783,2650,8868,2.92
USA,b,1960-1969,95,0.31746,0.27397,0.5,2259,619,1950,6217,2.75
USA,b,1960-1969,96,0.34005,0.29064,0.5,1640,477,1402,4268,2.60
USA,b,1960-1969,97,0.36344,0.30755,0.5,1163,358,985,2866,2.46
USA,b,1960-1969,98,0.38752,0.32462,0.5,806,262,675,1881,2.33
