USA: USA, Lifetables (period 1x1), Males Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.03060	0.02980	0.13	100000	2980	97399	6680542	66.81
1959	1	0.00184	0.00184	0.5	97020	179	96931	6583143	67.85
1959	2	0.00118	0.00118	0.5	96841	114	96784	6486212	66.98
1959	3	0.00086	0.00086	0.5	96727	84	96685	6389428	66.06
1959	4	0.00074	0.00074	0.5	96644	71	96608	6292743	65.11
1959	5	0.00067	0.00067	0.5	96572	65	96540	6196135	64.16
1959	6	0.00060	0.00060	0.5	96508	58	96479	6099595	63.20
1959	7	0.00055	0.00055	0.5	96449	53	96423	6003116	62.24
1959	8	0.00052	0.00052	0.5	96396	50	96371	5906693	61.28
1959	9	0.00051	0.00051	0.5	96346	49	96322	5810322	60.31
1959	10	0.00051	0.00051	0.5	96297	49	96273	5714001	59.34
1959	11	0.00051	0.00051	0.5	96248	49	96224	5617728	58.37
1959	12	0.00058	0.00058	0.5	96199	56	96171	5521504	57.40
1959	13	0.00060	0.00060	0.5	96143	57	96114	5425334	56.43
1959	14	0.00074	0.00074	0.5	96085	71	96050	5329220	55.46
1959	15	0.00092	0.00092	0.5	96014	89	95970	5233170	54.50
1959	16	0.00118	0.00118	0.5	95925	113	95869	5137200	53.55
1959	17	0.00139	0.00139	0.5	95813	133	95746	5041331	52.62
1959	18	0.00161	0.00160	0.5	95680	154	95603	4945585	51.69
1959	19	0.00168	0.00168	0.5	95526	161	95446	4849982	50.77
1959	20	0.00181	0.00181	0.5	95365	173	95279	4754536	49.86
1959	21	0.00195	0.00195	0.5	95193	185	95100	4659257	48.95
1959	22	0.00185	0.00185	0.5	95007	176	94920	4564157	48.04
1959	23	0.00173	0.00173	0.5	94832	164	94750	4469238	47.13
1959	24	0.00167	0.00167	0.5	94667	158	94589	4374488	46.21
1959	25	0.00172	0.00172	0.5	94510	162	94428	4279900	45.29
1959	26	0.00171	0.00171	0.5	94347	161	94267	4185471	44.36
1959	27	0.00170	0.00170	0.5	94186	160	94106	4091205	43.44
1959	28	0.00169	0.00168	0.5	94026	158	93947	3997099	42.51
1959	29	0.00171	0.00170	0.5	93867	160	93787	3903152	41.58
1959	30	0.00186	0.00186	0.5	93708	174	93621	3809365	40.65
1959	31	0.00191	0.00191	0.5	93534	178	93445	3715744	39.73
1959	32	0.00202	0.00202	0.5	93355	188	93261	3622299	38.80
1959	33	0.00212	0.00212	0.5	93167	197	93069	3529038	37.88
1959	34	0.00228	0.00227	0.5	92970	211	92864	3435970	36.96
1959	35	0.00242	0.00242	0.5	92758	224	92646	3343106	36.04
1959	36	0.00260	0.00260	0.5	92534	240	92414	3250459	35.13
1959	37	0.00281	0.00281	0.5	92294	259	92165	3158045	34.22
1959	38	0.00309	0.00309	0.5	92035	284	91893	3065880	33.31
1959	39	0.00335	0.00335	0.5	91751	307	91597	2973987	32.41
1959	40	0.00374	0.00374	0.5	91444	342	91273	2882390	31.52
1959	41	0.00382	0.00381	0.5	91102	347	90928	2791117	30.64
1959	42	0.00465	0.00464	0.5	90755	421	90544	2700189	29.75
1959	43	0.00503	0.00502	0.5	90334	454	90107	2609645	28.89
1959	44	0.00555	0.00553	0.5	89880	497	89631	2519538	28.03
1959	45	0.00610	0.00608	0.5	89383	544	89111	2429906	27.19
1959	46	0.00663	0.00660	0.5	88839	587	88546	2340796	26.35
1959	47	0.00752	0.00750	0.5	88252	662	87921	2252250	25.52
1959	48	0.00835	0.00832	0.5	87591	729	87226	2164329	24.71
1959	49	0.00919	0.00915	0.5	86862	795	86465	2077102	23.91
1959	50	0.01015	0.01010	0.5	86067	869	85632	1990638	23.13
1959	51	0.01098	0.01092	0.5	85198	930	84732	1905005	22.36
1959	52	0.01244	0.01236	0.5	84267	1042	83746	1820273	21.60
1959	53	0.01341	0.01332	0.5	83225	1109	82671	1736527	20.87
1959	54	0.01438	0.01427	0.5	82117	1172	81531	1653855	20.14
1959	55	0.01574	0.01562	0.5	80945	1264	80313	1572324	19.42
1959	56	0.01696	0.01681	0.5	79681	1340	79011	1492012	18.72
1959	57	0.01761	0.01746	0.5	78341	1368	77657	1413001	18.04
1959	58	0.02006	0.01986	0.5	76974	1529	76209	1335343	17.35
1959	59	0.02179	0.02155	0.5	75445	1626	74632	1259134	16.69
1959	60	0.02361	0.02333	0.5	73819	1722	72958	1184502	16.05
1959	61	0.02507	0.02476	0.5	72097	1785	71204	1111544	15.42
1959	62	0.02824	0.02784	0.5	70312	1958	69333	1040340	14.80
1959	63	0.03017	0.02972	0.5	68354	2032	67338	971007	14.21
1959	64	0.03130	0.03082	0.5	66322	2044	65300	903669	13.63
1959	65	0.03539	0.03477	0.5	64278	2235	63161	838369	13.04
1959	66	0.03699	0.03632	0.5	62043	2253	60917	775208	12.49
1959	67	0.04140	0.04056	0.5	59790	2425	58577	714291	11.95
1959	68	0.04373	0.04280	0.5	57365	2455	56138	655714	11.43
1959	69	0.04662	0.04555	0.5	54910	2501	53659	599576	10.92
1959	70	0.05057	0.04932	0.5	52409	2585	51116	545917	10.42
1959	71	0.05219	0.05086	0.5	49824	2534	48557	494801	9.93
1959	72	0.05853	0.05686	0.5	47290	2689	45945	446244	9.44
1959	73	0.06196	0.06010	0.5	44601	2680	43260	400299	8.98
1959	74	0.06749	0.06529	0.5	41920	2737	40552	357039	8.52
1959	75	0.07363	0.07102	0.5	39183	2783	37792	316487	8.08
1959	76	0.07809	0.07516	0.5	36401	2736	35033	278695	7.66
1959	77	0.08318	0.07986	0.5	33665	2688	32321	243662	7.24
1959	78	0.09361	0.08942	0.5	30976	2770	29591	211341	6.82
1959	79	0.10368	0.09857	0.5	28206	2780	26816	181750	6.44
1959	80	0.11237	0.10639	0.5	25426	2705	24074	154934	6.09
1959	81	0.11695	0.11049	0.5	22721	2510	21466	130860	5.76
1959	82	0.13094	0.12289	0.5	20211	2484	18969	109394	5.41
1959	83	0.14265	0.13315	0.5	17727	2360	16547	90425	5.10
1959	84	0.15634	0.14501	0.5	15367	2228	14252	73879	4.81
1959	85	0.16722	0.15431	0.5	13138	2027	12125	59626	4.54
1959	86	0.18413	0.16861	0.5	11111	1873	10174	47502	4.28
1959	87	0.19947	0.18138	0.5	9237	1675	8400	37328	4.04
1959	88	0.21180	0.19152	0.5	7562	1448	6838	28928	3.83
1959	89	0.23389	0.20940	0.5	6114	1280	5474	22090	3.61
1959	90	0.24854	0.22107	0.5	4834	1069	4299	16616	3.44
1959	91	0.25409	0.22545	0.5	3765	849	3341	12317	3.27
1959	92	0.27703	0.24333	0.5	2916	710	2561	8976	3.08
1959	93	0.30429	0.26411	0.5	2207	583	1915	6415	2.91
1959	94	0.32027	0.27606	0.5	1624	448	1400	4500	2.77
1959	95	0.33812	0.28922	0.5	1176	340	1006	3100	2.64
1959	96	0.35933	0.30460	0.5	836	255	708	2095	2.51
1959	97	0.38110	0.32011	0.5	581	186	488	1386	2.39
1959	98	0.40337	0.33567	0.5	395	133	329	898	2.27
1959	99	0.42604	0.35122	0.5	262	92	216	569	2.17
1959	100	0.44902	0.36670	0.5	170	62	139	353	2.07
1959	101	0.47223	0.38203	0.5	108	41	87	214	1.99
1959	102	0.49555	0.39715	0.5	67	26	53	127	1.90
1959	103	0.51890	0.41200	0.5	40	17	32	73	1.83
1959	104	0.54216	0.42653	0.5	24	10	19	42	1.76
1959	105	0.56524	0.44069	0.5	14	6	11	23	1.70
1959	106	0.58804	0.45443	0.5	8	3	6	12	1.64
1959	107	0.61047	0.46771	0.5	4	2	3	7	1.59
1959	108	0.63244	0.48050	0.5	2	1	2	3	1.54
1959	109	0.65387	0.49277	0.5	1	1	1	2	1.51
1959	110+	0.67470	1.00000	1.48	1	1	1	1	1.48
1960	0	0.03027	0.02949	0.13	100000	2949	97423	6664412	66.64
1960	1	0.00189	0.00188	0.5	97051	183	96960	6566989	67.67
1960	2	0.00117	0.00117	0.5	96868	114	96812	6470029	66.79
1960	3	0.00094	0.00094	0.5	96755	91	96709	6373217	65.87
1960	4	0.00076	0.00076	0.5	96664	73	96628	6276508	64.93
1960	5	0.00063	0.00063	0.5	96591	61	96560	6179880	63.98
1960	6	0.00061	0.00061	0.5	96530	59	96501	6083320	63.02
1960	7	0.00056	0.00056	0.5	96471	54	96444	5986819	62.06
1960	8	0.00052	0.00052	0.5	96418	50	96393	5890375	61.09
1960	9	0.00047	0.00047	0.5	96367	45	96345	5793982	60.12
1960	10	0.00046	0.00046	0.5	96322	45	96300	5697637	59.15
1960	11	0.00049	0.00049	0.5	96278	47	96254	5601337	58.18
1960	12	0.00050	0.00050	0.5	96230	48	96206	5505083	57.21
1960	13	0.00062	0.00062	0.5	96182	60	96153	5408877	56.24
1960	14	0.00067	0.00067	0.5	96123	64	96091	5312724	55.27
1960	15	0.00084	0.00083	0.5	96059	80	96019	5216633	54.31
1960	16	0.00109	0.00109	0.5	95978	104	95926	5120615	53.35
1960	17	0.00133	0.00133	0.5	95874	127	95810	5024688	52.41
1960	18	0.00156	0.00156	0.5	95747	149	95672	4928878	51.48
1960	19	0.00174	0.00174	0.5	95598	166	95514	4833206	50.56
1960	20	0.00184	0.00183	0.5	95431	175	95344	4737691	49.65
1960	21	0.00186	0.00186	0.5	95256	177	95168	4642348	48.74
1960	22	0.00181	0.00180	0.5	95079	172	94993	4547180	47.83
1960	23	0.00169	0.00169	0.5	94907	160	94827	4452187	46.91
1960	24	0.00173	0.00173	0.5	94747	164	94665	4357360	45.99
