USA: USA, Lifetables (period 1x1), Both sexes Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.04916	0.04726	0.18	100000	4726	96145	6396415	63.96
1941	1	0.00557	0.00556	0.5	95274	529	95009	6300270	66.13
1941	2	0.00279	0.00279	0.5	94744	264	94612	6205261	65.49
1941	3	0.00183	0.00183	0.5	94480	173	94394	6110649	64.68
1941	4	0.00140	0.00140	0.5	94308	132	94242	6016255	63.79
1941	5	0.00120	0.00120	0.5	94176	113	94120	5922013	62.88
1941	6	0.00109	0.00109	0.5	94063	103	94012	5827893	61.96
1941	7	0.00102	0.00102	0.5	93961	96	93913	5733881	61.02
1941	8	0.00095	0.00095	0.5	93865	89	93820	5639969	60.09
1941	9	0.00087	0.00087	0.5	93776	82	93735	5546148	59.14
1941	10	0.00083	0.00083	0.5	93694	78	93655	5452413	58.19
1941	11	0.00084	0.00084	0.5	93617	79	93577	5358758	57.24
1941	12	0.00091	0.00091	0.5	93538	85	93495	5265181	56.29
1941	13	0.00101	0.00101	0.5	93452	94	93405	5171686	55.34
1941	14	0.00116	0.00116	0.5	93358	108	93304	5078281	54.40
1941	15	0.00137	0.00137	0.5	93250	128	93186	4984977	53.46
1941	16	0.00155	0.00155	0.5	93122	144	93050	4891791	52.53
1941	17	0.00170	0.00170	0.5	92978	158	92899	4798741	51.61
1941	18	0.00186	0.00186	0.5	92820	172	92733	4705842	50.70
1941	19	0.00195	0.00195	0.5	92647	181	92557	4613109	49.79
1941	20	0.00207	0.00207	0.5	92467	191	92371	4520552	48.89
1941	21	0.00223	0.00223	0.5	92275	206	92172	4428181	47.99
1941	22	0.00234	0.00233	0.5	92069	215	91962	4336008	47.09
1941	23	0.00244	0.00244	0.5	91855	224	91743	4244046	46.20
1941	24	0.00250	0.00250	0.5	91631	229	91516	4152304	45.32
1941	25	0.00253	0.00253	0.5	91402	231	91286	4060788	44.43
1941	26	0.00254	0.00253	0.5	91171	231	91055	3969501	43.54
1941	27	0.00260	0.00260	0.5	90940	236	90822	3878446	42.65
1941	28	0.00271	0.00271	0.5	90704	246	90581	3787624	41.76
1941	29	0.00278	0.00278	0.5	90458	251	90332	3697044	40.87
1941	30	0.00286	0.00286	0.5	90206	258	90077	3606712	39.98
1941	31	0.00293	0.00293	0.5	89948	264	89816	3516635	39.10
1941	32	0.00318	0.00318	0.5	89685	285	89542	3426818	38.21
1941	33	0.00339	0.00339	0.5	89400	303	89248	3337276	37.33
1941	34	0.00354	0.00353	0.5	89097	315	88939	3248028	36.46
1941	35	0.00379	0.00379	0.5	88782	336	88614	3159088	35.58
1941	36	0.00387	0.00386	0.5	88446	341	88275	3070474	34.72
1941	37	0.00418	0.00417	0.5	88105	367	87921	2982199	33.85
1941	38	0.00466	0.00465	0.5	87738	408	87534	2894278	32.99
1941	39	0.00482	0.00481	0.5	87330	420	87120	2806744	32.14
1941	40	0.00484	0.00483	0.5	86910	420	86700	2719624	31.29
1941	41	0.00502	0.00501	0.5	86490	433	86273	2632924	30.44
1941	42	0.00595	0.00594	0.5	86056	511	85801	2546651	29.59
1941	43	0.00658	0.00656	0.5	85545	561	85265	2460851	28.77
1941	44	0.00684	0.00682	0.5	84985	579	84695	2375586	27.95
1941	45	0.00759	0.00756	0.5	84405	638	84086	2290891	27.14
1941	46	0.00778	0.00775	0.5	83767	649	83442	2206805	26.34
1941	47	0.00847	0.00843	0.5	83118	701	82767	2123363	25.55
1941	48	0.00938	0.00934	0.5	82417	770	82032	2040596	24.76
1941	49	0.00981	0.00976	0.5	81647	797	81248	1958564	23.99
1941	50	0.01046	0.01040	0.5	80850	841	80429	1877316	23.22
1941	51	0.01095	0.01089	0.5	80008	871	79573	1796887	22.46
1941	52	0.01251	0.01243	0.5	79137	984	78645	1717314	21.70
1941	53	0.01382	0.01373	0.5	78154	1073	77617	1638668	20.97
1941	54	0.01443	0.01432	0.5	77081	1104	76529	1561051	20.25
1941	55	0.01566	0.01554	0.5	75977	1181	75386	1484523	19.54
1941	56	0.01624	0.01610	0.5	74796	1205	74194	1409136	18.84
1941	57	0.01762	0.01747	0.5	73592	1285	72949	1334942	18.14
1941	58	0.01964	0.01945	0.5	72306	1406	71603	1261993	17.45
1941	59	0.02053	0.02032	0.5	70900	1441	70180	1190390	16.79
1941	60	0.02151	0.02128	0.5	69459	1478	68720	1120211	16.13
1941	61	0.02264	0.02239	0.5	67981	1522	67220	1051490	15.47
1941	62	0.02659	0.02624	0.5	66459	1744	65587	984270	14.81
1941	63	0.03014	0.02969	0.5	64715	1922	63755	918683	14.20
1941	64	0.03034	0.02988	0.5	62794	1877	61856	854928	13.61
1941	65	0.03201	0.03150	0.5	60917	1919	59958	793072	13.02
1941	66	0.03258	0.03206	0.5	58998	1892	58053	733114	12.43
1941	67	0.03753	0.03684	0.5	57107	2104	56055	675062	11.82
1941	68	0.04393	0.04298	0.5	55003	2364	53821	619007	11.25
1941	69	0.04604	0.04500	0.5	52639	2369	51455	565186	10.74
1941	70	0.04922	0.04804	0.5	50270	2415	49063	513731	10.22
1941	71	0.05149	0.05020	0.5	47855	2402	46654	464668	9.71
1941	72	0.05971	0.05798	0.5	45453	2635	44136	418014	9.20
1941	73	0.06712	0.06494	0.5	42818	2781	41428	373878	8.73
1941	74	0.06892	0.06662	0.5	40037	2667	38704	332451	8.30
1941	75	0.07504	0.07233	0.5	37370	2703	36019	293747	7.86
1941	76	0.07774	0.07483	0.5	34667	2594	33370	257729	7.43
1941	77	0.08706	0.08342	0.5	32073	2676	30735	224359	7.00
1941	78	0.10722	0.10177	0.5	29397	2992	27901	193624	6.59
1941	79	0.11167	0.10576	0.5	26405	2793	25009	165722	6.28
