PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
USA,b,1941-1949,0,0.03848,0.03727,0.15,100000,3727,96851,6607176,66.07
USA,b,1941-1949,1,0.00342,0.00341,0.5,96273,329,96109,6510325,67.62
USA,b,1941-1949,2,0.00195,0.00194,0.5,95945,186,95851,6414216,66.85
USA,b,1941-1949,3,0.00147,0.00146,0.5,95758,140,95688,6318365,65.98
USA,b,1941-1949,4,0.00118,0.00118,0.5,95618,113,95562,6222677,65.08
USA,b,1941-1949,5,0.00102,0.00102,0.5,95505,97,95457,6127115,64.15
USA,b,1941-1949,6,0.00092,0.00092,0.5,95408,88,95364,6031658,63.22
USA,b,1941-1949,7,0.00085,0.00084,0.5,95320,81,95280,5936294,62.28
USA,b,1941-1949,8,0.00079,0.00079,0.5,95240,75,95202,5841014,61.33
USA,b,1941-1949,9,0.00074,0.00074,0.5,95165,70,95130,5745812,60.38
USA,b,1941-1949,10,0.00072,0.00071,0.5,95095,68,95061,5650682,59.42
USA,b,1941-1949,11,0.00073,0.00073,0.5,95027,69,94992,5555621,58.46
USA,b,1941-1949,12,0.00078,0.00078,0.5,94958,74,94921,5460629,57.51
USA,b,1941-1949,13,0.00087,0.00086,0.5,94884,82,94843,5365708,56.55
USA,b,1941-1949,14,0.00099,0.00099,0.5,94802,93,94755,5270866,55.60
USA,b,1941-1949,15,0.00113,0.00113,0.5,94708,107,94655,5176110,54.65
USA,b,1941-1949,16,0.00128,0.00128,0.5,94601,121,94541,5081456,53.71
USA,b,1941-1949,17,0.00142,0.00141,0.5,94480,134,94413,4986915,52.78
USA,b,1941-1949,18,0.00155,0.00155,0.5,94346,146,94273,4892502,51.86
USA,b,1941-1949,19,0.00167,0.00167,0.5,94200,158,94122,4798229,50.94
USA,b,1941-1949,20,0.00179,0.00179,0.5,94043,168,93959,4704107,50.02
USA,b,1941-1949,21,0.00189,0.00189,0.5,93875,177,93786,4610148,49.11
USA,b,1941-1949,22,0.00196,0.00196,0.5,93698,183,93606,4516362,48.20
USA,b,1941-1949,23,0.00200,0.00200,0.5,93514,187,93421,4422756,47.30
USA,b,1941-1949,24,0.00202,0.00202,0.5,93327,188,93233,4329335,46.39
USA,b,1941-1949,25,0.00202,0.00202,0.5,93139,188,93045,4236103,45.48
USA,b,1941-1949,26,0.00203,0.00203,0.5,92950,189,92856,4143058,44.57
USA,b,1941-1949,27,0.00207,0.00206,0.5,92762,191,92666,4050202,43.66
USA,b,1941-1949,28,0.00213,0.00212,0.5,92570,197,92472,3957536,42.75
USA,b,1941-1949,29,0.00221,0.00221,0.5,92374,204,92272,3865064,41.84
USA,b,1941-1949,30,0.00231,0.00231,0.5,92170,213,92063,3772792,40.93
USA,b,1941-1949,31,0.00242,0.00242,0.5,91957,223,91846,3680729,40.03
USA,b,1941-1949,32,0.00255,0.00255,0.5,91734,234,91618,3588883,39.12
