USA: USA, Lifetables (period 1x5), Both sexes Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1944	0	0.04360	0.04208	0.17	100000	4208	96503	6480173	64.80
1941-1944	1	0.00450	0.00449	0.5	95792	430	95577	6383669	66.64
1941-1944	2	0.00245	0.00245	0.5	95362	233	95246	6288092	65.94
1941-1944	3	0.00180	0.00180	0.5	95129	171	95044	6192846	65.10
1941-1944	4	0.00141	0.00141	0.5	94958	133	94891	6097802	64.22
1941-1944	5	0.00118	0.00118	0.5	94825	112	94769	6002911	63.31
1941-1944	6	0.00105	0.00105	0.5	94713	99	94663	5908142	62.38
1941-1944	7	0.00096	0.00096	0.5	94613	91	94568	5813479	61.44
1941-1944	8	0.00089	0.00089	0.5	94523	84	94480	5718911	60.50
1941-1944	9	0.00084	0.00084	0.5	94438	79	94399	5624431	59.56
1941-1944	10	0.00081	0.00081	0.5	94359	77	94321	5530032	58.61
1941-1944	11	0.00082	0.00082	0.5	94282	77	94243	5435712	57.65
1941-1944	12	0.00087	0.00087	0.5	94205	82	94164	5341469	56.70
1941-1944	13	0.00097	0.00097	0.5	94122	91	94077	5247305	55.75
1941-1944	14	0.00110	0.00110	0.5	94031	103	93980	5153228	54.80
1941-1944	15	0.00127	0.00126	0.5	93928	119	93869	5059248	53.86
1941-1944	16	0.00143	0.00143	0.5	93809	134	93742	4965380	52.93
1941-1944	17	0.00159	0.00158	0.5	93675	148	93601	4871637	52.01
1941-1944	18	0.00174	0.00174	0.5	93527	163	93446	4778036	51.09
1941-1944	19	0.00188	0.00188	0.5	93364	175	93277	4684591	50.18
1941-1944	20	0.00202	0.00201	0.5	93189	188	93095	4591314	49.27
1941-1944	21	0.00214	0.00214	0.5	93001	199	92902	4498219	48.37
1941-1944	22	0.00223	0.00223	0.5	92802	207	92699	4405317	47.47
1941-1944	23	0.00231	0.00231	0.5	92595	213	92489	4312618	46.57
1941-1944	24	0.00235	0.00235	0.5	92382	217	92273	4220129	45.68
1941-1944	25	0.00235	0.00235	0.5	92165	216	92057	4127856	44.79
1941-1944	26	0.00235	0.00235	0.5	91949	216	91841	4035799	43.89
1941-1944	27	0.00237	0.00237	0.5	91733	217	91624	3943958	42.99
1941-1944	28	0.00242	0.00242	0.5	91516	222	91405	3852334	42.09
1941-1944	29	0.00251	0.00250	0.5	91294	229	91180	3760929	41.20
1941-1944	30	0.00263	0.00262	0.5	91066	239	90946	3669749	40.30
1941-1944	31	0.00275	0.00274	0.5	90827	249	90702	3578802	39.40
1941-1944	32	0.00289	0.00289	0.5	90578	262	90447	3488100	38.51
1941-1944	33	0.00307	0.00307	0.5	90316	277	90177	3397653	37.62
1941-1944	34	0.00328	0.00327	0.5	90039	295	89891	3307476	36.73
1941-1944	35	0.00353	0.00353	0.5	89744	317	89586	3217584	35.85
1941-1944	36	0.00375	0.00374	0.5	89428	335	89260	3127998	34.98
1941-1944	37	0.00400	0.00399	0.5	89093	356	88915	3038738	34.11
1941-1944	38	0.00434	0.00433	0.5	88737	384	88545	2949823	33.24
1941-1944	39	0.00464	0.00463	0.5	88353	409	88149	2861278	32.38
1941-1944	40	0.00493	0.00492	0.5	87944	432	87728	2773129	31.53
1941-1944	41	0.00517	0.00516	0.5	87512	451	87286	2685401	30.69
1941-1944	42	0.00550	0.00549	0.5	87061	478	86822	2598115	29.84
1941-1944	43	0.00594	0.00592	0.5	86583	512	86327	2511293	29.00
1941-1944	44	0.00647	0.00644	0.5	86071	555	85793	2424966	28.17
1941-1944	45	0.00718	0.00715	0.5	85516	612	85210	2339172	27.35
1941-1944	46	0.00769	0.00766	0.5	84904	650	84579	2253962	26.55
1941-1944	47	0.00821	0.00818	0.5	84254	689	83909	2169383	25.75
1941-1944	48	0.00894	0.00890	0.5	83565	744	83193	2085473	24.96
1941-1944	49	0.00964	0.00960	0.5	82821	795	82423	2002281	24.18
1941-1944	50	0.01048	0.01043	0.5	82026	855	81598	1919857	23.41
1941-1944	51	0.01122	0.01115	0.5	81171	905	80718	1838259	22.65
1941-1944	52	0.01207	0.01200	0.5	80266	963	79784	1757540	21.90
1941-1944	53	0.01311	0.01303	0.5	79303	1033	78786	1677756	21.16
1941-1944	54	0.01416	0.01406	0.5	78270	1100	77719	1598970	20.43
1941-1944	55	0.01543	0.01531	0.5	77169	1182	76578	1521251	19.71
1941-1944	56	0.01643	0.01630	0.5	75987	1238	75368	1444673	19.01
1941-1944	57	0.01739	0.01724	0.5	74749	1289	74105	1369304	18.32
1941-1944	58	0.01869	0.01852	0.5	73460	1360	72780	1295200	17.63
1941-1944	59	0.01998	0.01978	0.5	72100	1426	71387	1222419	16.95
1941-1944	60	0.02158	0.02135	0.5	70674	1509	69920	1151032	16.29
1941-1944	61	0.02318	0.02291	0.5	69165	1585	68373	1081113	15.63
1941-1944	62	0.02513	0.02482	0.5	67581	1677	66742	1012740	14.99
1941-1944	63	0.02778	0.02740	0.5	65903	1805	65001	945998	14.35
1941-1944	64	0.03034	0.02989	0.5	64098	1916	63140	880997	13.74
1941-1944	65	0.03311	0.03257	0.5	62182	2026	61170	817857	13.15
1941-1944	66	0.03481	0.03422	0.5	60157	2058	59128	756688	12.58
1941-1944	67	0.03687	0.03620	0.5	58098	2103	57047	697560	12.01
1941-1944	68	0.04046	0.03966	0.5	55995	2221	54885	640513	11.44
1941-1944	69	0.04434	0.04338	0.5	53775	2333	52608	585628	10.89
1941-1944	70	0.04923	0.04805	0.5	51442	2472	50206	533020	10.36
1941-1944	71	0.05330	0.05192	0.5	48970	2542	47699	482814	9.86
