USA: USA, Lifetables (period 1x10), Males Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1949	0	0.04312	0.04161	0.16	100000	4161	96508	6372802	63.73
1941-1949	1	0.00362	0.00361	0.5	95839	346	95666	6276294	65.49
1941-1949	2	0.00212	0.00212	0.5	95492	202	95391	6180629	64.72
1941-1949	3	0.00160	0.00160	0.5	95290	152	95214	6085238	63.86
1941-1949	4	0.00129	0.00129	0.5	95138	123	95076	5990024	62.96
1941-1949	5	0.00113	0.00113	0.5	95015	108	94961	5894947	62.04
1941-1949	6	0.00105	0.00105	0.5	94907	99	94858	5799986	61.11
1941-1949	7	0.00098	0.00098	0.5	94808	93	94761	5705128	60.18
1941-1949	8	0.00093	0.00093	0.5	94715	88	94671	5610367	59.23
1941-1949	9	0.00089	0.00089	0.5	94627	84	94585	5515696	58.29
1941-1949	10	0.00086	0.00086	0.5	94543	81	94502	5421112	57.34
1941-1949	11	0.00088	0.00088	0.5	94461	83	94420	5326609	56.39
1941-1949	12	0.00094	0.00094	0.5	94379	89	94334	5232189	55.44
1941-1949	13	0.00104	0.00104	0.5	94290	98	94241	5137855	54.49
1941-1949	14	0.00119	0.00119	0.5	94192	112	94136	5043614	53.55
1941-1949	15	0.00137	0.00137	0.5	94080	129	94016	4949478	52.61
1941-1949	16	0.00155	0.00154	0.5	93951	145	93879	4855462	51.68
1941-1949	17	0.00171	0.00171	0.5	93806	161	93726	4761583	50.76
1941-1949	18	0.00188	0.00188	0.5	93646	176	93558	4667858	49.85
1941-1949	19	0.00204	0.00204	0.5	93470	190	93375	4574300	48.94
1941-1949	20	0.00218	0.00218	0.5	93279	203	93178	4480925	48.04
1941-1949	21	0.00230	0.00230	0.5	93076	214	92969	4387748	47.14
1941-1949	22	0.00238	0.00238	0.5	92862	221	92751	4294779	46.25
1941-1949	23	0.00242	0.00242	0.5	92641	224	92529	4202028	45.36
1941-1949	24	0.00241	0.00241	0.5	92417	223	92306	4109499	44.47
1941-1949	25	0.00238	0.00238	0.5	92194	219	92085	4017193	43.57
1941-1949	26	0.00236	0.00236	0.5	91975	217	91866	3925108	42.68
1941-1949	27	0.00237	0.00237	0.5	91758	218	91649	3833242	41.78
1941-1949	28	0.00242	0.00242	0.5	91540	222	91429	3741593	40.87
1941-1949	29	0.00250	0.00250	0.5	91319	228	91204	3650164	39.97
1941-1949	30	0.00261	0.00261	0.5	91090	238	90971	3558959	39.07
1941-1949	31	0.00273	0.00273	0.5	90852	248	90729	3467988	38.17
1941-1949	32	0.00288	0.00287	0.5	90605	260	90474	3377260	37.27
1941-1949	33	0.00305	0.00305	0.5	90344	275	90206	3286785	36.38
1941-1949	34	0.00325	0.00325	0.5	90069	293	89922	3196579	35.49
1941-1949	35	0.00350	0.00350	0.5	89776	314	89619	3106656	34.60
1941-1949	36	0.00377	0.00376	0.5	89462	336	89294	3017037	33.72
1941-1949	37	0.00406	0.00405	0.5	89126	361	88945	2927743	32.85
1941-1949	38	0.00442	0.00441	0.5	88764	391	88569	2838798	31.98
1941-1949	39	0.00481	0.00479	0.5	88373	424	88161	2750229	31.12
1941-1949	40	0.00521	0.00519	0.5	87950	457	87721	2662068	30.27
1941-1949	41	0.00561	0.00559	0.5	87493	489	87248	2574347	29.42
1941-1949	42	0.00610	0.00608	0.5	87004	529	86739	2487098	28.59
1941-1949	43	0.00666	0.00664	0.5	86475	574	86188	2400359	27.76
1941-1949	44	0.00721	0.00718	0.5	85901	617	85592	2314171	26.94
1941-1949	45	0.00785	0.00782	0.5	85284	667	84950	2228579	26.13
1941-1949	46	0.00851	0.00847	0.5	84617	717	84258	2143629	25.33
1941-1949	47	0.00922	0.00918	0.5	83900	770	83515	2059370	24.55
1941-1949	48	0.01007	0.01002	0.5	83130	833	82713	1975856	23.77
1941-1949	49	0.01107	0.01101	0.5	82297	906	81844	1893142	23.00
1941-1949	50	0.01221	0.01214	0.5	81391	988	80897	1811298	22.25
1941-1949	51	0.01321	0.01312	0.5	80403	1055	79876	1730401	21.52
1941-1949	52	0.01425	0.01415	0.5	79348	1123	78787	1650525	20.80
1941-1949	53	0.01541	0.01529	0.5	78225	1196	77627	1571738	20.09
1941-1949	54	0.01658	0.01645	0.5	77029	1267	76396	1494111	19.40
1941-1949	55	0.01789	0.01773	0.5	75762	1344	75091	1417715	18.71
1941-1949	56	0.01919	0.01901	0.5	74419	1415	73712	1342624	18.04
1941-1949	57	0.02058	0.02037	0.5	73004	1487	72261	1268913	17.38
1941-1949	58	0.02213	0.02189	0.5	71517	1565	70734	1196652	16.73
1941-1949	59	0.02376	0.02348	0.5	69952	1642	69131	1125918	16.10
1941-1949	60	0.02552	0.02519	0.5	68309	1721	67449	1056787	15.47
1941-1949	61	0.02723	0.02686	0.5	66588	1789	65694	989338	14.86
1941-1949	62	0.02924	0.02882	0.5	64799	1867	63866	923645	14.25
1941-1949	63	0.03163	0.03114	0.5	62932	1959	61952	859779	13.66
1941-1949	64	0.03409	0.03352	0.5	60973	2044	59951	797826	13.08
1941-1949	65	0.03703	0.03636	0.5	58929	2142	57858	737875	12.52
1941-1949	66	0.03988	0.03910	0.5	56786	2220	55676	680018	11.98
1941-1949	67	0.04285	0.04195	0.5	54566	2289	53422	624342	11.44
1941-1949	68	0.04640	0.04535	0.5	52277	2371	51092	570920	10.92
1941-1949	69	0.05005	0.04883	0.5	49906	2437	48688	519828	10.42
1941-1949	70	0.05405	0.05263	0.5	47470	2498	46221	471140	9.93
1941-1949	71	0.05780	0.05618	0.5	44972	2526	43708	424920	9.45
1941-1949	72	0.06222	0.06035	0.5	42445	2561	41164	381211	8.98
1941-1949	73	0.06766	0.06544	0.5	39884	2610	38579	340047	8.53
1941-1949	74	0.07328	0.07069	0.5	37274	2635	35956	301468	8.09
1941-1949	75	0.07978	0.07672	0.5	34639	2658	33310	265512	7.67
1941-1949	76	0.08630	0.08273	0.5	31981	2646	30658	232202	7.26
1941-1949	77	0.09293	0.08881	0.5	29336	2605	28033	201544	6.87
1941-1949	78	0.10098	0.09612	0.5	26730	2569	25446	173511	6.49
1941-1949	79	0.10969	0.10399	0.5	24161	2512	22905	148065	6.13
1941-1949	80	0.11961	0.11286	0.5	21649	2443	20427	125160	5.78
1941-1949	81	0.13019	0.12223	0.5	19205	2348	18032	104733	5.45
1941-1949	82	0.14169	0.13231	0.5	16858	2231	15743	86702	5.14
1941-1949	83	0.15414	0.14311	0.5	14627	2093	13581	70959	4.85
1941-1949	84	0.16731	0.15439	0.5	12534	1935	11566	57378	4.58
1941-1949	85	0.18099	0.16597	0.5	10599	1759	9719	45812	4.32
1941-1949	86	0.19596	0.17847	0.5	8840	1578	8051	36093	4.08
1941-1949	87	0.21270	0.19226	0.5	7262	1396	6564	28042	3.86
1941-1949	88	0.23093	0.20703	0.5	5866	1214	5259	21478	3.66
1941-1949	89	0.24927	0.22164	0.5	4651	1031	4136	16219	3.49
1941-1949	90	0.26524	0.23419	0.5	3621	848	3197	12083	3.34
1941-1949	91	0.27815	0.24419	0.5	2773	677	2434	8887	3.21
1941-1949	92	0.28736	0.25126	0.5	2096	527	1832	6453	3.08
1941-1949	93	0.29230	0.25503	0.5	1569	400	1369	4620	2.94
1941-1949	94	0.29736	0.25887	0.5	1169	303	1018	3251	2.78
1941-1949	95	0.34877	0.29698	0.5	866	257	738	2234	2.58
1941-1949	96	0.36947	0.31186	0.5	609	190	514	1496	2.46
1941-1949	97	0.39066	0.32682	0.5	419	137	351	982	2.34
