state,Age,Q0,Q75
AL,0,0,NA
AL,1,0.006669999999999954,NA
AL,2,0.007249999999999979,NA
AL,3,0.007870000000000044,NA
AL,4,0.008179999999999965,NA
AL,5,0.008430000000000049,NA
AL,6,0.008619999999999961,NA
AL,7,0.00880000000000003,NA
AL,8,0.009040000000000048,NA
AL,9,0.009190000000000031,NA
AL,10,0.00939000000000001,NA
AL,11,0.009480000000000044,NA
AL,12,0.009689999999999976,NA
AL,13,0.009780000000000011,NA
AL,14,0.010029999999999983,NA
AL,15,0.010419999999999985,NA
AL,16,0.010669999999999957,NA
AL,17,0.011159999999999948,NA
AL,18,0.011830000000000007,NA
AL,19,0.012660000000000005,NA
AL,20,0.013700000000000045,NA
AL,21,0.014909999999999979,NA
AL,22,0.016260000000000052,NA
AL,23,0.017650000000000055,NA
AL,24,0.019079999999999986,NA
AL,25,0.020950000000000024,NA
AL,26,0.022809999999999997,NA
AL,27,0.024560000000000026,NA
AL,28,0.026109999999999967,NA
AL,29,0.028120000000000034,NA
AL,30,0.03049999999999997,NA
AL,31,0.03271999999999997,NA
AL,32,0.03495000000000004,NA
AL,33,0.03771000000000002,NA
AL,34,0.04027999999999998,NA
AL,35,0.04293999999999998,NA
AL,36,0.04547000000000001,NA
AL,37,0.04840999999999995,NA
AL,38,0.051470000000000016,NA
AL,39,0.05464000000000002,NA
AL,40,0.05786999999999998,NA
AL,75,0.4203,0
AL,76,0.44382,0.04057271002242535
AL,77,0.46599999999999997,0.0788338795928929
AL,78,0.49063,0.12132137312402969
AL,79,0.5167200000000001,0.16632741072968782
AL,80,0.54535,0.2157150250129377
AL,81,0.5728599999999999,0.263170605485596
AL,82,0.60105,0.3117992064861135
AL,83,0.63108,0.3636018630326031
AL,84,0.66052,0.414386751768156
AL,85,0.69042,0.4659651543902018
AL,86,0.71966,0.516405037088149
AL,87,0.7484999999999999,0.566154907710885
AL,88,0.77832,0.6175953079178886
AL,89,0.80617,0.6656373986544765
AL,90,0.83417,0.7139382439192685
AL,91,0.85992,0.758357771260997
AL,92,0.88531,0.8021562877350353
AL,93,0.90806,0.841400724512679
AL,94,0.92734,0.8746593065378644
AL,95,0.94391,0.9032430567534931
AL,96,0.95737,0.926461963084354
AL,97,0.9684,0.945489046058306
AL,98,0.97719,0.9606520614110747
AL,99,0.98398,0.9723650163877868
AL,100,0.98907,0.9811454200448508
AK,0,0,NA
AK,1,0.006610000000000005,NA
AK,2,0.006820000000000048,NA
AK,3,0.007249999999999979,NA
AK,4,0.007780000000000009,NA
AK,5,0.007889999999999953,NA
AK,6,0.008390000000000009,NA
AK,7,0.008480000000000043,NA
AK,8,0.008580000000000032,NA
AK,9,0.00878000000000001,NA
AK,10,0.009070000000000022,NA
AK,11,0.009070000000000022,NA
AK,12,0.009170000000000011,NA
AK,13,0.009260000000000046,NA
AK,14,0.009650000000000047,NA
AK,15,0.010149999999999992,NA
AK,16,0.010639999999999983,NA
AK,17,0.011560000000000015,NA
AK,18,0.012179999999999969,NA
AK,19,0.013340000000000019,NA
AK,20,0.01580999999999999,NA
AK,21,0.01707000000000003,NA
AK,22,0.01856000000000002,NA
AK,23,0.019909999999999983,NA
AK,24,0.02181999999999995,NA
AK,25,0.02351000000000003,NA
AK,26,0.02517999999999998,NA
AK,27,0.02700999999999998,NA
AK,28,0.028449999999999975,NA
AK,29,0.030469999999999997,NA
AK,30,0.03232999999999997,NA
AK,31,0.03486,NA
AK,32,0.03751000000000004,NA
AK,33,0.04090000000000005,NA
AK,34,0.04378000000000004,NA
AK,35,0.04679999999999995,NA
AK,36,0.049740000000000006,NA
AK,37,0.05298999999999998,NA
AK,38,0.05535000000000001,NA
AK,39,0.05845,NA
AK,40,0.061590000000000034,NA
AK,75,0.35402999999999996,0
AK,76,0.3771,0.03571373283589019
AK,77,0.39844,0.0687493227239655
AK,78,0.41954,0.10141337833026298
AK,79,0.44153,0.13545520689815316
AK,80,0.46687,0.17468303481585834
AK,81,0.49234999999999995,0.21412759106460055
AK,82,0.51963,0.25635865442667616
AK,83,0.54864,0.30126786073656675
AK,84,0.57921,0.3485920398780129
AK,85,0.61113,0.3980060993544592
AK,86,0.64413,0.4490920630989055
AK,87,0.6778500000000001,0.5012926296886853
AK,88,0.7118599999999999,0.5539421335356132
AK,89,0.74569,0.6063129866712076
AK,90,0.7788200000000001,0.657600198151617
AK,91,0.8107,0.7069523352477669
AK,92,0.84082,0.7535798876108798
AK,93,0.86869,0.7967243060823258
AK,94,0.89391,0.8357663668591421
AK,95,0.9162,0.8702726132792544
AK,96,0.93538,0.8999643946313296
AK,97,0.95144,0.9248262303202935
AK,98,0.96449,0.9450284068919609
AK,99,0.97478,0.9609579392231837
AK,100,0.98262,0.9730947257612582
AZ,0,0,NA
AZ,1,0.006210000000000049,NA
AZ,2,0.006770000000000054,NA
AZ,3,0.007059999999999955,NA
AZ,4,0.007340000000000013,NA
AZ,5,0.007539999999999991,NA
AZ,6,0.00766,NA
AZ,7,0.007750000000000035,NA
AZ,8,0.007909999999999973,NA
AZ,9,0.008009999999999962,NA
AZ,10,0.008120000000000016,NA
AZ,11,0.008240000000000025,NA
AZ,12,0.008340000000000014,NA
AZ,13,0.008440000000000003,NA
AZ,14,0.008639999999999981,NA
AZ,15,0.008900000000000019,NA
AZ,16,0.00924999999999998,NA
AZ,17,0.009789999999999965,NA
AZ,18,0.010589999999999988,NA
AZ,19,0.01149,NA
AZ,20,0.01256999999999997,NA
AZ,21,0.01375000000000004,NA
AZ,22,0.014889999999999959,NA
AZ,23,0.01600999999999997,NA
AZ,24,0.017290000000000028,NA
AZ,25,0.01851999999999998,NA
AZ,26,0.020000000000000018,NA
AZ,27,0.021589999999999998,NA
AZ,28,0.023109999999999964,NA
AZ,29,0.02463000000000004,NA
AZ,30,0.026639999999999997,NA
AZ,31,0.028880000000000017,NA
AZ,32,0.031039999999999957,NA
AZ,33,0.033359999999999945,NA
AZ,34,0.03563000000000005,NA
AZ,35,0.037839999999999985,NA
AZ,36,0.04030999999999996,NA
AZ,37,0.04298000000000002,NA
AZ,38,0.04566999999999999,NA
AZ,39,0.04845999999999995,NA
AZ,40,0.05135000000000001,NA
AZ,75,0.33831,0
AZ,76,0.35828000000000004,0.03018029590896043
AZ,77,0.3769,0.05832036149858699
AZ,78,0.39854,0.09102449787664924
AZ,79,0.42084999999999995,0.12474119300578823
AZ,80,0.44560999999999995,0.16216052834408867
AZ,81,0.47146999999999994,0.20124227357221658
AZ,82,0.49822,0.2416690595293869
AZ,83,0.52542,0.2827759222596684
AZ,84,0.55565,0.32846196859556587
AZ,85,0.58708,0.3759615529930934
AZ,86,0.61805,0.4227659478003295
AZ,87,0.65008,0.47117230122867204
AZ,88,0.68362,0.5218606900512324
AZ,89,0.71689,0.5721410328099261
AZ,90,0.7521599999999999,0.6254439390046699
AZ,91,0.78532,0.6755580407743808
AZ,92,0.81659,0.7228158200970243
AZ,93,0.84746,0.7694690867324578
AZ,94,0.87683,0.8138554307908538
AZ,95,0.90236,0.8524384530520335
AZ,96,0.92403,0.8851879278816364
AZ,97,0.94243,0.9129955114932975
AZ,98,0.9576,0.9359216551557376
AZ,99,0.96969,0.9541930511266605
AZ,100,0.97901,0.968278196738654
AR,0,0,NA
AR,1,0.007549999999999946,NA
AR,2,0.00817000000000001,NA
AR,3,0.008549999999999947,NA
AR,4,0.008979999999999988,NA
AR,5,0.009190000000000031,NA
AR,6,0.009600000000000053,NA
AR,7,0.009830000000000005,NA
AR,8,0.009909999999999974,NA
AR,9,0.010009999999999963,NA
AR,10,0.010159999999999947,NA
AR,11,0.010290000000000021,NA
AR,12,0.01051000000000002,NA
AR,13,0.010709999999999997,NA
AR,14,0.01102000000000003,NA
AR,15,0.011390000000000011,NA
AR,16,0.011950000000000016,NA
AR,17,0.012480000000000047,NA
AR,18,0.01324000000000003,NA
AR,19,0.014549999999999952,NA
AR,20,0.015639999999999987,NA
AR,21,0.01687000000000005,NA
AR,22,0.018279999999999963,NA
AR,23,0.019320000000000004,NA
AR,24,0.020710000000000006,NA
AR,25,0.022259999999999946,NA
AR,26,0.02366999999999997,NA
AR,27,0.024800000000000044,NA
AR,28,0.026619999999999977,NA
AR,29,0.027839999999999976,NA
AR,30,0.02958000000000005,NA
AR,31,0.03129000000000004,NA
AR,32,0.03313999999999995,NA
AR,33,0.03517999999999999,NA
AR,34,0.03757999999999995,NA
AR,35,0.039799999999999947,NA
AR,36,0.04207000000000005,NA
AR,37,0.04483999999999999,NA
AR,38,0.04752999999999996,NA
AR,39,0.05034000000000005,NA
AR,40,0.05328999999999995,NA
AR,75,0.42249000000000003,0
AR,76,0.44606,0.04081314609270836
AR,77,0.46957000000000004,0.08152239788055615
AR,78,0.49668,0.1284653079600353
AR,79,0.52423,0.17617010960849167
AR,80,0.55246,0.2250523800453672
AR,81,0.58136,0.2750948035531853
AR,82,0.61042,0.3254142785406313
AR,83,0.63854,0.3741060760852626
AR,84,0.6694100000000001,0.42755969593600107
AR,85,0.69777,0.4766670707000744
AR,86,0.7276,0.5283198559332306
AR,87,0.75512,0.5759727104292567
AR,88,0.78203,0.6225693061592007
AR,89,0.81101,0.6727502554068328
AR,90,0.83906,0.7213208429291268
AR,91,0.86476,0.7658222368443837
AR,92,0.88875,0.8073626430711156
AR,93,0.91034,0.8447472771034268
AR,94,0.92877,0.8766601444130837
AR,95,0.94432,0.9035860850894357
AR,96,0.95745,0.9263216221364132
AR,97,0.96825,0.9450225970113072
AR,98,0.97689,0.9599833769112223
AR,99,0.98362,0.9716368547730775
AR,100,0.98871,0.9804505549687451
CA,0,0,NA
CA,1,0.004029999999999978,NA
CA,2,0.004390000000000005,NA
CA,3,0.0045600000000000085,NA
CA,4,0.0047199999999999465,NA
CA,5,0.0048200000000000465,NA
CA,6,0.00492999999999999,NA
CA,7,0.005009999999999959,NA
CA,8,0.005070000000000019,NA
CA,9,0.005179999999999962,NA
CA,10,0.005290000000000017,NA
CA,11,0.005380000000000051,NA
CA,12,0.00546000000000002,NA
CA,13,0.005580000000000029,NA
CA,14,0.005719999999999947,NA
CA,15,0.005900000000000016,NA
CA,16,0.006160000000000054,NA
CA,17,0.006469999999999976,NA
CA,18,0.006889999999999952,NA
CA,19,0.007489999999999997,NA
CA,20,0.008099999999999996,NA
CA,21,0.008859999999999979,NA
CA,22,0.009630000000000027,NA
CA,23,0.010569999999999968,NA
CA,24,0.011480000000000046,NA
CA,25,0.012480000000000047,NA
CA,26,0.013580000000000036,NA
CA,27,0.01468999999999998,NA
CA,28,0.01590999999999998,NA
CA,29,0.017159999999999953,NA
CA,30,0.018530000000000046,NA
CA,31,0.01990000000000003,NA
CA,32,0.02131000000000005,NA
CA,33,0.022769999999999957,NA
CA,34,0.024449999999999972,NA
CA,35,0.025989999999999958,NA
CA,36,0.02754000000000001,NA
CA,37,0.029240000000000044,NA
CA,38,0.030950000000000033,NA
