PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
AK,b,1959,0,0.03747,0.03632,0.15,100000,3632,96927,6868336,68.68
AK,b,1959,1-4,0.00112,0.00447,1.55,96368,431,384418,6771409,70.27
AK,b,1959,5-9,0.00079,0.00392,2.38,95937,376,478703,6386991,66.57
AK,b,1959,10-14,0.00089,0.00444,2.69,95561,424,476827,5908288,61.83
AK,b,1959,15-19,0.00122,0.00607,2.59,95137,578,474294,5431461,57.09
AK,b,1959,20-24,0.00145,0.00721,2.48,94560,681,471079,4957167,52.42
AK,b,1959,25-29,0.00140,0.00699,2.68,93878,656,467865,4486088,47.79
AK,b,1959,30-34,0.00254,0.01264,2.83,93222,1179,463550,4018223,43.10
AK,b,1959,35-39,0.00248,0.01231,2.61,92043,1133,457503,3554673,38.62
AK,b,1959,40-44,0.00367,0.01819,2.95,90910,1654,451155,3097170,34.07
AK,b,1959,45-49,0.00692,0.03398,2.47,89256,3033,438617,2646015,29.65
AK,b,1959,50-54,0.00975,0.04776,2.92,86223,4118,422536,2207398,25.60
AK,b,1959,55-59,0.01255,0.06091,2.62,82105,5001,398606,1784862,21.74
AK,b,1959,60-64,0.01966,0.09349,2.39,77104,7209,366733,1386257,17.98
AK,b,1959,65-69,0.03510,0.16214,2.65,69896,11333,322855,1019524,14.59
AK,b,1959,70-74,0.05498,0.24389,2.69,58563,14283,259784,696670,11.90
AK,b,1959,75-79,0.06662,0.28853,2.68,44280,12776,191782,436885,9.87
AK,b,1959,80-84,0.11020,0.42590,2.33,31504,13417,121759,245103,7.78
AK,b,1959,85-89,0.12765,0.47497,2.31,18087,8591,67300,123344,6.82
AK,b,1959,90-94,0.15050,0.53325,2.27,9496,5064,33646,56044,5.90
AK,b,1959,95-99,0.18000,0.59940,2.21,4432,2657,14759,22399,5.05
AK,b,1959,100-104,0.21715,0.66999,2.14,1776,1190,5478,7640,4.30
AK,b,1959,105-109,0.26237,0.73980,2.05,586,433,1652,2162,3.69
AK,b,1959,110+,0.29932,1.00000,3.34,152,152,509,509,3.34
AK,b,1960,0,0.04235,0.04091,0.16,100000,4091,96584,6723483,67.23
AK,b,1960,1-4,0.00206,0.00820,1.49,95909,786,381668,6626899,69.10
AK,b,1960,5-9,0.00106,0.00529,2.76,95123,504,474488,6245231,65.65
AK,b,1960,10-14,0.00057,0.00283,2.07,94620,268,472314,5770743,60.99
AK,b,1960,15-19,0.00092,0.00459,3.33,94352,433,471038,5298429,56.16
AK,b,1960,20-24,0.00179,0.00894,2.79,93919,840,467742,4827391,51.40
AK,b,1960,25-29,0.00155,0.00770,2.53,93079,717,463622,4359649,46.84
AK,b,1960,30-34,0.00209,0.01042,2.57,92362,962,459472,3896027,42.18
AK,b,1960,35-39,0.00359,0.01781,2.82,91400,1628,453453,3436555,37.60
AK,b,1960,40-44,0.00441,0.02182,2.69,89772,1959,444335,2983102,33.23
AK,b,1960,45-49,0.00786,0.03849,2.38,87813,3380,430202,2538767,28.91
AK,b,1960,50-54,0.01086,0.05298,2.69,84433,4473,411852,2108565,24.97
AK,b,1960,55-59,0.01352,0.06532,2.4,79960,5223,386212,1696713,21.22
AK,b,1960,60-64,0.02129,0.10153,2.72,74737,7588,356375,1310501,17.53
AK,b,1960,65-69,0.03212,0.14905,2.59,67149,10008,311618,954126,14.21
AK,b,1960,70-74,0.05145,0.22833,2.54,57140,13047,253565,642508,11.24
AK,b,1960,75-79,0.07470,0.32033,2.78,44094,14124,189087,388943,8.82
AK,b,1960,80-84,0.14497,0.51703,2.23,29969,15495,106888,199856,6.67
AK,b,1960,85-89,0.15090,0.53128,2.22,14474,7690,50960,92968,6.42
AK,b,1960,90-94,0.15696,0.54541,2.2,6784,3700,23574,42009,6.19
AK,b,1960,95-99,0.16315,0.55940,2.19,3084,1725,10574,18435,5.98
AK,b,1960,100-104,0.16946,0.57322,2.18,1359,779,4596,7861,5.78
AK,b,1960,105-109,0.17588,0.58685,2.17,580,340,1935,3264,5.63
AK,b,1960,110+,0.18024,1.00000,5.55,240,240,1329,1329,5.55
AK,b,1961,0,0.03841,0.03721,0.16,100000,3721,96874,6799215,67.99
AK,b,1961,1-4,0.00207,0.00822,1.54,96279,791,383168,6702341,69.61
AK,b,1961,5-9,0.00090,0.00448,2.21,95488,427,476246,6319173,66.18
AK,b,1961,10-14,0.00104,0.00519,1.98,95060,494,473813,5842927,61.47
AK,b,1961,15-19,0.00101,0.00504,3.27,94567,477,472010,5369114,56.78
AK,b,1961,20-24,0.00152,0.00758,2.35,94090,713,468557,4897104,52.05
AK,b,1961,25-29,0.00156,0.00779,2.85,93377,727,465322,4428547,47.43
AK,b,1961,30-34,0.00255,0.01265,2.44,92650,1172,460248,3963224,42.78
AK,b,1961,35-39,0.00303,0.01506,2.5,91478,1378,453951,3502977,38.29
AK,b,1961,40-44,0.00465,0.02301,2.7,90100,2073,445738,3049026,33.84
AK,b,1961,45-49,0.00499,0.02465,2.54,88027,2170,434795,2603288,29.57
AK,b,1961,50-54,0.00810,0.03978,2.73,85857,3416,421519,2168493,25.26
AK,b,1961,55-59,0.01460,0.07074,2.81,82441,5832,399407,1746974,21.19
AK,b,1961,60-64,0.02390,0.11242,2.37,76609,8612,360399,1347567,17.59
AK,b,1961,65-69,0.03180,0.14719,2.47,67997,10009,314712,987168,14.52
AK,b,1961,70-74,0.04281,0.19600,2.85,57988,11366,265494,672457,11.60
AK,b,1961,75-79,0.08392,0.34310,2.34,46623,15996,190624,406963,8.73
AK,b,1961,80-84,0.11891,0.45201,2.35,30626,13843,116418,216339,7.06
AK,b,1961,85-89,0.14710,0.52580,2.29,16783,8824,59990,99920,5.95
AK,b,1961,90-94,0.18066,0.60120,2.22,7958,4785,26485,39931,5.02
AK,b,1961,95-99,0.22000,0.67493,2.14,3174,2142,9737,13446,4.24
AK,b,1961,100-104,0.26529,0.74356,2.04,1032,767,2892,3709,3.60
AK,b,1961,105-109,0.31635,0.80415,1.94,265,213,673,818,3.09
AK,b,1961,110+,0.35725,1.00000,2.8,52,52,145,145,2.80
AK,b,1962,0,0.03527,0.03424,0.15,100000,3424,97081,6786184,67.86
AK,b,1962,1-4,0.00202,0.00804,1.2,96576,776,384129,6689104,69.26
AK,b,1962,5-9,0.00073,0.00366,2.74,95800,351,478205,6304975,65.81
AK,b,1962,10-14,0.00061,0.00302,2.23,95449,289,476444,5826769,61.05
AK,b,1962,15-19,0.00130,0.00647,2.96,95160,615,474547,5350325,56.22
AK,b,1962,20-24,0.00168,0.00839,2.39,94545,793,470658,4875778,51.57
AK,b,1962,25-29,0.00160,0.00798,2.39,93752,748,466808,4405120,46.99
AK,b,1962,30-34,0.00204,0.01013,2.33,93004,942,462505,3938312,42.35
AK,b,1962,35-39,0.00297,0.01476,2.6,92061,1359,457049,3475807,37.76
AK,b,1962,40-44,0.00386,0.01913,2.79,90702,1735,449672,3018758,33.28
AK,b,1962,45-49,0.00587,0.02891,2.35,88967,2572,438012,2569086,28.88
AK,b,1962,50-54,0.00886,0.04333,2.44,86395,3744,422384,2131073,24.67
AK,b,1962,55-59,0.01572,0.07586,2.72,82651,6270,398962,1708690,20.67
AK,b,1962,60-64,0.02293,0.10870,2.62,76381,8303,362143,1309728,17.15
AK,b,1962,65-69,0.03340,0.15341,2.35,68078,10444,312665,947585,13.92
AK,b,1962,70-74,0.04860,0.21827,2.67,57635,12580,258852,634920,11.02
AK,b,1962,75-79,0.08002,0.33471,2.56,45055,15080,188458,376068,8.35
AK,b,1962,80-84,0.13551,0.49742,2.33,29974,14910,110031,187610,6.26
AK,b,1962,85-89,0.17292,0.58581,2.25,15065,8825,51037,77579,5.15
AK,b,1962,90-94,0.21745,0.67147,2.15,6240,4190,19267,26542,4.25
AK,b,1962,95-99,0.26803,0.74783,2.04,2050,1533,5719,7275,3.55
AK,b,1962,100-104,0.32241,0.81040,1.93,517,419,1299,1555,3.01
AK,b,1962,105-109,0.37741,0.85792,1.82,98,84,223,256,2.61
AK,b,1962,110+,0.41762,1.00000,2.39,14,14,33,33,2.39
AK,b,1963,0,0.03273,0.03183,0.14,100000,3183,97260,6813282,68.13
AK,b,1963,1-4,0.00217,0.00864,1.57,96817,837,385237,6716022,69.37
AK,b,1963,5-9,0.00063,0.00314,2.6,95980,301,479178,6330784,65.96
AK,b,1963,10-14,0.00066,0.00328,2.49,95679,314,477606,5851606,61.16
AK,b,1963,15-19,0.00097,0.00483,3.15,95365,460,475974,5374000,56.35
AK,b,1963,20-24,0.00172,0.00858,2.49,94905,814,472479,4898026,51.61
AK,b,1963,25-29,0.00211,0.01051,2.43,94090,989,467915,4425547,47.04
AK,b,1963,30-34,0.00300,0.01489,2.54,93102,1386,462096,3957633,42.51
AK,b,1963,35-39,0.00311,0.01544,2.46,91716,1416,454982,3495536,38.11
AK,b,1963,40-44,0.00528,0.02611,2.84,90300,2358,446396,3040554,33.67
AK,b,1963,45-49,0.00666,0.03281,2.69,87942,2885,433059,2594158,29.50
AK,b,1963,50-54,0.01006,0.04911,2.61,85057,4177,415294,2161099,25.41
AK,b,1963,55-59,0.01207,0.05864,2.56,80879,4743,392822,1745805,21.59
AK,b,1963,60-64,0.01940,0.09275,2.64,76137,7062,363993,1352983,17.77
AK,b,1963,65-69,0.03339,0.15405,2.49,69075,10641,318714,988990,14.32
AK,b,1963,70-74,0.05147,0.23214,2.89,58434,13565,263545,670276,11.47
AK,b,1963,75-79,0.07609,0.31975,2.51,44869,14347,188552,406731,9.06
AK,b,1963,80-84,0.11167,0.43240,2.39,30522,13198,118183,218179,7.15
AK,b,1963,85-89,0.14792,0.52923,2.31,17324,9169,61982,99996,5.77
AK,b,1963,90-94,0.19294,0.62755,2.22,8156,5118,26527,38014,4.66
AK,b,1963,95-99,0.24708,0.71974,2.1,3038,2186,8849,11487,3.78
AK,b,1963,100-104,0.30983,0.79910,1.97,851,680,2196,2638,3.10
AK,b,1963,105-109,0.37967,0.86180,1.83,171,147,388,442,2.59
AK,b,1963,110+,0.43634,1.00000,2.29,24,24,54,54,2.29
AK,b,1964,0,0.02977,0.02902,0.13,100000,2902,97477,6699671,67.00
AK,b,1964,1-4,0.00226,0.00901,1.49,97098,875,386200,6602194,68.00
AK,b,1964,5-9,0.00074,0.00371,1.98,96223,357,480039,6215993,64.60
AK,b,1964,10-14,0.00097,0.00484,3.09,95866,464,478447,5735954,59.83
AK,b,1964,15-19,0.00126,0.00631,3.25,95402,602,475959,5257507,55.11
AK,b,1964,20-24,0.00222,0.01105,2.31,94800,1048,471182,4781548,50.44
AK,b,1964,25-29,0.00320,0.01590,2.58,93753,1490,465156,4310366,45.98
AK,b,1964,30-34,0.00271,0.01345,2.59,92262,1241,458320,3845210,41.68
AK,b,1964,35-39,0.00397,0.01965,2.79,91022,1789,451159,3386889,37.21
AK,b,1964,40-44,0.00527,0.02601,2.65,89233,2321,440710,2935731,32.90
AK,b,1964,45-49,0.00583,0.02871,2.44,86911,2495,428161,2495020,28.71
AK,b,1964,50-54,0.00902,0.04409,2.45,84416,3722,412607,2066860,24.48
AK,b,1964,55-59,0.01524,0.07361,2.69,80694,5940,389731,1654252,20.50
AK,b,1964,60-64,0.02268,0.10829,2.93,74754,8095,356980,1264521,16.92
AK,b,1964,65-69,0.04072,0.18415,2.41,66659,12275,301444,907541,13.61
AK,b,1964,70-74,0.05022,0.22695,2.88,54384,12342,245755,606097,11.14
