AK: AK, Lifetables (period 5x5), Both sexes Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.03568	0.03462	0.15	100000	3462	97049	6764306	67.64
1960-1964	1-4	0.00212	0.00843	1.46	96538	813	384087	6667257	69.06
1960-1964	5-9	0.00080	0.00400	2.45	95724	383	477645	6283170	65.64
1960-1964	10-14	0.00077	0.00386	2.45	95341	368	475767	5805525	60.89
1960-1964	15-19	0.00110	0.00547	3.17	94973	519	473917	5329758	56.12
1960-1964	20-24	0.00179	0.00889	2.47	94454	839	470143	4855841	51.41
1960-1964	25-29	0.00202	0.01005	2.56	93615	941	465775	4385699	46.85
1960-1964	30-34	0.00248	0.01232	2.51	92674	1142	460519	3919924	42.30
1960-1964	35-39	0.00334	0.01655	2.65	91532	1515	454101	3459404	37.79
1960-1964	40-44	0.00471	0.02329	2.73	90017	2097	445337	3005304	33.39
1960-1964	45-49	0.00622	0.03062	2.48	87920	2693	432817	2559967	29.12
1960-1964	50-54	0.00936	0.04577	2.58	85228	3901	416704	2127150	24.96
1960-1964	55-59	0.01423	0.06884	2.64	81327	5598	393440	1710446	21.03
1960-1964	60-64	0.02215	0.10528	2.66	75729	7973	359979	1317006	17.39
1960-1964	65-69	0.03432	0.15782	2.46	67756	10693	311580	957027	14.12
1960-1964	70-74	0.04893	0.22051	2.76	57063	12583	257184	645447	11.31
1960-1964	75-79	0.07925	0.32973	2.45	44480	14666	185071	388263	8.73
1960-1964	80-84	0.12820	0.47675	2.31	29814	14214	110868	203192	6.82
1960-1964	85-89	0.15196	0.53658	2.26	15600	8371	55084	92323	5.92
1960-1964	90-94	0.17884	0.59627	2.21	7229	4311	24102	37240	5.15
1960-1964	95-99	0.20883	0.65404	2.14	2919	1909	9141	13137	4.50
1960-1964	100-104	0.24179	0.70826	2.08	1010	715	2958	3997	3.96
1960-1964	105-109	0.27746	0.75761	2	295	223	804	1039	3.53
1960-1964	110+	0.30449	1.00000	3.28	71	71	234	234	3.28
1965-1969	0	0.02835	0.02767	0.13	100000	2767	97584	6925796	69.26
1965-1969	1-4	0.00145	0.00577	1.69	97233	561	387639	6828211	70.23
1965-1969	5-9	0.00067	0.00335	2.31	96672	323	482491	6440572	66.62
1965-1969	10-14	0.00054	0.00272	2.94	96349	262	481204	5958082	61.84
1965-1969	15-19	0.00117	0.00586	2.66	96087	563	479114	5476877	57.00
1965-1969	20-24	0.00211	0.01052	2.61	95524	1005	475221	4997763	52.32
1965-1969	25-29	0.00206	0.01022	2.31	94519	966	469997	4522543	47.85
1965-1969	30-34	0.00230	0.01144	2.54	93553	1070	465130	4052546	43.32
1965-1969	35-39	0.00295	0.01464	2.54	92483	1354	459087	3587416	38.79
1965-1969	40-44	0.00428	0.02118	2.59	91129	1930	450991	3128328	34.33
1965-1969	45-49	0.00657	0.03233	2.63	89198	2884	439144	2677338	30.02
1965-1969	50-54	0.00980	0.04790	2.65	86314	4134	421868	2238193	25.93
1965-1969	55-59	0.01301	0.06314	2.65	82180	5189	398706	1816325	22.10
1965-1969	60-64	0.01960	0.09373	2.68	76991	7217	368195	1417619	18.41
1965-1969	65-69	0.02928	0.13591	2.37	69774	9483	323896	1049424	15.04
1965-1969	70-74	0.04483	0.20301	2.68	60291	12240	273032	725528	12.03
1965-1969	75-79	0.06792	0.28889	2.41	48052	13882	204369	452496	9.42
1965-1969	80-84	0.11588	0.44332	2.35	34170	15148	130721	248128	7.26
1965-1969	85-89	0.14203	0.51304	2.29	19022	9759	68710	117406	6.17
1965-1969	90-94	0.17242	0.58345	2.23	9263	5404	31345	48697	5.26
1965-1969	95-99	0.20706	0.65170	2.16	3858	2515	12144	17352	4.50
1965-1969	100-104	0.24579	0.71513	2.08	1344	961	3910	5208	3.88
1965-1969	105-109	0.28817	0.77168	1.99	383	295	1025	1298	3.39
1965-1969	110+	0.32075	1.00000	3.12	87	87	273	273	3.12
1970-1974	0	0.01990	0.01955	0.1	100000	1955	98247	7003348	70.03
1970-1974	1-4	0.00109	0.00434	1.61	98045	426	391161	6905101	70.43
1970-1974	5-9	0.00056	0.00279	2.24	97619	273	487343	6513940	66.73
1970-1974	10-14	0.00062	0.00308	2.63	97346	299	486021	6026596	61.91
1970-1974	15-19	0.00193	0.00959	2.72	97047	931	483110	5540575	57.09
1970-1974	20-24	0.00220	0.01094	2.3	96116	1052	477740	5057465	52.62
1970-1974	25-29	0.00214	0.01063	2.67	95065	1010	472966	4579726	48.17
1970-1974	30-34	0.00195	0.00970	2.56	94054	912	468044	4106759	43.66
1970-1974	35-39	0.00296	0.01470	2.63	93142	1369	462466	3638716	39.07
1970-1974	40-44	0.00442	0.02185	2.6	91773	2005	454048	3176249	34.61
1970-1974	45-49	0.00613	0.03021	2.63	89767	2712	442406	2722201	30.33
1970-1974	50-54	0.00855	0.04191	2.67	87056	3649	426766	2279795	26.19
1970-1974	55-59	0.01270	0.06173	2.71	83407	5148	405227	1853029	22.22
1970-1974	60-64	0.02102	0.09999	2.57	78258	7825	372310	1447802	18.50
1970-1974	65-69	0.03027	0.14102	2.58	70433	9932	328102	1075492	15.27
