PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
AL,b,1941,0,0.06375,0.06074,0.22,100000,6074,95287,6018804,60.19
AL,b,1941,1-4,0.00425,0.01680,1.3,93926,1578,371444,5923517,63.07
AL,b,1941,5-9,0.00121,0.00601,2.37,92348,555,460282,5552073,60.12
AL,b,1941,10-14,0.00116,0.00579,2.69,91793,531,457742,5091791,55.47
AL,b,1941,15-19,0.00235,0.01170,2.71,91262,1068,453865,4634049,50.78
AL,b,1941,20-24,0.00359,0.01782,2.64,90194,1607,447176,4180184,46.35
AL,b,1941,25-29,0.00427,0.02111,2.53,88587,1870,438308,3733009,42.14
AL,b,1941,30-34,0.00468,0.02314,2.61,86717,2006,428787,3294701,37.99
AL,b,1941,35-39,0.00645,0.03177,2.62,84711,2692,417144,2865914,33.83
AL,b,1941,40-44,0.00826,0.04055,2.7,82019,3326,402435,2448770,29.86
AL,b,1941,45-49,0.01111,0.05413,2.62,78693,4260,383331,2046335,26.00
AL,b,1941,50-54,0.01671,0.08043,2.68,74433,5987,358274,1663004,22.34
AL,b,1941,55-59,0.02101,0.09989,2.55,68447,6837,325499,1304730,19.06
AL,b,1941,60-64,0.02823,0.13245,2.68,61610,8160,289101,979232,15.89
AL,b,1941,65-69,0.03874,0.17739,2.63,53449,9482,244778,690130,12.91
AL,b,1941,70-74,0.05900,0.25842,2.6,43968,11362,192575,445352,10.13
AL,b,1941,75-79,0.09428,0.38378,2.58,32606,12513,132725,252777,7.75
AL,b,1941,80-84,0.14514,0.52479,2.36,20092,10544,72651,120052,5.97
AL,b,1941,85-89,0.18473,0.60706,2.18,9548,5796,31377,47401,4.96
AL,b,1941,90-94,0.21867,0.67235,2.14,3752,2523,11536,16023,4.27
AL,b,1941,95-99,0.26109,0.73736,2.05,1229,906,3472,4488,3.65
AL,b,1941,100-104,0.30776,0.79442,1.96,323,256,833,1016,3.15
AL,b,1941,105-109,0.35797,0.84235,1.86,66,56,156,183,2.75
AL,b,1941,110+,0.39747,1.00000,2.52,10,10,26,26,2.52
AL,b,1942,0,0.05487,0.05256,0.2,100000,5256,95798,6256555,62.57
AL,b,1942,1-4,0.00314,0.01246,1.45,94744,1180,375970,6160757,65.03
AL,b,1942,5-9,0.00093,0.00465,2.48,93564,435,466723,5784786,61.83
AL,b,1942,10-14,0.00097,0.00483,2.7,93128,450,464607,5318064,57.10
AL,b,1942,15-19,0.00205,0.01021,2.78,92678,947,461293,4853457,52.37
AL,b,1942,20-24,0.00335,0.01662,2.63,91732,1525,455050,4392164,47.88
