AL: AL, Lifetables (period 5x5), Both sexes Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1944	0	0.05294	0.05077	0.19	100000	5077	95911	6249255	62.49
1941-1944	1-4	0.00327	0.01297	1.44	94923	1231	376542	6153343	64.82
1941-1944	5-9	0.00099	0.00494	2.37	93692	463	467238	5776801	61.66
1941-1944	10-14	0.00107	0.00535	2.73	93228	499	465010	5309563	56.95
1941-1944	15-19	0.00210	0.01047	2.71	92730	971	461428	4844552	52.24
1941-1944	20-24	0.00308	0.01530	2.61	91758	1404	455436	4383124	47.77
1941-1944	25-29	0.00366	0.01815	2.53	90355	1640	447725	3927688	43.47
1941-1944	30-34	0.00433	0.02141	2.59	88715	1900	439004	3479963	39.23
1941-1944	35-39	0.00587	0.02892	2.6	86815	2511	428059	3040959	35.03
1941-1944	40-44	0.00736	0.03615	2.59	84304	3047	414177	2612900	30.99
1941-1944	45-49	0.01052	0.05130	2.61	81257	4168	396339	2198723	27.06
1941-1944	50-54	0.01532	0.07388	2.59	77089	5695	371744	1802384	23.38
1941-1944	55-59	0.01895	0.09046	2.5	71394	6458	340853	1430640	20.04
1941-1944	60-64	0.02531	0.11939	2.62	64935	7753	306254	1089788	16.78
1941-1944	65-69	0.03651	0.16743	2.52	57183	9574	262199	783534	13.70
1941-1944	70-74	0.05317	0.23510	2.54	47609	11193	210524	521335	10.95
1941-1944	75-79	0.07842	0.32802	2.51	36416	11945	152329	310812	8.54
1941-1944	80-84	0.13052	0.48635	2.38	24471	11901	91184	158483	6.48
1941-1944	85-89	0.16705	0.57136	2.24	12569	7182	42990	67299	5.35
1941-1944	90-94	0.20399	0.64693	2.17	5388	3485	17087	24309	4.51
1941-1944	95-99	0.24870	0.72044	2.08	1902	1370	5510	7222	3.80
1941-1944	100-104	0.29921	0.78570	1.98	532	418	1396	1712	3.22
1941-1944	105-109	0.35485	0.84049	1.87	114	96	270	315	2.77
1941-1944	110+	0.39935	1.00000	2.5	18	18	46	46	2.50
1945-1949	0	0.04146	0.04007	0.16	100000	4007	96647	6528799	65.29
1945-1949	1-4	0.00202	0.00806	1.53	95993	773	382065	6432152	67.01
1945-1949	5-9	0.00081	0.00403	2.28	95220	384	475052	6050087	63.54
