PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
AL,f,1941-1944,0,0.04678,0.04506,0.18,100000,4506,96323,6452672,64.53
AL,f,1941-1944,1-4,0.00305,0.01212,1.45,95494,1158,379021,6356349,66.56
AL,f,1941-1944,5-9,0.00091,0.00452,2.31,94336,426,470536,5977327,63.36
AL,f,1941-1944,10-14,0.00094,0.00468,2.77,93910,440,468569,5506791,58.64
AL,f,1941-1944,15-19,0.00198,0.00986,2.72,93470,921,465249,5038222,53.90
AL,f,1941-1944,20-24,0.00281,0.01396,2.6,92549,1292,459643,4572974,49.41
AL,f,1941-1944,25-29,0.00334,0.01655,2.54,91257,1510,452565,4113330,45.07
AL,f,1941-1944,30-34,0.00404,0.02000,2.61,89747,1795,444446,3660765,40.79
AL,f,1941-1944,35-39,0.00564,0.02782,2.6,87952,2446,433879,3216319,36.57
AL,f,1941-1944,40-44,0.00666,0.03276,2.56,85505,2801,420698,2782440,32.54
AL,f,1941-1944,45-49,0.00906,0.04433,2.62,82704,3667,404778,2361741,28.56
AL,f,1941-1944,50-54,0.01326,0.06426,2.6,79038,5079,382985,1956963,24.76
AL,f,1941-1944,55-59,0.01589,0.07643,2.5,73959,5653,355659,1573978,21.28
AL,f,1941-1944,60-64,0.02178,0.10357,2.64,68306,7074,324863,1218319,17.84
AL,f,1941-1944,65-69,0.03158,0.14649,2.53,61232,8970,283995,893456,14.59
AL,f,1941-1944,70-74,0.04675,0.20986,2.57,52262,10968,234621,609461,11.66
AL,f,1941-1944,75-79,0.07042,0.29989,2.53,41294,12384,175858,374840,9.08
AL,f,1941-1944,80-84,0.12050,0.45956,2.42,28911,13286,110259,198982,6.88
AL,f,1941-1944,85-89,0.15567,0.54534,2.26,15624,8521,54735,88723,5.68
AL,f,1941-1944,90-94,0.19038,0.62107,2.2,7104,4412,23175,33987,4.78
AL,f,1941-1944,95-99,0.23323,0.69690,2.11,2692,1876,8043,10813,4.02
AL,f,1941-1944,100-104,0.28225,0.76571,2.01,816,625,2213,2769,3.39
AL,f,1941-1944,105-109,0.33696,0.82465,1.9,191,158,468,556,2.91
AL,f,1941-1944,110+,0.38081,1.00000,2.63,34,34,88,88,2.63
AL,f,1945-1949,0,0.03609,0.03502,0.15,100000,3502,97038,6768208,67.68
AL,f,1945-1949,1-4,0.00186,0.00741,1.54,96498,715,384232,6671170,69.13
AL,f,1945-1949,5-9,0.00076,0.00379,2.25,95783,363,477917,6286938,65.64
AL,f,1945-1949,10-14,0.00066,0.00329,2.69,95420,314,476375,5809022,60.88
AL,f,1945-1949,15-19,0.00128,0.00637,2.76,95106,606,474172,5332647,56.07
AL,f,1945-1949,20-24,0.00206,0.01025,2.6,94500,968,470173,4858476,51.41
AL,f,1945-1949,25-29,0.00239,0.01188,2.57,93532,1111,464961,4388303,46.92
AL,f,1945-1949,30-34,0.00307,0.01525,2.6,92420,1410,458722,3923342,42.45
AL,f,1945-1949,35-39,0.00416,0.02058,2.61,91011,1873,450583,3464620,38.07
AL,f,1945-1949,40-44,0.00551,0.02721,2.61,89138,2425,439886,3014037,33.81
AL,f,1945-1949,45-49,0.00768,0.03770,2.66,86713,3269,425924,2574151,29.69
AL,f,1945-1949,50-54,0.01151,0.05597,2.58,83444,4670,405896,2148227,25.74
AL,f,1945-1949,55-59,0.01470,0.07099,2.6,78774,5592,380447,1742331,22.12
AL,f,1945-1949,60-64,0.01883,0.09000,2.55,73181,6586,349760,1361883,18.61
AL,f,1945-1949,65-69,0.02909,0.13614,2.65,66595,9066,311680,1012124,15.20
AL,f,1945-1949,70-74,0.04167,0.18905,2.55,57529,10876,261009,700443,12.18
AL,f,1945-1949,75-79,0.06639,0.28591,2.58,46653,13339,200925,439434,9.42
AL,f,1945-1949,80-84,0.10928,0.42788,2.47,33314,14254,130437,238509,7.16
AL,f,1945-1949,85-89,0.15021,0.53509,2.31,19060,10199,67897,108072,5.67
AL,f,1945-1949,90-94,0.19842,0.63853,2.21,8861,5658,28515,40176,4.53
AL,f,1945-1949,95-99,0.25716,0.73487,2.08,3203,2354,9153,11660,3.64
AL,f,1945-1949,100-104,0.32597,0.81636,1.94,849,693,2127,2507,2.95
AL,f,1945-1949,105-109,0.40306,0.87887,1.79,156,137,340,381,2.44
AL,f,1945-1949,110+,0.46657,1.00000,2.14,19,19,40,40,2.14
AL,f,1950-1954,0,0.03264,0.03175,0.14,100000,3175,97283,6958542,69.59
AL,f,1950-1954,1-4,0.00166,0.00660,1.55,96825,639,385734,6861259,70.86
AL,f,1950-1954,5-9,0.00059,0.00295,2.23,96186,284,480143,6475525,67.32
AL,f,1950-1954,10-14,0.00051,0.00256,2.71,95902,245,478947,5995382,62.52
AL,f,1950-1954,15-19,0.00099,0.00495,2.7,95656,474,477193,5516435,57.67
AL,f,1950-1954,20-24,0.00134,0.00668,2.57,95183,636,474365,5039242,52.94
AL,f,1950-1954,25-29,0.00163,0.00814,2.61,94546,769,470892,4564877,48.28
AL,f,1950-1954,30-34,0.00232,0.01153,2.66,93777,1081,466352,4093984,43.66
AL,f,1950-1954,35-39,0.00324,0.01609,2.61,92696,1491,459910,3627632,39.13
AL,f,1950-1954,40-44,0.00443,0.02193,2.62,91205,2000,451268,3167722,34.73
AL,f,1950-1954,45-49,0.00641,0.03160,2.67,89204,2819,439464,2716454,30.45
AL,f,1950-1954,50-54,0.00995,0.04863,2.63,86386,4201,421968,2276990,26.36
AL,f,1950-1954,55-59,0.01288,0.06242,2.57,82185,5130,398452,1855022,22.57
AL,f,1950-1954,60-64,0.01977,0.09448,2.67,77055,7280,368323,1456571,18.90
AL,f,1950-1954,65-69,0.02753,0.12892,2.54,69775,8995,326768,1088248,15.60
AL,f,1950-1954,70-74,0.04046,0.18447,2.61,60779,11212,277121,761480,12.53
AL,f,1950-1954,75-79,0.06052,0.26314,2.52,49567,13043,215533,484359,9.77
AL,f,1950-1954,80-84,0.10244,0.40679,2.47,36524,14858,145043,268826,7.36
AL,f,1950-1954,85-89,0.14543,0.52445,2.34,21667,11363,78136,123783,5.71
AL,f,1950-1954,90-94,0.20127,0.64530,2.22,10303,6649,33035,45647,4.43
AL,f,1950-1954,95-99,0.27130,0.75568,2.07,3655,2762,10180,12612,3.45
AL,f,1950-1954,100-104,0.35451,0.84406,1.9,893,754,2126,2433,2.72
AL,f,1950-1954,105-109,0.44744,0.90612,1.72,139,126,282,307,2.20
AL,f,1950-1954,110+,0.52456,1.00000,1.91,13,13,25,25,1.91
AL,f,1955-1959,0,0.02952,0.02879,0.14,100000,2879,97512,7139086,71.39
AL,f,1955-1959,1-4,0.00133,0.00531,1.53,97121,516,387211,7041575,72.50
AL,f,1955-1959,5-9,0.00054,0.00268,2.23,96605,259,482307,6654364,68.88
AL,f,1955-1959,10-14,0.00041,0.00206,2.63,96346,199,481257,6172057,64.06
AL,f,1955-1959,15-19,0.00071,0.00355,2.73,96147,341,479961,5690800,59.19
