AL: AL, Lifetables (period 1x10), Males Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1949	0	0.05166	0.04957	0.18	100000	4957	95953	6201722	62.02
1941-1949	1	0.00488	0.00486	0.5	95043	462	94812	6105769	64.24
1941-1949	2	0.00256	0.00255	0.5	94581	242	94460	6010957	63.55
1941-1949	3	0.00196	0.00195	0.5	94339	184	94247	5916497	62.72
1941-1949	4	0.00140	0.00140	0.5	94155	132	94089	5822250	61.84
1941-1949	5	0.00112	0.00112	0.5	94023	105	93971	5728161	60.92
1941-1949	6	0.00100	0.00100	0.5	93918	94	93871	5634191	59.99
1941-1949	7	0.00092	0.00092	0.5	93824	86	93781	5540320	59.05
1941-1949	8	0.00087	0.00087	0.5	93738	81	93697	5446539	58.10
1941-1949	9	0.00086	0.00086	0.5	93657	80	93616	5352842	57.15
1941-1949	10	0.00088	0.00088	0.5	93576	83	93535	5259225	56.20
1941-1949	11	0.00095	0.00095	0.5	93494	89	93449	5165690	55.25
1941-1949	12	0.00107	0.00107	0.5	93404	100	93355	5072241	54.30
1941-1949	13	0.00122	0.00122	0.5	93305	114	93248	4978886	53.36
1941-1949	14	0.00142	0.00142	0.5	93191	132	93125	4885639	52.43
1941-1949	15	0.00166	0.00166	0.5	93059	154	92981	4792514	51.50
1941-1949	16	0.00191	0.00190	0.5	92904	177	92816	4699532	50.58
1941-1949	17	0.00215	0.00214	0.5	92728	199	92628	4606716	49.68
1941-1949	18	0.00238	0.00238	0.5	92529	220	92419	4514088	48.79
1941-1949	19	0.00259	0.00259	0.5	92309	239	92189	4421670	47.90
1941-1949	20	0.00278	0.00278	0.5	92070	256	91942	4329480	47.02
1941-1949	21	0.00297	0.00296	0.5	91814	272	91678	4237538	46.15
1941-1949	22	0.00313	0.00313	0.5	91542	286	91399	4145860	45.29
1941-1949	23	0.00328	0.00327	0.5	91256	299	91107	4054461	44.43
1941-1949	24	0.00339	0.00338	0.5	90957	307	90803	3963354	43.57
1941-1949	25	0.00345	0.00344	0.5	90650	312	90494	3872551	42.72
1941-1949	26	0.00351	0.00350	0.5	90338	316	90179	3782057	41.87
1941-1949	27	0.00358	0.00357	0.5	90021	322	89860	3691878	41.01
1941-1949	28	0.00367	0.00366	0.5	89700	328	89536	3602017	40.16
1941-1949	29	0.00375	0.00375	0.5	89371	335	89204	3512482	39.30
1941-1949	30	0.00386	0.00385	0.5	89037	343	88865	3423278	38.45
1941-1949	31	0.00395	0.00394	0.5	88694	350	88519	3334413	37.59
1941-1949	32	0.00407	0.00406	0.5	88344	359	88165	3245894	36.74
1941-1949	33	0.00424	0.00424	0.5	87985	373	87799	3157729	35.89
1941-1949	34	0.00446	0.00445	0.5	87613	390	87418	3069930	35.04
1941-1949	35	0.00473	0.00472	0.5	87223	411	87018	2982512	34.19
1941-1949	36	0.00499	0.00498	0.5	86812	432	86596	2895494	33.35
1941-1949	37	0.00530	0.00528	0.5	86380	456	86151	2808899	32.52
1941-1949	38	0.00569	0.00567	0.5	85923	487	85680	2722747	31.69
1941-1949	39	0.00611	0.00609	0.5	85436	520	85176	2637067	30.87
1941-1949	40	0.00651	0.00649	0.5	84916	551	84640	2551891	30.05
1941-1949	41	0.00687	0.00684	0.5	84365	577	84076	2467251	29.25
1941-1949	42	0.00736	0.00733	0.5	83787	614	83480	2383175	28.44
1941-1949	43	0.00797	0.00794	0.5	83173	661	82843	2299695	27.65
1941-1949	44	0.00858	0.00855	0.5	82512	705	82160	2216852	26.87
1941-1949	45	0.00931	0.00927	0.5	81807	758	81428	2134693	26.09
1941-1949	46	0.00998	0.00993	0.5	81049	805	80646	2053265	25.33
1941-1949	47	0.01074	0.01069	0.5	80244	858	79815	1972618	24.58
1941-1949	48	0.01184	0.01177	0.5	79386	934	78919	1892803	23.84
1941-1949	49	0.01323	0.01314	0.5	78452	1031	77937	1813884	23.12
1941-1949	50	0.01483	0.01472	0.5	77421	1139	76851	1735947	22.42
1941-1949	51	0.01597	0.01584	0.5	76282	1209	75677	1659096	21.75
1941-1949	52	0.01702	0.01687	0.5	75073	1267	74440	1583418	21.09
1941-1949	53	0.01818	0.01801	0.5	73807	1329	73142	1508979	20.45
1941-1949	54	0.01923	0.01904	0.5	72477	1380	71787	1435837	19.81
1941-1949	55	0.02033	0.02013	0.5	71097	1431	70382	1364049	19.19
1941-1949	56	0.02124	0.02102	0.5	69666	1464	68934	1293668	18.57
1941-1949	57	0.02205	0.02181	0.5	68202	1488	67458	1224734	17.96
1941-1949	58	0.02307	0.02281	0.5	66714	1521	65954	1157275	17.35
1941-1949	59	0.02409	0.02380	0.5	65193	1552	64417	1091322	16.74
1941-1949	60	0.02510	0.02479	0.5	63641	1578	62852	1026905	16.14
1941-1949	61	0.02585	0.02552	0.5	62064	1584	61271	964052	15.53
1941-1949	62	0.02704	0.02668	0.5	60479	1613	59673	902781	14.93
1941-1949	63	0.02905	0.02864	0.5	58866	1686	58023	843108	14.32
1941-1949	64	0.03156	0.03107	0.5	57180	1776	56292	785085	13.73
1941-1949	65	0.03507	0.03446	0.5	55404	1909	54449	728793	13.15
1941-1949	66	0.03804	0.03733	0.5	53494	1997	52496	674344	12.61
1941-1949	67	0.04061	0.03980	0.5	51497	2050	50472	621848	12.08
1941-1949	68	0.04395	0.04300	0.5	49448	2126	48384	571376	11.56
1941-1949	69	0.04709	0.04601	0.5	47321	2177	46233	522992	11.05
1941-1949	70	0.05025	0.04902	0.5	45144	2213	44038	476759	10.56
1941-1949	71	0.05270	0.05135	0.5	42931	2204	41829	432721	10.08
1941-1949	72	0.05583	0.05431	0.5	40727	2212	39621	390892	9.60
1941-1949	73	0.06054	0.05876	0.5	38515	2263	37383	351272	9.12
1941-1949	74	0.06567	0.06358	0.5	36252	2305	35099	313888	8.66
1941-1949	75	0.07231	0.06979	0.5	33947	2369	32762	278789	8.21
1941-1949	76	0.07884	0.07585	0.5	31578	2395	30380	246027	7.79
1941-1949	77	0.08503	0.08156	0.5	29182	2380	27992	215647	7.39
