PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
AR,b,1941-1949,0,0.03513,0.03411,0.15,100000,3411,97085,6731820,67.32
AR,b,1941-1949,1,0.00459,0.00458,0.5,96589,443,96368,6634735,68.69
AR,b,1941-1949,2,0.00250,0.00250,0.5,96147,240,96027,6538367,68.00
AR,b,1941-1949,3,0.00175,0.00174,0.5,95907,167,95823,6442340,67.17
AR,b,1941-1949,4,0.00127,0.00127,0.5,95740,121,95679,6346517,66.29
AR,b,1941-1949,5,0.00106,0.00106,0.5,95618,101,95568,6250838,65.37
AR,b,1941-1949,6,0.00096,0.00096,0.5,95517,91,95471,6155270,64.44
AR,b,1941-1949,7,0.00088,0.00088,0.5,95426,84,95384,6059799,63.50
AR,b,1941-1949,8,0.00082,0.00082,0.5,95342,78,95303,5964416,62.56
AR,b,1941-1949,9,0.00077,0.00077,0.5,95264,74,95227,5869113,61.61
AR,b,1941-1949,10,0.00075,0.00075,0.5,95190,72,95154,5773886,60.66
AR,b,1941-1949,11,0.00077,0.00077,0.5,95118,74,95082,5678732,59.70
AR,b,1941-1949,12,0.00084,0.00084,0.5,95045,80,95005,5583650,58.75
AR,b,1941-1949,13,0.00095,0.00095,0.5,94965,91,94919,5488645,57.80
AR,b,1941-1949,14,0.00111,0.00111,0.5,94874,105,94822,5393726,56.85
AR,b,1941-1949,15,0.00130,0.00130,0.5,94769,123,94707,5298904,55.91
AR,b,1941-1949,16,0.00150,0.00150,0.5,94645,142,94575,5204197,54.99
AR,b,1941-1949,17,0.00168,0.00168,0.5,94504,159,94424,5109622,54.07
AR,b,1941-1949,18,0.00185,0.00185,0.5,94345,175,94258,5015198,53.16
AR,b,1941-1949,19,0.00200,0.00200,0.5,94170,188,94076,4920940,52.26
AR,b,1941-1949,20,0.00212,0.00212,0.5,93982,199,93883,4826864,51.36
AR,b,1941-1949,21,0.00223,0.00222,0.5,93783,209,93679,4732981,50.47
AR,b,1941-1949,22,0.00231,0.00231,0.5,93574,216,93466,4639303,49.58
AR,b,1941-1949,23,0.00239,0.00238,0.5,93358,223,93247,4545837,48.69
AR,b,1941-1949,24,0.00244,0.00244,0.5,93135,227,93022,4452590,47.81
AR,b,1941-1949,25,0.00247,0.00247,0.5,92908,229,92794,4359568,46.92
AR,b,1941-1949,26,0.00249,0.00249,0.5,92679,231,92564,4266774,46.04
AR,b,1941-1949,27,0.00252,0.00251,0.5,92449,232,92332,4174210,45.15
AR,b,1941-1949,28,0.00256,0.00256,0.5,92216,236,92098,4081878,44.26
AR,b,1941-1949,29,0.00261,0.00260,0.5,91980,239,91861,3989779,43.38
AR,b,1941-1949,30,0.00267,0.00267,0.5,91741,245,91619,3897919,42.49
AR,b,1941-1949,31,0.00275,0.00274,0.5,91496,251,91371,3806300,41.60
AR,b,1941-1949,32,0.00286,0.00285,0.5,91245,260,91115,3714930,40.71
AR,b,1941-1949,33,0.00301,0.00301,0.5,90985,274,90848,3623815,39.83
AR,b,1941-1949,34,0.00320,0.00319,0.5,90711,290,90567,3532966,38.95
AR,b,1941-1949,35,0.00343,0.00342,0.5,90422,309,90267,3442400,38.07
AR,b,1941-1949,36,0.00365,0.00364,0.5,90112,328,89948,3352133,37.20
AR,b,1941-1949,37,0.00386,0.00385,0.5,89784,346,89611,3262184,36.33
AR,b,1941-1949,38,0.00410,0.00409,0.5,89438,366,89256,3172573,35.47
AR,b,1941-1949,39,0.00431,0.00430,0.5,89073,383,88881,3083317,34.62
AR,b,1941-1949,40,0.00449,0.00448,0.5,88690,398,88491,2994436,33.76
AR,b,1941-1949,41,0.00466,0.00465,0.5,88292,411,88087,2905945,32.91
AR,b,1941-1949,42,0.00495,0.00494,0.5,87881,434,87664,2817859,32.06
AR,b,1941-1949,43,0.00532,0.00530,0.5,87447,464,87215,2730195,31.22
AR,b,1941-1949,44,0.00568,0.00566,0.5,86983,492,86737,2642979,30.38
AR,b,1941-1949,45,0.00609,0.00607,0.5,86491,525,86229,2556242,29.55
AR,b,1941-1949,46,0.00651,0.00649,0.5,85966,558,85687,2470013,28.73
AR,b,1941-1949,47,0.00700,0.00697,0.5,85408,596,85111,2384326,27.92
AR,b,1941-1949,48,0.00764,0.00761,0.5,84813,645,84490,2299215,27.11
AR,b,1941-1949,49,0.00839,0.00836,0.5,84168,703,83816,2214725,26.31
AR,b,1941-1949,50,0.00922,0.00918,0.5,83464,766,83081,2130909,25.53
AR,b,1941-1949,51,0.00984,0.00979,0.5,82698,809,82293,2047828,24.76
AR,b,1941-1949,52,0.01045,0.01040,0.5,81888,852,81463,1965535,24.00
AR,b,1941-1949,53,0.01118,0.01112,0.5,81037,901,80586,1884072,23.25
AR,b,1941-1949,54,0.01187,0.01180,0.5,80136,946,79663,1803486,22.51
AR,b,1941-1949,55,0.01260,0.01252,0.5,79190,991,78694,1723823,21.77
AR,b,1941-1949,56,0.01329,0.01320,0.5,78199,1032,77682,1645129,21.04
AR,b,1941-1949,57,0.01406,0.01397,0.5,77166,1078,76627,1567446,20.31
AR,b,1941-1949,58,0.01502,0.01491,0.5,76089,1135,75521,1490819,19.59
AR,b,1941-1949,59,0.01600,0.01587,0.5,74954,1190,74359,1415298,18.88
AR,b,1941-1949,60,0.01698,0.01684,0.5,73764,1242,73143,1340939,18.18
AR,b,1941-1949,61,0.01788,0.01772,0.5,72522,1285,71880,1267795,17.48
AR,b,1941-1949,62,0.01905,0.01887,0.5,71237,1344,70565,1195915,16.79
AR,b,1941-1949,63,0.02069,0.02048,0.5,69893,1431,69177,1125350,16.10
AR,b,1941-1949,64,0.02259,0.02233,0.5,68462,1529,67697,1056173,15.43
AR,b,1941-1949,65,0.02503,0.02472,0.5,66933,1654,66105,988476,14.77
AR,b,1941-1949,66,0.02728,0.02691,0.5,65278,1757,64400,922371,14.13
AR,b,1941-1949,67,0.02948,0.02905,0.5,63521,1845,62599,857971,13.51
AR,b,1941-1949,68,0.03226,0.03175,0.5,61676,1958,60697,795372,12.90
AR,b,1941-1949,69,0.03514,0.03453,0.5,59718,2062,58687,734675,12.30
AR,b,1941-1949,70,0.03807,0.03736,0.5,57655,2154,56579,675989,11.72
AR,b,1941-1949,71,0.04057,0.03976,0.5,55502,2207,54398,619410,11.16
AR,b,1941-1949,72,0.04356,0.04263,0.5,53295,2272,52159,565012,10.60
AR,b,1941-1949,73,0.04738,0.04629,0.5,51023,2362,49842,512853,10.05
AR,b,1941-1949,74,0.05143,0.05014,0.5,48661,2440,47441,463011,9.51
AR,b,1941-1949,75,0.05633,0.05478,0.5,46221,2532,44955,415570,8.99
