PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
AR,f,1941,0,0.04329,0.04179,0.17,100000,4179,96549,6609146,66.09
AR,f,1941,1-4,0.00377,0.01492,1.24,95821,1429,379331,6512598,67.97
AR,f,1941,5-9,0.00105,0.00525,2.44,94391,496,470689,6133266,64.98
AR,f,1941,10-14,0.00110,0.00549,2.65,93896,516,468266,5662577,60.31
AR,f,1941,15-19,0.00181,0.00903,2.65,93380,843,464921,5194311,55.63
AR,f,1941,20-24,0.00248,0.01233,2.64,92537,1141,459989,4729391,51.11
AR,f,1941,25-29,0.00309,0.01533,2.53,91396,1401,453519,4269402,46.71
AR,f,1941,30-34,0.00336,0.01665,2.58,89995,1499,446345,3815883,42.40
AR,f,1941,35-39,0.00432,0.02139,2.58,88496,1893,437905,3369538,38.08
AR,f,1941,40-44,0.00551,0.02719,2.69,86603,2355,427588,2931634,33.85
AR,f,1941,45-49,0.00767,0.03764,2.59,84249,3171,413596,2504045,29.72
AR,f,1941,50-54,0.01021,0.04983,2.64,81078,4040,395839,2090449,25.78
AR,f,1941,55-59,0.01227,0.05959,2.59,77037,4591,374111,1694610,22.00
AR,f,1941,60-64,0.01910,0.09151,2.73,72447,6629,347165,1320499,18.23
AR,f,1941,65-69,0.02737,0.12861,2.65,65817,8465,309219,973334,14.79
AR,f,1941,70-74,0.04325,0.19610,2.62,57352,11247,260020,664115,11.58
AR,f,1941,75-79,0.06817,0.29310,2.61,46106,13514,198241,404096,8.76
AR,f,1941,80-84,0.12805,0.47919,2.38,32592,15618,121964,205854,6.32
AR,f,1941,85-89,0.17637,0.59521,2.27,16974,10103,57282,83891,4.94
AR,f,1941,90-94,0.23759,0.70702,2.14,6871,4858,20446,26608,3.87
AR,f,1941,95-99,0.31165,0.80286,1.98,2013,1616,5186,6162,3.06
AR,f,1941,100-104,0.39654,0.87553,1.81,397,347,876,976,2.46
AR,f,1941,105-109,0.48818,0.92465,1.64,49,46,94,100,2.03
AR,f,1941,110+,0.56325,1.00000,1.78,4,4,7,7,1.78
AR,f,1942,0,0.03924,0.03799,0.16,100000,3799,96820,6725840,67.26
AR,f,1942,1-4,0.00313,0.01240,1.4,96201,1193,381708,6629020,68.91
AR,f,1942,5-9,0.00072,0.00361,1.99,95008,343,474007,6247312,65.76
AR,f,1942,10-14,0.00090,0.00450,2.95,94665,426,472452,5773305,60.99
AR,f,1942,15-19,0.00192,0.00955,2.64,94239,900,469072,5300853,56.25
AR,f,1942,20-24,0.00215,0.01068,2.55,93338,997,464251,4831781,51.77
AR,f,1942,25-29,0.00263,0.01307,2.62,92342,1207,458839,4367530,47.30
AR,f,1942,30-34,0.00384,0.01903,2.64,91135,1734,451578,3908691,42.89
