AR: AR, Lifetables (period 1x10), Males Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1949	0	0.03827	0.03706	0.15	100000	3706	96841	6548755	65.49
1941-1949	1	0.00484	0.00483	0.5	96294	465	96061	6451914	67.00
1941-1949	2	0.00261	0.00261	0.5	95829	250	95704	6355852	66.33
1941-1949	3	0.00187	0.00187	0.5	95579	179	95489	6260149	65.50
1941-1949	4	0.00123	0.00123	0.5	95400	117	95341	6164659	64.62
1941-1949	5	0.00105	0.00104	0.5	95283	100	95233	6069318	63.70
1941-1949	6	0.00103	0.00103	0.5	95183	98	95135	5974085	62.76
1941-1949	7	0.00101	0.00101	0.5	95086	96	95038	5878950	61.83
1941-1949	8	0.00098	0.00098	0.5	94990	93	94943	5783913	60.89
1941-1949	9	0.00095	0.00095	0.5	94896	90	94851	5688969	59.95
1941-1949	10	0.00092	0.00092	0.5	94806	88	94762	5594118	59.01
1941-1949	11	0.00094	0.00094	0.5	94718	89	94674	5499356	58.06
1941-1949	12	0.00100	0.00100	0.5	94630	95	94583	5404682	57.11
1941-1949	13	0.00111	0.00111	0.5	94535	105	94483	5310099	56.17
1941-1949	14	0.00127	0.00127	0.5	94430	120	94370	5215616	55.23
1941-1949	15	0.00148	0.00148	0.5	94310	139	94240	5121246	54.30
1941-1949	16	0.00169	0.00169	0.5	94171	159	94091	5027006	53.38
1941-1949	17	0.00190	0.00189	0.5	94012	178	93923	4932914	52.47
1941-1949	18	0.00209	0.00209	0.5	93834	196	93736	4838991	51.57
1941-1949	19	0.00226	0.00226	0.5	93638	212	93532	4745256	50.68
1941-1949	20	0.00241	0.00241	0.5	93426	225	93313	4651724	49.79
1941-1949	21	0.00254	0.00254	0.5	93201	237	93082	4558410	48.91
1941-1949	22	0.00266	0.00265	0.5	92964	247	92841	4465328	48.03
1941-1949	23	0.00276	0.00275	0.5	92717	255	92590	4372487	47.16
1941-1949	24	0.00284	0.00284	0.5	92462	262	92331	4279897	46.29
1941-1949	25	0.00289	0.00289	0.5	92200	266	92067	4187566	45.42
1941-1949	26	0.00291	0.00291	0.5	91934	267	91800	4095500	44.55
1941-1949	27	0.00292	0.00292	0.5	91666	267	91533	4003700	43.68
1941-1949	28	0.00293	0.00292	0.5	91399	267	91265	3912167	42.80
1941-1949	29	0.00292	0.00291	0.5	91132	266	90999	3820902	41.93
1941-1949	30	0.00292	0.00291	0.5	90866	265	90734	3729903	41.05
1941-1949	31	0.00294	0.00293	0.5	90601	266	90469	3639169	40.17
1941-1949	32	0.00301	0.00300	0.5	90336	271	90200	3548700	39.28
1941-1949	33	0.00313	0.00313	0.5	90064	282	89924	3458500	38.40
1941-1949	34	0.00330	0.00330	0.5	89783	296	89635	3368577	37.52
1941-1949	35	0.00354	0.00353	0.5	89487	316	89329	3278942	36.64
1941-1949	36	0.00377	0.00376	0.5	89171	335	89003	3189613	35.77
1941-1949	37	0.00400	0.00399	0.5	88836	355	88658	3100610	34.90
1941-1949	38	0.00428	0.00427	0.5	88481	377	88292	3011951	34.04
1941-1949	39	0.00454	0.00453	0.5	88103	399	87904	2923659	33.18
1941-1949	40	0.00478	0.00477	0.5	87704	418	87495	2835755	32.33
1941-1949	41	0.00502	0.00501	0.5	87286	437	87067	2748260	31.49
1941-1949	42	0.00538	0.00537	0.5	86849	466	86616	2661193	30.64
1941-1949	43	0.00586	0.00584	0.5	86382	504	86130	2574577	29.80
1941-1949	44	0.00632	0.00630	0.5	85878	541	85607	2488447	28.98
1941-1949	45	0.00685	0.00683	0.5	85337	583	85046	2402839	28.16
1941-1949	46	0.00740	0.00737	0.5	84754	625	84442	2317794	27.35
1941-1949	47	0.00803	0.00800	0.5	84129	673	83793	2233352	26.55
1941-1949	48	0.00884	0.00880	0.5	83456	734	83089	2149559	25.76
1941-1949	49	0.00981	0.00976	0.5	82722	807	82318	2066470	24.98
1941-1949	50	0.01086	0.01080	0.5	81915	885	81472	1984152	24.22
1941-1949	51	0.01163	0.01157	0.5	81030	937	80561	1902679	23.48
1941-1949	52	0.01239	0.01231	0.5	80093	986	79600	1822118	22.75
1941-1949	53	0.01326	0.01317	0.5	79106	1042	78585	1742519	22.03
1941-1949	54	0.01409	0.01399	0.5	78065	1092	77518	1663933	21.31
1941-1949	55	0.01495	0.01484	0.5	76972	1142	76401	1586415	20.61
1941-1949	56	0.01576	0.01564	0.5	75830	1186	75237	1510014	19.91
1941-1949	57	0.01664	0.01651	0.5	74644	1232	74028	1434777	19.22
1941-1949	58	0.01771	0.01755	0.5	73412	1289	72767	1360750	18.54
1941-1949	59	0.01881	0.01863	0.5	72123	1344	71451	1287982	17.86
1941-1949	60	0.01994	0.01974	0.5	70779	1397	70081	1216531	17.19
1941-1949	61	0.02101	0.02079	0.5	69382	1442	68661	1146450	16.52
1941-1949	62	0.02239	0.02214	0.5	67940	1504	67188	1077789	15.86
1941-1949	63	0.02429	0.02400	0.5	66436	1594	65638	1010602	15.21
1941-1949	64	0.02650	0.02615	0.5	64841	1696	63993	944963	14.57
1941-1949	65	0.02933	0.02891	0.5	63145	1825	62233	880970	13.95
1941-1949	66	0.03188	0.03138	0.5	61320	1924	60358	818737	13.35
1941-1949	67	0.03433	0.03375	0.5	59396	2005	58394	758379	12.77
