PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
AR,m,1941-1949,0,0.03827,0.03706,0.15,100000,3706,96841,6548755,65.49
AR,m,1941-1949,1-4,0.00264,0.01050,1.45,96294,1011,382596,6451914,67.00
AR,m,1941-1949,5-9,0.00100,0.00500,2.45,95283,477,475200,6069318,63.70
AR,m,1941-1949,10-14,0.00105,0.00523,2.66,94806,496,472872,5594118,59.01
AR,m,1941-1949,15-19,0.00188,0.00937,2.71,94310,884,469523,5121246,54.30
AR,m,1941-1949,20-24,0.00264,0.01312,2.58,93426,1226,464157,4651724,49.79
AR,m,1941-1949,25-29,0.00291,0.01446,2.5,92200,1334,457664,4187566,45.42
AR,m,1941-1949,30-34,0.00306,0.01518,2.56,90866,1379,450961,3729903,41.05
AR,m,1941-1949,35-39,0.00402,0.01992,2.62,89487,1783,443187,3278942,36.64
AR,m,1941-1949,40-44,0.00547,0.02699,2.63,87704,2367,432916,2835755,32.33
AR,m,1941-1949,45-49,0.00817,0.04010,2.66,85337,3422,418688,2402839,28.16
AR,m,1941-1949,50-54,0.01243,0.06034,2.61,81915,4943,397737,1984152,24.22
AR,m,1941-1949,55-59,0.01674,0.08045,2.58,76972,6193,369884,1586415,20.61
AR,m,1941-1949,60-64,0.02275,0.10786,2.6,70779,7634,335561,1216531,17.19
AR,m,1941-1949,65-69,0.03443,0.15894,2.59,63145,10036,291523,880970,13.95
AR,m,1941-1949,70-74,0.04888,0.21817,2.54,53109,11587,237056,589447,11.10
AR,m,1941-1949,75-79,0.07289,0.30866,2.52,41522,12816,175818,352391,8.49
AR,m,1941-1949,80-84,0.13260,0.49136,2.37,28706,14105,106373,176573,6.15
AR,m,1941-1949,85-89,0.18250,0.60806,2.26,14601,8878,48648,70200,4.81
AR,m,1941-1949,90-94,0.24549,0.71911,2.12,5723,4115,16764,21552,3.77
AR,m,1941-1949,95-99,0.32129,0.81289,1.96,1607,1307,4067,4788,2.98
AR,m,1941-1949,100-104,0.40765,0.88289,1.79,301,266,651,721,2.40
AR,m,1941-1949,105-109,0.50017,0.92949,1.62,35,33,65,70,1.98
AR,m,1941-1949,110+,0.57574,1.00000,1.74,2,2,4,4,1.74
AR,m,1950-1959,0,0.03119,0.03036,0.13,100000,3036,97355,6730663,67.31
AR,m,1950-1959,1-4,0.00164,0.00655,1.51,96964,635,386272,6633308,68.41
AR,m,1950-1959,5-9,0.00062,0.00311,2.35,96329,300,480850,6247036,64.85
AR,m,1950-1959,10-14,0.00079,0.00394,2.79,96029,378,479312,5766186,60.05
AR,m,1950-1959,15-19,0.00160,0.00795,2.68,95652,760,476495,5286874,55.27
AR,m,1950-1959,20-24,0.00214,0.01063,2.53,94891,1009,471966,4810379,50.69
AR,m,1950-1959,25-29,0.00217,0.01080,2.51,93882,1014,466887,4338413,46.21
AR,m,1950-1959,30-34,0.00246,0.01225,2.59,92868,1138,461594,3871526,41.69
AR,m,1950-1959,35-39,0.00328,0.01626,2.63,91731,1491,455113,3409932,37.17
AR,m,1950-1959,40-44,0.00470,0.02326,2.64,90239,2099,446249,2954819,32.74
AR,m,1950-1959,45-49,0.00701,0.03449,2.64,88141,3040,433526,2508570,28.46
AR,m,1950-1959,50-54,0.01065,0.05197,2.67,85100,4422,415212,2075044,24.38
AR,m,1950-1959,55-59,0.01666,0.08012,2.64,80678,6464,388111,1659832,20.57
AR,m,1950-1959,60-64,0.02395,0.11326,2.6,74214,8405,350903,1271721,17.14
AR,m,1950-1959,65-69,0.03479,0.16034,2.56,65809,10552,303327,920818,13.99
AR,m,1950-1959,70-74,0.04908,0.21914,2.56,55257,12109,246733,617490,11.17
AR,m,1950-1959,75-79,0.07307,0.30939,2.52,43148,13350,182689,370758,8.59
AR,m,1950-1959,80-84,0.12462,0.47079,2.4,29798,14029,112569,188069,6.31
