PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
AZ,b,1941,0,0.09523,0.08936,0.31,100000,8936,93840,5902708,59.03
AZ,b,1941,1,0.01804,0.01787,0.5,91064,1628,90250,5808868,63.79
AZ,b,1941,2,0.00640,0.00638,0.5,89436,570,89151,5718618,63.94
AZ,b,1941,3,0.00487,0.00485,0.5,88866,431,88650,5629468,63.35
AZ,b,1941,4,0.00224,0.00224,0.5,88434,198,88335,5540817,62.65
AZ,b,1941,5,0.00158,0.00158,0.5,88236,140,88167,5452482,61.79
AZ,b,1941,6,0.00174,0.00174,0.5,88097,153,88020,5364315,60.89
AZ,b,1941,7,0.00183,0.00183,0.5,87944,161,87863,5276295,60.00
AZ,b,1941,8,0.00181,0.00180,0.5,87783,158,87704,5188432,59.11
AZ,b,1941,9,0.00161,0.00161,0.5,87624,141,87554,5100729,58.21
AZ,b,1941,10,0.00137,0.00136,0.5,87483,119,87424,5013175,57.30
AZ,b,1941,11,0.00124,0.00124,0.5,87364,108,87310,4925751,56.38
AZ,b,1941,12,0.00129,0.00129,0.5,87256,113,87200,4838441,55.45
AZ,b,1941,13,0.00147,0.00147,0.5,87143,128,87079,4751241,54.52
AZ,b,1941,14,0.00178,0.00178,0.5,87015,155,86938,4664162,53.60
AZ,b,1941,15,0.00225,0.00225,0.5,86860,195,86763,4577224,52.70
AZ,b,1941,16,0.00265,0.00265,0.5,86665,230,86550,4490461,51.81
AZ,b,1941,17,0.00290,0.00289,0.5,86436,250,86311,4403911,50.95
AZ,b,1941,18,0.00308,0.00307,0.5,86186,265,86053,4317600,50.10
AZ,b,1941,19,0.00309,0.00309,0.5,85921,265,85788,4231547,49.25
AZ,b,1941,20,0.00306,0.00305,0.5,85655,261,85525,4145759,48.40
AZ,b,1941,21,0.00312,0.00312,0.5,85394,266,85261,4060234,47.55
AZ,b,1941,22,0.00318,0.00317,0.5,85128,270,84993,3974973,46.69
AZ,b,1941,23,0.00325,0.00325,0.5,84858,276,84720,3889980,45.84
AZ,b,1941,24,0.00329,0.00328,0.5,84582,278,84443,3805260,44.99
AZ,b,1941,25,0.00335,0.00334,0.5,84304,282,84163,3720817,44.14
AZ,b,1941,26,0.00338,0.00337,0.5,84023,283,83881,3636653,43.28
AZ,b,1941,27,0.00345,0.00345,0.5,83739,289,83595,3552772,42.43
AZ,b,1941,28,0.00354,0.00353,0.5,83451,295,83303,3469177,41.57
AZ,b,1941,29,0.00353,0.00352,0.5,83156,293,83009,3385874,40.72
AZ,b,1941,30,0.00350,0.00349,0.5,82863,289,82718,3302865,39.86
AZ,b,1941,31,0.00352,0.00352,0.5,82574,291,82428,3220147,39.00
AZ,b,1941,32,0.00392,0.00391,0.5,82283,322,82122,3137718,38.13
AZ,b,1941,33,0.00427,0.00426,0.5,81961,349,81787,3055596,37.28
AZ,b,1941,34,0.00449,0.00448,0.5,81612,365,81430,2973809,36.44
AZ,b,1941,35,0.00491,0.00490,0.5,81247,398,81048,2892380,35.60
AZ,b,1941,36,0.00509,0.00507,0.5,80849,410,80644,2811332,34.77
AZ,b,1941,37,0.00548,0.00547,0.5,80439,440,80219,2730688,33.95
AZ,b,1941,38,0.00604,0.00602,0.5,79999,482,79758,2650469,33.13
AZ,b,1941,39,0.00600,0.00598,0.5,79517,476,79279,2570711,32.33
AZ,b,1941,40,0.00556,0.00555,0.5,79041,438,78822,2491432,31.52
AZ,b,1941,41,0.00552,0.00550,0.5,78603,432,78387,2412610,30.69
AZ,b,1941,42,0.00673,0.00671,0.5,78170,524,77908,2334224,29.86
AZ,b,1941,43,0.00763,0.00760,0.5,77646,590,77351,2256315,29.06
AZ,b,1941,44,0.00781,0.00778,0.5,77056,600,76756,2178964,28.28
AZ,b,1941,45,0.00872,0.00868,0.5,76456,664,76124,2102208,27.50
AZ,b,1941,46,0.00893,0.00889,0.5,75793,674,75455,2026084,26.73
AZ,b,1941,47,0.00979,0.00974,0.5,75118,731,74753,1950629,25.97
AZ,b,1941,48,0.01076,0.01070,0.5,74387,796,73989,1875876,25.22
AZ,b,1941,49,0.01069,0.01063,0.5,73591,783,73200,1801887,24.49
AZ,b,1941,50,0.01092,0.01086,0.5,72808,791,72413,1728687,23.74
AZ,b,1941,51,0.01107,0.01101,0.5,72018,793,71621,1656275,23.00
AZ,b,1941,52,0.01251,0.01243,0.5,71225,886,70782,1584653,22.25
AZ,b,1941,53,0.01391,0.01382,0.5,70339,972,69853,1513872,21.52
AZ,b,1941,54,0.01464,0.01453,0.5,69367,1008,68863,1444019,20.82
AZ,b,1941,55,0.01598,0.01585,0.5,68359,1083,67818,1375155,20.12
AZ,b,1941,56,0.01631,0.01618,0.5,67276,1088,66732,1307338,19.43
AZ,b,1941,57,0.01786,0.01770,0.5,66187,1172,65602,1240606,18.74
AZ,b,1941,58,0.02028,0.02007,0.5,65016,1305,64363,1175005,18.07
AZ,b,1941,59,0.02093,0.02071,0.5,63711,1319,63051,1110641,17.43
AZ,b,1941,60,0.02176,0.02153,0.5,62391,1343,61720,1047591,16.79
AZ,b,1941,61,0.02295,0.02269,0.5,61048,1385,60356,985871,16.15
AZ,b,1941,62,0.02767,0.02729,0.5,59663,1628,58849,925515,15.51
AZ,b,1941,63,0.03235,0.03183,0.5,58035,1847,57111,866666,14.93
AZ,b,1941,64,0.03169,0.03120,0.5,56187,1753,55311,809555,14.41
AZ,b,1941,65,0.03163,0.03114,0.5,54435,1695,53587,754244,13.86
AZ,b,1941,66,0.03065,0.03019,0.5,52740,1592,51944,700657,13.29
AZ,b,1941,67,0.03519,0.03458,0.5,51147,1769,50263,648714,12.68
AZ,b,1941,68,0.04182,0.04096,0.5,49379,2023,48367,598451,12.12
AZ,b,1941,69,0.04327,0.04235,0.5,47356,2006,46353,550083,11.62
AZ,b,1941,70,0.04567,0.04465,0.5,45350,2025,44338,503730,11.11
AZ,b,1941,71,0.04627,0.04522,0.5,43325,1959,42346,459392,10.60
AZ,b,1941,72,0.05371,0.05231,0.5,41366,2164,40284,417047,10.08
AZ,b,1941,73,0.06350,0.06155,0.5,39202,2413,37996,376762,9.61
AZ,b,1941,74,0.06601,0.06390,0.5,36790,2351,35614,338766,9.21
AZ,b,1941,75,0.07304,0.07047,0.5,34439,2427,33225,303152,8.80
AZ,b,1941,76,0.07402,0.07138,0.5,32012,2285,30869,269927,8.43
AZ,b,1941,77,0.08134,0.07816,0.5,29727,2324,28565,239058,8.04
AZ,b,1941,78,0.10235,0.09737,0.5,27403,2668,26069,210492,7.68
AZ,b,1941,79,0.10115,0.09628,0.5,24735,2382,23544,184423,7.46
AZ,b,1941,80,0.09882,0.09417,0.5,22354,2105,21301,160879,7.20
AZ,b,1941,81,0.10472,0.09951,0.5,20249,2015,19241,139578,6.89
AZ,b,1941,82,0.11098,0.10515,0.5,18234,1917,17275,120336,6.60
AZ,b,1941,83,0.11763,0.11109,0.5,16316,1813,15410,103061,6.32
AZ,b,1941,84,0.12467,0.11736,0.5,14504,1702,13653,87651,6.04
AZ,b,1941,85,0.13214,0.12395,0.5,12802,1587,12008,73998,5.78
AZ,b,1941,86,0.14004,0.13088,0.5,11215,1468,10481,61990,5.53
AZ,b,1941,87,0.14840,0.13815,0.5,9747,1347,9074,51509,5.28
AZ,b,1941,88,0.15723,0.14577,0.5,8401,1225,7788,42435,5.05
AZ,b,1941,89,0.16654,0.15374,0.5,7176,1103,6624,34647,4.83
AZ,b,1941,90,0.17636,0.16207,0.5,6073,984,5581,28022,4.61
AZ,b,1941,91,0.18668,0.17075,0.5,5089,869,4654,22442,4.41
AZ,b,1941,92,0.19753,0.17977,0.5,4220,759,3840,17788,4.22
AZ,b,1941,93,0.20889,0.18914,0.5,3461,655,3134,13947,4.03
AZ,b,1941,94,0.22078,0.19883,0.5,2807,558,2528,10813,3.85
AZ,b,1941,95,0.23318,0.20884,0.5,2248,470,2014,8286,3.69
AZ,b,1941,96,0.24610,0.21914,0.5,1779,390,1584,6272,3.53
AZ,b,1941,97,0.25952,0.22971,0.5,1389,319,1230,4688,3.37
AZ,b,1941,98,0.27341,0.24053,0.5,1070,257,941,3459,3.23
AZ,b,1941,99,0.28776,0.25157,0.5,813,204,710,2517,3.10
AZ,b,1941,100,0.30254,0.26279,0.5,608,160,528,1807,2.97
AZ,b,1941,101,0.31771,0.27416,0.5,448,123,387,1278,2.85
AZ,b,1941,102,0.33324,0.28564,0.5,325,93,279,892,2.74
AZ,b,1941,103,0.34907,0.29720,0.5,232,69,198,613,2.63
AZ,b,1941,104,0.36517,0.30879,0.5,163,50,138,415,2.54
AZ,b,1941,105,0.38148,0.32037,0.5,113,36,95,276,2.45
AZ,b,1941,106,0.39795,0.33191,0.5,77,25,64,182,2.37
AZ,b,1941,107,0.41452,0.34336,0.5,51,18,42,118,2.29
AZ,b,1941,108,0.43115,0.35469,0.5,34,12,28,75,2.23
AZ,b,1941,109,0.44777,0.36586,0.5,22,8,18,47,2.18
AZ,b,1941,110+,0.46434,1.00000,2.15,14,14,30,30,2.15
AZ,b,1942,0,0.08703,0.08196,0.29,100000,8196,94170,5966108,59.66
AZ,b,1942,1,0.01643,0.01630,0.5,91804,1496,91056,5871938,63.96
AZ,b,1942,2,0.00768,0.00765,0.5,90308,691,89962,5780883,64.01
AZ,b,1942,3,0.00347,0.00346,0.5,89617,310,89462,5690920,63.50
AZ,b,1942,4,0.00220,0.00220,0.5,89306,196,89208,5601459,62.72
AZ,b,1942,5,0.00179,0.00179,0.5,89110,159,89030,5512251,61.86
AZ,b,1942,6,0.00163,0.00163,0.5,88951,145,88878,5423220,60.97
AZ,b,1942,7,0.00151,0.00151,0.5,88806,134,88738,5334342,60.07
AZ,b,1942,8,0.00148,0.00148,0.5,88671,131,88606,5245604,59.16
AZ,b,1942,9,0.00149,0.00149,0.5,88540,132,88474,5156998,58.24
AZ,b,1942,10,0.00151,0.00151,0.5,88408,133,88341,5068524,57.33
AZ,b,1942,11,0.00155,0.00155,0.5,88275,137,88206,4980183,56.42
AZ,b,1942,12,0.00162,0.00162,0.5,88137,143,88066,4891976,55.50
AZ,b,1942,13,0.00172,0.00172,0.5,87995,152,87919,4803910,54.59
AZ,b,1942,14,0.00181,0.00181,0.5,87843,159,87764,4715991,53.69
AZ,b,1942,15,0.00190,0.00189,0.5,87684,166,87601,4628228,52.78
AZ,b,1942,16,0.00209,0.00209,0.5,87518,183,87427,4540626,51.88
AZ,b,1942,17,0.00237,0.00237,0.5,87335,207,87232,4453199,50.99
AZ,b,1942,18,0.00269,0.00269,0.5,87129,234,87011,4365967,50.11
AZ,b,1942,19,0.00314,0.00313,0.5,86894,272,86758,4278956,49.24
AZ,b,1942,20,0.00356,0.00356,0.5,86622,308,86468,4192197,48.40
AZ,b,1942,21,0.00392,0.00391,0.5,86314,338,86145,4105729,47.57
AZ,b,1942,22,0.00425,0.00424,0.5,85977,364,85794,4019584,46.75
AZ,b,1942,23,0.00440,0.00439,0.5,85612,376,85424,3933790,45.95
AZ,b,1942,24,0.00437,0.00436,0.5,85236,372,85051,3848365,45.15
AZ,b,1942,25,0.00409,0.00409,0.5,84865,347,84691,3763315,44.34
AZ,b,1942,26,0.00385,0.00384,0.5,84518,325,84355,3678624,43.52
AZ,b,1942,27,0.00367,0.00366,0.5,84193,308,84039,3594268,42.69
AZ,b,1942,28,0.00364,0.00363,0.5,83885,305,83732,3510229,41.85
AZ,b,1942,29,0.00371,0.00371,0.5,83580,310,83425,3426497,41.00
AZ,b,1942,30,0.00378,0.00377,0.5,83270,314,83113,3343072,40.15
AZ,b,1942,31,0.00386,0.00386,0.5,82956,320,82796,3259958,39.30
AZ,b,1942,32,0.00402,0.00401,0.5,82636,331,82471,3177162,38.45
AZ,b,1942,33,0.00455,0.00454,0.5,82305,374,82118,3094691,37.60
AZ,b,1942,34,0.00499,0.00497,0.5,81931,408,81728,3012573,36.77
AZ,b,1942,35,0.00521,0.00520,0.5,81524,424,81312,2930845,35.95
AZ,b,1942,36,0.00559,0.00558,0.5,81100,452,80874,2849533,35.14
AZ,b,1942,37,0.00564,0.00563,0.5,80648,454,80421,2768659,34.33
AZ,b,1942,38,0.00589,0.00587,0.5,80194,471,79958,2688239,33.52
AZ,b,1942,39,0.00623,0.00621,0.5,79723,495,79475,2608280,32.72
AZ,b,1942,40,0.00598,0.00596,0.5,79228,472,78992,2528805,31.92
AZ,b,1942,41,0.00553,0.00552,0.5,78755,434,78538,2449813,31.11
