PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
AZ,f,1941,0,0.08681,0.08181,0.3,100000,8181,94241,6274957,62.75
AZ,f,1941,1,0.01779,0.01764,0.5,91819,1620,91009,6180715,67.31
AZ,f,1941,2,0.00629,0.00627,0.5,90200,565,89917,6089706,67.51
AZ,f,1941,3,0.00399,0.00399,0.5,89634,357,89456,5999789,66.94
AZ,f,1941,4,0.00163,0.00163,0.5,89277,146,89204,5910333,66.20
AZ,f,1941,5,0.00129,0.00129,0.5,89131,115,89074,5821129,65.31
AZ,f,1941,6,0.00162,0.00162,0.5,89016,144,88944,5732055,64.39
AZ,f,1941,7,0.00182,0.00182,0.5,88872,161,88791,5643111,63.50
AZ,f,1941,8,0.00181,0.00181,0.5,88710,161,88630,5554320,62.61
AZ,f,1941,9,0.00154,0.00154,0.5,88550,136,88482,5465690,61.72
AZ,f,1941,10,0.00116,0.00116,0.5,88413,103,88362,5377208,60.82
AZ,f,1941,11,0.00095,0.00095,0.5,88311,84,88269,5288846,59.89
AZ,f,1941,12,0.00098,0.00098,0.5,88227,86,88184,5200577,58.95
AZ,f,1941,13,0.00122,0.00122,0.5,88141,107,88087,5112393,58.00
AZ,f,1941,14,0.00165,0.00165,0.5,88034,145,87961,5024305,57.07
AZ,f,1941,15,0.00230,0.00230,0.5,87888,202,87787,4936344,56.17
AZ,f,1941,16,0.00285,0.00284,0.5,87686,249,87562,4848557,55.29
AZ,f,1941,17,0.00314,0.00313,0.5,87437,274,87300,4760995,54.45
AZ,f,1941,18,0.00328,0.00328,0.5,87163,286,87020,4673695,53.62
AZ,f,1941,19,0.00316,0.00316,0.5,86878,274,86740,4586675,52.79
AZ,f,1941,20,0.00297,0.00296,0.5,86603,256,86475,4499934,51.96
AZ,f,1941,21,0.00290,0.00290,0.5,86347,250,86222,4413459,51.11
AZ,f,1941,22,0.00283,0.00282,0.5,86096,243,85975,4327237,50.26
AZ,f,1941,23,0.00278,0.00277,0.5,85854,238,85734,4241262,49.40
AZ,f,1941,24,0.00273,0.00273,0.5,85615,234,85499,4155528,48.54
AZ,f,1941,25,0.00275,0.00274,0.5,85382,234,85265,4070029,47.67
AZ,f,1941,26,0.00272,0.00272,0.5,85147,232,85032,3984765,46.80
AZ,f,1941,27,0.00276,0.00276,0.5,84916,234,84799,3899733,45.92
AZ,f,1941,28,0.00278,0.00278,0.5,84682,235,84564,3814934,45.05
AZ,f,1941,29,0.00268,0.00268,0.5,84446,226,84333,3730370,44.17
AZ,f,1941,30,0.00260,0.00259,0.5,84220,218,84111,3646037,43.29
AZ,f,1941,31,0.00262,0.00261,0.5,84002,219,83892,3561926,42.40
AZ,f,1941,32,0.00294,0.00293,0.5,83782,246,83660,3478034,41.51
AZ,f,1941,33,0.00324,0.00324,0.5,83537,270,83402,3394374,40.63
AZ,f,1941,34,0.00347,0.00347,0.5,83266,289,83122,3310972,39.76
AZ,f,1941,35,0.00390,0.00389,0.5,82978,323,82816,3227850,38.90
AZ,f,1941,36,0.00414,0.00413,0.5,82655,341,82484,3145034,38.05
AZ,f,1941,37,0.00459,0.00458,0.5,82314,377,82125,3062549,37.21
