PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
AZ,m,1941-1944,0,0.09207,0.08644,0.29,100000,8644,93881,5638558,56.39
AZ,m,1941-1944,1,0.01551,0.01539,0.5,91356,1406,90653,5544677,60.69
AZ,m,1941-1944,2,0.00666,0.00664,0.5,89950,597,89651,5454024,60.63
AZ,m,1941-1944,3,0.00368,0.00367,0.5,89353,328,89189,5364373,60.04
AZ,m,1941-1944,4,0.00265,0.00265,0.5,89024,236,88907,5275184,59.26
AZ,m,1941-1944,5,0.00204,0.00204,0.5,88789,181,88698,5186277,58.41
AZ,m,1941-1944,6,0.00171,0.00171,0.5,88607,152,88532,5097579,57.53
AZ,m,1941-1944,7,0.00151,0.00151,0.5,88456,133,88389,5009048,56.63
AZ,m,1941-1944,8,0.00142,0.00141,0.5,88323,125,88260,4920658,55.71
AZ,m,1941-1944,9,0.00142,0.00142,0.5,88198,125,88135,4832398,54.79
AZ,m,1941-1944,10,0.00150,0.00150,0.5,88073,132,88007,4744263,53.87
AZ,m,1941-1944,11,0.00159,0.00158,0.5,87941,139,87871,4656256,52.95
AZ,m,1941-1944,12,0.00168,0.00167,0.5,87801,147,87728,4568385,52.03
AZ,m,1941-1944,13,0.00177,0.00176,0.5,87654,155,87577,4480657,51.12
AZ,m,1941-1944,14,0.00185,0.00185,0.5,87500,162,87419,4393080,50.21
AZ,m,1941-1944,15,0.00198,0.00198,0.5,87338,173,87252,4305661,49.30
AZ,m,1941-1944,16,0.00229,0.00229,0.5,87165,200,87065,4218410,48.40
AZ,m,1941-1944,17,0.00282,0.00281,0.5,86965,245,86843,4131344,47.51
AZ,m,1941-1944,18,0.00356,0.00356,0.5,86721,308,86566,4044501,46.64
AZ,m,1941-1944,19,0.00453,0.00452,0.5,86412,391,86217,3957935,45.80
AZ,m,1941-1944,20,0.00562,0.00560,0.5,86021,482,85781,3871718,45.01
AZ,m,1941-1944,21,0.00642,0.00640,0.5,85540,547,85266,3785937,44.26
AZ,m,1941-1944,22,0.00681,0.00679,0.5,84993,577,84704,3700671,43.54
AZ,m,1941-1944,23,0.00684,0.00682,0.5,84416,576,84128,3615967,42.84
AZ,m,1941-1944,24,0.00645,0.00643,0.5,83840,539,83571,3531839,42.13
AZ,m,1941-1944,25,0.00567,0.00566,0.5,83301,471,83066,3448269,41.40
AZ,m,1941-1944,26,0.00496,0.00495,0.5,82830,410,82625,3365203,40.63
AZ,m,1941-1944,27,0.00445,0.00444,0.5,82420,366,82237,3282578,39.83
AZ,m,1941-1944,28,0.00424,0.00423,0.5,82054,347,81880,3200341,39.00
AZ,m,1941-1944,29,0.00432,0.00431,0.5,81707,352,81531,3118461,38.17
AZ,m,1941-1944,30,0.00462,0.00461,0.5,81355,375,81167,3036930,37.33
AZ,m,1941-1944,31,0.00492,0.00490,0.5,80979,397,80781,2955763,36.50
AZ,m,1941-1944,32,0.00523,0.00522,0.5,80582,421,80372,2874982,35.68
AZ,m,1941-1944,33,0.00554,0.00553,0.5,80162,443,79940,2794610,34.86
AZ,m,1941-1944,34,0.00578,0.00576,0.5,79719,459,79489,2714670,34.05
