CA: CA, Lifetables (period 1x5), Both sexes Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1944	0	0.03763	0.03647	0.15	100000	3647	96911	6540780	65.41
1941-1944	1	0.00358	0.00358	0.5	96353	345	96181	6443869	66.88
1941-1944	2	0.00224	0.00224	0.5	96009	215	95901	6347688	66.12
1941-1944	3	0.00168	0.00168	0.5	95794	161	95713	6251787	65.26
1941-1944	4	0.00143	0.00143	0.5	95633	136	95565	6156074	64.37
1941-1944	5	0.00124	0.00124	0.5	95497	118	95438	6060509	63.46
1941-1944	6	0.00109	0.00109	0.5	95379	104	95327	5965071	62.54
1941-1944	7	0.00097	0.00097	0.5	95275	93	95228	5869745	61.61
1941-1944	8	0.00088	0.00088	0.5	95182	84	95140	5774516	60.67
1941-1944	9	0.00081	0.00081	0.5	95098	77	95060	5679376	59.72
1941-1944	10	0.00076	0.00076	0.5	95021	73	94985	5584317	58.77
1941-1944	11	0.00076	0.00076	0.5	94949	72	94912	5489332	57.81
1941-1944	12	0.00081	0.00081	0.5	94876	77	94838	5394419	56.86
1941-1944	13	0.00090	0.00090	0.5	94800	85	94757	5299581	55.90
1941-1944	14	0.00104	0.00104	0.5	94714	98	94665	5204824	54.95
1941-1944	15	0.00121	0.00121	0.5	94616	115	94559	5110159	54.01
1941-1944	16	0.00140	0.00140	0.5	94502	132	94435	5015600	53.07
1941-1944	17	0.00161	0.00161	0.5	94369	152	94293	4921165	52.15
1941-1944	18	0.00183	0.00183	0.5	94218	172	94131	4826871	51.23
1941-1944	19	0.00207	0.00206	0.5	94045	194	93948	4732740	50.32
1941-1944	20	0.00231	0.00231	0.5	93851	216	93743	4638792	49.43
1941-1944	21	0.00250	0.00249	0.5	93635	234	93518	4545049	48.54
1941-1944	22	0.00260	0.00260	0.5	93401	243	93280	4451531	47.66
1941-1944	23	0.00265	0.00265	0.5	93159	247	93035	4358251	46.78
1941-1944	24	0.00264	0.00263	0.5	92912	245	92789	4265216	45.91
1941-1944	25	0.00254	0.00254	0.5	92667	235	92549	4172426	45.03
1941-1944	26	0.00244	0.00244	0.5	92432	225	92319	4079877	44.14
1941-1944	27	0.00237	0.00237	0.5	92206	218	92097	3987558	43.25
1941-1944	28	0.00235	0.00235	0.5	91988	216	91880	3895461	42.35
1941-1944	29	0.00238	0.00238	0.5	91772	218	91663	3803581	41.45
1941-1944	30	0.00247	0.00247	0.5	91554	226	91441	3711918	40.54
1941-1944	31	0.00260	0.00259	0.5	91328	237	91209	3620477	39.64
1941-1944	32	0.00275	0.00275	0.5	91091	251	90966	3529268	38.74
1941-1944	33	0.00296	0.00296	0.5	90840	268	90706	3438302	37.85
1941-1944	34	0.00320	0.00320	0.5	90572	290	90427	3347596	36.96
1941-1944	35	0.00351	0.00350	0.5	90282	316	90124	3257169	36.08
1941-1944	36	0.00378	0.00377	0.5	89966	339	89796	3167045	35.20
1941-1944	37	0.00407	0.00406	0.5	89626	364	89444	3077249	34.33
1941-1944	38	0.00444	0.00443	0.5	89262	395	89065	2987805	33.47
1941-1944	39	0.00475	0.00474	0.5	88867	421	88657	2898740	32.62
1941-1944	40	0.00502	0.00500	0.5	88446	443	88225	2810084	31.77
1941-1944	41	0.00524	0.00523	0.5	88003	460	87774	2721859	30.93
1941-1944	42	0.00555	0.00554	0.5	87544	485	87301	2634085	30.09
1941-1944	43	0.00597	0.00595	0.5	87059	518	86800	2546784	29.25
1941-1944	44	0.00650	0.00648	0.5	86541	561	86261	2459984	28.43
1941-1944	45	0.00725	0.00722	0.5	85980	621	85670	2373724	27.61
1941-1944	46	0.00780	0.00777	0.5	85359	663	85027	2288054	26.81
1941-1944	47	0.00834	0.00831	0.5	84696	704	84344	2203027	26.01
1941-1944	48	0.00906	0.00902	0.5	83992	758	83613	2118683	25.22
1941-1944	49	0.00976	0.00971	0.5	83234	809	82830	2035070	24.45
1941-1944	50	0.01058	0.01052	0.5	82426	867	81992	1952240	23.68
1941-1944	51	0.01128	0.01121	0.5	81558	915	81101	1870248	22.93
1941-1944	52	0.01208	0.01200	0.5	80644	968	80160	1789147	22.19
1941-1944	53	0.01302	0.01293	0.5	79676	1031	79160	1708987	21.45
1941-1944	54	0.01397	0.01387	0.5	78645	1091	78100	1629827	20.72
1941-1944	55	0.01514	0.01503	0.5	77554	1166	76971	1551727	20.01
1941-1944	56	0.01614	0.01601	0.5	76389	1223	75777	1474756	19.31
1941-1944	57	0.01713	0.01699	0.5	75166	1277	74527	1398978	18.61
1941-1944	58	0.01844	0.01827	0.5	73889	1350	73214	1324451	17.92
1941-1944	59	0.01979	0.01960	0.5	72539	1422	71828	1251237	17.25
1941-1944	60	0.02142	0.02119	0.5	71117	1507	70364	1179409	16.58
1941-1944	61	0.02303	0.02276	0.5	69610	1585	68818	1109046	15.93
1941-1944	62	0.02487	0.02457	0.5	68025	1671	67190	1040228	15.29
1941-1944	63	0.02721	0.02685	0.5	66354	1781	65463	973038	14.66
1941-1944	64	0.02943	0.02900	0.5	64573	1873	63636	907575	14.06
1941-1944	65	0.03191	0.03140	0.5	62700	1969	61715	843939	13.46
1941-1944	66	0.03373	0.03317	0.5	60731	2015	59724	782223	12.88
1941-1944	67	0.03597	0.03533	0.5	58716	2075	57679	722500	12.30
1941-1944	68	0.03953	0.03876	0.5	56642	2195	55544	664821	11.74
1941-1944	69	0.04333	0.04241	0.5	54446	2309	53292	609277	11.19
1941-1944	70	0.04795	0.04683	0.5	52137	2442	50916	555985	10.66
1941-1944	71	0.05186	0.05054	0.5	49695	2512	48439	505069	10.16
1941-1944	72	0.05585	0.05434	0.5	47183	2564	45902	456630	9.68
1941-1944	73	0.06085	0.05906	0.5	44620	2635	43302	410728	9.21
1941-1944	74	0.06588	0.06378	0.5	41985	2678	40646	367426	8.75
1941-1944	75	0.07209	0.06958	0.5	39307	2735	37939	326780	8.31
1941-1944	76	0.07709	0.07423	0.5	36572	2715	35215	288841	7.90
1941-1944	77	0.08183	0.07862	0.5	33857	2662	32526	253626	7.49
1941-1944	78	0.08988	0.08601	0.5	31195	2683	29854	221100	7.09
1941-1944	79	0.09927	0.09457	0.5	28512	2696	27164	191246	6.71
1941-1944	80	0.10163	0.09672	0.5	25816	2497	24567	164082	6.36
1941-1944	81	0.11215	0.10619	0.5	23319	2476	22081	139515	5.98
1941-1944	82	0.12321	0.11606	0.5	20843	2419	19633	117434	5.63
1941-1944	83	0.13477	0.12626	0.5	18424	2326	17261	97801	5.31
1941-1944	84	0.14656	0.13655	0.5	16097	2198	14998	80540	5.00
1941-1944	85	0.15813	0.14654	0.5	13899	2037	12881	65542	4.72
1941-1944	86	0.17134	0.15782	0.5	11863	1872	10926	52661	4.44
1941-1944	87	0.18706	0.17106	0.5	9990	1709	9136	41734	4.18
1941-1944	88	0.20486	0.18582	0.5	8281	1539	7512	32598	3.94
1941-1944	89	0.22331	0.20088	0.5	6743	1354	6065	25086	3.72
1941-1944	90	0.24076	0.21489	0.5	5388	1158	4809	19021	3.53
1941-1944	91	0.25498	0.22615	0.5	4230	957	3752	14212	3.36
1941-1944	92	0.26619	0.23493	0.5	3274	769	2889	10460	3.20
1941-1944	93	0.28525	0.24964	0.5	2505	625	2192	7571	3.02
1941-1944	94	0.30512	0.26474	0.5	1879	498	1631	5379	2.86
1941-1944	95	0.32577	0.28014	0.5	1382	387	1188	3748	2.71
1941-1944	96	0.34715	0.29580	0.5	995	294	848	2560	2.57
