PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
CA,f,1941,0,0.03562,0.03458,0.15,100000,3458,97070,6879479,68.79
CA,f,1941,1,0.00347,0.00347,0.5,96542,335,96375,6782408,70.25
CA,f,1941,2,0.00193,0.00193,0.5,96208,185,96115,6686034,69.50
CA,f,1941,3,0.00138,0.00138,0.5,96022,132,95956,6589919,68.63
CA,f,1941,4,0.00111,0.00111,0.5,95890,106,95837,6493962,67.72
CA,f,1941,5,0.00094,0.00094,0.5,95784,90,95739,6398125,66.80
CA,f,1941,6,0.00082,0.00082,0.5,95694,79,95655,6302386,65.86
CA,f,1941,7,0.00073,0.00073,0.5,95615,69,95580,6206732,64.91
CA,f,1941,8,0.00065,0.00065,0.5,95546,62,95515,6111151,63.96
CA,f,1941,9,0.00060,0.00059,0.5,95484,57,95455,6015636,63.00
CA,f,1941,10,0.00058,0.00058,0.5,95427,55,95399,5920181,62.04
CA,f,1941,11,0.00059,0.00059,0.5,95372,57,95343,5824782,61.07
CA,f,1941,12,0.00065,0.00065,0.5,95315,62,95284,5729439,60.11
CA,f,1941,13,0.00072,0.00072,0.5,95253,69,95219,5634155,59.15
CA,f,1941,14,0.00083,0.00083,0.5,95184,79,95145,5538936,58.19
CA,f,1941,15,0.00095,0.00095,0.5,95106,91,95060,5443791,57.24
CA,f,1941,16,0.00106,0.00106,0.5,95015,101,94964,5348731,56.29
CA,f,1941,17,0.00118,0.00118,0.5,94914,112,94858,5253766,55.35
CA,f,1941,18,0.00130,0.00130,0.5,94802,123,94741,5158908,54.42
CA,f,1941,19,0.00137,0.00137,0.5,94679,129,94615,5064167,53.49
CA,f,1941,20,0.00146,0.00145,0.5,94550,138,94481,4969552,52.56
CA,f,1941,21,0.00159,0.00159,0.5,94413,150,94337,4875071,51.64
CA,f,1941,22,0.00169,0.00169,0.5,94262,159,94183,4780734,50.72
CA,f,1941,23,0.00178,0.00177,0.5,94103,167,94020,4686551,49.80
CA,f,1941,24,0.00183,0.00183,0.5,93936,172,93851,4592531,48.89
CA,f,1941,25,0.00185,0.00185,0.5,93765,173,93678,4498680,47.98
CA,f,1941,26,0.00184,0.00184,0.5,93591,172,93505,4405002,47.07
CA,f,1941,27,0.00186,0.00186,0.5,93419,174,93332,4311496,46.15
CA,f,1941,28,0.00193,0.00192,0.5,93246,179,93156,4218164,45.24
CA,f,1941,29,0.00197,0.00197,0.5,93066,183,92975,4125008,44.32
CA,f,1941,30,0.00201,0.00201,0.5,92883,186,92790,4032034,43.41
CA,f,1941,31,0.00206,0.00206,0.5,92697,191,92601,3939244,42.50
CA,f,1941,32,0.00224,0.00224,0.5,92506,207,92402,3846643,41.58
CA,f,1941,33,0.00242,0.00242,0.5,92299,223,92187,3754240,40.67
CA,f,1941,34,0.00260,0.00260,0.5,92076,239,91956,3662053,39.77
CA,f,1941,35,0.00289,0.00288,0.5,91836,265,91704,3570097,38.87
CA,f,1941,36,0.00302,0.00302,0.5,91571,277,91433,3478394,37.99
CA,f,1941,37,0.00327,0.00326,0.5,91295,298,91146,3386960,37.10
CA,f,1941,38,0.00360,0.00359,0.5,90997,327,90834,3295814,36.22
CA,f,1941,39,0.00364,0.00364,0.5,90670,330,90505,3204981,35.35
CA,f,1941,40,0.00353,0.00353,0.5,90340,319,90181,3114475,34.47
CA,f,1941,41,0.00357,0.00356,0.5,90022,321,89861,3024294,33.60
CA,f,1941,42,0.00417,0.00416,0.5,89701,373,89515,2934433,32.71
CA,f,1941,43,0.00458,0.00457,0.5,89328,408,89124,2844918,31.85
CA,f,1941,44,0.00476,0.00475,0.5,88920,422,88709,2755794,30.99
CA,f,1941,45,0.00535,0.00534,0.5,88497,472,88261,2667086,30.14
CA,f,1941,46,0.00555,0.00553,0.5,88025,487,87782,2578824,29.30
CA,f,1941,47,0.00603,0.00601,0.5,87538,526,87275,2491043,28.46
CA,f,1941,48,0.00662,0.00660,0.5,87012,574,86725,2403768,27.63
CA,f,1941,49,0.00694,0.00692,0.5,86438,598,86139,2317043,26.81
CA,f,1941,50,0.00740,0.00737,0.5,85840,633,85523,2230904,25.99
CA,f,1941,51,0.00761,0.00758,0.5,85207,646,84884,2145381,25.18
CA,f,1941,52,0.00854,0.00850,0.5,84561,719,84201,2060497,24.37
CA,f,1941,53,0.00942,0.00938,0.5,83842,786,83449,1976296,23.57
CA,f,1941,54,0.00978,0.00973,0.5,83055,809,82651,1892847,22.79
CA,f,1941,55,0.01047,0.01041,0.5,82247,856,81819,1810196,22.01
CA,f,1941,56,0.01080,0.01074,0.5,81391,874,80954,1728377,21.24
CA,f,1941,57,0.01180,0.01173,0.5,80517,945,80044,1647424,20.46
CA,f,1941,58,0.01332,0.01324,0.5,79572,1053,79045,1567380,19.70
CA,f,1941,59,0.01413,0.01404,0.5,78518,1102,77967,1488335,18.96
CA,f,1941,60,0.01513,0.01502,0.5,77416,1162,76835,1410367,18.22
CA,f,1941,61,0.01609,0.01596,0.5,76254,1217,75645,1333532,17.49
CA,f,1941,62,0.01898,0.01880,0.5,75037,1411,74331,1257887,16.76
CA,f,1941,63,0.02182,0.02158,0.5,73626,1589,72831,1183555,16.08
CA,f,1941,64,0.02205,0.02181,0.5,72037,1571,71251,1110724,15.42
CA,f,1941,65,0.02338,0.02311,0.5,70465,1629,69651,1039473,14.75
CA,f,1941,66,0.02407,0.02379,0.5,68837,1637,68018,969822,14.09
CA,f,1941,67,0.02774,0.02736,0.5,67199,1839,66280,901803,13.42
CA,f,1941,68,0.03225,0.03173,0.5,65361,2074,64324,835523,12.78
CA,f,1941,69,0.03377,0.03321,0.5,63287,2102,62236,771200,12.19
CA,f,1941,70,0.03623,0.03558,0.5,61185,2177,60096,708964,11.59
CA,f,1941,71,0.03814,0.03743,0.5,59008,2208,57903,648868,11.00
CA,f,1941,72,0.04508,0.04409,0.5,56799,2504,55547,590965,10.40
CA,f,1941,73,0.05244,0.05110,0.5,54295,2774,52908,535418,9.86
