CA: CA, Lifetables (period 1x10), Females Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1949	0	0.02878	0.02808	0.13	100000	2808	97567	7027883	70.28
1941-1949	1	0.00255	0.00254	0.5	97192	247	97069	6930316	71.31
1941-1949	2	0.00157	0.00157	0.5	96945	152	96869	6833247	70.49
1941-1949	3	0.00126	0.00126	0.5	96793	122	96732	6736378	69.60
1941-1949	4	0.00107	0.00107	0.5	96671	104	96619	6639646	68.68
1941-1949	5	0.00091	0.00091	0.5	96567	88	96523	6543027	67.76
1941-1949	6	0.00079	0.00079	0.5	96479	76	96441	6446504	66.82
1941-1949	7	0.00069	0.00069	0.5	96403	66	96370	6350063	65.87
1941-1949	8	0.00060	0.00060	0.5	96337	58	96308	6253694	64.91
1941-1949	9	0.00053	0.00053	0.5	96279	51	96254	6157386	63.95
1941-1949	10	0.00049	0.00049	0.5	96228	47	96205	6061132	62.99
1941-1949	11	0.00049	0.00049	0.5	96181	47	96158	5964927	62.02
1941-1949	12	0.00053	0.00053	0.5	96134	51	96109	5868769	61.05
1941-1949	13	0.00062	0.00062	0.5	96083	59	96053	5772661	60.08
1941-1949	14	0.00074	0.00074	0.5	96023	71	95988	5676607	59.12
1941-1949	15	0.00088	0.00088	0.5	95952	85	95910	5580620	58.16
1941-1949	16	0.00101	0.00101	0.5	95868	97	95819	5484710	57.21
1941-1949	17	0.00111	0.00111	0.5	95771	107	95718	5388890	56.27
1941-1949	18	0.00120	0.00120	0.5	95664	115	95607	5293173	55.33
1941-1949	19	0.00127	0.00127	0.5	95550	121	95489	5197566	54.40
1941-1949	20	0.00132	0.00132	0.5	95428	126	95365	5102077	53.46
1941-1949	21	0.00137	0.00137	0.5	95302	130	95237	5006712	52.54
1941-1949	22	0.00141	0.00141	0.5	95172	134	95105	4911474	51.61
1941-1949	23	0.00145	0.00145	0.5	95038	137	94969	4816370	50.68
1941-1949	24	0.00148	0.00148	0.5	94901	141	94830	4721400	49.75
1941-1949	25	0.00152	0.00152	0.5	94760	144	94688	4626570	48.82
1941-1949	26	0.00156	0.00156	0.5	94616	148	94542	4531882	47.90
1941-1949	27	0.00161	0.00161	0.5	94468	152	94392	4437341	46.97
1941-1949	28	0.00166	0.00166	0.5	94316	157	94238	4342949	46.05
1941-1949	29	0.00172	0.00172	0.5	94159	162	94078	4248711	45.12
1941-1949	30	0.00179	0.00179	0.5	93997	168	93913	4154633	44.20
1941-1949	31	0.00188	0.00187	0.5	93829	176	93741	4060719	43.28
1941-1949	32	0.00198	0.00198	0.5	93653	186	93560	3966978	42.36
1941-1949	33	0.00213	0.00212	0.5	93468	199	93368	3873418	41.44
1941-1949	34	0.00230	0.00229	0.5	93269	214	93162	3780050	40.53
