CA: CA, Lifetables (period 1x1), Males Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.04389	0.04233	0.16	100000	4233	96456	6226775	62.27
1941	1	0.00434	0.00433	0.5	95767	414	95560	6130319	64.01
1941	2	0.00242	0.00241	0.5	95353	230	95238	6034759	63.29
1941	3	0.00164	0.00164	0.5	95123	156	95045	5939521	62.44
1941	4	0.00121	0.00121	0.5	94967	115	94909	5844477	61.54
1941	5	0.00112	0.00112	0.5	94852	107	94798	5749567	60.62
1941	6	0.00111	0.00111	0.5	94745	105	94693	5654769	59.68
1941	7	0.00109	0.00109	0.5	94640	104	94588	5560077	58.75
1941	8	0.00106	0.00105	0.5	94537	100	94487	5465488	57.81
1941	9	0.00098	0.00098	0.5	94437	93	94391	5371002	56.87
1941	10	0.00092	0.00092	0.5	94344	86	94301	5276611	55.93
1941	11	0.00091	0.00091	0.5	94258	86	94215	5182310	54.98
1941	12	0.00097	0.00097	0.5	94172	91	94127	5088095	54.03
1941	13	0.00106	0.00106	0.5	94081	100	94031	4993968	53.08
1941	14	0.00120	0.00120	0.5	93981	113	93925	4899937	52.14
1941	15	0.00138	0.00138	0.5	93868	129	93804	4806012	51.20
1941	16	0.00155	0.00155	0.5	93739	145	93667	4712208	50.27
1941	17	0.00175	0.00175	0.5	93594	164	93512	4618541	49.35
1941	18	0.00199	0.00199	0.5	93430	186	93337	4525029	48.43
1941	19	0.00218	0.00217	0.5	93244	203	93143	4431692	47.53
1941	20	0.00237	0.00237	0.5	93042	221	92931	4338549	46.63
1941	21	0.00264	0.00264	0.5	92821	245	92699	4245617	45.74
1941	22	0.00281	0.00280	0.5	92576	260	92447	4152919	44.86
1941	23	0.00291	0.00291	0.5	92317	268	92183	4060472	43.98
1941	24	0.00293	0.00292	0.5	92049	269	91914	3968289	43.11
1941	25	0.00285	0.00285	0.5	91779	261	91649	3876375	42.24
1941	26	0.00277	0.00277	0.5	91518	253	91392	3784726	41.35
1941	27	0.00277	0.00277	0.5	91265	253	91138	3693335	40.47
1941	28	0.00282	0.00282	0.5	91012	257	90884	3602196	39.58
1941	29	0.00285	0.00285	0.5	90755	259	90626	3511313	38.69
1941	30	0.00290	0.00290	0.5	90497	262	90366	3420686	37.80
1941	31	0.00301	0.00300	0.5	90234	271	90099	3330321	36.91
1941	32	0.00329	0.00329	0.5	89964	296	89816	3240222	36.02
1941	33	0.00358	0.00357	0.5	89668	320	89508	3150406	35.13
1941	34	0.00388	0.00388	0.5	89347	346	89174	3060899	34.26
1941	35	0.00435	0.00434	0.5	89001	386	88808	2971724	33.39
1941	36	0.00462	0.00461	0.5	88615	408	88411	2882916	32.53
