CA: CA, Lifetables (period 1x10), Males Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1949	0	0.03792	0.03673	0.15	100000	3673	96866	6340111	63.40
1941-1949	1	0.00304	0.00304	0.5	96327	293	96180	6243245	64.81
1941-1949	2	0.00194	0.00194	0.5	96034	186	95941	6147064	64.01
1941-1949	3	0.00157	0.00157	0.5	95848	151	95773	6051123	63.13
1941-1949	4	0.00127	0.00127	0.5	95697	121	95637	5955351	62.23
1941-1949	5	0.00113	0.00113	0.5	95576	108	95522	5859714	61.31
1941-1949	6	0.00107	0.00107	0.5	95468	102	95417	5764192	60.38
1941-1949	7	0.00101	0.00101	0.5	95366	96	95318	5668775	59.44
1941-1949	8	0.00095	0.00095	0.5	95270	90	95225	5573457	58.50
1941-1949	9	0.00088	0.00088	0.5	95180	84	95138	5478232	57.56
1941-1949	10	0.00083	0.00083	0.5	95096	79	95056	5383095	56.61
1941-1949	11	0.00083	0.00083	0.5	95017	79	94977	5288039	55.65
1941-1949	12	0.00089	0.00089	0.5	94938	85	94895	5193061	54.70
1941-1949	13	0.00101	0.00101	0.5	94853	96	94805	5098166	53.75
1941-1949	14	0.00118	0.00118	0.5	94757	111	94702	5003361	52.80
1941-1949	15	0.00139	0.00139	0.5	94646	131	94580	4908659	51.86
1941-1949	16	0.00161	0.00161	0.5	94515	152	94439	4814079	50.93
1941-1949	17	0.00185	0.00184	0.5	94363	174	94276	4719640	50.02
1941-1949	18	0.00211	0.00210	0.5	94189	198	94090	4625364	49.11
1941-1949	19	0.00239	0.00239	0.5	93990	224	93878	4531275	48.21
1941-1949	20	0.00267	0.00267	0.5	93766	250	93641	4437397	47.32
1941-1949	21	0.00287	0.00287	0.5	93515	268	93381	4343756	46.45
1941-1949	22	0.00296	0.00295	0.5	93247	276	93109	4250375	45.58
1941-1949	23	0.00294	0.00294	0.5	92972	273	92835	4157265	44.72
1941-1949	24	0.00285	0.00284	0.5	92698	263	92567	4064430	43.85
1941-1949	25	0.00269	0.00269	0.5	92435	249	92311	3971864	42.97
1941-1949	26	0.00257	0.00257	0.5	92186	237	92068	3879553	42.08
1941-1949	27	0.00250	0.00250	0.5	91949	230	91834	3787486	41.19
1941-1949	28	0.00250	0.00250	0.5	91719	229	91605	3695651	40.29
1941-1949	29	0.00256	0.00255	0.5	91490	234	91373	3604047	39.39
1941-1949	30	0.00266	0.00265	0.5	91257	242	91136	3512673	38.49
1941-1949	31	0.00278	0.00278	0.5	91015	253	90888	3421538	37.59
1941-1949	32	0.00293	0.00293	0.5	90762	266	90629	3330649	36.70
1941-1949	33	0.00313	0.00312	0.5	90496	283	90355	3240020	35.80
1941-1949	34	0.00336	0.00336	0.5	90213	303	90062	3149666	34.91
1941-1949	35	0.00366	0.00365	0.5	89910	328	89746	3059604	34.03
1941-1949	36	0.00398	0.00397	0.5	89582	356	89404	2969857	33.15
1941-1949	37	0.00433	0.00432	0.5	89226	385	89034	2880453	32.28
1941-1949	38	0.00474	0.00473	0.5	88841	420	88631	2791419	31.42
1941-1949	39	0.00519	0.00518	0.5	88421	458	88192	2702788	30.57
1941-1949	40	0.00566	0.00564	0.5	87963	496	87715	2614596	29.72
1941-1949	41	0.00612	0.00610	0.5	87467	533	87200	2526881	28.89
1941-1949	42	0.00668	0.00666	0.5	86934	579	86644	2439680	28.06
1941-1949	43	0.00732	0.00729	0.5	86355	630	86040	2353036	27.25
1941-1949	44	0.00795	0.00792	0.5	85725	679	85386	2266996	26.44
1941-1949	45	0.00867	0.00863	0.5	85046	734	84679	2181610	25.65
1941-1949	46	0.00941	0.00937	0.5	84312	790	83917	2096931	24.87
1941-1949	47	0.01017	0.01012	0.5	83522	845	83099	2013014	24.10
1941-1949	48	0.01104	0.01098	0.5	82677	908	82223	1929915	23.34
1941-1949	49	0.01207	0.01200	0.5	81769	981	81278	1847692	22.60
1941-1949	50	0.01324	0.01315	0.5	80788	1063	80257	1766413	21.86
1941-1949	51	0.01423	0.01413	0.5	79725	1127	79162	1686157	21.15
1941-1949	52	0.01526	0.01515	0.5	78599	1191	78003	1606995	20.45
1941-1949	53	0.01645	0.01631	0.5	77408	1263	76776	1528992	19.75
1941-1949	54	0.01768	0.01753	0.5	76145	1335	75478	1452215	19.07
1941-1949	55	0.01904	0.01886	0.5	74810	1411	74105	1376737	18.40
1941-1949	56	0.02040	0.02019	0.5	73399	1482	72658	1302633	17.75
1941-1949	57	0.02184	0.02161	0.5	71917	1554	71140	1229975	17.10
1941-1949	58	0.02344	0.02317	0.5	70363	1630	69548	1158835	16.47
1941-1949	59	0.02515	0.02484	0.5	68733	1707	67879	1089287	15.85
1941-1949	60	0.02700	0.02664	0.5	67026	1786	66133	1021408	15.24
1941-1949	61	0.02882	0.02841	0.5	65240	1853	64313	955275	14.64
1941-1949	62	0.03091	0.03044	0.5	63387	1929	62422	890962	14.06
1941-1949	63	0.03335	0.03280	0.5	61457	2016	60449	828540	13.48
1941-1949	64	0.03587	0.03524	0.5	59441	2095	58394	768090	12.92
1941-1949	65	0.03886	0.03812	0.5	57347	2186	56254	709696	12.38
1941-1949	66	0.04195	0.04108	0.5	55161	2266	54028	653442	11.85
1941-1949	67	0.04515	0.04415	0.5	52895	2335	51727	599415	11.33
1941-1949	68	0.04874	0.04758	0.5	50559	2406	49356	547688	10.83
1941-1949	69	0.05244	0.05110	0.5	48154	2461	46923	498331	10.35
1941-1949	70	0.05653	0.05498	0.5	45693	2512	44437	451408	9.88
1941-1949	71	0.06042	0.05864	0.5	43181	2532	41915	406971	9.42
1941-1949	72	0.06482	0.06279	0.5	40649	2552	39372	365056	8.98
1941-1949	73	0.07007	0.06770	0.5	38096	2579	36807	325684	8.55
1941-1949	74	0.07555	0.07280	0.5	35517	2586	34225	288877	8.13
1941-1949	75	0.08200	0.07877	0.5	32932	2594	31635	254652	7.73
1941-1949	76	0.08850	0.08475	0.5	30338	2571	29052	223018	7.35
1941-1949	77	0.09470	0.09041	0.5	27767	2510	26511	193966	6.99
1941-1949	78	0.10230	0.09732	0.5	25256	2458	24027	167454	6.63
1941-1949	79	0.11067	0.10487	0.5	22798	2391	21603	143427	6.29
1941-1949	80	0.11292	0.10688	0.5	20407	2181	19317	121824	5.97
1941-1949	81	0.12336	0.11619	0.5	18226	2118	17167	102508	5.62
1941-1949	82	0.13464	0.12615	0.5	16108	2032	15092	85340	5.30
1941-1949	83	0.14674	0.13671	0.5	14076	1924	13114	70248	4.99
1941-1949	84	0.15949	0.14771	0.5	12152	1795	11254	57134	4.70
1941-1949	85	0.17272	0.15899	0.5	10357	1647	9534	45879	4.43
1941-1949	86	0.18739	0.17134	0.5	8710	1492	7964	36346	4.17
1941-1949	87	0.20391	0.18504	0.5	7218	1336	6550	28382	3.93
1941-1949	88	0.22201	0.19983	0.5	5882	1175	5295	21831	3.71
1941-1949	89	0.24043	0.21463	0.5	4707	1010	4202	16537	3.51
1941-1949	90	0.25656	0.22739	0.5	3697	841	3276	12335	3.34
1941-1949	91	0.26955	0.23753	0.5	2856	678	2517	9059	3.17
1941-1949	92	0.28769	0.25151	0.5	2178	548	1904	6542	3.00
1941-1949	93	0.30758	0.26658	0.5	1630	435	1413	4638	2.85
1941-1949	94	0.32821	0.28194	0.5	1195	337	1027	3225	2.70
