PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
CO,b,1941-1944,0,0.05284,0.05069,0.19,100000,5069,95918,6487697,64.88
CO,b,1941-1944,1-4,0.00316,0.01254,1.46,94931,1191,376701,6391779,67.33
CO,b,1941-1944,5-9,0.00126,0.00625,2.37,93741,586,467162,6015078,64.17
CO,b,1941-1944,10-14,0.00118,0.00587,2.57,93155,547,464446,5547916,59.56
CO,b,1941-1944,15-19,0.00172,0.00858,2.69,92607,794,461201,5083470,54.89
CO,b,1941-1944,20-24,0.00258,0.01281,2.58,91813,1177,456221,4622269,50.34
CO,b,1941-1944,25-29,0.00258,0.01281,2.46,90637,1161,450241,4166047,45.96
CO,b,1941-1944,30-34,0.00272,0.01350,2.58,89476,1208,444459,3715807,41.53
CO,b,1941-1944,35-39,0.00371,0.01839,2.62,88268,1624,437480,3271348,37.06
CO,b,1941-1944,40-44,0.00496,0.02452,2.63,86644,2125,428185,2833868,32.71
CO,b,1941-1944,45-49,0.00730,0.03587,2.6,84520,3032,415336,2405684,28.46
CO,b,1941-1944,50-54,0.00994,0.04858,2.63,81488,3958,398068,1990348,24.43
CO,b,1941-1944,55-59,0.01494,0.07211,2.62,77529,5591,374338,1592279,20.54
CO,b,1941-1944,60-64,0.02228,0.10582,2.63,71939,7613,341645,1217941,16.93
CO,b,1941-1944,65-69,0.03378,0.15630,2.61,64326,10054,297613,876296,13.62
CO,b,1941-1944,70-74,0.05358,0.23695,2.56,54272,12860,240001,578683,10.66
CO,b,1941-1944,75-79,0.08277,0.34345,2.52,41412,14223,171843,338683,8.18
CO,b,1941-1944,80-84,0.12729,0.47890,2.42,27189,13021,102294,166839,6.14
CO,b,1941-1944,85-89,0.19038,0.62638,2.27,14168,8875,46615,64545,4.56
CO,b,1941-1944,90-94,0.27426,0.76211,2.09,5294,4034,14710,17930,3.39
CO,b,1941-1944,95-99,0.37806,0.86526,1.87,1259,1090,2882,3220,2.56
CO,b,1941-1944,100-104,0.49497,0.92950,1.64,170,158,319,338,1.99
CO,b,1941-1944,105-109,0.61335,0.96354,1.44,12,12,19,19,1.62
CO,b,1941-1944,110+,0.70553,1.00000,1.42,0,0,1,1,1.42
CO,b,1945-1949,0,0.04215,0.04072,0.17,100000,4072,96604,6741945,67.42
CO,b,1945-1949,1-4,0.00208,0.00827,1.55,95928,793,381767,6645341,69.27
CO,b,1945-1949,5-9,0.00093,0.00462,2.4,95135,440,474528,6263574,65.84
CO,b,1945-1949,10-14,0.00092,0.00459,2.63,94695,435,472444,5789046,61.13
CO,b,1945-1949,15-19,0.00141,0.00702,2.66,94260,661,469755,5316602,56.40
CO,b,1945-1949,20-24,0.00182,0.00905,2.51,93599,847,465884,4846847,51.78
CO,b,1945-1949,25-29,0.00182,0.00906,2.54,92751,840,461692,4380962,47.23
CO,b,1945-1949,30-34,0.00229,0.01139,2.6,91911,1046,457043,3919270,42.64
CO,b,1945-1949,35-39,0.00307,0.01525,2.64,90865,1386,451058,3462227,38.10
CO,b,1945-1949,40-44,0.00466,0.02303,2.65,89479,2061,442553,3011169,33.65
CO,b,1945-1949,45-49,0.00645,0.03175,2.62,87418,2775,430475,2568617,29.38
CO,b,1945-1949,50-54,0.00923,0.04515,2.63,84643,3822,414161,2138142,25.26
CO,b,1945-1949,55-59,0.01382,0.06693,2.64,80821,5410,391317,1723981,21.33
CO,b,1945-1949,60-64,0.01991,0.09502,2.61,75412,7166,359906,1332664,17.67
CO,b,1945-1949,65-69,0.03119,0.14515,2.61,68246,9906,317590,972758,14.25
CO,b,1945-1949,70-74,0.04780,0.21440,2.6,58340,12508,261674,655167,11.23
CO,b,1945-1949,75-79,0.07787,0.32615,2.51,45832,14948,191959,393493,8.59
CO,b,1945-1949,80-84,0.11388,0.44147,2.46,30884,13634,119730,201534,6.53
CO,b,1945-1949,85-89,0.17862,0.60342,2.31,17250,10409,58274,81804,4.74
CO,b,1945-1949,90-94,0.26797,0.75518,2.11,6841,5166,19278,23530,3.44
CO,b,1945-1949,95-99,0.38038,0.86809,1.87,1675,1454,3822,4252,2.54
CO,b,1945-1949,100-104,0.50732,0.93491,1.62,221,207,407,430,1.95
CO,b,1945-1949,105-109,0.63432,0.96797,1.41,14,14,22,23,1.57
CO,b,1945-1949,110+,0.73156,1.00000,1.37,0,0,1,1,1.37
CO,b,1950-1954,0,0.03421,0.03324,0.14,100000,3324,97154,6972175,69.72
CO,b,1950-1954,1-4,0.00144,0.00574,1.48,96676,555,385310,6875021,71.11
CO,b,1950-1954,5-9,0.00056,0.00279,2.41,96122,268,479912,6489712,67.52
CO,b,1950-1954,10-14,0.00066,0.00331,2.7,95853,317,478535,6009799,62.70
CO,b,1950-1954,15-19,0.00111,0.00556,2.67,95536,531,476439,5531265,57.90
CO,b,1950-1954,20-24,0.00140,0.00699,2.52,95005,664,473380,5054826,53.21
CO,b,1950-1954,25-29,0.00142,0.00705,2.52,94341,665,470052,4581446,48.56
CO,b,1950-1954,30-34,0.00173,0.00864,2.62,93676,809,466454,4111393,43.89
CO,b,1950-1954,35-39,0.00241,0.01198,2.63,92867,1112,461700,3644940,39.25
