CO: CO, Lifetables (period 1x5), Females Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1944	0	0.04629	0.04460	0.18	100000	4460	96354	6775695	67.76
1941-1944	1	0.00535	0.00533	0.5	95540	509	95285	6679341	69.91
1941-1944	2	0.00265	0.00265	0.5	95030	252	94904	6584056	69.28
1941-1944	3	0.00175	0.00175	0.5	94778	166	94695	6489152	68.47
1941-1944	4	0.00142	0.00142	0.5	94612	135	94545	6394457	67.59
1941-1944	5	0.00124	0.00124	0.5	94478	117	94419	6299912	66.68
1941-1944	6	0.00114	0.00114	0.5	94360	107	94307	6205492	65.76
1941-1944	7	0.00106	0.00106	0.5	94253	100	94203	6111186	64.84
1941-1944	8	0.00100	0.00100	0.5	94153	94	94106	6016982	63.91
1941-1944	9	0.00095	0.00095	0.5	94059	89	94014	5922876	62.97
1941-1944	10	0.00091	0.00091	0.5	93970	85	93927	5828862	62.03
1941-1944	11	0.00090	0.00090	0.5	93884	84	93842	5734935	61.09
1941-1944	12	0.00091	0.00091	0.5	93800	86	93757	5641092	60.14
1941-1944	13	0.00097	0.00097	0.5	93715	91	93669	5547335	59.19
1941-1944	14	0.00106	0.00106	0.5	93624	100	93574	5453666	58.25
1941-1944	15	0.00119	0.00119	0.5	93524	111	93469	5360092	57.31
1941-1944	16	0.00130	0.00130	0.5	93413	121	93353	5266623	56.38
1941-1944	17	0.00139	0.00138	0.5	93292	129	93227	5173270	55.45
1941-1944	18	0.00145	0.00145	0.5	93163	135	93095	5080043	54.53
1941-1944	19	0.00150	0.00150	0.5	93028	140	92958	4986948	53.61
1941-1944	20	0.00155	0.00155	0.5	92888	144	92816	4893990	52.69
1941-1944	21	0.00162	0.00162	0.5	92744	150	92669	4801174	51.77
1941-1944	22	0.00170	0.00170	0.5	92594	157	92515	4708505	50.85
1941-1944	23	0.00179	0.00179	0.5	92436	165	92354	4615990	49.94
1941-1944	24	0.00188	0.00188	0.5	92271	174	92184	4523637	49.03
1941-1944	25	0.00197	0.00197	0.5	92097	181	92007	4431453	48.12
1941-1944	26	0.00204	0.00204	0.5	91916	187	91822	4339446	47.21
1941-1944	27	0.00211	0.00211	0.5	91729	193	91632	4247623	46.31
1941-1944	28	0.00219	0.00219	0.5	91535	200	91435	4155991	45.40
1941-1944	29	0.00227	0.00226	0.5	91335	207	91232	4064556	44.50
1941-1944	30	0.00234	0.00234	0.5	91129	213	91022	3973324	43.60
1941-1944	31	0.00242	0.00242	0.5	90915	220	90805	3882302	42.70
1941-1944	32	0.00252	0.00251	0.5	90695	228	90582	3791497	41.80
1941-1944	33	0.00262	0.00262	0.5	90468	237	90349	3700915	40.91
1941-1944	34	0.00274	0.00274	0.5	90231	247	90107	3610566	40.01
1941-1944	35	0.00287	0.00287	0.5	89984	258	89855	3520459	39.12
1941-1944	36	0.00297	0.00297	0.5	89726	266	89593	3430604	38.23
1941-1944	37	0.00309	0.00309	0.5	89459	276	89321	3341012	37.35
1941-1944	38	0.00327	0.00326	0.5	89183	291	89038	3251691	36.46
1941-1944	39	0.00344	0.00343	0.5	88892	305	88740	3162653	35.58
1941-1944	40	0.00358	0.00358	0.5	88587	317	88429	3073913	34.70
1941-1944	41	0.00374	0.00373	0.5	88270	329	88105	2985485	33.82
1941-1944	42	0.00400	0.00399	0.5	87941	351	87765	2897379	32.95
1941-1944	43	0.00435	0.00434	0.5	87590	380	87400	2809614	32.08
1941-1944	44	0.00480	0.00479	0.5	87210	418	87001	2722214	31.21
1941-1944	45	0.00540	0.00539	0.5	86792	468	86558	2635213	30.36
1941-1944	46	0.00578	0.00577	0.5	86324	498	86075	2548655	29.52
1941-1944	47	0.00605	0.00603	0.5	85826	517	85568	2462580	28.69
1941-1944	48	0.00632	0.00630	0.5	85309	537	85040	2377012	27.86
1941-1944	49	0.00652	0.00650	0.5	84772	551	84496	2291972	27.04
1941-1944	50	0.00673	0.00671	0.5	84221	565	83938	2207476	26.21
1941-1944	51	0.00700	0.00698	0.5	83656	584	83364	2123537	25.38
1941-1944	52	0.00748	0.00745	0.5	83072	619	82763	2040173	24.56
1941-1944	53	0.00817	0.00813	0.5	82453	671	82118	1957410	23.74
1941-1944	54	0.00901	0.00897	0.5	81783	734	81416	1875292	22.93
1941-1944	55	0.01007	0.01002	0.5	81049	812	80643	1793876	22.13
1941-1944	56	0.01098	0.01092	0.5	80237	876	79799	1713233	21.35
1941-1944	57	0.01178	0.01172	0.5	79361	930	78896	1633434	20.58
1941-1944	58	0.01269	0.01261	0.5	78431	989	77937	1554538	19.82
1941-1944	59	0.01359	0.01350	0.5	77442	1045	76920	1476601	19.07
1941-1944	60	0.01463	0.01452	0.5	76397	1109	75842	1399682	18.32
1941-1944	61	0.01581	0.01569	0.5	75288	1181	74697	1323840	17.58
1941-1944	62	0.01726	0.01711	0.5	74106	1268	73472	1249143	16.86
1941-1944	63	0.01907	0.01889	0.5	72838	1376	72150	1175670	16.14
1941-1944	64	0.02093	0.02072	0.5	71463	1480	70723	1103520	15.44
1941-1944	65	0.02302	0.02276	0.5	69982	1593	69186	1032797	14.76
1941-1944	66	0.02479	0.02449	0.5	68390	1675	67552	963611	14.09
1941-1944	67	0.02698	0.02662	0.5	66715	1776	65827	896059	13.43
1941-1944	68	0.03014	0.02969	0.5	64939	1928	63975	830232	12.78
1941-1944	69	0.03338	0.03283	0.5	63011	2069	61977	766257	12.16
1941-1944	70	0.03700	0.03632	0.5	60942	2214	59836	704280	11.56
1941-1944	71	0.04022	0.03943	0.5	58729	2316	57571	644445	10.97
1941-1944	72	0.04366	0.04273	0.5	56413	2411	55208	586874	10.40
1941-1944	73	0.04818	0.04705	0.5	54002	2541	52732	531666	9.85
1941-1944	74	0.05297	0.05161	0.5	51462	2656	50134	478934	9.31
1941-1944	75	0.05935	0.05764	0.5	48806	2813	47399	428801	8.79
1941-1944	76	0.06584	0.06374	0.5	45993	2932	44527	381401	8.29
1941-1944	77	0.07199	0.06948	0.5	43061	2992	41565	336874	7.82
1941-1944	78	0.08079	0.07765	0.5	40069	3111	38513	295309	7.37
1941-1944	79	0.09021	0.08632	0.5	36958	3190	35362	256796	6.95
1941-1944	80	0.09399	0.08977	0.5	33767	3031	32252	221434	6.56
1941-1944	81	0.10348	0.09839	0.5	30736	3024	29224	189182	6.16
1941-1944	82	0.11380	0.10767	0.5	27712	2984	26220	159958	5.77
1941-1944	83	0.12626	0.11877	0.5	24728	2937	23260	133738	5.41
1941-1944	84	0.13880	0.12979	0.5	21791	2828	20377	110478	5.07
1941-1944	85	0.15236	0.14157	0.5	18963	2685	17621	90101	4.75
1941-1944	86	0.16698	0.15412	0.5	16278	2509	15024	72481	4.45
1941-1944	87	0.18271	0.16742	0.5	13770	2305	12617	57457	4.17
1941-1944	88	0.19957	0.18146	0.5	11464	2080	10424	44840	3.91
1941-1944	89	0.21756	0.19622	0.5	9384	1841	8463	34416	3.67
1941-1944	90	0.23670	0.21165	0.5	7543	1596	6744	25953	3.44
1941-1944	91	0.25697	0.22771	0.5	5946	1354	5269	19208	3.23
1941-1944	92	0.27834	0.24434	0.5	4592	1122	4031	13939	3.04
1941-1944	93	0.30077	0.26145	0.5	3470	907	3017	9908	2.86
1941-1944	94	0.32420	0.27898	0.5	2563	715	2205	6891	2.69
1941-1944	95	0.34854	0.29681	0.5	1848	548	1574	4686	2.54
1941-1944	96	0.37370	0.31487	0.5	1299	409	1095	3112	2.40
1941-1944	97	0.39956	0.33303	0.5	890	296	742	2017	2.27
1941-1944	98	0.42599	0.35119	0.5	594	209	490	1275	2.15
1941-1944	99	0.45285	0.36925	0.5	385	142	314	786	2.04
1941-1944	100	0.47999	0.38709	0.5	243	94	196	472	1.94
1941-1944	101	0.50725	0.40463	0.5	149	60	119	276	1.85
1941-1944	102	0.53447	0.42176	0.5	89	37	70	157	1.77
1941-1944	103	0.56148	0.43840	0.5	51	22	40	87	1.69
1941-1944	104	0.58813	0.45448	0.5	29	13	22	47	1.63
1941-1944	105	0.61427	0.46994	0.5	16	7	12	25	1.57
1941-1944	106	0.63978	0.48472	0.5	8	4	6	13	1.51
1941-1944	107	0.66451	0.49879	0.5	4	2	3	6	1.46
1941-1944	108	0.68838	0.51211	0.5	2	1	2	3	1.42
1941-1944	109	0.71128	0.52468	0.5	1	1	1	1	1.39
1941-1944	110+	0.73316	1.00000	1.36	0	0	1	1	1.36
1945-1949	0	0.03521	0.03419	0.15	100000	3419	97099	7067460	70.67
1945-1949	1	0.00316	0.00316	0.5	96581	305	96429	6970361	72.17
1945-1949	2	0.00190	0.00190	0.5	96276	183	96185	6873933	71.40
1945-1949	3	0.00134	0.00134	0.5	96093	129	96029	6777748	70.53
1945-1949	4	0.00103	0.00103	0.5	95964	99	95915	6681719	69.63
1945-1949	5	0.00091	0.00091	0.5	95865	88	95821	6585805	68.70
1945-1949	6	0.00086	0.00086	0.5	95778	82	95736	6489983	67.76
1945-1949	7	0.00081	0.00081	0.5	95695	78	95656	6394247	66.82
1945-1949	8	0.00076	0.00076	0.5	95618	73	95581	6298591	65.87
1945-1949	9	0.00071	0.00071	0.5	95545	68	95511	6203009	64.92
1945-1949	10	0.00067	0.00067	0.5	95477	64	95445	6107499	63.97
1945-1949	11	0.00066	0.00066	0.5	95412	63	95381	6012054	63.01
1945-1949	12	0.00067	0.00067	0.5	95350	64	95318	5916673	62.05
1945-1949	13	0.00070	0.00070	0.5	95286	67	95253	5821355	61.09
1945-1949	14	0.00075	0.00075	0.5	95219	71	95184	5726103	60.14
1945-1949	15	0.00081	0.00081	0.5	95148	77	95110	5630919	59.18
1945-1949	16	0.00089	0.00089	0.5	95071	84	95029	5535809	58.23
1945-1949	17	0.00097	0.00097	0.5	94987	92	94941	5440780	57.28
1945-1949	18	0.00106	0.00106	0.5	94895	101	94845	5345839	56.33
1945-1949	19	0.00118	0.00118	0.5	94794	112	94738	5250995	55.39
1945-1949	20	0.00130	0.00130	0.5	94682	123	94621	5156257	54.46
1945-1949	21	0.00138	0.00137	0.5	94560	130	94495	5061636	53.53
1945-1949	22	0.00142	0.00142	0.5	94430	134	94363	4967141	52.60
1945-1949	23	0.00142	0.00142	0.5	94296	134	94229	4872779	51.68
1945-1949	24	0.00141	0.00140	0.5	94161	132	94095	4778550	50.75
1945-1949	25	0.00138	0.00138	0.5	94029	130	93964	4684455	49.82
1945-1949	26	0.00139	0.00138	0.5	93899	130	93834	4590490	48.89
1945-1949	27	0.00142	0.00142	0.5	93769	133	93703	4496656	47.95
1945-1949	28	0.00148	0.00148	0.5	93636	138	93567	4402953	47.02
1945-1949	29	0.00157	0.00157	0.5	93498	146	93425	4309386	46.09
1945-1949	30	0.00168	0.00168	0.5	93352	157	93273	4215961	45.16
1945-1949	31	0.00179	0.00179	0.5	93195	167	93111	4122688	44.24
1945-1949	32	0.00191	0.00191	0.5	93028	178	92939	4029576	43.32
1945-1949	33	0.00204	0.00204	0.5	92850	189	92756	3936637	42.40
1945-1949	34	0.00217	0.00217	0.5	92661	201	92561	3843881	41.48
1945-1949	35	0.00231	0.00230	0.5	92460	213	92354	3751321	40.57
1945-1949	36	0.00247	0.00247	0.5	92247	228	92133	3658967	39.66
1945-1949	37	0.00263	0.00263	0.5	92020	242	91898	3566833	38.76
1945-1949	38	0.00279	0.00279	0.5	91777	256	91649	3474935	37.86
1945-1949	39	0.00298	0.00297	0.5	91521	272	91385	3383285	36.97
1945-1949	40	0.00316	0.00316	0.5	91249	288	91105	3291900	36.08
1945-1949	41	0.00335	0.00335	0.5	90961	304	90809	3200795	35.19
1945-1949	42	0.00361	0.00360	0.5	90657	327	90494	3109986	34.30
1945-1949	43	0.00392	0.00392	0.5	90330	354	90153	3019492	33.43
1945-1949	44	0.00419	0.00418	0.5	89977	376	89788	2929338	32.56
1945-1949	45	0.00446	0.00445	0.5	89600	399	89401	2839550	31.69
1945-1949	46	0.00480	0.00478	0.5	89201	427	88988	2750150	30.83
1945-1949	47	0.00509	0.00508	0.5	88774	451	88549	2661162	29.98
1945-1949	48	0.00532	0.00531	0.5	88324	469	88089	2572613	29.13
1945-1949	49	0.00561	0.00560	0.5	87855	492	87609	2484524	28.28
1945-1949	50	0.00594	0.00593	0.5	87363	518	87104	2396915	27.44
1945-1949	51	0.00622	0.00620	0.5	86845	539	86576	2309811	26.60
1945-1949	52	0.00656	0.00654	0.5	86306	564	86024	2223235	25.76
1945-1949	53	0.00706	0.00704	0.5	85742	604	85440	2137210	24.93
1945-1949	54	0.00771	0.00768	0.5	85139	654	84812	2051770	24.10
1945-1949	55	0.00843	0.00840	0.5	84485	709	84130	1966958	23.28
1945-1949	56	0.00924	0.00919	0.5	83775	770	83390	1882828	22.47
1945-1949	57	0.01014	0.01009	0.5	83005	837	82587	1799438	21.68
1945-1949	58	0.01101	0.01095	0.5	82168	900	81718	1716851	20.89
1945-1949	59	0.01190	0.01183	0.5	81268	961	80787	1635133	20.12
1945-1949	60	0.01274	0.01266	0.5	80307	1016	79799	1554346	19.36
1945-1949	61	0.01357	0.01347	0.5	79290	1068	78756	1474547	18.60
1945-1949	62	0.01452	0.01442	0.5	78222	1128	77658	1395791	17.84
1945-1949	63	0.01563	0.01551	0.5	77094	1196	76496	1318133	17.10
1945-1949	64	0.01698	0.01683	0.5	75898	1278	75259	1241637	16.36
1945-1949	65	0.01889	0.01871	0.5	74621	1396	73922	1166377	15.63
1945-1949	66	0.02131	0.02109	0.5	73224	1544	72452	1092455	14.92
1945-1949	67	0.02356	0.02328	0.5	71680	1669	70846	1020003	14.23
1945-1949	68	0.02576	0.02543	0.5	70011	1781	69121	949157	13.56
1945-1949	69	0.02838	0.02798	0.5	68231	1909	67276	880036	12.90
1945-1949	70	0.03121	0.03073	0.5	66321	2038	65302	812760	12.25
1945-1949	71	0.03438	0.03380	0.5	64283	2173	63197	747458	11.63
1945-1949	72	0.03840	0.03768	0.5	62111	2340	60941	684261	11.02
1945-1949	73	0.04325	0.04233	0.5	59770	2530	58505	623320	10.43
1945-1949	74	0.04866	0.04751	0.5	57240	2719	55881	564815	9.87
1945-1949	75	0.05456	0.05311	0.5	54521	2896	53073	508934	9.33
1945-1949	76	0.06068	0.05889	0.5	51625	3040	50105	455861	8.83
1945-1949	77	0.06689	0.06472	0.5	48585	3144	47013	405756	8.35
1945-1949	78	0.07305	0.07048	0.5	45441	3203	43839	358743	7.89
1945-1949	79	0.07936	0.07633	0.5	42238	3224	40626	314904	7.46
1945-1949	80	0.08318	0.07986	0.5	39014	3116	37456	274278	7.03
1945-1949	81	0.09140	0.08740	0.5	35898	3138	34329	236822	6.60
1945-1949	82	0.10094	0.09609	0.5	32761	3148	31187	202492	6.18
1945-1949	83	0.11355	0.10745	0.5	29613	3182	28022	171306	5.78
1945-1949	84	0.12518	0.11780	0.5	26431	3114	24874	143284	5.42
1945-1949	85	0.13781	0.12892	0.5	23317	3006	21814	118410	5.08
1945-1949	86	0.15149	0.14082	0.5	20311	2860	18881	96596	4.76
1945-1949	87	0.16627	0.15351	0.5	17451	2679	16111	77715	4.45
1945-1949	88	0.18219	0.16698	0.5	14772	2467	13539	61604	4.17
1945-1949	89	0.19926	0.18121	0.5	12305	2230	11190	48065	3.91
1945-1949	90	0.21751	0.19617	0.5	10076	1977	9087	36875	3.66
