CO: CO, Lifetables (period 5x1), Females Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.04632	0.04463	0.18	100000	4463	96352	6715004	67.15
1941	1-4	0.00326	0.01294	1.28	95537	1236	378783	6618651	69.28
1941	5-9	0.00112	0.00558	2.52	94301	527	470198	6239869	66.17
1941	10-14	0.00117	0.00585	2.52	93775	548	467513	5769671	61.53
1941	15-19	0.00130	0.00646	2.6	93226	602	464685	5302157	56.87
1941	20-24	0.00193	0.00963	2.63	92624	892	461003	4837472	52.23
1941	25-29	0.00230	0.01142	2.58	91732	1047	456123	4376469	47.71
1941	30-34	0.00287	0.01427	2.56	90685	1294	450272	3920346	43.23
1941	35-39	0.00303	0.01502	2.55	89391	1342	443673	3470074	38.82
1941	40-44	0.00437	0.02162	2.77	88049	1904	436003	3026401	34.37
1941	45-49	0.00714	0.03509	2.56	86145	3023	423344	2590399	30.07
1941	50-54	0.00796	0.03906	2.6	83123	3247	407822	2167054	26.07
1941	55-59	0.01168	0.05681	2.64	79876	4538	388667	1759232	22.02
1941	60-64	0.01661	0.07993	2.63	75338	6022	362445	1370566	18.19
1941	65-69	0.02674	0.12597	2.71	69316	8731	326563	1008121	14.54
1941	70-74	0.04689	0.21076	2.6	60584	12769	272325	681557	11.25
1941	75-79	0.07389	0.31350	2.59	47816	14990	202884	409232	8.56
1941	80-84	0.11787	0.45425	2.48	32826	14911	126501	206349	6.29
1941	85-89	0.19190	0.63179	2.3	17915	11318	58981	79847	4.46
1941	90-94	0.29478	0.78996	2.06	6596	5211	17677	20867	3.16
1941	95-99	0.42294	0.89698	1.79	1385	1243	2938	3190	2.30
1941	100-104	0.56282	0.95289	1.53	143	136	242	251	1.76
1941	105-109	0.69473	0.97744	1.32	7	7	9	10	1.44
1941	110+	0.78994	1.00000	1.27	0	0	0	0	1.27
1942	0	0.04681	0.04509	0.18	100000	4509	96321	6705176	67.05
1942	1-4	0.00295	0.01172	1.47	95491	1119	379129	6608855	69.21
1942	5-9	0.00102	0.00511	2.18	94372	482	470499	6229727	66.01
1942	10-14	0.00126	0.00627	2.7	93890	588	468098	5759228	61.34
1942	15-19	0.00162	0.00808	2.5	93302	754	464626	5291130	56.71
1942	20-24	0.00169	0.00843	2.59	92548	780	460858	4826504	52.15
1942	25-29	0.00227	0.01129	2.61	91767	1036	456365	4365646	47.57
1942	30-34	0.00292	0.01450	2.58	90732	1315	450479	3909281	43.09
1942	35-39	0.00326	0.01617	2.51	89416	1446	443487	3458801	38.68
1942	40-44	0.00369	0.01831	2.68	87970	1611	436118	3015314	34.28
1942	45-49	0.00603	0.02973	2.62	86360	2567	425680	2579197	29.87
1942	50-54	0.00814	0.03995	2.67	83792	3347	411174	2153517	25.70
1942	55-59	0.01300	0.06307	2.63	80445	5074	390222	1742343	21.66
1942	60-64	0.01918	0.09183	2.68	75371	6921	360818	1352121	17.94
1942	65-69	0.03082	0.14364	2.63	68450	9832	318993	991303	14.48
1942	70-74	0.04445	0.20081	2.6	58618	11771	264807	672310	11.47
1942	75-79	0.07732	0.32645	2.62	46847	15293	197798	407504	8.70
1942	80-84	0.11359	0.44072	2.46	31553	13906	122427	209706	6.65
1942	85-89	0.17208	0.58781	2.3	17647	10373	60280	87280	4.95
1942	90-94	0.24669	0.72316	2.14	7274	5260	21323	26999	3.71
