PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
CO,m,1941-1944,0,0.05909,0.05643,0.2,100000,5643,95506,6238901,62.39
CO,m,1941-1944,1,0.00631,0.00629,0.5,94357,593,94060,6143395,65.11
CO,m,1941-1944,2,0.00350,0.00349,0.5,93764,328,93600,6049335,64.52
CO,m,1941-1944,3,0.00230,0.00230,0.5,93436,215,93329,5955735,63.74
CO,m,1941-1944,4,0.00190,0.00190,0.5,93221,177,93133,5862406,62.89
CO,m,1941-1944,5,0.00165,0.00165,0.5,93044,154,92967,5769274,62.01
CO,m,1941-1944,6,0.00148,0.00148,0.5,92890,138,92822,5676306,61.11
CO,m,1941-1944,7,0.00138,0.00138,0.5,92753,128,92689,5583485,60.20
CO,m,1941-1944,8,0.00132,0.00132,0.5,92625,122,92564,5490796,59.28
CO,m,1941-1944,9,0.00130,0.00130,0.5,92503,120,92443,5398232,58.36
CO,m,1941-1944,10,0.00131,0.00131,0.5,92383,121,92322,5305789,57.43
CO,m,1941-1944,11,0.00134,0.00134,0.5,92261,124,92200,5213467,56.51
CO,m,1941-1944,12,0.00138,0.00138,0.5,92138,127,92074,5121267,55.58
CO,m,1941-1944,13,0.00144,0.00144,0.5,92011,133,91944,5029193,54.66
CO,m,1941-1944,14,0.00153,0.00153,0.5,91878,140,91808,4937249,53.74
CO,m,1941-1944,15,0.00163,0.00163,0.5,91737,150,91663,4845441,52.82
CO,m,1941-1944,16,0.00180,0.00179,0.5,91588,164,91505,4753778,51.90
CO,m,1941-1944,17,0.00202,0.00202,0.5,91423,185,91331,4662273,51.00
CO,m,1941-1944,18,0.00230,0.00230,0.5,91239,210,91134,4570942,50.10
CO,m,1941-1944,19,0.00264,0.00264,0.5,91029,240,90909,4479808,49.21
CO,m,1941-1944,20,0.00304,0.00304,0.5,90789,276,90651,4388899,48.34
CO,m,1941-1944,21,0.00338,0.00337,0.5,90513,305,90361,4298248,47.49
CO,m,1941-1944,22,0.00359,0.00358,0.5,90208,323,90046,4207887,46.65
CO,m,1941-1944,23,0.00368,0.00367,0.5,89885,330,89720,4117841,45.81
CO,m,1941-1944,24,0.00362,0.00361,0.5,89555,323,89393,4028121,44.98
CO,m,1941-1944,25,0.00340,0.00339,0.5,89231,303,89080,3938728,44.14
CO,m,1941-1944,26,0.00319,0.00318,0.5,88929,283,88787,3849648,43.29
CO,m,1941-1944,27,0.00302,0.00302,0.5,88646,267,88512,3760861,42.43
CO,m,1941-1944,28,0.00288,0.00288,0.5,88378,254,88251,3672349,41.55
CO,m,1941-1944,29,0.00278,0.00277,0.5,88124,244,88002,3584098,40.67
CO,m,1941-1944,30,0.00272,0.00272,0.5,87880,239,87760,3496096,39.78
CO,m,1941-1944,31,0.00273,0.00273,0.5,87641,239,87521,3408336,38.89
CO,m,1941-1944,32,0.00282,0.00282,0.5,87402,246,87278,3320815,37.99
CO,m,1941-1944,33,0.00300,0.00300,0.5,87155,261,87025,3233536,37.10
CO,m,1941-1944,34,0.00327,0.00326,0.5,86894,283,86752,3146512,36.21
CO,m,1941-1944,35,0.00361,0.00361,0.5,86611,312,86454,3059759,35.33
CO,m,1941-1944,36,0.00394,0.00393,0.5,86298,339,86129,2973305,34.45
CO,m,1941-1944,37,0.00428,0.00427,0.5,85959,367,85775,2887176,33.59
CO,m,1941-1944,38,0.00466,0.00465,0.5,85592,398,85393,2801401,32.73
CO,m,1941-1944,39,0.00496,0.00495,0.5,85194,422,84983,2716008,31.88
CO,m,1941-1944,40,0.00517,0.00515,0.5,84772,437,84554,2631026,31.04
CO,m,1941-1944,41,0.00538,0.00536,0.5,84335,452,84109,2546472,30.19
CO,m,1941-1944,42,0.00572,0.00571,0.5,83883,479,83643,2462363,29.35
CO,m,1941-1944,43,0.00615,0.00613,0.5,83404,512,83148,2378720,28.52
CO,m,1941-1944,44,0.00670,0.00667,0.5,82893,553,82616,2295571,27.69
CO,m,1941-1944,45,0.00741,0.00738,0.5,82339,608,82035,2212955,26.88
CO,m,1941-1944,46,0.00795,0.00792,0.5,81732,647,81408,2130920,26.07
CO,m,1941-1944,47,0.00849,0.00845,0.5,81084,685,80742,2049512,25.28
CO,m,1941-1944,48,0.00914,0.00910,0.5,80399,731,80033,1968770,24.49
CO,m,1941-1944,49,0.00975,0.00970,0.5,79668,773,79281,1888737,23.71
CO,m,1941-1944,50,0.01041,0.01035,0.5,78895,817,78486,1809456,22.94
CO,m,1941-1944,51,0.01107,0.01101,0.5,78078,859,77648,1730970,22.17
CO,m,1941-1944,52,0.01194,0.01187,0.5,77219,916,76760,1653321,21.41
CO,m,1941-1944,53,0.01296,0.01288,0.5,76302,983,75811,1576561,20.66
CO,m,1941-1944,54,0.01406,0.01397,0.5,75319,1052,74793,1500750,19.93
CO,m,1941-1944,55,0.01532,0.01521,0.5,74268,1129,73703,1425957,19.20
CO,m,1941-1944,56,0.01647,0.01634,0.5,73138,1195,72541,1352254,18.49
CO,m,1941-1944,57,0.01766,0.01751,0.5,71943,1260,71313,1279713,17.79
CO,m,1941-1944,58,0.01915,0.01897,0.5,70684,1341,70013,1208400,17.10
CO,m,1941-1944,59,0.02073,0.02052,0.5,69343,1423,68631,1138387,16.42
CO,m,1941-1944,60,0.02250,0.02225,0.5,67920,1512,67164,1069755,15.75
CO,m,1941-1944,61,0.02444,0.02414,0.5,66408,1603,65607,1002591,15.10
CO,m,1941-1944,62,0.02667,0.02632,0.5,64805,1705,63952,936985,14.46
CO,m,1941-1944,63,0.02923,0.02881,0.5,63100,1818,62191,873032,13.84
CO,m,1941-1944,64,0.03163,0.03114,0.5,61282,1908,60328,810842,13.23
CO,m,1941-1944,65,0.03402,0.03345,0.5,59374,1986,58381,750514,12.64
CO,m,1941-1944,66,0.03619,0.03555,0.5,57388,2040,56368,692133,12.06
CO,m,1941-1944,67,0.03907,0.03832,0.5,55348,2121,54287,635765,11.49
CO,m,1941-1944,68,0.04325,0.04234,0.5,53227,2253,52100,581478,10.92
CO,m,1941-1944,69,0.04801,0.04689,0.5,50973,2390,49778,529378,10.39
CO,m,1941-1944,70,0.05351,0.05211,0.5,48583,2532,47317,479600,9.87
CO,m,1941-1944,71,0.05846,0.05680,0.5,46051,2616,44744,432283,9.39
CO,m,1941-1944,72,0.06367,0.06170,0.5,43436,2680,42096,387539,8.92
CO,m,1941-1944,73,0.06914,0.06683,0.5,40756,2724,39394,345443,8.48
CO,m,1941-1944,74,0.07411,0.07146,0.5,38032,2718,36673,306049,8.05
CO,m,1941-1944,75,0.07975,0.07669,0.5,35314,2708,33960,269376,7.63
CO,m,1941-1944,76,0.08510,0.08162,0.5,32606,2661,31275,235416,7.22
CO,m,1941-1944,77,0.09166,0.08764,0.5,29945,2624,28632,204141,6.82
CO,m,1941-1944,78,0.10163,0.09672,0.5,27320,2642,25999,175509,6.42
CO,m,1941-1944,79,0.11350,0.10741,0.5,24678,2651,23353,149510,6.06
CO,m,1941-1944,80,0.12259,0.11551,0.5,22027,2544,20755,126157,5.73
CO,m,1941-1944,81,0.13419,0.12576,0.5,19483,2450,18258,105402,5.41
CO,m,1941-1944,82,0.14626,0.13630,0.5,17033,2322,15872,87144,5.12
CO,m,1941-1944,83,0.15755,0.14604,0.5,14711,2148,13637,71272,4.84
CO,m,1941-1944,84,0.16952,0.15627,0.5,12563,1963,11581,57635,4.59
CO,m,1941-1944,85,0.18220,0.16699,0.5,10600,1770,9715,46053,4.34
CO,m,1941-1944,86,0.19562,0.17819,0.5,8830,1573,8043,36339,4.12
CO,m,1941-1944,87,0.20976,0.18985,0.5,7256,1378,6568,28296,3.90
CO,m,1941-1944,88,0.22464,0.20196,0.5,5879,1187,5285,21728,3.70
CO,m,1941-1944,89,0.24026,0.21449,0.5,4691,1006,4188,16443,3.50
CO,m,1941-1944,90,0.25661,0.22743,0.5,3685,838,3266,12255,3.33
CO,m,1941-1944,91,0.27366,0.24072,0.5,2847,685,2504,8989,3.16
CO,m,1941-1944,92,0.29141,0.25435,0.5,2162,550,1887,6484,3.00
CO,m,1941-1944,93,0.30981,0.26826,0.5,1612,432,1396,4597,2.85
CO,m,1941-1944,94,0.32884,0.28241,0.5,1179,333,1013,3202,2.71
CO,m,1941-1944,95,0.34845,0.29675,0.5,846,251,721,2189,2.59
CO,m,1941-1944,96,0.36858,0.31122,0.5,595,185,503,1468,2.47
CO,m,1941-1944,97,0.38918,0.32579,0.5,410,134,343,965,2.35
CO,m,1941-1944,98,0.41019,0.34038,0.5,276,94,229,622,2.25
CO,m,1941-1944,99,0.43152,0.35494,0.5,182,65,150,393,2.15
CO,m,1941-1944,100,0.45312,0.36942,0.5,118,43,96,243,2.07
CO,m,1941-1944,101,0.47489,0.38377,0.5,74,28,60,147,1.98
CO,m,1941-1944,102,0.49676,0.39792,0.5,46,18,37,87,1.91
CO,m,1941-1944,103,0.51864,0.41184,0.5,28,11,22,50,1.83
CO,m,1941-1944,104,0.54045,0.42548,0.5,16,7,13,29,1.77
CO,m,1941-1944,105,0.56211,0.43879,0.5,9,4,7,16,1.71
CO,m,1941-1944,106,0.58353,0.45173,0.5,5,2,4,9,1.65
CO,m,1941-1944,107,0.60464,0.46428,0.5,3,1,2,5,1.60
CO,m,1941-1944,108,0.62537,0.47641,0.5,2,1,1,2,1.56
CO,m,1941-1944,109,0.64565,0.48808,0.5,1,0,1,1,1.53
CO,m,1941-1944,110+,0.66542,1.00000,1.5,0,0,1,1,1.50
CO,m,1945-1949,0,0.04879,0.04690,0.18,100000,4690,96135,6460080,64.60
CO,m,1945-1949,1,0.00380,0.00379,0.5,95310,361,95129,6363945,66.77
CO,m,1945-1949,2,0.00227,0.00227,0.5,94948,216,94840,6268816,66.02
CO,m,1945-1949,3,0.00174,0.00174,0.5,94733,165,94650,6173976,65.17
CO,m,1945-1949,4,0.00132,0.00132,0.5,94568,125,94505,6079326,64.29
CO,m,1945-1949,5,0.00114,0.00114,0.5,94443,108,94389,5984820,63.37
CO,m,1945-1949,6,0.00107,0.00107,0.5,94335,101,94284,5890431,62.44
CO,m,1945-1949,7,0.00102,0.00102,0.5,94234,96,94186,5796147,61.51
CO,m,1945-1949,8,0.00098,0.00098,0.5,94137,93,94091,5701961,60.57
CO,m,1945-1949,9,0.00097,0.00096,0.5,94045,91,94000,5607870,59.63
CO,m,1945-1949,10,0.00097,0.00097,0.5,93954,91,93909,5513871,58.69
CO,m,1945-1949,11,0.00102,0.00102,0.5,93863,96,93815,5419962,57.74
CO,m,1945-1949,12,0.00111,0.00111,0.5,93767,104,93715,5326147,56.80
CO,m,1945-1949,13,0.00123,0.00123,0.5,93662,115,93605,5232433,55.86
CO,m,1945-1949,14,0.00137,0.00137,0.5,93547,128,93483,5138828,54.93
CO,m,1945-1949,15,0.00154,0.00154,0.5,93419,143,93347,5045345,54.01
CO,m,1945-1949,16,0.00169,0.00169,0.5,93276,157,93197,4951998,53.09
CO,m,1945-1949,17,0.00183,0.00183,0.5,93118,170,93033,4858801,52.18
CO,m,1945-1949,18,0.00198,0.00197,0.5,92948,183,92856,4765768,51.27
CO,m,1945-1949,19,0.00211,0.00211,0.5,92765,196,92667,4672911,50.37
CO,m,1945-1949,20,0.00222,0.00221,0.5,92569,205,92466,4580245,49.48
CO,m,1945-1949,21,0.00228,0.00228,0.5,92364,210,92259,4487778,48.59
CO,m,1945-1949,22,0.00230,0.00230,0.5,92153,212,92048,4395520,47.70
CO,m,1945-1949,23,0.00227,0.00227,0.5,91942,208,91838,4303472,46.81
CO,m,1945-1949,24,0.00222,0.00221,0.5,91733,203,91632,4211635,45.91
CO,m,1945-1949,25,0.00216,0.00216,0.5,91530,198,91432,4120003,45.01
CO,m,1945-1949,26,0.00214,0.00214,0.5,91333,195,91235,4028571,44.11
CO,m,1945-1949,27,0.00215,0.00215,0.5,91137,196,91039,3937336,43.20
CO,m,1945-1949,28,0.00222,0.00221,0.5,90941,201,90841,3846297,42.29
CO,m,1945-1949,29,0.00231,0.00231,0.5,90740,210,90635,3755456,41.39
CO,m,1945-1949,30,0.00243,0.00243,0.5,90530,220,90420,3664821,40.48
CO,m,1945-1949,31,0.00256,0.00255,0.5,90311,230,90195,3574400,39.58
CO,m,1945-1949,32,0.00268,0.00268,0.5,90080,241,89959,3484205,38.68
CO,m,1945-1949,33,0.00279,0.00279,0.5,89839,250,89714,3394245,37.78
CO,m,1945-1949,34,0.00289,0.00289,0.5,89588,258,89459,3304532,36.89
CO,m,1945-1949,35,0.00301,0.00300,0.5,89330,268,89196,3215073,35.99
CO,m,1945-1949,36,0.00319,0.00318,0.5,89062,283,88920,3125877,35.10
CO,m,1945-1949,37,0.00342,0.00342,0.5,88778,303,88627,3036957,34.21
CO,m,1945-1949,38,0.00374,0.00373,0.5,88475,330,88310,2948330,33.32
CO,m,1945-1949,39,0.00417,0.00416,0.5,88145,367,87961,2860020,32.45
CO,m,1945-1949,40,0.00467,0.00466,0.5,87778,409,87573,2772059,31.58
CO,m,1945-1949,41,0.00517,0.00516,0.5,87369,451,87143,2684486,30.73
CO,m,1945-1949,42,0.00570,0.00568,0.5,86918,494,86671,2597342,29.88
CO,m,1945-1949,43,0.00621,0.00620,0.5,86424,535,86156,2510671,29.05
CO,m,1945-1949,44,0.00655,0.00653,0.5,85889,561,85608,2424515,28.23
CO,m,1945-1949,45,0.00681,0.00679,0.5,85328,579,85039,2338906,27.41
CO,m,1945-1949,46,0.00726,0.00724,0.5,84749,613,84442,2253868,26.59
CO,m,1945-1949,47,0.00776,0.00773,0.5,84136,650,83810,2169426,25.78
CO,m,1945-1949,48,0.00828,0.00824,0.5,83485,688,83141,2085615,24.98
CO,m,1945-1949,49,0.00902,0.00897,0.5,82797,743,82426,2002474,24.19
CO,m,1945-1949,50,0.00993,0.00988,0.5,82054,810,81649,1920048,23.40
CO,m,1945-1949,51,0.01077,0.01071,0.5,81244,870,80809,1838399,22.63
CO,m,1945-1949,52,0.01161,0.01154,0.5,80374,928,79910,1757590,21.87
CO,m,1945-1949,53,0.01260,0.01252,0.5,79446,995,78949,1677680,21.12
CO,m,1945-1949,54,0.01367,0.01357,0.5,78451,1065,77919,1598732,20.38
CO,m,1945-1949,55,0.01475,0.01465,0.5,77386,1133,76820,1520813,19.65
CO,m,1945-1949,56,0.01597,0.01584,0.5,76253,1208,75649,1443993,18.94
CO,m,1945-1949,57,0.01733,0.01718,0.5,75045,1289,74400,1368344,18.23
CO,m,1945-1949,58,0.01875,0.01857,0.5,73756,1370,73071,1293944,17.54
CO,m,1945-1949,59,0.02021,0.02000,0.5,72386,1448,71662,1220873,16.87
CO,m,1945-1949,60,0.02162,0.02139,0.5,70938,1517,70179,1149211,16.20
CO,m,1945-1949,61,0.02304,0.02278,0.5,69421,1581,68630,1079032,15.54
CO,m,1945-1949,62,0.02473,0.02443,0.5,67839,1657,67011,1010402,14.89
CO,m,1945-1949,63,0.02676,0.02640,0.5,66182,1747,65308,943391,14.25
CO,m,1945-1949,64,0.02920,0.02878,0.5,64435,1854,63507,878083,13.63
CO,m,1945-1949,65,0.03241,0.03189,0.5,62580,1996,61583,814576,13.02
CO,m,1945-1949,66,0.03601,0.03537,0.5,60585,2143,59513,752993,12.43
CO,m,1945-1949,67,0.03933,0.03857,0.5,58442,2254,57315,693480,11.87
CO,m,1945-1949,68,0.04244,0.04156,0.5,56188,2335,55020,636165,11.32
CO,m,1945-1949,69,0.04531,0.04431,0.5,53853,2386,52660,581145,10.79
CO,m,1945-1949,70,0.04836,0.04722,0.5,51466,2430,50251,528485,10.27
CO,m,1945-1949,71,0.05212,0.05080,0.5,49036,2491,47791,478234,9.75
CO,m,1945-1949,72,0.05667,0.05511,0.5,46546,2565,45263,430443,9.25
CO,m,1945-1949,73,0.06228,0.06040,0.5,43981,2656,42652,385180,8.76
CO,m,1945-1949,74,0.06903,0.06673,0.5,41324,2757,39945,342528,8.29
CO,m,1945-1949,75,0.07694,0.07409,0.5,38567,2857,37138,302582,7.85
CO,m,1945-1949,76,0.08533,0.08183,0.5,35709,2922,34248,265444,7.43
CO,m,1945-1949,77,0.09313,0.08899,0.5,32787,2918,31328,231196,7.05
CO,m,1945-1949,78,0.09978,0.09504,0.5,29869,2839,28450,199868,6.69
CO,m,1945-1949,79,0.10541,0.10013,0.5,27031,2707,25677,171417,6.34
CO,m,1945-1949,80,0.11147,0.10559,0.5,24324,2568,23040,145740,5.99
CO,m,1945-1949,81,0.11984,0.11306,0.5,21756,2460,20526,122700,5.64
CO,m,1945-1949,82,0.12966,0.12177,0.5,19296,2350,18121,102174,5.30
CO,m,1945-1949,83,0.14364,0.13401,0.5,16946,2271,15811,84053,4.96
CO,m,1945-1949,84,0.15746,0.14597,0.5,14675,2142,13604,68242,4.65
CO,m,1945-1949,85,0.17236,0.15868,0.5,12533,1989,11539,54638,4.36
CO,m,1945-1949,86,0.18834,0.17213,0.5,10544,1815,9637,43099,4.09
CO,m,1945-1949,87,0.20544,0.18630,0.5,8729,1626,7916,33462,3.83
CO,m,1945-1949,88,0.22366,0.20117,0.5,7103,1429,6389,25546,3.60
CO,m,1945-1949,89,0.24301,0.21668,0.5,5674,1230,5059,19157,3.38
CO,m,1945-1949,90,0.26346,0.23280,0.5,4445,1035,3927,14097,3.17
CO,m,1945-1949,91,0.28499,0.24944,0.5,3410,851,2985,10170,2.98
CO,m,1945-1949,92,0.30754,0.26655,0.5,2559,682,2218,7185,2.81
CO,m,1945-1949,93,0.33105,0.28403,0.5,1877,533,1611,4967,2.65
CO,m,1945-1949,94,0.35543,0.30180,0.5,1344,406,1141,3357,2.50
CO,m,1945-1949,95,0.38059,0.31974,0.5,938,300,788,2215,2.36
CO,m,1945-1949,96,0.40640,0.33777,0.5,638,216,531,1427,2.24
CO,m,1945-1949,97,0.43274,0.35577,0.5,423,150,348,896,2.12
CO,m,1945-1949,98,0.45947,0.37363,0.5,272,102,221,549,2.02
CO,m,1945-1949,99,0.48643,0.39127,0.5,171,67,137,327,1.92
CO,m,1945-1949,100,0.51348,0.40858,0.5,104,42,83,190,1.83
CO,m,1945-1949,101,0.54044,0.42547,0.5,61,26,48,108,1.75
