CT: CT, Lifetables (period 1x5), Both sexes Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1944	0	0.03187	0.03102	0.14	100000	3102	97320	6651590	66.52
1941-1944	1	0.00249	0.00248	0.5	96898	241	96778	6554269	67.64
1941-1944	2	0.00161	0.00161	0.5	96657	155	96580	6457492	66.81
1941-1944	3	0.00127	0.00127	0.5	96502	122	96441	6360912	65.91
1941-1944	4	0.00109	0.00109	0.5	96380	105	96328	6264471	65.00
1941-1944	5	0.00098	0.00098	0.5	96275	94	96228	6168143	64.07
1941-1944	6	0.00091	0.00091	0.5	96181	87	96137	6071915	63.13
1941-1944	7	0.00086	0.00086	0.5	96094	83	96052	5975778	62.19
1941-1944	8	0.00082	0.00082	0.5	96011	78	95972	5879725	61.24
1941-1944	9	0.00077	0.00077	0.5	95933	74	95896	5783753	60.29
1941-1944	10	0.00074	0.00074	0.5	95859	71	95824	5687858	59.34
1941-1944	11	0.00072	0.00072	0.5	95788	69	95754	5592034	58.38
1941-1944	12	0.00072	0.00072	0.5	95719	69	95685	5496280	57.42
1941-1944	13	0.00075	0.00075	0.5	95650	72	95614	5400595	56.46
1941-1944	14	0.00081	0.00080	0.5	95578	77	95540	5304981	55.50
1941-1944	15	0.00088	0.00088	0.5	95501	84	95459	5209442	54.55
1941-1944	16	0.00096	0.00096	0.5	95417	91	95372	5113982	53.60
1941-1944	17	0.00105	0.00105	0.5	95326	100	95276	5018611	52.65
1941-1944	18	0.00116	0.00116	0.5	95226	110	95171	4923335	51.70
1941-1944	19	0.00126	0.00126	0.5	95116	120	95056	4828164	50.76
1941-1944	20	0.00138	0.00138	0.5	94995	131	94930	4733109	49.82
1941-1944	21	0.00147	0.00147	0.5	94865	140	94795	4638179	48.89
1941-1944	22	0.00153	0.00153	0.5	94725	145	94652	4543384	47.96
1941-1944	23	0.00157	0.00157	0.5	94580	148	94506	4448731	47.04
1941-1944	24	0.00159	0.00159	0.5	94432	150	94357	4354225	46.11
1941-1944	25	0.00159	0.00159	0.5	94282	150	94207	4259869	45.18
1941-1944	26	0.00161	0.00161	0.5	94132	152	94056	4165662	44.25
1941-1944	27	0.00166	0.00166	0.5	93980	156	93902	4071606	43.32
1941-1944	28	0.00173	0.00173	0.5	93825	162	93743	3977703	42.40
1941-1944	29	0.00183	0.00183	0.5	93662	171	93577	3883960	41.47
1941-1944	30	0.00195	0.00195	0.5	93491	183	93400	3790383	40.54
1941-1944	31	0.00209	0.00208	0.5	93308	194	93211	3696983	39.62
1941-1944	32	0.00223	0.00223	0.5	93114	208	93010	3603772	38.70
1941-1944	33	0.00240	0.00240	0.5	92906	223	92795	3510762	37.79
1941-1944	34	0.00259	0.00259	0.5	92684	240	92564	3417967	36.88
1941-1944	35	0.00282	0.00282	0.5	92444	260	92314	3325403	35.97
1941-1944	36	0.00302	0.00302	0.5	92183	278	92044	3233090	35.07
1941-1944	37	0.00325	0.00324	0.5	91905	298	91756	3141046	34.18
1941-1944	38	0.00353	0.00353	0.5	91607	323	91445	3049290	33.29
1941-1944	39	0.00379	0.00378	0.5	91284	345	91111	2957844	32.40
1941-1944	40	0.00405	0.00404	0.5	90939	367	90755	2866733	31.52
1941-1944	41	0.00434	0.00433	0.5	90572	392	90376	2775978	30.65
1941-1944	42	0.00474	0.00473	0.5	90180	427	89966	2685602	29.78
1941-1944	43	0.00525	0.00524	0.5	89753	470	89518	2595635	28.92
1941-1944	44	0.00588	0.00586	0.5	89283	523	89021	2506117	28.07
1941-1944	45	0.00669	0.00667	0.5	88759	592	88463	2417096	27.23
1941-1944	46	0.00729	0.00726	0.5	88168	640	87848	2328633	26.41
1941-1944	47	0.00787	0.00784	0.5	87528	686	87184	2240785	25.60
1941-1944	48	0.00863	0.00859	0.5	86841	746	86468	2153601	24.80
1941-1944	49	0.00932	0.00928	0.5	86096	799	85696	2067132	24.01
1941-1944	50	0.01012	0.01006	0.5	85296	858	84867	1981437	23.23
1941-1944	51	0.01085	0.01079	0.5	84438	911	83982	1896569	22.46
1941-1944	52	0.01172	0.01165	0.5	83527	973	83040	1812587	21.70
1941-1944	53	0.01279	0.01271	0.5	82553	1049	82029	1729547	20.95
1941-1944	54	0.01399	0.01389	0.5	81504	1132	80938	1647518	20.21
1941-1944	55	0.01552	0.01540	0.5	80372	1238	79753	1566580	19.49
1941-1944	56	0.01681	0.01667	0.5	79135	1319	78475	1486827	18.79
1941-1944	57	0.01812	0.01795	0.5	77816	1397	77117	1408351	18.10
1941-1944	58	0.01973	0.01954	0.5	76419	1493	75672	1331234	17.42
1941-1944	59	0.02119	0.02097	0.5	74926	1571	74140	1255562	16.76
1941-1944	60	0.02300	0.02273	0.5	73354	1668	72520	1181422	16.11
1941-1944	61	0.02468	0.02438	0.5	71687	1748	70813	1108902	15.47
1941-1944	62	0.02649	0.02614	0.5	69939	1828	69025	1038089	14.84
1941-1944	63	0.02891	0.02850	0.5	68110	1941	67140	969065	14.23
1941-1944	64	0.03124	0.03076	0.5	66169	2036	65151	901925	13.63
1941-1944	65	0.03406	0.03349	0.5	64133	2148	63060	836774	13.05
1941-1944	66	0.03599	0.03536	0.5	61986	2192	60890	773714	12.48
1941-1944	67	0.03819	0.03748	0.5	59794	2241	58674	712824	11.92
1941-1944	68	0.04180	0.04095	0.5	57553	2357	56375	654151	11.37
1941-1944	69	0.04566	0.04464	0.5	55197	2464	53965	597776	10.83
1941-1944	70	0.05056	0.04931	0.5	52733	2600	51433	543811	10.31
1941-1944	71	0.05456	0.05311	0.5	50133	2662	48801	492379	9.82
1941-1944	72	0.05859	0.05692	0.5	47470	2702	46119	443577	9.34
1941-1944	73	0.06395	0.06197	0.5	44768	2774	43381	397458	8.88
1941-1944	74	0.06939	0.06706	0.5	41994	2816	40586	354077	8.43
1941-1944	75	0.07642	0.07361	0.5	39178	2884	37736	313491	8.00
1941-1944	76	0.08152	0.07832	0.5	36294	2843	34873	275755	7.60
1941-1944	77	0.08595	0.08241	0.5	33451	2757	32073	240882	7.20
1941-1944	78	0.09458	0.09031	0.5	30695	2772	29309	208809	6.80
1941-1944	79	0.10549	0.10020	0.5	27923	2798	26524	179501	6.43
1941-1944	80	0.11197	0.10604	0.5	25125	2664	23793	152977	6.09
1941-1944	81	0.12270	0.11561	0.5	22461	2597	21162	129184	5.75
1941-1944	82	0.13404	0.12562	0.5	19864	2495	18616	108021	5.44
1941-1944	83	0.14573	0.13583	0.5	17369	2359	16189	89405	5.15
1941-1944	84	0.15692	0.14550	0.5	15010	2184	13918	73216	4.88
1941-1944	85	0.16596	0.15325	0.5	12826	1965	11843	59298	4.62
1941-1944	86	0.17901	0.16430	0.5	10860	1784	9968	47455	4.37
1941-1944	87	0.19285	0.17589	0.5	9076	1596	8278	37487	4.13
1941-1944	88	0.20750	0.18799	0.5	7479	1406	6776	29210	3.91
