PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
CT,b,1941-1949,0,0.02901,0.02829,0.13,100000,2829,97534,6774706,67.75
CT,b,1941-1949,1-4,0.00132,0.00525,1.67,97171,510,387495,6677172,68.72
CT,b,1941-1949,5-9,0.00071,0.00355,2.34,96661,343,482392,6289677,65.07
CT,b,1941-1949,10-14,0.00059,0.00293,2.58,96318,283,480904,5807285,60.29
CT,b,1941-1949,15-19,0.00090,0.00449,2.68,96035,431,479174,5326380,55.46
CT,b,1941-1949,20-24,0.00124,0.00619,2.56,95604,592,476574,4847207,50.70
CT,b,1941-1949,25-29,0.00141,0.00701,2.58,95012,666,473444,4370632,46.00
CT,b,1941-1949,30-34,0.00191,0.00950,2.64,94345,896,469612,3897189,41.31
CT,b,1941-1949,35-39,0.00281,0.01396,2.66,93450,1305,464200,3427577,36.68
CT,b,1941-1949,40-44,0.00444,0.02198,2.68,92145,2026,456031,2963376,32.16
CT,b,1941-1949,45-49,0.00714,0.03514,2.67,90119,3167,443232,2507345,27.82
CT,b,1941-1949,50-54,0.01132,0.05511,2.64,86952,4792,423463,2064113,23.74
CT,b,1941-1949,55-59,0.01691,0.08130,2.62,82161,6680,394936,1640650,19.97
CT,b,1941-1949,60-64,0.02508,0.11832,2.61,75481,8931,356044,1245714,16.50
CT,b,1941-1949,65-69,0.03777,0.17305,2.58,66550,11516,304918,889670,13.37
CT,b,1941-1949,70-74,0.05622,0.24702,2.55,55034,13595,241820,584752,10.63
CT,b,1941-1949,75-79,0.08457,0.34877,2.49,41439,14453,170908,342932,8.28
CT,b,1941-1949,80-84,0.12223,0.46464,2.42,26986,12539,102584,172024,6.37
CT,b,1941-1949,85-89,0.17830,0.60128,2.29,14447,8687,48720,69440,4.81
CT,b,1941-1949,90-94,0.25587,0.73671,2.12,5760,4244,16586,20720,3.60
CT,b,1941-1949,95-99,0.35242,0.84434,1.92,1517,1281,3634,4135,2.73
CT,b,1941-1949,100-104,0.46301,0.91544,1.7,236,216,467,501,2.12
CT,b,1941-1949,105-109,0.57830,0.95547,1.5,20,19,33,34,1.72
CT,b,1941-1949,110+,0.67036,1.00000,1.49,1,1,1,1,1.49
CT,b,1950-1959,0,0.02259,0.02214,0.11,100000,2214,98031,7057851,70.58
CT,b,1950-1959,1-4,0.00086,0.00343,1.7,97786,336,390369,6959819,71.17
CT,b,1950-1959,5-9,0.00041,0.00204,2.26,97450,199,486704,6569450,67.41
CT,b,1950-1959,10-14,0.00035,0.00176,2.68,97251,171,485857,6082746,62.55
CT,b,1950-1959,15-19,0.00067,0.00337,2.74,97080,327,484661,5596889,57.65
CT,b,1950-1959,20-24,0.00088,0.00441,2.49,96753,426,482696,5112228,52.84
CT,b,1950-1959,25-29,0.00093,0.00465,2.57,96327,448,480543,4629531,48.06
CT,b,1950-1959,30-34,0.00126,0.00628,2.63,95878,602,477967,4148989,43.27
CT,b,1950-1959,35-39,0.00191,0.00951,2.7,95277,906,474297,3671021,38.53
CT,b,1950-1959,40-44,0.00325,0.01615,2.72,94371,1524,468381,3196725,33.87
CT,b,1950-1959,45-49,0.00556,0.02743,2.68,92847,2547,458336,2728343,29.39
CT,b,1950-1959,50-54,0.00872,0.04271,2.68,90300,3857,442561,2270007,25.14
CT,b,1950-1959,55-59,0.01411,0.06830,2.65,86443,5904,418325,1827446,21.14
CT,b,1950-1959,60-64,0.02159,0.10271,2.64,80539,8272,383144,1409121,17.50
CT,b,1950-1959,65-69,0.03352,0.15509,2.6,72266,11207,334389,1025978,14.20
CT,b,1950-1959,70-74,0.04986,0.22233,2.57,61059,13575,272259,691588,11.33
CT,b,1950-1959,75-79,0.07484,0.31553,2.51,47484,14982,200181,419329,8.83
CT,b,1950-1959,80-84,0.11085,0.43254,2.46,32501,14058,126821,219149,6.74
CT,b,1950-1959,85-89,0.16775,0.57896,2.33,18443,10678,63655,92328,5.01
CT,b,1950-1959,90-94,0.24698,0.72457,2.15,7765,5627,22781,28673,3.69
CT,b,1950-1959,95-99,0.34772,0.84107,1.93,2139,1799,5173,5892,2.75
CT,b,1950-1959,100-104,0.46457,0.91676,1.7,340,312,671,719,2.11
CT,b,1950-1959,105-109,0.58657,0.95783,1.48,28,27,46,48,1.69
CT,b,1950-1959,110+,0.68352,1.00000,1.46,1,1,2,2,1.46
CT,b,1960-1969,0,0.02113,0.02074,0.11,100000,2074,98149,7145395,71.45
CT,b,1960-1969,1-4,0.00071,0.00283,1.59,97926,277,391038,7047246,71.96
CT,b,1960-1969,5-9,0.00035,0.00173,2.24,97649,169,487778,6656209,68.16
CT,b,1960-1969,10-14,0.00032,0.00161,2.65,97480,157,487032,6168430,63.28
CT,b,1960-1969,15-19,0.00071,0.00356,2.79,97323,346,485853,5681398,58.38
CT,b,1960-1969,20-24,0.00097,0.00483,2.48,96977,468,483707,5195546,53.57
CT,b,1960-1969,25-29,0.00100,0.00500,2.49,96509,483,481333,4711839,48.82
CT,b,1960-1969,30-34,0.00124,0.00618,2.61,96026,594,478712,4230506,44.06
CT,b,1960-1969,35-39,0.00188,0.00937,2.73,95433,894,475130,3751794,39.31
CT,b,1960-1969,40-44,0.00292,0.01452,2.7,94539,1373,469538,3276664,34.66
CT,b,1960-1969,45-49,0.00497,0.02455,2.7,93166,2287,460566,2807125,30.13
CT,b,1960-1969,50-54,0.00821,0.04026,2.67,90878,3659,445875,2346559,25.82
CT,b,1960-1969,55-59,0.01267,0.06150,2.65,87220,5364,423483,1900684,21.79
CT,b,1960-1969,60-64,0.01971,0.09419,2.64,81856,7710,391096,1477201,18.05
CT,b,1960-1969,65-69,0.03030,0.14125,2.6,74146,10473,345598,1086105,14.65
CT,b,1960-1969,70-74,0.04703,0.21104,2.57,63673,13438,285707,740507,11.63
CT,b,1960-1969,75-79,0.07081,0.30122,2.52,50235,15132,213682,454800,9.05
CT,b,1960-1969,80-84,0.10723,0.42196,2.48,35104,14812,138137,241118,6.87
CT,b,1960-1969,85-89,0.16453,0.57117,2.32,20291,11590,70442,102981,5.08
CT,b,1960-1969,90-94,0.24281,0.71857,2.16,8701,6253,25751,32539,3.74
CT,b,1960-1969,95-99,0.34502,0.83905,1.94,2449,2055,5955,6788,2.77
