CT: CT, Lifetables (period 1x10), Females Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1949	0	0.02590	0.02533	0.13	100000	2533	97785	7018825	70.19
1941-1949	1	0.00185	0.00185	0.5	97467	180	97377	6921040	71.01
1941-1949	2	0.00122	0.00122	0.5	97287	119	97227	6823663	70.14
1941-1949	3	0.00093	0.00093	0.5	97168	90	97123	6726436	69.22
1941-1949	4	0.00082	0.00082	0.5	97078	80	97038	6629313	68.29
1941-1949	5	0.00072	0.00072	0.5	96998	70	96963	6532275	67.34
1941-1949	6	0.00063	0.00063	0.5	96928	61	96898	6435312	66.39
1941-1949	7	0.00056	0.00056	0.5	96868	54	96841	6338414	65.43
1941-1949	8	0.00051	0.00051	0.5	96814	49	96789	6241574	64.47
1941-1949	9	0.00047	0.00047	0.5	96765	45	96742	6144784	63.50
1941-1949	10	0.00046	0.00046	0.5	96719	44	96697	6048043	62.53
1941-1949	11	0.00046	0.00046	0.5	96675	44	96653	5951345	61.56
1941-1949	12	0.00046	0.00046	0.5	96631	45	96609	5854692	60.59
1941-1949	13	0.00047	0.00047	0.5	96586	46	96564	5758084	59.62
1941-1949	14	0.00049	0.00049	0.5	96541	47	96517	5661520	58.64
1941-1949	15	0.00052	0.00052	0.5	96493	50	96468	5565003	57.67
1941-1949	16	0.00056	0.00056	0.5	96443	54	96416	5468535	56.70
1941-1949	17	0.00063	0.00063	0.5	96389	60	96359	5372119	55.73
1941-1949	18	0.00071	0.00071	0.5	96328	69	96294	5275761	54.77
1941-1949	19	0.00081	0.00081	0.5	96260	78	96221	5179467	53.81
1941-1949	20	0.00092	0.00092	0.5	96182	88	96138	5083246	52.85
1941-1949	21	0.00101	0.00101	0.5	96093	97	96045	4987108	51.90
1941-1949	22	0.00108	0.00108	0.5	95997	103	95945	4891063	50.95
1941-1949	23	0.00112	0.00112	0.5	95893	108	95840	4795118	50.00
1941-1949	24	0.00116	0.00115	0.5	95786	111	95731	4699278	49.06
1941-1949	25	0.00118	0.00118	0.5	95675	113	95619	4603548	48.12
1941-1949	26	0.00121	0.00121	0.5	95562	116	95505	4507929	47.17
1941-1949	27	0.00125	0.00124	0.5	95447	119	95387	4412425	46.23
1941-1949	28	0.00130	0.00130	0.5	95328	123	95266	4317037	45.29
1941-1949	29	0.00136	0.00136	0.5	95205	129	95140	4221771	44.34
1941-1949	30	0.00143	0.00143	0.5	95075	136	95007	4126631	43.40
1941-1949	31	0.00151	0.00151	0.5	94939	144	94867	4031624	42.47
1941-1949	32	0.00161	0.00161	0.5	94795	153	94719	3936757	41.53
1941-1949	33	0.00173	0.00173	0.5	94642	164	94561	3842038	40.60
1941-1949	34	0.00186	0.00186	0.5	94479	176	94391	3747477	39.66
1941-1949	35	0.00201	0.00201	0.5	94303	190	94208	3653086	38.74
1941-1949	36	0.00216	0.00216	0.5	94113	204	94012	3558878	37.81
1941-1949	37	0.00233	0.00232	0.5	93910	218	93801	3464866	36.90
1941-1949	38	0.00252	0.00251	0.5	93692	235	93574	3371065	35.98
1941-1949	39	0.00272	0.00271	0.5	93456	254	93330	3277491	35.07
1941-1949	40	0.00293	0.00292	0.5	93203	272	93067	3184162	34.16
1941-1949	41	0.00316	0.00316	0.5	92930	293	92784	3091095	33.26
1941-1949	42	0.00347	0.00347	0.5	92637	321	92476	2998311	32.37
1941-1949	43	0.00385	0.00384	0.5	92316	355	92138	2905835	31.48
1941-1949	44	0.00424	0.00423	0.5	91961	389	91766	2813697	30.60
1941-1949	45	0.00471	0.00470	0.5	91571	430	91356	2721930	29.72
1941-1949	46	0.00517	0.00515	0.5	91142	470	90907	2630574	28.86
1941-1949	47	0.00563	0.00561	0.5	90672	509	90417	2539667	28.01
1941-1949	48	0.00614	0.00613	0.5	90163	552	89887	2449250	27.16
1941-1949	49	0.00673	0.00671	0.5	89611	601	89310	2359363	26.33
1941-1949	50	0.00739	0.00737	0.5	89010	656	88682	2270053	25.50
1941-1949	51	0.00797	0.00794	0.5	88354	701	88003	2181372	24.69
1941-1949	52	0.00857	0.00854	0.5	87652	748	87278	2093369	23.88
1941-1949	53	0.00930	0.00926	0.5	86904	805	86502	2006090	23.08
1941-1949	54	0.01010	0.01005	0.5	86099	865	85667	1919589	22.30
1941-1949	55	0.01099	0.01093	0.5	85234	931	84769	1833922	21.52
1941-1949	56	0.01186	0.01179	0.5	84303	994	83806	1749153	20.75
1941-1949	57	0.01283	0.01274	0.5	83309	1062	82778	1665347	19.99
1941-1949	58	0.01399	0.01390	0.5	82247	1143	81675	1582570	19.24
1941-1949	59	0.01525	0.01513	0.5	81104	1227	80490	1500894	18.51
1941-1949	60	0.01661	0.01648	0.5	79877	1316	79219	1420404	17.78
1941-1949	61	0.01796	0.01780	0.5	78561	1398	77862	1341185	17.07
1941-1949	62	0.01944	0.01925	0.5	77163	1486	76420	1263323	16.37
1941-1949	63	0.02122	0.02100	0.5	75677	1589	74882	1186904	15.68
1941-1949	64	0.02312	0.02285	0.5	74088	1693	73241	1112021	15.01
1941-1949	65	0.02556	0.02524	0.5	72395	1827	71481	1038780	14.35
1941-1949	66	0.02798	0.02759	0.5	70568	1947	69594	967299	13.71
1941-1949	67	0.03049	0.03004	0.5	68621	2061	67590	897704	13.08
1941-1949	68	0.03373	0.03317	0.5	66560	2208	65456	830114	12.47
1941-1949	69	0.03725	0.03657	0.5	64351	2353	63175	764659	11.88
1941-1949	70	0.04139	0.04055	0.5	61998	2514	60741	701484	11.31
1941-1949	71	0.04523	0.04423	0.5	59484	2631	58168	640743	10.77
