PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
CT,f,1941-1949,0,0.02590,0.02533,0.13,100000,2533,97785,7018825,70.19
CT,f,1941-1949,1-4,0.00121,0.00481,1.65,97467,469,388765,6921040,71.01
CT,f,1941-1949,5-9,0.00058,0.00287,2.28,96998,279,484232,6532275,67.34
CT,f,1941-1949,10-14,0.00047,0.00234,2.54,96719,226,483039,6048043,62.53
CT,f,1941-1949,15-19,0.00065,0.00323,2.73,96493,311,481757,5565003,57.67
CT,f,1941-1949,20-24,0.00106,0.00527,2.61,96182,507,479698,5083246,52.85
CT,f,1941-1949,25-29,0.00126,0.00627,2.57,95675,600,476917,4603548,48.12
CT,f,1941-1949,30-34,0.00163,0.00812,2.63,95075,772,473545,4126631,43.40
CT,f,1941-1949,35-39,0.00235,0.01167,2.65,94303,1100,468924,3653086,38.74
CT,f,1941-1949,40-44,0.00353,0.01750,2.68,93203,1631,462231,3184162,34.16
CT,f,1941-1949,45-49,0.00567,0.02798,2.67,91571,2562,451877,2721930,29.72
CT,f,1941-1949,50-54,0.00866,0.04241,2.64,89010,3775,436131,2270053,25.50
CT,f,1941-1949,55-59,0.01296,0.06286,2.64,85234,5358,413518,1833922,21.52
CT,f,1941-1949,60-64,0.01961,0.09367,2.63,79877,7482,381624,1420404,17.78
CT,f,1941-1949,65-69,0.03082,0.14361,2.63,72395,10397,337296,1038780,14.35
CT,f,1941-1949,70-74,0.04947,0.22091,2.58,61998,13696,276864,701484,11.31
CT,f,1941-1949,75-79,0.07690,0.32285,2.52,48302,15594,202790,424619,8.79
CT,f,1941-1949,80-84,0.11019,0.43029,2.45,32708,14074,127719,221830,6.78
CT,f,1941-1949,85-89,0.16628,0.57549,2.33,18634,10723,64489,94111,5.05
CT,f,1941-1949,90-94,0.24324,0.71862,2.15,7910,5685,23370,29623,3.74
CT,f,1941-1949,95-99,0.34047,0.83420,1.94,2226,1857,5454,6253,2.81
CT,f,1941-1949,100-104,0.45298,0.91086,1.72,369,336,742,799,2.17
CT,f,1941-1949,105-109,0.57092,0.95372,1.51,33,31,55,57,1.74
CT,f,1941-1949,110+,0.66511,1.00000,1.5,2,2,2,2,1.50
CT,f,1950-1959,0,0.01952,0.01919,0.11,100000,1919,98288,7349304,73.49
CT,f,1950-1959,1-4,0.00078,0.00311,1.62,98081,305,391598,7251017,73.93
CT,f,1950-1959,5-9,0.00034,0.00172,2.3,97776,168,488426,6859419,70.15
