CT: CT, Lifetables (period 1x1), Males Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.03711	0.03597	0.14	100000	3597	96923	6414987	64.15
1941	1	0.00283	0.00282	0.5	96403	272	96267	6318064	65.54
1941	2	0.00172	0.00172	0.5	96131	165	96049	6221797	64.72
1941	3	0.00129	0.00129	0.5	95966	124	95904	6125748	63.83
1941	4	0.00069	0.00069	0.5	95842	66	95809	6029844	62.91
1941	5	0.00076	0.00076	0.5	95776	73	95739	5934035	61.96
1941	6	0.00096	0.00096	0.5	95703	92	95657	5838296	61.00
1941	7	0.00109	0.00109	0.5	95611	104	95559	5742639	60.06
1941	8	0.00108	0.00108	0.5	95507	103	95455	5647080	59.13
1941	9	0.00096	0.00095	0.5	95403	91	95358	5551625	58.19
1941	10	0.00079	0.00079	0.5	95312	76	95275	5456267	57.25
1941	11	0.00070	0.00070	0.5	95237	66	95204	5360993	56.29
1941	12	0.00068	0.00068	0.5	95171	65	95138	5265789	55.33
1941	13	0.00072	0.00072	0.5	95106	69	95071	5170651	54.37
1941	14	0.00084	0.00084	0.5	95037	80	94997	5075579	53.41
1941	15	0.00101	0.00101	0.5	94958	96	94910	4980582	52.45
1941	16	0.00116	0.00116	0.5	94862	110	94806	4885672	51.50
1941	17	0.00133	0.00133	0.5	94751	126	94688	4790866	50.56
1941	18	0.00151	0.00151	0.5	94625	143	94554	4696178	49.63
1941	19	0.00164	0.00164	0.5	94483	155	94405	4601624	48.70
1941	20	0.00181	0.00180	0.5	94328	170	94242	4507219	47.78
1941	21	0.00196	0.00196	0.5	94157	185	94065	4412976	46.87
1941	22	0.00205	0.00205	0.5	93973	192	93876	4318911	45.96
1941	23	0.00212	0.00212	0.5	93780	199	93681	4225035	45.05
1941	24	0.00216	0.00215	0.5	93581	201	93481	4131354	44.15
1941	25	0.00217	0.00217	0.5	93380	203	93279	4037873	43.24
