DC: DC, Lifetables (period 5x10), Both sexes Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1949	0	0.04474	0.04314	0.17	100000	4314	96428	6350627	63.51
1941-1949	1-4	0.00164	0.00655	1.6	95686	627	381241	6254198	65.36
1941-1949	5-9	0.00085	0.00426	2.38	95059	405	474236	5872957	61.78
1941-1949	10-14	0.00078	0.00390	2.62	94654	369	472396	5398721	57.04
1941-1949	15-19	0.00138	0.00689	2.78	94286	649	469984	4926325	52.25
1941-1949	20-24	0.00231	0.01147	2.59	93636	1074	465588	4456341	47.59
1941-1949	25-29	0.00263	0.01307	2.57	92562	1210	459875	3990753	43.11
1941-1949	30-34	0.00355	0.01760	2.63	91352	1608	452945	3530879	38.65
1941-1949	35-39	0.00520	0.02569	2.66	89744	2305	443317	3077933	34.30
1941-1949	40-44	0.00765	0.03755	2.62	87439	3283	429377	2634616	30.13
1941-1949	45-49	0.01057	0.05155	2.61	84156	4338	410426	2205240	26.20
1941-1949	50-54	0.01520	0.07331	2.6	79818	5851	385028	1794814	22.49
1941-1949	55-59	0.02073	0.09871	2.58	73967	7301	352183	1409786	19.06
1941-1949	60-64	0.02882	0.13471	2.58	66666	8980	311574	1057602	15.86
1941-1949	65-69	0.04172	0.18935	2.56	57685	10923	261798	746028	12.93
1941-1949	70-74	0.06033	0.26249	2.53	46763	12275	203467	484230	10.36
1941-1949	75-79	0.08844	0.36146	2.47	34488	12466	140960	280763	8.14
1941-1949	80-84	0.12642	0.47494	2.38	22022	10459	82731	139803	6.35
1941-1949	85-89	0.17592	0.59452	2.27	11563	6874	39077	57072	4.94
1941-1949	90-94	0.23945	0.71031	2.14	4688	3330	13908	17995	3.84
1941-1949	95-99	0.31716	0.80913	1.97	1358	1099	3465	4087	3.01
1941-1949	100-104	0.40688	0.88285	1.79	259	229	562	622	2.40
1941-1949	105-109	0.50387	0.93128	1.62	30	28	56	60	1.97
1941-1949	110+	0.58354	1.00000	1.71	2	2	4	4	1.71
1950-1959	0	0.03507	0.03405	0.15	100000	3405	97089	6671575	66.72
1950-1959	1-4	0.00118	0.00471	1.63	96595	455	385303	6574485	68.06
1950-1959	5-9	0.00056	0.00281	2.27	96140	270	479960	6189182	64.38
