PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
DC,b,1941-1944,0,0.05511,0.05278,0.2,100000,5278,95781,6167924,61.68
DC,b,1941-1944,1-4,0.00223,0.00889,1.59,94722,842,376858,6072143,64.11
DC,b,1941-1944,5-9,0.00114,0.00570,2.42,93880,536,468018,5695285,60.67
DC,b,1941-1944,10-14,0.00090,0.00450,2.58,93344,420,465703,5227268,56.00
DC,b,1941-1944,15-19,0.00175,0.00869,2.8,92924,808,462844,4761565,51.24
DC,b,1941-1944,20-24,0.00288,0.01429,2.56,92116,1316,457373,4298720,46.67
DC,b,1941-1944,25-29,0.00300,0.01490,2.53,90800,1353,450651,3841347,42.31
DC,b,1941-1944,30-34,0.00384,0.01903,2.63,89447,1703,443197,3390696,37.91
DC,b,1941-1944,35-39,0.00582,0.02873,2.66,87744,2521,432823,2947499,33.59
DC,b,1941-1944,40-44,0.00800,0.03925,2.59,85224,3345,418056,2514676,29.51
DC,b,1941-1944,45-49,0.01150,0.05598,2.61,81879,4583,398462,2096620,25.61
DC,b,1941-1944,50-54,0.01598,0.07695,2.59,77295,5948,372132,1698158,21.97
DC,b,1941-1944,55-59,0.02206,0.10471,2.58,71348,7471,338623,1326026,18.59
DC,b,1941-1944,60-64,0.03038,0.14148,2.57,63877,9038,297465,987403,15.46
DC,b,1941-1944,65-69,0.04273,0.19340,2.55,54839,10606,248201,689939,12.58
DC,b,1941-1944,70-74,0.06319,0.27325,2.53,44233,12087,191270,441737,9.99
DC,b,1941-1944,75-79,0.09454,0.38125,2.46,32146,12256,129637,250467,7.79
DC,b,1941-1944,80-84,0.13510,0.49779,2.36,19891,9901,73289,120830,6.07
DC,b,1941-1944,85-89,0.18486,0.61281,2.25,9989,6121,33114,47541,4.76
DC,b,1941-1944,90-94,0.24814,0.72308,2.12,3868,2797,11271,14427,3.73
DC,b,1941-1944,95-99,0.32502,0.81677,1.96,1071,875,2692,3156,2.95
DC,b,1941-1944,100-104,0.41339,0.88673,1.78,196,174,421,464,2.37
DC,b,1941-1944,105-109,0.50868,0.93296,1.61,22,21,41,43,1.95
DC,b,1941-1944,110+,0.58698,1.00000,1.7,1,1,3,3,1.70
DC,b,1945-1949,0,0.03831,0.03710,0.15,100000,3710,96862,6479477,64.79
DC,b,1945-1949,1-4,0.00130,0.00520,1.62,96290,501,383968,6382615,66.29
DC,b,1945-1949,5-9,0.00065,0.00324,2.3,95789,311,478106,5998647,62.62
DC,b,1945-1949,10-14,0.00067,0.00337,2.66,95478,322,476640,5520540,57.82
DC,b,1945-1949,15-19,0.00109,0.00545,2.76,95157,518,474623,5043900,53.01
DC,b,1945-1949,20-24,0.00189,0.00942,2.61,94638,891,471063,4569277,48.28
DC,b,1945-1949,25-29,0.00235,0.01166,2.61,93747,1093,466127,4098214,43.72
DC,b,1945-1949,30-34,0.00332,0.01648,2.63,92654,1527,459647,3632087,39.20
DC,b,1945-1949,35-39,0.00477,0.02357,2.65,91127,2148,450593,3172440,34.81
DC,b,1945-1949,40-44,0.00737,0.03623,2.64,88979,3224,437287,2721847,30.59
DC,b,1945-1949,45-49,0.00991,0.04839,2.61,85755,4150,418867,2284560,26.64
