PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
DC,f,1941-1944,0,0.04898,0.04711,0.19,100000,4711,96185,6465194,64.65
DC,f,1941-1944,1,0.00362,0.00361,0.5,95289,344,95117,6369009,66.84
DC,f,1941-1944,2,0.00212,0.00212,0.5,94945,201,94844,6273892,66.08
DC,f,1941-1944,3,0.00168,0.00168,0.5,94744,159,94664,6179048,65.22
DC,f,1941-1944,4,0.00093,0.00093,0.5,94584,88,94540,6084384,64.33
DC,f,1941-1944,5,0.00085,0.00085,0.5,94496,81,94456,5989844,63.39
DC,f,1941-1944,6,0.00098,0.00098,0.5,94416,92,94369,5895388,62.44
DC,f,1941-1944,7,0.00104,0.00104,0.5,94323,98,94274,5801018,61.50
DC,f,1941-1944,8,0.00102,0.00102,0.5,94225,96,94177,5706744,60.57
DC,f,1941-1944,9,0.00091,0.00091,0.5,94129,85,94086,5612567,59.63
DC,f,1941-1944,10,0.00074,0.00074,0.5,94043,70,94008,5518481,58.68
DC,f,1941-1944,11,0.00065,0.00065,0.5,93974,61,93943,5424473,57.72
DC,f,1941-1944,12,0.00066,0.00066,0.5,93913,62,93882,5330530,56.76
DC,f,1941-1944,13,0.00076,0.00076,0.5,93851,71,93815,5236648,55.80
DC,f,1941-1944,14,0.00095,0.00095,0.5,93780,89,93735,5142833,54.84
DC,f,1941-1944,15,0.00120,0.00120,0.5,93691,112,93635,5049097,53.89
DC,f,1941-1944,16,0.00146,0.00146,0.5,93579,137,93511,4955462,52.95
DC,f,1941-1944,17,0.00173,0.00173,0.5,93442,162,93362,4861951,52.03
DC,f,1941-1944,18,0.00201,0.00200,0.5,93281,187,93187,4768590,51.12
DC,f,1941-1944,19,0.00228,0.00228,0.5,93094,212,92988,4675402,50.22
DC,f,1941-1944,20,0.00254,0.00253,0.5,92882,235,92764,4582414,49.34
DC,f,1941-1944,21,0.00273,0.00273,0.5,92647,253,92520,4489650,48.46
DC,f,1941-1944,22,0.00286,0.00286,0.5,92394,264,92262,4397130,47.59
DC,f,1941-1944,23,0.00295,0.00294,0.5,92130,271,91994,4304869,46.73
DC,f,1941-1944,24,0.00299,0.00298,0.5,91858,274,91722,4212875,45.86
DC,f,1941-1944,25,0.00300,0.00300,0.5,91585,275,91447,4121153,45.00
DC,f,1941-1944,26,0.00298,0.00297,0.5,91310,271,91174,4029706,44.13
DC,f,1941-1944,27,0.00294,0.00293,0.5,91039,267,90905,3938531,43.26
DC,f,1941-1944,28,0.00293,0.00293,0.5,90772,266,90639,3847626,42.39
DC,f,1941-1944,29,0.00293,0.00293,0.5,90506,265,90373,3756988,41.51
DC,f,1941-1944,30,0.00296,0.00296,0.5,90241,267,90107,3666614,40.63
DC,f,1941-1944,31,0.00300,0.00300,0.5,89974,270,89839,3576507,39.75
DC,f,1941-1944,32,0.00311,0.00311,0.5,89704,279,89565,3486668,38.87
DC,f,1941-1944,33,0.00331,0.00330,0.5,89426,295,89278,3397103,37.99
DC,f,1941-1944,34,0.00359,0.00359,0.5,89130,320,88971,3307824,37.11
DC,f,1941-1944,35,0.00401,0.00400,0.5,88811,355,88633,3218854,36.24
DC,f,1941-1944,36,0.00436,0.00435,0.5,88455,385,88263,3130221,35.39
DC,f,1941-1944,37,0.00473,0.00472,0.5,88071,416,87863,3041958,34.54
DC,f,1941-1944,38,0.00523,0.00521,0.5,87655,457,87426,2954095,33.70
DC,f,1941-1944,39,0.00563,0.00562,0.5,87198,490,86953,2866669,32.88
DC,f,1941-1944,40,0.00596,0.00594,0.5,86708,515,86450,2779716,32.06
DC,f,1941-1944,41,0.00608,0.00606,0.5,86193,522,85932,2693265,31.25
DC,f,1941-1944,42,0.00623,0.00621,0.5,85671,532,85405,2607333,30.43
DC,f,1941-1944,43,0.00648,0.00646,0.5,85139,550,84864,2521929,29.62
DC,f,1941-1944,44,0.00682,0.00680,0.5,84589,575,84302,2437065,28.81
DC,f,1941-1944,45,0.00745,0.00742,0.5,84014,623,83703,2352763,28.00
DC,f,1941-1944,46,0.00783,0.00780,0.5,83391,650,83066,2269060,27.21
DC,f,1941-1944,47,0.00822,0.00819,0.5,82741,678,82402,2185994,26.42
DC,f,1941-1944,48,0.00893,0.00889,0.5,82063,729,81698,2103593,25.63
DC,f,1941-1944,49,0.00955,0.00950,0.5,81334,773,80947,2021894,24.86
DC,f,1941-1944,50,0.01036,0.01030,0.5,80561,830,80146,1940947,24.09
DC,f,1941-1944,51,0.01095,0.01089,0.5,79731,869,79296,1860801,23.34
DC,f,1941-1944,52,0.01161,0.01154,0.5,78862,910,78407,1781505,22.59
DC,f,1941-1944,53,0.01259,0.01251,0.5,77952,975,77464,1703098,21.85
DC,f,1941-1944,54,0.01360,0.01350,0.5,76977,1040,76457,1625633,21.12
DC,f,1941-1944,55,0.01491,0.01480,0.5,75937,1124,75375,1549177,20.40
DC,f,1941-1944,56,0.01580,0.01568,0.5,74813,1173,74227,1473802,19.70
DC,f,1941-1944,57,0.01647,0.01633,0.5,73640,1203,73039,1399575,19.01
DC,f,1941-1944,58,0.01767,0.01751,0.5,72438,1268,71803,1326536,18.31
DC,f,1941-1944,59,0.01877,0.01859,0.5,71169,1323,70508,1254732,17.63
DC,f,1941-1944,60,0.02022,0.02001,0.5,69846,1398,69147,1184225,16.95
DC,f,1941-1944,61,0.02146,0.02123,0.5,68448,1453,67722,1115078,16.29
