DE: DE, Lifetables (period 5x1), Both sexes Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.04840	0.04656	0.18	100000	4656	96200	6320117	63.20
1941	1-4	0.00242	0.00960	1.54	95344	916	379120	6223916	65.28
1941	5-9	0.00102	0.00508	2.16	94428	480	470780	5844797	61.90
1941	10-14	0.00108	0.00538	2.7	93948	505	468581	5374017	57.20
1941	15-19	0.00172	0.00858	2.68	93443	802	465353	4905435	52.50
1941	20-24	0.00241	0.01199	2.52	92641	1111	460449	4440082	47.93
1941	25-29	0.00231	0.01146	2.6	91530	1049	455128	3979633	43.48
1941	30-34	0.00374	0.01852	2.67	90480	1676	448492	3524505	38.95
1941	35-39	0.00484	0.02390	2.58	88804	2123	438876	3076013	34.64
1941	40-44	0.00636	0.03137	2.76	86682	2720	427315	2637137	30.42
1941	45-49	0.01104	0.05378	2.58	83962	4515	408888	2209822	26.32
1941	50-54	0.01269	0.06156	2.61	79447	4890	385531	1800934	22.67
1941	55-59	0.01967	0.09400	2.66	74556	7009	356351	1415403	18.98
1941	60-64	0.02773	0.13000	2.61	67548	8782	316735	1059052	15.68
1941	65-69	0.03849	0.17661	2.67	58766	10379	269667	742318	12.63
1941	70-74	0.06208	0.27012	2.6	48388	13071	210548	472650	9.77
1941	75-79	0.09883	0.39797	2.56	35317	14055	142223	262103	7.42
1941	80-84	0.13715	0.50731	2.44	21262	10786	78644	119880	5.64
1941	85-89	0.22493	0.69289	2.23	10476	7258	32270	41236	3.94
1941	90-94	0.34202	0.83835	1.96	3217	2697	7886	8966	2.79
1941	95-99	0.47333	0.92131	1.69	520	479	1012	1080	2.08
1941	100-104	0.59767	0.96008	1.47	41	39	66	68	1.66
1941	105-109	0.70234	0.97754	1.31	2	2	2	2	1.42
1941	110+	0.77555	1.00000	1.29	0	0	0	0	1.29
1942	0	0.05109	0.04907	0.19	100000	4907	96028	6326287	63.26
1942	1-4	0.00206	0.00822	1.76	95093	781	378625	6230259	65.52
1942	5-9	0.00091	0.00455	1.87	94312	429	470216	5851635	62.05
1942	10-14	0.00099	0.00496	2.85	93883	465	468413	5381419	57.32
1942	15-19	0.00166	0.00826	2.58	93418	772	465223	4913006	52.59
1942	20-24	0.00196	0.00975	2.59	92646	903	461059	4447783	48.01
1942	25-29	0.00271	0.01348	2.62	91743	1236	455771	3986724	43.46
1942	30-34	0.00367	0.01820	2.63	90507	1647	448627	3530953	39.01
1942	35-39	0.00531	0.02624	2.63	88860	2332	438775	3082326	34.69
1942	40-44	0.00634	0.03121	2.57	86528	2701	426073	2643551	30.55
1942	45-49	0.00864	0.04234	2.69	83827	3550	410942	2217478	26.45
1942	50-54	0.01423	0.06885	2.64	80278	5527	388329	1806537	22.50
1942	55-59	0.01875	0.08973	2.62	74750	6707	357787	1418208	18.97
1942	60-64	0.02927	0.13699	2.66	68043	9321	318433	1060420	15.58
1942	65-69	0.04218	0.19153	2.6	58722	11247	266644	741987	12.64
1942	70-74	0.06158	0.26708	2.52	47475	12680	205891	475343	10.01
1942	75-79	0.09120	0.37248	2.54	34795	12961	142108	269452	7.74
1942	80-84	0.13209	0.49329	2.43	21835	10771	81539	127344	5.83
1942	85-89	0.21157	0.66879	2.25	11064	7399	34973	45805	4.14
1942	90-94	0.31935	0.81641	2.01	3664	2992	9368	10833	2.96
1942	95-99	0.44942	0.91094	1.74	673	613	1364	1465	2.18
1942	100-104	0.58690	0.95868	1.49	60	57	98	101	1.69
1942	105-109	0.71291	0.97953	1.3	2	2	3	3	1.40
1942	110+	0.80240	1.00000	1.25	0	0	0	0	1.25
1943	0	0.05066	0.04866	0.19	100000	4866	96053	6296434	62.96
1943	1-4	0.00253	0.01006	1.3	95134	957	377951	6200382	65.18
1943	5-9	0.00090	0.00451	2.7	94177	425	469910	5822431	61.82
1943	10-14	0.00106	0.00527	2.74	93752	494	467644	5352521	57.09
1943	15-19	0.00223	0.01110	2.69	93258	1035	463901	4884878	52.38
