DE: DE, Lifetables (period 1x10), Females Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1949	0	0.03562	0.03458	0.15	100000	3458	97070	6749219	67.49
1941-1949	1	0.00315	0.00314	0.5	96542	304	96391	6652148	68.90
1941-1949	2	0.00145	0.00145	0.5	96239	139	96169	6555758	68.12
1941-1949	3	0.00105	0.00105	0.5	96099	100	96049	6459589	67.22
1941-1949	4	0.00138	0.00138	0.5	95999	133	95933	6363540	66.29
1941-1949	5	0.00117	0.00116	0.5	95866	112	95810	6267607	65.38
1941-1949	6	0.00084	0.00084	0.5	95755	81	95714	6171797	64.45
1941-1949	7	0.00058	0.00057	0.5	95674	55	95646	6076083	63.51
1941-1949	8	0.00044	0.00044	0.5	95619	42	95598	5980437	62.54
1941-1949	9	0.00038	0.00038	0.5	95577	36	95559	5884839	61.57
1941-1949	10	0.00038	0.00038	0.5	95541	36	95523	5789280	60.59
1941-1949	11	0.00045	0.00045	0.5	95505	43	95483	5693757	59.62
1941-1949	12	0.00056	0.00056	0.5	95462	53	95435	5598274	58.64
1941-1949	13	0.00068	0.00068	0.5	95409	65	95376	5502838	57.68
1941-1949	14	0.00085	0.00085	0.5	95344	81	95304	5407462	56.72
1941-1949	15	0.00106	0.00106	0.5	95263	101	95212	5312158	55.76
1941-1949	16	0.00123	0.00123	0.5	95162	117	95103	5216946	54.82
1941-1949	17	0.00137	0.00137	0.5	95045	130	94980	5121843	53.89
1941-1949	18	0.00148	0.00148	0.5	94915	140	94844	5026864	52.96
1941-1949	19	0.00155	0.00155	0.5	94774	147	94701	4932019	52.04
1941-1949	20	0.00160	0.00160	0.5	94627	152	94551	4837318	51.12
1941-1949	21	0.00164	0.00164	0.5	94476	155	94398	4742767	50.20
1941-1949	22	0.00166	0.00166	0.5	94321	157	94243	4648369	49.28
1941-1949	23	0.00168	0.00168	0.5	94164	158	94085	4554126	48.36
1941-1949	24	0.00170	0.00170	0.5	94006	160	93926	4460041	47.44
1941-1949	25	0.00173	0.00173	0.5	93846	162	93765	4366115	46.52
1941-1949	26	0.00176	0.00176	0.5	93684	164	93601	4272351	45.60
1941-1949	27	0.00179	0.00179	0.5	93519	168	93435	4178749	44.68
1941-1949	28	0.00184	0.00184	0.5	93352	172	93266	4085314	43.76
1941-1949	29	0.00189	0.00189	0.5	93180	176	93092	3992048	42.84
1941-1949	30	0.00195	0.00195	0.5	93004	182	92913	3898956	41.92
1941-1949	31	0.00206	0.00205	0.5	92822	191	92727	3806043	41.00
1941-1949	32	0.00222	0.00221	0.5	92632	205	92529	3713316	40.09
1941-1949	33	0.00245	0.00245	0.5	92427	226	92314	3620787	39.17
1941-1949	34	0.00274	0.00274	0.5	92200	253	92074	3528473	38.27
1941-1949	35	0.00310	0.00310	0.5	91948	285	91805	3436399	37.37
1941-1949	36	0.00343	0.00342	0.5	91663	314	91506	3344594	36.49
1941-1949	37	0.00370	0.00370	0.5	91349	338	91180	3253088	35.61
1941-1949	38	0.00393	0.00392	0.5	91011	357	90833	3161908	34.74
1941-1949	39	0.00407	0.00406	0.5	90654	368	90470	3071075	33.88
1941-1949	40	0.00416	0.00415	0.5	90286	374	90098	2980606	33.01
1941-1949	41	0.00427	0.00427	0.5	89911	384	89719	2890507	32.15
1941-1949	42	0.00455	0.00454	0.5	89528	406	89325	2800788	31.28
1941-1949	43	0.00493	0.00492	0.5	89122	439	88902	2711463	30.42
1941-1949	44	0.00536	0.00535	0.5	88683	474	88446	2622561	29.57
1941-1949	45	0.00594	0.00592	0.5	88209	522	87948	2534115	28.73
1941-1949	46	0.00645	0.00643	0.5	87687	564	87405	2446167	27.90
1941-1949	47	0.00690	0.00688	0.5	87123	599	86823	2358763	27.07
1941-1949	48	0.00736	0.00734	0.5	86523	635	86206	2271940	26.26
1941-1949	49	0.00777	0.00774	0.5	85888	665	85556	2185734	25.45
1941-1949	50	0.00824	0.00821	0.5	85223	700	84874	2100178	24.64
1941-1949	51	0.00865	0.00862	0.5	84524	728	84160	2015305	23.84
1941-1949	52	0.00924	0.00920	0.5	83796	771	83410	1931145	23.05
1941-1949	53	0.01013	0.01008	0.5	83025	837	82606	1847735	22.26
