PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
FL,b,1941-1949,0,0.04394,0.04239,0.17,100000,4239,96480,6479564,64.80
FL,b,1941-1949,1,0.00385,0.00384,0.5,95761,368,95577,6383083,66.66
FL,b,1941-1949,2,0.00227,0.00227,0.5,95393,217,95285,6287506,65.91
FL,b,1941-1949,3,0.00163,0.00163,0.5,95176,155,95099,6192221,65.06
FL,b,1941-1949,4,0.00142,0.00142,0.5,95022,135,94954,6097122,64.17
FL,b,1941-1949,5,0.00122,0.00122,0.5,94887,116,94829,6002168,63.26
FL,b,1941-1949,6,0.00105,0.00105,0.5,94772,100,94722,5907338,62.33
FL,b,1941-1949,7,0.00093,0.00093,0.5,94672,88,94628,5812616,61.40
FL,b,1941-1949,8,0.00084,0.00084,0.5,94584,80,94544,5717988,60.45
FL,b,1941-1949,9,0.00080,0.00080,0.5,94505,75,94467,5623444,59.50
FL,b,1941-1949,10,0.00080,0.00080,0.5,94429,76,94391,5528977,58.55
FL,b,1941-1949,11,0.00084,0.00084,0.5,94353,79,94314,5434586,57.60
FL,b,1941-1949,12,0.00091,0.00091,0.5,94274,86,94232,5340272,56.65
FL,b,1941-1949,13,0.00100,0.00100,0.5,94189,94,94142,5246040,55.70
FL,b,1941-1949,14,0.00112,0.00112,0.5,94094,105,94042,5151899,54.75
FL,b,1941-1949,15,0.00128,0.00128,0.5,93989,120,93929,5057857,53.81
FL,b,1941-1949,16,0.00150,0.00150,0.5,93869,141,93798,4963928,52.88
FL,b,1941-1949,17,0.00181,0.00181,0.5,93728,169,93643,4870130,51.96
FL,b,1941-1949,18,0.00219,0.00219,0.5,93558,205,93456,4776487,51.05
FL,b,1941-1949,19,0.00265,0.00264,0.5,93354,247,93230,4683031,50.16
FL,b,1941-1949,20,0.00314,0.00313,0.5,93107,292,92961,4589800,49.30
FL,b,1941-1949,21,0.00352,0.00351,0.5,92815,326,92652,4496839,48.45
FL,b,1941-1949,22,0.00374,0.00373,0.5,92489,345,92317,4404187,47.62
FL,b,1941-1949,23,0.00382,0.00381,0.5,92144,351,91969,4311871,46.79
FL,b,1941-1949,24,0.00374,0.00373,0.5,91793,343,91622,4219902,45.97
FL,b,1941-1949,25,0.00354,0.00354,0.5,91450,323,91289,4128280,45.14
FL,b,1941-1949,26,0.00338,0.00337,0.5,91127,307,90973,4036992,44.30
FL,b,1941-1949,27,0.00329,0.00328,0.5,90820,298,90671,3946018,43.45
FL,b,1941-1949,28,0.00328,0.00328,0.5,90522,297,90373,3855347,42.59
FL,b,1941-1949,29,0.00336,0.00336,0.5,90225,303,90074,3764974,41.73
FL,b,1941-1949,30,0.00351,0.00350,0.5,89922,315,89765,3674901,40.87
FL,b,1941-1949,31,0.00364,0.00364,0.5,89607,326,89444,3585136,40.01
FL,b,1941-1949,32,0.00379,0.00378,0.5,89282,337,89113,3495691,39.15
FL,b,1941-1949,33,0.00395,0.00394,0.5,88944,351,88769,3406579,38.30
FL,b,1941-1949,34,0.00411,0.00410,0.5,88593,364,88412,3317810,37.45
FL,b,1941-1949,35,0.00430,0.00429,0.5,88230,379,88040,3229398,36.60
FL,b,1941-1949,36,0.00452,0.00451,0.5,87851,396,87653,3141358,35.76
FL,b,1941-1949,37,0.00479,0.00478,0.5,87455,418,87246,3053705,34.92
