FL: FL, Lifetables (period 1x5), Females Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1944	0	0.04558	0.04394	0.18	100000	4394	96400	6652685	66.53
1941-1944	1	0.00496	0.00495	0.5	95606	473	95369	6556285	68.58
1941-1944	2	0.00258	0.00257	0.5	95133	245	95010	6460916	67.91
1941-1944	3	0.00178	0.00177	0.5	94888	168	94804	6365905	67.09
1941-1944	4	0.00146	0.00146	0.5	94720	138	94650	6271102	66.21
1941-1944	5	0.00121	0.00121	0.5	94581	114	94524	6176451	65.30
1941-1944	6	0.00103	0.00103	0.5	94467	97	94418	6081927	64.38
1941-1944	7	0.00089	0.00089	0.5	94370	84	94328	5987509	63.45
1941-1944	8	0.00079	0.00079	0.5	94286	75	94249	5893181	62.50
1941-1944	9	0.00072	0.00072	0.5	94211	68	94178	5798932	61.55
1941-1944	10	0.00067	0.00067	0.5	94144	63	94112	5704754	60.60
1941-1944	11	0.00068	0.00068	0.5	94080	64	94048	5610642	59.64
1941-1944	12	0.00075	0.00075	0.5	94016	70	93981	5516594	58.68
1941-1944	13	0.00086	0.00086	0.5	93946	81	93905	5422613	57.72
1941-1944	14	0.00102	0.00102	0.5	93865	96	93817	5328708	56.77
1941-1944	15	0.00122	0.00122	0.5	93769	115	93712	5234891	55.83
1941-1944	16	0.00144	0.00144	0.5	93654	135	93587	5141180	54.90
1941-1944	17	0.00167	0.00167	0.5	93519	156	93441	5047593	53.97
1941-1944	18	0.00191	0.00191	0.5	93363	178	93274	4954151	53.06
1941-1944	19	0.00214	0.00214	0.5	93185	199	93086	4860877	52.16
1941-1944	20	0.00236	0.00236	0.5	92986	219	92877	4767791	51.27
1941-1944	21	0.00254	0.00254	0.5	92767	236	92649	4674914	50.39
1941-1944	22	0.00267	0.00267	0.5	92532	247	92408	4582265	49.52
1941-1944	23	0.00277	0.00277	0.5	92285	256	92157	4489857	48.65
1941-1944	24	0.00282	0.00282	0.5	92029	259	91900	4397700	47.79
1941-1944	25	0.00283	0.00282	0.5	91770	259	91640	4305801	46.92
1941-1944	26	0.00285	0.00284	0.5	91511	260	91381	4214160	46.05
1941-1944	27	0.00291	0.00291	0.5	91251	265	91118	4122779	45.18
1941-1944	28	0.00306	0.00306	0.5	90986	278	90847	4031661	44.31
1941-1944	29	0.00326	0.00325	0.5	90708	295	90560	3940814	43.45
1941-1944	30	0.00349	0.00348	0.5	90412	315	90255	3850254	42.59
1941-1944	31	0.00367	0.00366	0.5	90097	330	89933	3759999	41.73
1941-1944	32	0.00384	0.00383	0.5	89768	344	89595	3670067	40.88
1941-1944	33	0.00403	0.00402	0.5	89423	360	89244	3580471	40.04
1941-1944	34	0.00419	0.00418	0.5	89064	373	88878	3491228	39.20
1941-1944	35	0.00439	0.00438	0.5	88691	389	88497	3402350	38.36
1941-1944	36	0.00452	0.00451	0.5	88303	399	88103	3313853	37.53
1941-1944	37	0.00473	0.00472	0.5	87904	415	87697	3225750	36.70
1941-1944	38	0.00513	0.00511	0.5	87489	447	87266	3138053	35.87
1941-1944	39	0.00552	0.00551	0.5	87042	479	86802	3050787	35.05
1941-1944	40	0.00591	0.00590	0.5	86563	510	86308	2963985	34.24
1941-1944	41	0.00615	0.00614	0.5	86053	528	85789	2877677	33.44
1941-1944	42	0.00644	0.00642	0.5	85525	549	85250	2791889	32.64
1941-1944	43	0.00679	0.00677	0.5	84976	575	84688	2706639	31.85
1941-1944	44	0.00717	0.00714	0.5	84400	603	84099	2621950	31.07
1941-1944	45	0.00769	0.00766	0.5	83798	642	83477	2537851	30.29
1941-1944	46	0.00790	0.00787	0.5	83156	654	82829	2454375	29.52
1941-1944	47	0.00813	0.00810	0.5	82502	668	82168	2371546	28.75
1941-1944	48	0.00872	0.00869	0.5	81833	711	81478	2289379	27.98
1941-1944	49	0.00933	0.00929	0.5	81123	753	80746	2207901	27.22
1941-1944	50	0.01010	0.01005	0.5	80369	807	79965	2127155	26.47
1941-1944	51	0.01061	0.01056	0.5	79562	840	79142	2047189	25.73
1941-1944	52	0.01114	0.01108	0.5	78722	872	78286	1968047	25.00
1941-1944	53	0.01187	0.01180	0.5	77850	919	77391	1889761	24.27
1941-1944	54	0.01260	0.01253	0.5	76931	964	76450	1812371	23.56
1941-1944	55	0.01342	0.01333	0.5	75968	1013	75462	1735921	22.85
1941-1944	56	0.01374	0.01364	0.5	74955	1023	74444	1660459	22.15
1941-1944	57	0.01384	0.01374	0.5	73933	1016	73425	1586015	21.45
1941-1944	58	0.01420	0.01410	0.5	72917	1028	72402	1512591	20.74
1941-1944	59	0.01460	0.01449	0.5	71888	1042	71367	1440188	20.03
1941-1944	60	0.01535	0.01523	0.5	70847	1079	70307	1368821	19.32
1941-1944	61	0.01601	0.01588	0.5	69767	1108	69213	1298514	18.61
1941-1944	62	0.01694	0.01680	0.5	68659	1153	68083	1229301	17.90
1941-1944	63	0.01864	0.01847	0.5	67506	1247	66882	1161218	17.20
1941-1944	64	0.02031	0.02011	0.5	66259	1332	65593	1094336	16.52
1941-1944	65	0.02218	0.02193	0.5	64927	1424	64215	1028743	15.84
1941-1944	66	0.02279	0.02254	0.5	63503	1431	62787	964528	15.19
1941-1944	67	0.02350	0.02322	0.5	62072	1441	61351	901741	14.53
1941-1944	68	0.02568	0.02535	0.5	60630	1537	59862	840390	13.86
1941-1944	69	0.02828	0.02788	0.5	59093	1648	58269	780529	13.21
1941-1944	70	0.03204	0.03153	0.5	57445	1811	56540	722259	12.57
1941-1944	71	0.03520	0.03459	0.5	55634	1924	54672	665719	11.97
1941-1944	72	0.03811	0.03740	0.5	53710	2009	52705	611048	11.38
1941-1944	73	0.04218	0.04131	0.5	51701	2136	50633	558342	10.80
1941-1944	74	0.04661	0.04554	0.5	49565	2257	48437	507709	10.24
1941-1944	75	0.05241	0.05107	0.5	47308	2416	46100	459272	9.71
1941-1944	76	0.05673	0.05516	0.5	44892	2476	43654	413173	9.20
1941-1944	77	0.06036	0.05859	0.5	42415	2485	41173	369519	8.71
1941-1944	78	0.06710	0.06493	0.5	39930	2593	38634	328346	8.22
1941-1944	79	0.07453	0.07186	0.5	37338	2683	35996	289712	7.76
1941-1944	80	0.08100	0.07785	0.5	34655	2698	33306	253716	7.32
1941-1944	81	0.08896	0.08517	0.5	31957	2722	30596	220410	6.90
1941-1944	82	0.09788	0.09331	0.5	29235	2728	27871	189814	6.49
1941-1944	83	0.10911	0.10346	0.5	26507	2742	25136	161942	6.11
1941-1944	84	0.11912	0.11243	0.5	23765	2672	22429	136807	5.76
1941-1944	85	0.12992	0.12200	0.5	21093	2573	19806	114378	5.42
1941-1944	86	0.14155	0.13219	0.5	18519	2448	17295	94572	5.11
1941-1944	87	0.15403	0.14301	0.5	16071	2298	14922	77277	4.81
1941-1944	88	0.16739	0.15446	0.5	13773	2127	12709	62354	4.53
1941-1944	89	0.18167	0.16654	0.5	11646	1939	10676	49645	4.26
1941-1944	90	0.19687	0.17923	0.5	9706	1740	8836	38969	4.01
1941-1944	91	0.21302	0.19251	0.5	7966	1534	7200	30133	3.78
