GA: GA, Lifetables (period 5x5), Both sexes Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1944	0	0.05238	0.05026	0.19	100000	5026	95945	6222955	62.23
1941-1944	1-4	0.00306	0.01213	1.45	94974	1152	376959	6127010	64.51
1941-1944	5-9	0.00098	0.00487	2.25	93822	456	467857	5750051	61.29
1941-1944	10-14	0.00095	0.00474	2.73	93366	442	465826	5282194	56.58
1941-1944	15-19	0.00199	0.00991	2.79	92924	921	462587	4816368	51.83
1941-1944	20-24	0.00339	0.01684	2.61	92003	1549	456307	4353781	47.32
1941-1944	25-29	0.00379	0.01877	2.52	90454	1698	448059	3897474	43.09
1941-1944	30-34	0.00454	0.02248	2.6	88756	1995	438997	3449414	38.86
1941-1944	35-39	0.00629	0.03096	2.61	86761	2687	427383	3010418	34.70
1941-1944	40-44	0.00808	0.03964	2.61	84075	3332	412394	2583035	30.72
1941-1944	45-49	0.01188	0.05776	2.59	80742	4664	392484	2170641	26.88
1941-1944	50-54	0.01583	0.07624	2.59	76078	5800	366387	1778157	23.37
1941-1944	55-59	0.02050	0.09750	2.5	70278	6852	334291	1411770	20.09
1941-1944	60-64	0.02537	0.11958	2.6	63426	7584	298932	1077479	16.99
1941-1944	65-69	0.03575	0.16410	2.5	55841	9164	256338	778547	13.94
1941-1944	70-74	0.05014	0.22335	2.56	46678	10425	207924	522209	11.19
1941-1944	75-79	0.07269	0.30771	2.51	36252	11155	153464	314285	8.67
1941-1944	80-84	0.12875	0.48197	2.39	25097	12096	93953	160821	6.41
1941-1944	85-89	0.17149	0.58321	2.26	13001	7582	44215	66868	5.14
1941-1944	90-94	0.21992	0.67647	2.16	5419	3666	16667	22653	4.18
1941-1944	95-99	0.27761	0.76147	2.04	1753	1335	4809	5986	3.41
1941-1944	100-104	0.34403	0.83272	1.9	418	348	1012	1177	2.82
1941-1944	105-109	0.41755	0.88754	1.76	70	62	149	165	2.36
1941-1944	110+	0.47805	1.00000	2.09	8	8	16	16	2.09
1945-1949	0	0.03765	0.03649	0.15	100000	3649	96907	6530491	65.30
1945-1949	1-4	0.00181	0.00722	1.57	96351	696	383715	6433584	66.77
1945-1949	5-9	0.00079	0.00396	2.36	95655	379	477274	6049869	63.25
1945-1949	10-14	0.00078	0.00392	2.71	95276	373	475523	5572595	58.49
1945-1949	15-19	0.00156	0.00780	2.74	94903	740	472841	5097072	53.71
1945-1949	20-24	0.00235	0.01170	2.59	94163	1102	468154	4624231	49.11
1945-1949	25-29	0.00280	0.01390	2.57	93061	1294	462157	4156077	44.66
1945-1949	30-34	0.00349	0.01730	2.6	91767	1588	455018	3693920	40.25
1945-1949	35-39	0.00483	0.02387	2.64	90179	2152	445816	3238902	35.92
1945-1949	40-44	0.00704	0.03464	2.63	88027	3049	432920	2793086	31.73
1945-1949	45-49	0.01001	0.04890	2.66	84978	4155	415152	2360167	27.77
1945-1949	50-54	0.01509	0.07279	2.58	80823	5883	389880	1945015	24.07
1945-1949	55-59	0.01956	0.09339	2.58	74940	6998	357746	1555135	20.75
1945-1949	60-64	0.02370	0.11190	2.51	67941	7603	320774	1197390	17.62
1945-1949	65-69	0.03361	0.15560	2.62	60339	9389	279320	876615	14.53
1945-1949	70-74	0.04652	0.20856	2.52	50950	10626	228433	597295	11.72
1945-1949	75-79	0.06803	0.29126	2.53	40324	11745	172647	368862	9.15
1945-1949	80-84	0.11578	0.44600	2.43	28579	12746	110096	196215	6.87
1945-1949	85-89	0.15784	0.55334	2.3	15833	8761	55506	86119	5.44
1945-1949	90-94	0.20934	0.65890	2.19	7072	4660	22259	30613	4.33
1945-1949	95-99	0.27194	0.75516	2.06	2412	1822	6699	8354	3.46
1945-1949	100-104	0.34492	0.83442	1.91	591	493	1429	1655	2.80
1945-1949	105-109	0.42605	0.89334	1.75	98	87	205	226	2.31
1945-1949	110+	0.49303	1.00000	2.03	10	10	21	21	2.03
1950-1954	0	0.03418	0.03321	0.14	100000	3321	97154	6648168	66.48
1950-1954	1-4	0.00162	0.00645	1.55	96679	624	385190	6551014	67.76
1950-1954	5-9	0.00064	0.00318	2.28	96055	306	479446	6165824	64.19
1950-1954	10-14	0.00063	0.00313	2.76	95750	300	478076	5686378	59.39
