GA: GA, Lifetables (period 1x1), Females Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.05516	0.05285	0.21	100000	5285	95811	6296924	62.97
1941	1	0.00769	0.00766	0.5	94715	726	94352	6201113	65.47
1941	2	0.00345	0.00345	0.5	93989	324	93827	6106761	64.97
1941	3	0.00214	0.00213	0.5	93665	200	93565	6012934	64.20
1941	4	0.00165	0.00165	0.5	93465	154	93388	5919369	63.33
1941	5	0.00137	0.00137	0.5	93311	128	93247	5825980	62.44
1941	6	0.00116	0.00116	0.5	93183	108	93129	5732733	61.52
1941	7	0.00099	0.00099	0.5	93075	92	93029	5639604	60.59
1941	8	0.00084	0.00084	0.5	92983	78	92944	5546574	59.65
1941	9	0.00070	0.00070	0.5	92905	65	92873	5453630	58.70
1941	10	0.00061	0.00061	0.5	92840	56	92812	5360758	57.74
1941	11	0.00061	0.00061	0.5	92784	57	92756	5267946	56.78
1941	12	0.00071	0.00071	0.5	92727	66	92694	5175190	55.81
1941	13	0.00089	0.00089	0.5	92661	83	92620	5082496	54.85
1941	14	0.00117	0.00117	0.5	92578	109	92524	4989876	53.90
1941	15	0.00157	0.00157	0.5	92470	145	92397	4897352	52.96
1941	16	0.00192	0.00192	0.5	92325	177	92236	4804955	52.04
1941	17	0.00219	0.00219	0.5	92147	202	92046	4712719	51.14
1941	18	0.00243	0.00243	0.5	91945	223	91834	4620673	50.25
1941	19	0.00254	0.00254	0.5	91722	233	91606	4528839	49.38
1941	20	0.00268	0.00267	0.5	91489	245	91367	4437233	48.50
1941	21	0.00284	0.00284	0.5	91244	259	91115	4345867	47.63
1941	22	0.00306	0.00306	0.5	90986	278	90847	4254752	46.76
1941	23	0.00330	0.00329	0.5	90708	299	90558	4163905	45.90
1941	24	0.00334	0.00334	0.5	90409	302	90258	4073347	45.05
1941	25	0.00344	0.00344	0.5	90107	310	89952	3983089	44.20
1941	26	0.00348	0.00348	0.5	89797	312	89641	3893136	43.35
1941	27	0.00362	0.00362	0.5	89485	324	89323	3803495	42.50
1941	28	0.00383	0.00383	0.5	89161	341	88991	3714172	41.66
1941	29	0.00381	0.00380	0.5	88820	338	88652	3625181	40.81
1941	30	0.00381	0.00380	0.5	88483	336	88315	3536529	39.97
1941	31	0.00383	0.00382	0.5	88146	337	87978	3448215	39.12
1941	32	0.00440	0.00439	0.5	87809	386	87617	3360237	38.27
1941	33	0.00499	0.00498	0.5	87424	435	87206	3272620	37.43
1941	34	0.00530	0.00528	0.5	86989	460	86759	3185414	36.62
1941	35	0.00593	0.00591	0.5	86529	512	86273	3098655	35.81
