PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
HI,b,1960-1964,0,0.02211,0.02168,0.11,100000,2168,98071,7225206,72.25
HI,b,1960-1964,1-4,0.00084,0.00336,1.52,97832,329,390512,7127135,72.85
HI,b,1960-1964,5-9,0.00036,0.00180,2.22,97503,175,487028,6736623,69.09
HI,b,1960-1964,10-14,0.00039,0.00197,2.53,97328,192,486166,6249596,64.21
HI,b,1960-1964,15-19,0.00075,0.00376,2.79,97136,365,484870,5763430,59.33
HI,b,1960-1964,20-24,0.00105,0.00522,2.4,96770,505,482541,5278561,54.55
HI,b,1960-1964,25-29,0.00094,0.00470,2.58,96265,453,480230,4796020,49.82
HI,b,1960-1964,30-34,0.00123,0.00611,2.56,95813,585,477635,4315790,45.04
HI,b,1960-1964,35-39,0.00182,0.00907,2.72,95227,864,474170,3838155,40.31
HI,b,1960-1964,40-44,0.00279,0.01387,2.64,94364,1309,468732,3363985,35.65
HI,b,1960-1964,45-49,0.00467,0.02312,2.78,93055,2151,460498,2895253,31.11
HI,b,1960-1964,50-54,0.00782,0.03841,2.65,90903,3491,446324,2434755,26.78
HI,b,1960-1964,55-59,0.01139,0.05547,2.62,87412,4849,425524,1988431,22.75
HI,b,1960-1964,60-64,0.01763,0.08456,2.61,82563,6982,396124,1562907,18.93
HI,b,1960-1964,65-69,0.02786,0.13034,2.54,75582,9851,353627,1166783,15.44
HI,b,1960-1964,70-74,0.04229,0.19210,2.62,65731,12627,298594,813156,12.37
HI,b,1960-1964,75-79,0.06074,0.26405,2.53,53104,14022,230867,514563,9.69
HI,b,1960-1964,80-84,0.09663,0.38911,2.5,39082,15207,157374,283696,7.26
HI,b,1960-1964,85-89,0.15364,0.54715,2.37,23875,13063,85024,126322,5.29
HI,b,1960-1964,90-94,0.23539,0.70800,2.19,10811,7655,32519,41298,3.82
HI,b,1960-1964,95-99,0.34309,0.83830,1.95,3157,2646,7714,8779,2.78
HI,b,1960-1964,100-104,0.47070,0.92056,1.69,510,470,998,1065,2.09
HI,b,1960-1964,105-109,0.60413,0.96234,1.46,41,39,65,67,1.65
HI,b,1960-1964,110+,0.70895,1.00000,1.41,2,2,2,2,1.41
HI,b,1965-1969,0,0.01914,0.01882,0.1,100000,1882,98309,7314447,73.14
HI,b,1965-1969,1-4,0.00068,0.00271,1.6,98118,266,391832,7216138,73.55
HI,b,1965-1969,5-9,0.00041,0.00205,2.37,97852,201,488731,6824306,69.74
HI,b,1965-1969,10-14,0.00030,0.00152,2.73,97651,148,487917,6335574,64.88
HI,b,1965-1969,15-19,0.00069,0.00344,2.65,97502,335,486724,5847657,59.97
HI,b,1965-1969,20-24,0.00089,0.00446,2.59,97167,433,484790,5360934,55.17
HI,b,1965-1969,25-29,0.00095,0.00474,2.6,96734,459,482569,4876144,50.41
HI,b,1965-1969,30-34,0.00133,0.00663,2.7,96275,639,479904,4393574,45.64
HI,b,1965-1969,35-39,0.00174,0.00866,2.71,95637,828,476288,3913670,40.92
HI,b,1965-1969,40-44,0.00264,0.01312,2.76,94808,1244,471260,3437382,36.26
HI,b,1965-1969,45-49,0.00427,0.02114,2.63,93565,1978,463144,2966122,31.70
HI,b,1965-1969,50-54,0.00777,0.03817,2.72,91586,3496,449948,2502978,27.33
