IA: IA, Lifetables (period 5x1), Both sexes Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.03861	0.03739	0.16	100000	3739	96843	6814360	68.14
1941	1-4	0.00177	0.00704	1.43	96261	678	383300	6717517	69.78
1941	5-9	0.00077	0.00383	2.59	95583	366	477036	6334216	66.27
1941	10-14	0.00080	0.00398	2.64	95217	379	475192	5857180	61.51
1941	15-19	0.00125	0.00625	2.56	94838	593	472742	5381988	56.75
1941	20-24	0.00131	0.00653	2.59	94245	615	469741	4909246	52.09
1941	25-29	0.00178	0.00884	2.57	93630	828	466142	4439505	47.42
1941	30-34	0.00196	0.00975	2.6	92802	905	461840	3973363	42.82
1941	35-39	0.00282	0.01402	2.62	91898	1289	456428	3511523	38.21
1941	40-44	0.00381	0.01887	2.69	90609	1710	449091	3055096	33.72
1941	45-49	0.00605	0.02984	2.63	88900	2652	438206	2606005	29.31
1941	50-54	0.00854	0.04184	2.65	86247	3609	422761	2167799	25.13
1941	55-59	0.01300	0.06306	2.65	82638	5211	400955	1745038	21.12
1941	60-64	0.02034	0.09701	2.61	77427	7511	369205	1344083	17.36
1941	65-69	0.02976	0.13917	2.67	69916	9730	326937	974878	13.94
1941	70-74	0.05128	0.22822	2.59	60186	13736	267854	647941	10.77
1941	75-79	0.07979	0.33382	2.56	46450	15506	194340	380087	8.18
1941	80-84	0.13173	0.49200	2.43	30944	15225	115576	185747	6.00
1941	85-89	0.19294	0.63182	2.27	15719	9932	51475	70171	4.46
1941	90-94	0.28927	0.78150	2.06	5788	4523	15636	18696	3.23
1941	95-99	0.40134	0.88212	1.82	1265	1115	2779	3060	2.42
1941	100-104	0.52531	0.94085	1.59	149	140	267	281	1.88
1941	105-109	0.64749	0.97010	1.39	9	9	13	14	1.54
1941	110+	0.74048	1.00000	1.35	0	0	0	0	1.35
1942	0	0.03518	0.03415	0.15	100000	3415	97082	6895694	68.96
1942	1-4	0.00171	0.00683	1.69	96585	660	384818	6798612	70.39
1942	5-9	0.00079	0.00395	2.36	95925	379	478626	6413794	66.86
1942	10-14	0.00076	0.00381	2.65	95546	364	476878	5935168	62.12
1942	15-19	0.00117	0.00583	2.59	95183	555	474578	5458290	57.35
1942	20-24	0.00129	0.00644	2.54	94628	610	471637	4983713	52.67
1942	25-29	0.00145	0.00721	2.58	94018	678	468447	4512076	47.99
1942	30-34	0.00188	0.00935	2.61	93340	873	464615	4043629	43.32
1942	35-39	0.00253	0.01256	2.64	92468	1161	459601	3579014	38.71
1942	40-44	0.00367	0.01818	2.65	91306	1660	452624	3119412	34.16
1942	45-49	0.00536	0.02647	2.68	89646	2373	442717	2666788	29.75
1942	50-54	0.00862	0.04224	2.66	87273	3686	427743	2224071	25.48
1942	55-59	0.01210	0.05880	2.62	83587	4915	406261	1796327	21.49
1942	60-64	0.01934	0.09257	2.69	78672	7282	376519	1390066	17.67
1942	65-69	0.03022	0.14109	2.66	71390	10073	333351	1013547	14.20
1942	70-74	0.04777	0.21424	2.59	61317	13136	274977	680195	11.09
1942	75-79	0.07696	0.32473	2.6	48181	15646	203297	405218	8.41
1942	80-84	0.12560	0.47444	2.42	32535	15436	122902	201921	6.21
1942	85-89	0.18441	0.61491	2.29	17099	10514	57017	79019	4.62
1942	90-94	0.27791	0.76757	2.08	6585	5054	18187	22002	3.34
1942	95-99	0.38836	0.87338	1.85	1530	1337	3442	3816	2.49
1942	100-104	0.51218	0.93640	1.61	194	181	354	374	1.93
1942	105-109	0.63584	0.96812	1.41	12	12	19	19	1.57
1942	110+	0.73078	1.00000	1.37	0	0	1	1	1.37
1943	0	0.03445	0.03346	0.14	100000	3346	97134	6884685	68.85
