PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
IA,f,1941,0,0.03298,0.03208,0.15,100000,3208,97258,7042188,70.42
IA,f,1941,1,0.00303,0.00302,0.5,96792,292,96646,6944930,71.75
IA,f,1941,2,0.00167,0.00167,0.5,96499,161,96419,6848284,70.97
IA,f,1941,3,0.00121,0.00121,0.5,96338,117,96280,6751865,70.09
IA,f,1941,4,0.00083,0.00083,0.5,96221,80,96182,6655586,69.17
IA,f,1941,5,0.00066,0.00066,0.5,96142,63,96110,6559404,68.23
IA,f,1941,6,0.00059,0.00059,0.5,96079,57,96050,6463294,67.27
IA,f,1941,7,0.00056,0.00056,0.5,96022,54,95995,6367244,66.31
IA,f,1941,8,0.00052,0.00052,0.5,95968,50,95943,6271249,65.35
IA,f,1941,9,0.00051,0.00051,0.5,95918,49,95893,6175306,64.38
IA,f,1941,10,0.00052,0.00052,0.5,95869,50,95844,6079412,63.41
IA,f,1941,11,0.00057,0.00057,0.5,95819,55,95792,5983568,62.45
IA,f,1941,12,0.00064,0.00064,0.5,95764,61,95734,5887777,61.48
IA,f,1941,13,0.00072,0.00072,0.5,95703,69,95669,5792043,60.52
IA,f,1941,14,0.00082,0.00082,0.5,95634,78,95595,5696374,59.56
IA,f,1941,15,0.00094,0.00094,0.5,95556,90,95511,5600779,58.61
IA,f,1941,16,0.00103,0.00103,0.5,95466,98,95417,5505268,57.67
IA,f,1941,17,0.00108,0.00108,0.5,95368,103,95316,5409852,56.73
IA,f,1941,18,0.00109,0.00109,0.5,95265,104,95213,5314536,55.79
IA,f,1941,19,0.00105,0.00105,0.5,95161,100,95111,5219323,54.85
IA,f,1941,20,0.00103,0.00103,0.5,95061,97,95012,5124211,53.90
IA,f,1941,21,0.00104,0.00104,0.5,94964,99,94914,5029199,52.96
IA,f,1941,22,0.00108,0.00107,0.5,94865,102,94814,4934285,52.01
IA,f,1941,23,0.00115,0.00115,0.5,94763,109,94708,4839471,51.07
IA,f,1941,24,0.00125,0.00125,0.5,94654,118,94595,4744763,50.13
IA,f,1941,25,0.00136,0.00136,0.5,94536,128,94472,4650168,49.19
IA,f,1941,26,0.00145,0.00145,0.5,94408,137,94339,4555696,48.26
IA,f,1941,27,0.00154,0.00154,0.5,94271,145,94198,4461357,47.32
IA,f,1941,28,0.00158,0.00158,0.5,94126,149,94051,4367158,46.40
IA,f,1941,29,0.00156,0.00155,0.5,93977,146,93904,4273107,45.47
IA,f,1941,30,0.00150,0.00150,0.5,93831,141,93761,4179203,44.54
IA,f,1941,31,0.00149,0.00149,0.5,93690,140,93620,4085442,43.61
IA,f,1941,32,0.00159,0.00158,0.5,93550,148,93476,3991822,42.67
IA,f,1941,33,0.00171,0.00171,0.5,93402,160,93322,3898346,41.74
IA,f,1941,34,0.00189,0.00188,0.5,93242,176,93154,3805025,40.81
IA,f,1941,35,0.00213,0.00213,0.5,93066,198,92967,3711871,39.88
IA,f,1941,36,0.00231,0.00231,0.5,92868,214,92761,3618903,38.97
IA,f,1941,37,0.00248,0.00248,0.5,92654,230,92539,3526142,38.06
IA,f,1941,38,0.00267,0.00267,0.5,92424,247,92301,3433603,37.15
IA,f,1941,39,0.00276,0.00275,0.5,92178,254,92051,3341302,36.25
IA,f,1941,40,0.00276,0.00276,0.5,91924,254,91797,3249251,35.35
IA,f,1941,41,0.00287,0.00287,0.5,91670,263,91539,3157455,34.44
