IA: IA, Lifetables (period 1x10), Females Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1949	0	0.02761	0.02696	0.13	100000	2696	97655	7180600	71.81
1941-1949	1	0.00223	0.00223	0.5	97304	217	97196	7082945	72.79
1941-1949	2	0.00138	0.00138	0.5	97087	134	97020	6985749	71.95
1941-1949	3	0.00109	0.00109	0.5	96953	105	96901	6888729	71.05
1941-1949	4	0.00089	0.00089	0.5	96848	86	96805	6791828	70.13
1941-1949	5	0.00075	0.00075	0.5	96762	72	96726	6695023	69.19
1941-1949	6	0.00065	0.00065	0.5	96690	62	96659	6598297	68.24
1941-1949	7	0.00057	0.00057	0.5	96627	55	96600	6501638	67.29
1941-1949	8	0.00052	0.00052	0.5	96572	50	96547	6405039	66.32
1941-1949	9	0.00048	0.00048	0.5	96522	47	96499	6308491	65.36
1941-1949	10	0.00047	0.00047	0.5	96476	46	96453	6211992	64.39
1941-1949	11	0.00048	0.00048	0.5	96430	47	96407	6115540	63.42
1941-1949	12	0.00052	0.00052	0.5	96384	50	96359	6019133	62.45
1941-1949	13	0.00057	0.00057	0.5	96334	55	96307	5922774	61.48
1941-1949	14	0.00064	0.00064	0.5	96279	61	96249	5826468	60.52
1941-1949	15	0.00072	0.00072	0.5	96218	69	96184	5730219	59.55
1941-1949	16	0.00078	0.00078	0.5	96149	75	96112	5634035	58.60
1941-1949	17	0.00083	0.00083	0.5	96074	80	96034	5537923	57.64
1941-1949	18	0.00087	0.00087	0.5	95994	83	95952	5441889	56.69
1941-1949	19	0.00089	0.00089	0.5	95911	85	95868	5345937	55.74
1941-1949	20	0.00089	0.00089	0.5	95826	86	95783	5250069	54.79
1941-1949	21	0.00091	0.00091	0.5	95740	87	95696	5154286	53.84
1941-1949	22	0.00093	0.00093	0.5	95653	89	95608	5058590	52.88
1941-1949	23	0.00096	0.00096	0.5	95564	92	95518	4962981	51.93
1941-1949	24	0.00100	0.00100	0.5	95472	96	95424	4867463	50.98
1941-1949	25	0.00105	0.00105	0.5	95376	100	95326	4772040	50.03
1941-1949	26	0.00109	0.00109	0.5	95276	104	95224	4676713	49.09
1941-1949	27	0.00115	0.00115	0.5	95172	110	95117	4581489	48.14
1941-1949	28	0.00122	0.00122	0.5	95062	116	95004	4486372	47.19
1941-1949	29	0.00129	0.00129	0.5	94946	123	94885	4391367	46.25
1941-1949	30	0.00137	0.00137	0.5	94823	130	94759	4296482	45.31
1941-1949	31	0.00145	0.00144	0.5	94694	137	94625	4201724	44.37
1941-1949	32	0.00153	0.00152	0.5	94557	144	94485	4107099	43.44
1941-1949	33	0.00161	0.00161	0.5	94413	152	94337	4012614	42.50
1941-1949	34	0.00171	0.00170	0.5	94261	161	94180	3918277	41.57
1941-1949	35	0.00181	0.00181	0.5	94100	170	94015	3824097	40.64
1941-1949	36	0.00191	0.00191	0.5	93930	179	93840	3730082	39.71
1941-1949	37	0.00203	0.00202	0.5	93751	190	93656	3636242	38.79
1941-1949	38	0.00216	0.00215	0.5	93561	202	93460	3542586	37.86
1941-1949	39	0.00230	0.00230	0.5	93359	215	93252	3449126	36.94
1941-1949	40	0.00246	0.00245	0.5	93145	229	93030	3355874	36.03
1941-1949	41	0.00264	0.00264	0.5	92916	245	92794	3262843	35.12
1941-1949	42	0.00289	0.00289	0.5	92671	267	92537	3170049	34.21
1941-1949	43	0.00319	0.00319	0.5	92404	295	92256	3077512	33.31
1941-1949	44	0.00353	0.00352	0.5	92109	324	91947	2985256	32.41
1941-1949	45	0.00390	0.00390	0.5	91785	358	91606	2893309	31.52
1941-1949	46	0.00427	0.00426	0.5	91427	390	91232	2801703	30.64
1941-1949	47	0.00460	0.00459	0.5	91037	418	90828	2710471	29.77
1941-1949	48	0.00490	0.00489	0.5	90619	443	90398	2619643	28.91
1941-1949	49	0.00519	0.00517	0.5	90176	466	89943	2529245	28.05
1941-1949	50	0.00549	0.00547	0.5	89710	491	89465	2439301	27.19
1941-1949	51	0.00580	0.00579	0.5	89219	516	88961	2349837	26.34
1941-1949	52	0.00621	0.00619	0.5	88703	549	88428	2260876	25.49
1941-1949	53	0.00673	0.00671	0.5	88153	592	87858	2172448	24.64
1941-1949	54	0.00733	0.00730	0.5	87562	639	87242	2084591	23.81
1941-1949	55	0.00801	0.00798	0.5	86922	693	86576	1997349	22.98
1941-1949	56	0.00872	0.00868	0.5	86229	748	85855	1910773	22.16
1941-1949	57	0.00949	0.00944	0.5	85481	807	85077	1824918	21.35
1941-1949	58	0.01032	0.01027	0.5	84674	870	84239	1739841	20.55
1941-1949	59	0.01117	0.01111	0.5	83804	931	83339	1655602	19.76
1941-1949	60	0.01208	0.01200	0.5	82873	995	82376	1572263	18.97
1941-1949	61	0.01312	0.01304	0.5	81879	1067	81345	1489887	18.20
1941-1949	62	0.01440	0.01430	0.5	80811	1156	80233	1408543	17.43
1941-1949	63	0.01592	0.01579	0.5	79655	1258	79027	1328309	16.68
1941-1949	64	0.01757	0.01742	0.5	78398	1366	77715	1249283	15.94
1941-1949	65	0.01956	0.01937	0.5	77032	1492	76286	1171568	15.21
1941-1949	66	0.02176	0.02152	0.5	75540	1626	74727	1095282	14.50
1941-1949	67	0.02418	0.02389	0.5	73914	1766	73031	1020556	13.81
1941-1949	68	0.02696	0.02660	0.5	72148	1919	71188	947525	13.13
1941-1949	69	0.02984	0.02940	0.5	70229	2065	69196	876337	12.48
1941-1949	70	0.03297	0.03243	0.5	68164	2211	67059	807140	11.84
1941-1949	71	0.03623	0.03559	0.5	65953	2347	64780	740082	11.22
1941-1949	72	0.04016	0.03937	0.5	63606	2504	62354	675302	10.62
1941-1949	73	0.04478	0.04380	0.5	61102	2676	59764	612948	10.03
1941-1949	74	0.04978	0.04857	0.5	58426	2838	57007	553184	9.47
1941-1949	75	0.05566	0.05415	0.5	55588	3010	54083	496177	8.93
1941-1949	76	0.06200	0.06014	0.5	52578	3162	50997	442095	8.41
1941-1949	77	0.06894	0.06664	0.5	49416	3293	47769	391098	7.91
1941-1949	78	0.07702	0.07416	0.5	46123	3420	44412	343328	7.44
1941-1949	79	0.08553	0.08203	0.5	42702	3503	40951	298916	7.00
1941-1949	80	0.09283	0.08871	0.5	39200	3477	37461	257965	6.58
1941-1949	81	0.10313	0.09807	0.5	35722	3503	33971	220504	6.17
1941-1949	82	0.11421	0.10804	0.5	32219	3481	30478	186534	5.79
1941-1949	83	0.12600	0.11854	0.5	28738	3406	27035	156055	5.43
1941-1949	84	0.13837	0.12942	0.5	25332	3278	23692	129020	5.09
1941-1949	85	0.15140	0.14075	0.5	22053	3104	20501	105328	4.78
1941-1949	86	0.16598	0.15326	0.5	18949	2904	17497	84827	4.48
1941-1949	87	0.18223	0.16702	0.5	16045	2680	14705	67330	4.20
