IA: IA, Lifetables (period 5x1), Females Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.03298	0.03208	0.15	100000	3208	97258	7042188	70.42
1941	1-4	0.00169	0.00672	1.47	96792	650	385526	6944930	71.75
1941	5-9	0.00057	0.00284	2.37	96142	273	479992	6559404	68.23
1941	10-14	0.00065	0.00327	2.73	95869	313	478633	6079412	63.41
1941	15-19	0.00104	0.00518	2.55	95556	495	476568	5600779	58.61
1941	20-24	0.00111	0.00552	2.6	95061	525	474044	5124211	53.90
1941	25-29	0.00150	0.00746	2.57	94536	705	470965	4650168	49.19
1941	30-34	0.00164	0.00815	2.62	93831	765	467332	4179203	44.54
1941	35-39	0.00247	0.01228	2.63	93066	1142	462619	3711871	39.88
1941	40-44	0.00330	0.01637	2.68	91924	1505	456133	3249251	35.35
1941	45-49	0.00520	0.02567	2.61	90419	2321	446545	2793118	30.89
1941	50-54	0.00695	0.03417	2.65	88098	3010	433420	2346573	26.64
1941	55-59	0.01044	0.05094	2.63	85088	4334	415184	1913154	22.48
1941	60-64	0.01572	0.07577	2.64	80753	6119	389329	1497970	18.55
1941	65-69	0.02509	0.11859	2.69	74635	8851	352736	1108640	14.85
1941	70-74	0.04306	0.19538	2.63	65784	12853	298508	755905	11.49
1941	75-79	0.07399	0.31378	2.58	52931	16609	224486	457396	8.64
1941	80-84	0.11658	0.44969	2.46	36322	16334	140108	232910	6.41
1941	85-89	0.18419	0.61648	2.32	19988	12323	66901	92803	4.64
1941	90-94	0.27380	0.76281	2.1	7666	5848	21357	25901	3.38
1941	95-99	0.38710	0.87289	1.86	1818	1587	4100	4544	2.50
1941	100-104	0.51413	0.93730	1.61	231	217	421	444	1.92
1941	105-109	0.64026	0.96899	1.4	14	14	22	23	1.56
1941	110+	0.73630	1.00000	1.36	0	0	1	1	1.36
1942	0	0.03134	0.03052	0.14	100000	3052	97378	7102998	71.03
1942	1-4	0.00168	0.00669	1.67	96948	648	386285	7005621	72.26
1942	5-9	0.00071	0.00354	2.28	96300	340	480573	6619336	68.74
1942	10-14	0.00060	0.00301	2.65	95959	289	479119	6138763	63.97
1942	15-19	0.00094	0.00468	2.6	95671	447	477280	5659644	59.16
1942	20-24	0.00104	0.00516	2.54	95223	492	474907	5182364	54.42
1942	25-29	0.00123	0.00613	2.63	94731	580	472284	4707457	49.69
1942	30-34	0.00177	0.00879	2.61	94151	828	468773	4235173	44.98
1942	35-39	0.00219	0.01087	2.62	93323	1015	464200	3766400	40.36
1942	40-44	0.00324	0.01607	2.67	92308	1483	458086	3302201	35.77
1942	45-49	0.00475	0.02350	2.65	90825	2135	449102	2844115	31.31
1942	50-54	0.00700	0.03445	2.65	88691	3056	436286	2395013	27.00
1942	55-59	0.00975	0.04764	2.61	85635	4079	418443	1958727	22.87
1942	60-64	0.01514	0.07318	2.7	81556	5968	394080	1540285	18.89
1942	65-69	0.02529	0.11946	2.69	75587	9030	357107	1146204	15.16
1942	70-74	0.04135	0.18806	2.6	66558	12517	302732	789098	11.86
1942	75-79	0.06658	0.28764	2.64	54041	15544	233479	486366	9.00
1942	80-84	0.11551	0.44657	2.46	38497	17191	148837	252887	6.57
1942	85-89	0.16889	0.58067	2.31	21306	12372	73250	104050	4.88
1942	90-94	0.26718	0.75418	2.11	8934	6738	25218	30800	3.45
1942	95-99	0.37988	0.86778	1.87	2196	1906	5017	5582	2.54
1942	100-104	0.50718	0.93488	1.62	290	271	535	565	1.95
1942	105-109	0.63444	0.96799	1.41	19	18	29	30	1.57
1942	110+	0.73173	1.00000	1.37	1	1	1	1	1.37
1943	0	0.03022	0.02946	0.14	100000	2946	97460	7092181	70.92
1943	1-4	0.00181	0.00722	1.59	97054	701	386527	6994721	72.07
1943	5-9	0.00059	0.00296	2.16	96354	285	480961	6608193	68.58
1943	10-14	0.00052	0.00258	2.73	96069	248	479781	6127232	63.78
1943	15-19	0.00086	0.00428	2.58	95821	410	478112	5647452	58.94
