IA: IA, Lifetables (period 1x10), Males Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1949	0	0.03591	0.03483	0.14	100000	3483	97009	6734896	67.35
1941-1949	1	0.00256	0.00256	0.5	96517	247	96393	6637887	68.77
1941-1949	2	0.00158	0.00158	0.5	96270	152	96193	6541494	67.95
1941-1949	3	0.00137	0.00137	0.5	96117	132	96051	6445301	67.06
1941-1949	4	0.00107	0.00107	0.5	95986	102	95934	6349249	66.15
1941-1949	5	0.00092	0.00092	0.5	95883	88	95839	6253315	65.22
1941-1949	6	0.00086	0.00086	0.5	95795	83	95754	6157476	64.28
1941-1949	7	0.00082	0.00082	0.5	95712	78	95673	6061722	63.33
1941-1949	8	0.00078	0.00078	0.5	95634	74	95597	5966049	62.38
1941-1949	9	0.00075	0.00075	0.5	95560	71	95524	5870452	61.43
1941-1949	10	0.00073	0.00073	0.5	95488	69	95454	5774928	60.48
1941-1949	11	0.00074	0.00074	0.5	95419	71	95384	5679474	59.52
1941-1949	12	0.00080	0.00080	0.5	95348	77	95310	5584090	58.57
1941-1949	13	0.00090	0.00090	0.5	95272	86	95229	5488780	57.61
1941-1949	14	0.00104	0.00104	0.5	95186	99	95136	5393552	56.66
1941-1949	15	0.00121	0.00121	0.5	95087	115	95029	5298416	55.72
1941-1949	16	0.00135	0.00135	0.5	94971	128	94907	5203387	54.79
1941-1949	17	0.00145	0.00145	0.5	94843	137	94775	5108479	53.86
1941-1949	18	0.00151	0.00151	0.5	94706	143	94634	5013704	52.94
1941-1949	19	0.00154	0.00154	0.5	94563	146	94490	4919070	52.02
1941-1949	20	0.00155	0.00155	0.5	94417	146	94344	4824580	51.10
1941-1949	21	0.00156	0.00156	0.5	94271	147	94197	4730236	50.18
1941-1949	22	0.00158	0.00158	0.5	94123	149	94049	4636039	49.25
1941-1949	23	0.00160	0.00160	0.5	93975	150	93899	4541990	48.33
1941-1949	24	0.00162	0.00162	0.5	93824	152	93748	4448091	47.41
1941-1949	25	0.00165	0.00165	0.5	93672	154	93595	4354343	46.48
1941-1949	26	0.00167	0.00167	0.5	93518	156	93440	4260748	45.56
1941-1949	27	0.00171	0.00170	0.5	93362	159	93282	4167308	44.64
1941-1949	28	0.00174	0.00174	0.5	93203	162	93121	4074026	43.71
1941-1949	29	0.00178	0.00178	0.5	93040	166	92957	3980904	42.79
1941-1949	30	0.00182	0.00182	0.5	92874	169	92790	3887947	41.86
1941-1949	31	0.00188	0.00188	0.5	92705	174	92618	3795157	40.94
1941-1949	32	0.00196	0.00196	0.5	92531	181	92441	3702539	40.01
1941-1949	33	0.00206	0.00206	0.5	92350	190	92255	3610098	39.09
1941-1949	34	0.00220	0.00220	0.5	92160	203	92059	3517843	38.17
1941-1949	35	0.00237	0.00237	0.5	91957	218	91848	3425784	37.25
1941-1949	36	0.00255	0.00255	0.5	91739	234	91622	3333936	36.34
1941-1949	37	0.00274	0.00274	0.5	91505	250	91380	3242314	35.43
1941-1949	38	0.00295	0.00294	0.5	91255	269	91120	3150934	34.53
1941-1949	39	0.00317	0.00316	0.5	90986	288	90842	3059814	33.63
1941-1949	40	0.00339	0.00338	0.5	90699	307	90545	2968971	32.73
1941-1949	41	0.00362	0.00362	0.5	90392	327	90229	2878426	31.84
1941-1949	42	0.00392	0.00392	0.5	90065	353	89889	2788198	30.96
1941-1949	43	0.00427	0.00426	0.5	89712	383	89521	2698309	30.08
1941-1949	44	0.00464	0.00463	0.5	89330	413	89123	2608788	29.20
1941-1949	45	0.00506	0.00504	0.5	88916	448	88692	2519664	28.34
1941-1949	46	0.00552	0.00551	0.5	88468	487	88224	2430972	27.48
1941-1949	47	0.00605	0.00603	0.5	87981	531	87715	2342748	26.63
1941-1949	48	0.00666	0.00663	0.5	87450	580	87160	2255032	25.79
1941-1949	49	0.00735	0.00733	0.5	86870	637	86552	2167872	24.96
