PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
ID,b,1941-1944,0,0.03545,0.03441,0.15,100000,3441,97063,6690457,66.90
ID,b,1941-1944,1-4,0.00241,0.00957,1.53,96559,924,383957,6593394,68.28
ID,b,1941-1944,5-9,0.00095,0.00473,2.15,95635,452,476886,6209436,64.93
ID,b,1941-1944,10-14,0.00094,0.00469,2.86,95183,446,474961,5732551,60.23
ID,b,1941-1944,15-19,0.00212,0.01053,2.67,94736,998,471359,5257590,55.50
ID,b,1941-1944,20-24,0.00248,0.01233,2.48,93739,1156,465782,4786231,51.06
ID,b,1941-1944,25-29,0.00220,0.01094,2.46,92583,1013,460345,4320448,46.67
ID,b,1941-1944,30-34,0.00240,0.01191,2.57,91571,1091,455203,3860103,42.15
ID,b,1941-1944,35-39,0.00312,0.01546,2.64,90480,1399,449100,3404900,37.63
ID,b,1941-1944,40-44,0.00439,0.02171,2.59,89081,1934,440750,2955800,33.18
ID,b,1941-1944,45-49,0.00602,0.02968,2.66,87147,2586,429688,2515050,28.86
ID,b,1941-1944,50-54,0.00969,0.04735,2.64,84561,4004,413363,2085363,24.66
ID,b,1941-1944,55-59,0.01343,0.06506,2.62,80557,5241,390304,1672000,20.76
ID,b,1941-1944,60-64,0.02134,0.10161,2.65,75316,7653,358575,1281696,17.02
ID,b,1941-1944,65-69,0.03300,0.15296,2.61,67663,10350,313622,923121,13.64
ID,b,1941-1944,70-74,0.05182,0.23031,2.59,57313,13200,254708,609499,10.63
ID,b,1941-1944,75-79,0.08599,0.35466,2.53,44113,15645,181951,354791,8.04
ID,b,1941-1944,80-84,0.13045,0.48688,2.4,28468,13861,106250,172840,6.07
ID,b,1941-1944,85-89,0.19110,0.62732,2.26,14607,9164,47951,66589,4.56
ID,b,1941-1944,90-94,0.27141,0.75783,2.09,5444,4126,15201,18638,3.42
ID,b,1941-1944,95-99,0.37034,0.85888,1.88,1318,1132,3057,3438,2.61
ID,b,1941-1944,100-104,0.48203,0.92386,1.66,186,172,357,380,2.04
ID,b,1941-1944,105-109,0.59630,0.95967,1.47,14,14,23,24,1.67
ID,b,1941-1944,110+,0.68628,1.00000,1.46,1,1,1,1,1.46
ID,b,1945-1949,0,0.03210,0.03123,0.14,100000,3123,97305,6845261,68.45
ID,b,1945-1949,1-4,0.00181,0.00720,1.56,96877,698,385803,6747955,69.65
ID,b,1945-1949,5-9,0.00095,0.00474,2.42,96179,456,479718,6362152,66.15
ID,b,1945-1949,10-14,0.00099,0.00496,2.67,95723,475,477510,5882435,61.45
