ID: ID, Lifetables (period 5x5), Females Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1944	0	0.03088	0.03008	0.14	100000	3008	97412	6977791	69.78
1941-1944	1-4	0.00191	0.00761	1.52	96992	738	386136	6880379	70.94
1941-1944	5-9	0.00090	0.00448	2.3	96254	431	480110	6494242	67.47
1941-1944	10-14	0.00075	0.00377	2.66	95823	361	478272	6014132	62.76
1941-1944	15-19	0.00130	0.00649	2.62	95462	620	475837	5535860	57.99
1941-1944	20-24	0.00143	0.00714	2.5	94842	677	472524	5060023	53.35
1941-1944	25-29	0.00158	0.00786	2.57	94166	740	469033	4587499	48.72
1941-1944	30-34	0.00208	0.01034	2.61	93425	966	464817	4118467	44.08
1941-1944	35-39	0.00271	0.01347	2.61	92459	1245	459313	3653650	39.52
1941-1944	40-44	0.00345	0.01711	2.57	91214	1560	452274	3194336	35.02
1941-1944	45-49	0.00465	0.02303	2.68	89653	2064	443486	2742063	30.59
1941-1944	50-54	0.00778	0.03817	2.63	87589	3344	430026	2298576	26.24
1941-1944	55-59	0.00979	0.04781	2.6	84245	4028	411568	1868551	22.18
1941-1944	60-64	0.01651	0.07955	2.71	80217	6381	386450	1456983	18.16
1941-1944	65-69	0.02876	0.13466	2.64	73836	9943	345690	1070532	14.50
1941-1944	70-74	0.04522	0.20394	2.6	63894	13031	288178	724842	11.34
1941-1944	75-79	0.07495	0.31712	2.58	50863	16130	215218	436664	8.59
1941-1944	80-84	0.11842	0.45462	2.45	34733	15790	133340	221446	6.38
1941-1944	85-89	0.18371	0.61382	2.3	18943	11627	63292	88106	4.65
1941-1944	90-94	0.27278	0.76122	2.1	7315	5569	20414	24814	3.39
1941-1944	95-99	0.38386	0.87034	1.86	1747	1520	3960	4400	2.52
1941-1944	100-104	0.50853	0.93515	1.62	226	212	416	440	1.94
1941-1944	105-109	0.63298	0.96761	1.41	15	14	22	23	1.57
1941-1944	110+	0.72835	1.00000	1.37	0	0	1	1	1.37
1945-1949	0	0.02826	0.02759	0.13	100000	2759	97606	7171829	71.72
1945-1949	1-4	0.00161	0.00640	1.46	97241	622	387386	7074224	72.75
1945-1949	5-9	0.00070	0.00351	2.39	96619	339	482211	6686837	69.21
1945-1949	10-14	0.00073	0.00363	2.7	96280	350	480595	6204626	64.44
