PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
ID,m,1941-1949,0,0.03738,0.03622,0.15,100000,3622,96904,6532311,65.32
ID,m,1941-1949,1-4,0.00236,0.00938,1.59,96378,904,383332,6435406,66.77
ID,m,1941-1949,5-9,0.00111,0.00552,2.27,95474,527,475932,6052075,63.39
ID,m,1941-1949,10-14,0.00120,0.00597,2.8,94947,567,473485,5576142,58.73
ID,m,1941-1949,15-19,0.00249,0.01240,2.68,94380,1170,469185,5102657,54.07
ID,m,1941-1949,20-24,0.00295,0.01466,2.47,93210,1366,462590,4633472,49.71
ID,m,1941-1949,25-29,0.00250,0.01240,2.44,91843,1139,456301,4170882,45.41
ID,m,1941-1949,30-34,0.00256,0.01270,2.55,90704,1152,450696,3714581,40.95
ID,m,1941-1949,35-39,0.00331,0.01643,2.66,89552,1471,444310,3263886,36.45
ID,m,1941-1949,40-44,0.00511,0.02524,2.64,88081,2223,435156,2819575,32.01
ID,m,1941-1949,45-49,0.00716,0.03518,2.64,85858,3021,422163,2384419,27.77
ID,m,1941-1949,50-54,0.01105,0.05385,2.64,82837,4460,403641,1962255,23.69
ID,m,1941-1949,55-59,0.01618,0.07794,2.64,78377,6108,377443,1558614,19.89
ID,m,1941-1949,60-64,0.02459,0.11611,2.6,72268,8391,341198,1181172,16.34
ID,m,1941-1949,65-69,0.03575,0.16460,2.6,63878,10514,294107,839974,13.15
ID,m,1941-1949,70-74,0.05698,0.25050,2.59,53363,13368,234586,545866,10.23
ID,m,1941-1949,75-79,0.09008,0.36718,2.48,39996,14685,163020,311281,7.78
ID,m,1941-1949,80-84,0.13652,0.50316,2.39,25310,12735,93285,148261,5.86
ID,m,1941-1949,85-89,0.20124,0.64713,2.24,12575,8138,40438,54976,4.37
ID,m,1941-1949,90-94,0.28571,0.77603,2.06,4437,3444,12053,14538,3.28
ID,m,1941-1949,95-99,0.38784,0.87186,1.84,994,867,2234,2485,2.50
ID,m,1941-1949,100-104,0.50088,0.93142,1.63,127,119,237,251,1.97
ID,m,1941-1949,105-109,0.61441,0.96354,1.44,9,8,14,14,1.62
ID,m,1941-1949,110+,0.70290,1.00000,1.42,0,0,0,0,1.42
ID,m,1950-1959,0,0.02875,0.02804,0.12,100000,2804,97538,6741718,67.42
ID,m,1950-1959,1-4,0.00156,0.00620,1.63,97196,603,387353,6644180,68.36
ID,m,1950-1959,5-9,0.00074,0.00368,2.35,96593,356,482019,6256827,64.78
ID,m,1950-1959,10-14,0.00087,0.00436,2.77,96237,420,480248,5774808,60.01
ID,m,1950-1959,15-19,0.00192,0.00954,2.73,95817,914,477008,5294560,55.26
ID,m,1950-1959,20-24,0.00246,0.01225,2.46,94903,1162,471568,4817552,50.76
ID,m,1950-1959,25-29,0.00215,0.01069,2.5,93741,1002,466198,4345984,46.36
ID,m,1950-1959,30-34,0.00240,0.01192,2.57,92739,1106,461002,3879786,41.84
ID,m,1950-1959,35-39,0.00297,0.01477,2.64,91633,1353,454968,3418783,37.31
ID,m,1950-1959,40-44,0.00434,0.02146,2.64,90280,1938,446829,2963815,32.83
ID,m,1950-1959,45-49,0.00643,0.03169,2.66,88342,2799,435162,2516986,28.49
ID,m,1950-1959,50-54,0.01027,0.05013,2.67,85543,4289,417712,2081824,24.34
ID,m,1950-1959,55-59,0.01575,0.07592,2.63,81254,6169,391645,1664112,20.48
ID,m,1950-1959,60-64,0.02364,0.11187,2.61,75085,8400,355384,1272467,16.95
ID,m,1950-1959,65-69,0.03508,0.16168,2.58,66686,10782,307364,917084,13.75
ID,m,1950-1959,70-74,0.05082,0.22607,2.56,55904,12638,248685,609720,10.91
ID,m,1950-1959,75-79,0.08095,0.33702,2.52,43266,14581,180120,361034,8.34
ID,m,1950-1959,80-84,0.12242,0.46532,2.42,28685,13347,109032,180914,6.31
ID,m,1950-1959,85-89,0.18360,0.61268,2.29,15337,9397,51179,71882,4.69
ID,m,1950-1959,90-94,0.26530,0.75016,2.1,5940,4456,16797,20703,3.49
ID,m,1950-1959,95-99,0.36633,0.85608,1.89,1484,1271,3468,3906,2.63
ID,m,1950-1959,100-104,0.48052,0.92343,1.67,214,197,410,438,2.05
ID,m,1950-1959,105-109,0.59733,0.96003,1.47,16,16,26,27,1.67
ID,m,1950-1959,110+,0.68922,1.00000,1.45,1,1,1,1,1.45
ID,m,1960-1969,0,0.02527,0.02471,0.11,100000,2471,97807,6805474,68.05
ID,m,1960-1969,1-4,0.00139,0.00554,1.67,97529,540,388859,6707667,68.78
ID,m,1960-1969,5-9,0.00057,0.00286,2.5,96989,278,484248,6318808,65.15
ID,m,1960-1969,10-14,0.00071,0.00354,2.95,96711,342,482852,5834560,60.33
ID,m,1960-1969,15-19,0.00193,0.00961,2.8,96369,926,479801,5351708,55.53
ID,m,1960-1969,20-24,0.00242,0.01203,2.48,95442,1148,474317,4871907,51.05
ID,m,1960-1969,25-29,0.00223,0.01109,2.47,94294,1046,468821,4397590,46.64
ID,m,1960-1969,30-34,0.00213,0.01057,2.5,93248,986,463775,3928769,42.13
ID,m,1960-1969,35-39,0.00266,0.01322,2.64,92263,1219,458431,3464994,37.56
ID,m,1960-1969,40-44,0.00404,0.01999,2.66,91043,1820,450966,3006563,33.02
ID,m,1960-1969,45-49,0.00617,0.03042,2.71,89223,2714,439893,2555597,28.64
ID,m,1960-1969,50-54,0.00984,0.04808,2.65,86509,4159,422785,2115705,24.46
ID,m,1960-1969,55-59,0.01504,0.07267,2.69,82350,5985,397949,1692920,20.56
ID,m,1960-1969,60-64,0.02350,0.11126,2.61,76366,8496,361527,1294970,16.96
ID,m,1960-1969,65-69,0.03490,0.16128,2.65,67869,10946,313639,933443,13.75
