PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
IN,b,1941-1944,0,0.03951,0.03824,0.16,100000,3824,96781,6568852,65.69
IN,b,1941-1944,1-4,0.00237,0.00943,1.5,96176,907,382435,6472071,67.29
IN,b,1941-1944,5-9,0.00105,0.00521,2.45,95269,497,475080,6089635,63.92
IN,b,1941-1944,10-14,0.00096,0.00477,2.62,94772,452,472785,5614555,59.24
IN,b,1941-1944,15-19,0.00154,0.00769,2.62,94320,725,469875,5141770,54.51
IN,b,1941-1944,20-24,0.00184,0.00917,2.57,93595,858,465890,4671895,49.92
IN,b,1941-1944,25-29,0.00222,0.01102,2.56,92737,1022,461191,4206005,45.35
IN,b,1941-1944,30-34,0.00270,0.01340,2.6,91715,1229,455630,3744814,40.83
IN,b,1941-1944,35-39,0.00373,0.01851,2.63,90486,1675,448463,3289184,36.35
IN,b,1941-1944,40-44,0.00516,0.02547,2.63,88811,2262,438690,2840721,31.99
IN,b,1941-1944,45-49,0.00756,0.03712,2.63,86549,3213,425137,2402032,27.75
IN,b,1941-1944,50-54,0.01104,0.05379,2.63,83336,4482,406071,1976894,23.72
IN,b,1941-1944,55-59,0.01587,0.07647,2.6,78854,6030,379825,1570824,19.92
IN,b,1941-1944,60-64,0.02378,0.11260,2.64,72824,8200,344807,1190999,16.35
IN,b,1941-1944,65-69,0.03597,0.16550,2.59,64624,10695,297317,846192,13.09
IN,b,1941-1944,70-74,0.05695,0.24998,2.56,53929,13481,236713,548875,10.18
IN,b,1941-1944,75-79,0.09018,0.36847,2.52,40448,14904,165260,312162,7.72
IN,b,1941-1944,80-84,0.13950,0.51099,2.38,25544,13053,93567,146902,5.75
IN,b,1941-1944,85-89,0.20679,0.66033,2.26,12491,8248,39886,53334,4.27
IN,b,1941-1944,90-94,0.29639,0.78920,2.04,4243,3348,11297,13448,3.17
IN,b,1941-1944,95-99,0.40455,0.88363,1.81,894,790,1954,2150,2.40
IN,b,1941-1944,100-104,0.52319,0.93976,1.59,104,98,187,197,1.89
IN,b,1941-1944,105-109,0.64023,0.96864,1.4,6,6,9,10,1.56
IN,b,1941-1944,110+,0.72996,1.00000,1.37,0,0,0,0,1.37
IN,b,1945-1949,0,0.03293,0.03202,0.14,100000,3202,97245,6767351,67.67
IN,b,1945-1949,1-4,0.00154,0.00616,1.6,96798,596,385757,6670106,68.91
IN,b,1945-1949,5-9,0.00075,0.00373,2.38,96202,359,480066,6284348,65.32
IN,b,1945-1949,10-14,0.00073,0.00366,2.69,95843,351,478402,5804282,60.56
IN,b,1945-1949,15-19,0.00128,0.00637,2.66,95492,609,476033,5325880,55.77
IN,b,1945-1949,20-24,0.00158,0.00789,2.52,94883,749,472558,4849846,51.11
IN,b,1945-1949,25-29,0.00167,0.00832,2.55,94134,783,468754,4377288,46.50
IN,b,1945-1949,30-34,0.00209,0.01040,2.61,93351,971,464437,3908534,41.87
