PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
IN,f,1941,0,0.03534,0.03431,0.15,100000,3431,97090,6728950,67.29
IN,f,1941,1,0.00394,0.00393,0.5,96569,380,96379,6631860,68.67
IN,f,1941,2,0.00220,0.00220,0.5,96189,211,96084,6535480,67.94
IN,f,1941,3,0.00156,0.00156,0.5,95978,150,95903,6439397,67.09
IN,f,1941,4,0.00104,0.00104,0.5,95828,99,95779,6343494,66.20
IN,f,1941,5,0.00093,0.00093,0.5,95729,89,95685,6247715,65.26
IN,f,1941,6,0.00094,0.00094,0.5,95640,90,95595,6152030,64.32
IN,f,1941,7,0.00096,0.00096,0.5,95551,92,95505,6056435,63.38
IN,f,1941,8,0.00095,0.00095,0.5,95459,91,95413,5960930,62.45
IN,f,1941,9,0.00089,0.00089,0.5,95368,85,95325,5865517,61.50
IN,f,1941,10,0.00086,0.00086,0.5,95283,82,95242,5770192,60.56
IN,f,1941,11,0.00087,0.00087,0.5,95201,83,95160,5674950,59.61
IN,f,1941,12,0.00093,0.00093,0.5,95118,89,95074,5579790,58.66
IN,f,1941,13,0.00102,0.00102,0.5,95030,97,94981,5484716,57.72
IN,f,1941,14,0.00115,0.00115,0.5,94933,109,94878,5389735,56.77
IN,f,1941,15,0.00131,0.00131,0.5,94824,124,94762,5294856,55.84
IN,f,1941,16,0.00142,0.00142,0.5,94699,135,94632,5200095,54.91
IN,f,1941,17,0.00150,0.00150,0.5,94565,142,94494,5105463,53.99
IN,f,1941,18,0.00158,0.00158,0.5,94423,149,94348,5010969,53.07
IN,f,1941,19,0.00159,0.00159,0.5,94273,150,94199,4916621,52.15
IN,f,1941,20,0.00161,0.00161,0.5,94124,151,94048,4822422,51.23
IN,f,1941,21,0.00168,0.00168,0.5,93972,158,93893,4728374,50.32
IN,f,1941,22,0.00173,0.00172,0.5,93814,162,93733,4634481,49.40
IN,f,1941,23,0.00181,0.00181,0.5,93653,169,93568,4540748,48.49
IN,f,1941,24,0.00190,0.00190,0.5,93483,177,93395,4447180,47.57
IN,f,1941,25,0.00198,0.00197,0.5,93306,184,93214,4353785,46.66
IN,f,1941,26,0.00206,0.00206,0.5,93122,192,93026,4260571,45.75
IN,f,1941,27,0.00217,0.00216,0.5,92930,201,92829,4167545,44.85
IN,f,1941,28,0.00229,0.00229,0.5,92729,212,92623,4074716,43.94
IN,f,1941,29,0.00238,0.00237,0.5,92517,220,92407,3982093,43.04
IN,f,1941,30,0.00244,0.00244,0.5,92297,225,92185,3889686,42.14
IN,f,1941,31,0.00252,0.00252,0.5,92072,232,91956,3797501,41.24
IN,f,1941,32,0.00272,0.00272,0.5,91840,250,91715,3705545,40.35
IN,f,1941,33,0.00286,0.00286,0.5,91591,262,91460,3613830,39.46
IN,f,1941,34,0.00300,0.00299,0.5,91329,274,91192,3522370,38.57
IN,f,1941,35,0.00322,0.00321,0.5,91055,293,90909,3431178,37.68
IN,f,1941,36,0.00334,0.00333,0.5,90763,303,90611,3340269,36.80
IN,f,1941,37,0.00351,0.00351,0.5,90460,317,90301,3249658,35.92
IN,f,1941,38,0.00370,0.00369,0.5,90143,332,89977,3159356,35.05
IN,f,1941,39,0.00371,0.00371,0.5,89810,333,89644,3069380,34.18
IN,f,1941,40,0.00365,0.00365,0.5,89478,326,89314,2979736,33.30
IN,f,1941,41,0.00375,0.00374,0.5,89151,333,88985,2890421,32.42
IN,f,1941,42,0.00428,0.00427,0.5,88818,379,88628,2801437,31.54
IN,f,1941,43,0.00472,0.00470,0.5,88439,416,88231,2712808,30.67
IN,f,1941,44,0.00504,0.00503,0.5,88023,443,87801,2624578,29.82
IN,f,1941,45,0.00571,0.00570,0.5,87580,499,87330,2536776,28.97
IN,f,1941,46,0.00613,0.00611,0.5,87081,532,86815,2449446,28.13
IN,f,1941,47,0.00663,0.00661,0.5,86549,572,86263,2362631,27.30
IN,f,1941,48,0.00707,0.00704,0.5,85977,605,85674,2276368,26.48
IN,f,1941,49,0.00730,0.00728,0.5,85372,621,85061,2190694,25.66
IN,f,1941,50,0.00768,0.00765,0.5,84751,648,84427,2105633,24.85
IN,f,1941,51,0.00796,0.00793,0.5,84103,667,83769,2021206,24.03
IN,f,1941,52,0.00900,0.00896,0.5,83435,747,83062,1937437,23.22
IN,f,1941,53,0.00985,0.00981,0.5,82688,811,82283,1854375,22.43
