IN: IN, Lifetables (period 1x5), Males Last modified: February 4 2025, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941-1944	0	0.04508	0.04345	0.17	100000	4345	96377	6363830	63.64
1941-1944	1	0.00440	0.00440	0.5	95655	420	95445	6267453	65.52
1941-1944	2	0.00248	0.00248	0.5	95235	236	95117	6172008	64.81
1941-1944	3	0.00211	0.00211	0.5	94999	201	94898	6076891	63.97
1941-1944	4	0.00126	0.00125	0.5	94798	119	94739	5981993	63.10
1941-1944	5	0.00112	0.00112	0.5	94679	106	94626	5887254	62.18
1941-1944	6	0.00124	0.00123	0.5	94573	117	94514	5792628	61.25
1941-1944	7	0.00131	0.00131	0.5	94456	124	94394	5698114	60.33
1941-1944	8	0.00132	0.00132	0.5	94332	125	94270	5603720	59.40
1941-1944	9	0.00125	0.00125	0.5	94207	118	94149	5509450	58.48
1941-1944	10	0.00112	0.00112	0.5	94090	106	94037	5415302	57.55
1941-1944	11	0.00105	0.00105	0.5	93984	99	93935	5321265	56.62
1941-1944	12	0.00106	0.00106	0.5	93885	100	93835	5227330	55.68
1941-1944	13	0.00115	0.00115	0.5	93786	108	93732	5133495	54.74
1941-1944	14	0.00132	0.00132	0.5	93678	124	93616	5039763	53.80
1941-1944	15	0.00154	0.00154	0.5	93554	144	93482	4946148	52.87
1941-1944	16	0.00172	0.00172	0.5	93410	161	93329	4852666	51.95
1941-1944	17	0.00185	0.00185	0.5	93249	173	93163	4759337	51.04
1941-1944	18	0.00193	0.00193	0.5	93076	180	92986	4666174	50.13
1941-1944	19	0.00197	0.00197	0.5	92896	183	92805	4573188	49.23
1941-1944	20	0.00198	0.00198	0.5	92714	183	92622	4480382	48.32
1941-1944	21	0.00202	0.00202	0.5	92531	187	92437	4387760	47.42
1941-1944	22	0.00207	0.00207	0.5	92344	191	92249	4295323	46.51
1941-1944	23	0.00215	0.00214	0.5	92153	197	92054	4203074	45.61
1941-1944	24	0.00224	0.00224	0.5	91956	206	91853	4111020	44.71
1941-1944	25	0.00232	0.00231	0.5	91750	212	91644	4019167	43.81
1941-1944	26	0.00238	0.00238	0.5	91538	218	91429	3927523	42.91
1941-1944	27	0.00244	0.00244	0.5	91320	223	91208	3836094	42.01
1941-1944	28	0.00249	0.00249	0.5	91097	227	90984	3744886	41.11
1941-1944	29	0.00255	0.00255	0.5	90870	231	90755	3653902	40.21
1941-1944	30	0.00262	0.00262	0.5	90639	237	90520	3563148	39.31
1941-1944	31	0.00272	0.00271	0.5	90402	245	90279	3472627	38.41
1941-1944	32	0.00287	0.00286	0.5	90157	258	90027	3382348	37.52
1941-1944	33	0.00306	0.00306	0.5	89898	275	89761	3292321	36.62
1941-1944	34	0.00330	0.00330	0.5	89624	295	89476	3202560	35.73
1941-1944	35	0.00360	0.00359	0.5	89328	321	89168	3113084	34.85
1941-1944	36	0.00388	0.00387	0.5	89007	344	88835	3023916	33.97
1941-1944	37	0.00420	0.00419	0.5	88663	372	88477	2935081	33.10
1941-1944	38	0.00458	0.00456	0.5	88291	403	88090	2846603	32.24
1941-1944	39	0.00493	0.00491	0.5	87888	432	87673	2758514	31.39
1941-1944	40	0.00526	0.00525	0.5	87457	459	87227	2670841	30.54
1941-1944	41	0.00557	0.00556	0.5	86998	484	86756	2583614	29.70
1941-1944	42	0.00598	0.00596	0.5	86514	516	86256	2496858	28.86
1941-1944	43	0.00643	0.00641	0.5	85998	551	85723	2410602	28.03
1941-1944	44	0.00695	0.00693	0.5	85447	592	85151	2324879	27.21
1941-1944	45	0.00762	0.00759	0.5	84855	644	84533	2239728	26.39
1941-1944	46	0.00817	0.00813	0.5	84211	685	83869	2155195	25.59
1941-1944	47	0.00876	0.00873	0.5	83526	729	83162	2071326	24.80
1941-1944	48	0.00951	0.00947	0.5	82797	784	82405	1988164	24.01
1941-1944	49	0.01028	0.01023	0.5	82014	839	81594	1905759	23.24
1941-1944	50	0.01117	0.01111	0.5	81175	902	80724	1824165	22.47
1941-1944	51	0.01205	0.01197	0.5	80273	961	79792	1743441	21.72
1941-1944	52	0.01308	0.01300	0.5	79312	1031	78796	1663649	20.98
1941-1944	53	0.01418	0.01408	0.5	78281	1102	77730	1584852	20.25
1941-1944	54	0.01515	0.01503	0.5	77179	1160	76599	1507122	19.53
1941-1944	55	0.01628	0.01615	0.5	76019	1228	75405	1430524	18.82
1941-1944	56	0.01741	0.01726	0.5	74791	1291	74146	1355119	18.12
1941-1944	57	0.01862	0.01845	0.5	73500	1356	72822	1280973	17.43
1941-1944	58	0.02013	0.01992	0.5	72144	1437	71425	1208151	16.75
1941-1944	59	0.02172	0.02149	0.5	70707	1519	69947	1136725	16.08
1941-1944	60	0.02351	0.02324	0.5	69187	1608	68383	1066778	15.42
1941-1944	61	0.02556	0.02524	0.5	67579	1705	66727	998395	14.77
1941-1944	62	0.02812	0.02773	0.5	65874	1827	64961	931668	14.14
1941-1944	63	0.03100	0.03052	0.5	64047	1955	63070	866708	13.53
1941-1944	64	0.03360	0.03304	0.5	62092	2052	61066	803638	12.94
1941-1944	65	0.03589	0.03526	0.5	60041	2117	58982	742572	12.37
1941-1944	66	0.03756	0.03686	0.5	57924	2135	56856	683590	11.80
