KS: KS, Lifetables (period 5x1), Both sexes Last modified: February 4 2025, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1941	0	0.04000	0.03870	0.16	100000	3870	96745	6726542	67.27
1941	1-4	0.00226	0.00900	1.36	96130	865	382233	6629797	68.97
1941	5-9	0.00096	0.00478	2.56	95265	455	475213	6247565	65.58
1941	10-14	0.00091	0.00456	2.65	94809	433	473030	5772352	60.88
1941	15-19	0.00153	0.00764	2.59	94377	721	470143	5299322	56.15
1941	20-24	0.00176	0.00874	2.62	93655	818	466327	4829179	51.56
1941	25-29	0.00236	0.01171	2.54	92837	1087	461507	4362851	46.99
1941	30-34	0.00233	0.01160	2.51	91749	1064	456100	3901344	42.52
1941	35-39	0.00297	0.01477	2.66	90685	1339	450287	3445245	37.99
1941	40-44	0.00432	0.02138	2.64	89346	1910	442228	2994958	33.52
1941	45-49	0.00594	0.02930	2.63	87435	2562	431111	2552730	29.20
1941	50-54	0.00903	0.04421	2.65	84874	3752	415556	2121619	25.00
1941	55-59	0.01298	0.06296	2.64	81122	5107	393580	1706063	21.03
1941	60-64	0.02074	0.09887	2.65	76014	7516	362406	1312483	17.27
1941	65-69	0.03146	0.14650	2.65	68499	10035	318936	950077	13.87
1941	70-74	0.05046	0.22505	2.6	58464	13157	260735	631141	10.80
1941	75-79	0.08308	0.34490	2.54	45306	15626	188079	370406	8.18
1941	80-84	0.12677	0.47787	2.42	29680	14183	111879	182327	6.14
1941	85-89	0.19029	0.62675	2.28	15497	9713	51040	70448	4.55
1941	90-94	0.27713	0.76607	2.08	5784	4431	15989	19407	3.36
1941	95-99	0.38315	0.86911	1.86	1353	1176	3069	3418	2.53
1941	100-104	0.50123	0.93194	1.63	177	165	329	349	1.97
1941	105-109	0.61961	0.96480	1.43	12	12	19	19	1.61
1941	110+	0.71132	1.00000	1.41	0	0	1	1	1.41
1942	0	0.03838	0.03718	0.15	100000	3718	96858	6787491	67.87
1942	1-4	0.00207	0.00823	1.56	96282	793	383191	6690633	69.49
1942	5-9	0.00080	0.00401	2.19	95489	383	476370	6307442	66.05
1942	10-14	0.00092	0.00461	2.75	95107	439	474547	5831072	61.31
1942	15-19	0.00146	0.00728	2.59	94668	689	471681	5356525	56.58
1942	20-24	0.00170	0.00846	2.55	93979	795	467948	4884844	51.98
1942	25-29	0.00185	0.00922	2.56	93184	859	463821	4416896	47.40
1942	30-34	0.00240	0.01195	2.59	92325	1103	458969	3953075	42.82
1942	35-39	0.00311	0.01545	2.65	91222	1409	452797	3494106	38.30
1942	40-44	0.00448	0.02216	2.61	89813	1991	444303	3041309	33.86
1942	45-49	0.00572	0.02823	2.63	87822	2479	433246	2597006	29.57
1942	50-54	0.00886	0.04340	2.66	85343	3704	418048	2163760	25.35
1942	55-59	0.01276	0.06194	2.64	81639	5057	396241	1745712	21.38
1942	60-64	0.02014	0.09617	2.67	76582	7365	365777	1349471	17.62
1942	65-69	0.03047	0.14217	2.65	69217	9841	322962	983694	14.21
1942	70-74	0.04841	0.21672	2.59	59376	12868	265814	660732	11.13
1942	75-79	0.07618	0.32218	2.61	46508	14984	196694	394918	8.49
1942	80-84	0.12589	0.47564	2.43	31524	14994	119104	198224	6.29
1942	85-89	0.18168	0.60677	2.26	16530	10030	55207	79120	4.79
1942	90-94	0.25058	0.72795	2.12	6500	4732	18883	23914	3.68
1942	95-99	0.33708	0.82945	1.94	1768	1467	4351	5030	2.84
1942	100-104	0.43545	0.90040	1.74	302	272	624	679	2.25
1942	105-109	0.53904	0.94378	1.56	30	28	53	55	1.84
1942	110+	0.62268	1.00000	1.61	2	2	3	3	1.61
1943	0	0.03557	0.03452	0.15	100000	3452	97055	6766506	67.67
1943	1-4	0.00264	0.01048	1.49	96548	1012	383646	6669452	69.08
1943	5-9	0.00100	0.00499	2.54	95535	477	476502	6285805	65.80
1943	10-14	0.00102	0.00507	2.54	95058	482	474104	5809303	61.11
1943	15-19	0.00148	0.00736	2.75	94577	696	471316	5335199	56.41
1943	20-24	0.00241	0.01196	2.55	93881	1123	466651	4863882	51.81
1943	25-29	0.00186	0.00927	2.36	92758	860	461517	4397231	47.41
1943	30-34	0.00206	0.01027	2.67	91898	944	457291	3935715	42.83
1943	35-39	0.00313	0.01555	2.59	90954	1415	451365	3478423	38.24
1943	40-44	0.00373	0.01850	2.61	89539	1656	443740	3027059	33.81
1943	45-49	0.00587	0.02895	2.63	87883	2544	433391	2583319	29.39
1943	50-54	0.00836	0.04098	2.67	85339	3497	418536	2149927	25.19
1943	55-59	0.01353	0.06554	2.61	81842	5364	396364	1731392	21.16
1943	60-64	0.01925	0.09208	2.64	76477	7042	365774	1335027	17.46
1943	65-69	0.03062	0.14269	2.61	69436	9908	323528	969253	13.96
1943	70-74	0.05004	0.22299	2.56	59528	13274	265276	645725	10.85
1943	75-79	0.07804	0.32726	2.53	46254	15137	193954	380449	8.23
1943	80-84	0.13074	0.48832	2.41	31117	15195	116221	186494	5.99
1943	85-89	0.19690	0.64055	2.27	15922	10199	51797	70273	4.41
1943	90-94	0.28933	0.78172	2.06	5723	4474	15463	18476	3.23
1943	95-99	0.40265	0.88313	1.82	1249	1103	2740	3013	2.41
1943	100-104	0.52831	0.94196	1.58	146	138	260	273	1.87
1943	105-109	0.65201	0.97092	1.38	8	8	13	13	1.53
1943	110+	0.74586	1.00000	1.34	0	0	0	0	1.34
1944	0	0.03358	0.03264	0.14	100000	3264	97198	6832657	68.33
1944	1-4	0.00218	0.00868	1.55	96736	839	384888	6735458	69.63
1944	5-9	0.00100	0.00498	2.28	95897	477	478187	6350570	66.22
1944	10-14	0.00092	0.00460	2.61	95420	439	476049	5872383	61.54
1944	15-19	0.00138	0.00687	2.66	94981	652	473374	5396333	56.82
1944	20-24	0.00188	0.00937	2.59	94328	884	469512	4922959	52.19
1944	25-29	0.00211	0.01050	2.47	93445	981	464739	4453448	47.66
1944	30-34	0.00196	0.00973	2.57	92464	900	460130	3988709	43.14
1944	35-39	0.00294	0.01458	2.64	91564	1335	454671	3528579	38.54
1944	40-44	0.00385	0.01908	2.59	90228	1722	446998	3073908	34.07
1944	45-49	0.00584	0.02880	2.63	88507	2549	436503	2626910	29.68
1944	50-54	0.00840	0.04120	2.64	85957	3541	421429	2190407	25.48
1944	55-59	0.01324	0.06420	2.62	82416	5291	399465	1768978	21.46
1944	60-64	0.01926	0.09208	2.62	77125	7102	368696	1369513	17.76
1944	65-69	0.02959	0.13809	2.59	70023	9670	326780	1000817	14.29
1944	70-74	0.04958	0.22118	2.56	60354	13349	269225	674037	11.17
1944	75-79	0.07402	0.31206	2.49	47004	14668	198172	404812	8.61
1944	80-84	0.11920	0.45563	2.42	32336	14733	123602	206640	6.39
1944	85-89	0.18087	0.60880	2.32	17603	10717	59251	83038	4.72
1944	90-94	0.26737	0.75361	2.11	6886	5189	19410	23786	3.45
1944	95-99	0.37408	0.86277	1.88	1697	1464	3913	4377	2.58
1944	100-104	0.49503	0.92987	1.64	233	217	437	464	1.99
1944	105-109	0.61764	0.96461	1.44	16	16	26	26	1.61
1944	110+	0.71291	1.00000	1.4	1	1	1	1	1.40
1945	0	0.03308	0.03217	0.14	100000	3217	97233	6883646	68.84
1945	1-4	0.00175	0.00696	1.55	96783	673	385486	6786413	70.12
1945	5-9	0.00085	0.00423	2.34	96110	406	479470	6400927	66.60
1945	10-14	0.00080	0.00400	2.62	95704	383	477608	5921457	61.87
1945	15-19	0.00123	0.00612	2.63	95321	584	475224	5443849	57.11
1945	20-24	0.00151	0.00754	2.56	94737	714	471941	4968625	52.45
1945	25-29	0.00180	0.00894	2.54	94023	841	468047	4496684	47.83
1945	30-34	0.00191	0.00951	2.57	93183	886	463757	4028637	43.23
1945	35-39	0.00264	0.01311	2.64	92296	1210	458619	3564880	38.62
1945	40-44	0.00372	0.01845	2.66	91086	1680	451501	3106261	34.10
1945	45-49	0.00601	0.02962	2.67	89406	2648	440856	2654761	29.69
1945	50-54	0.00837	0.04105	2.62	86758	3561	425304	2213905	25.52
1945	55-59	0.01251	0.06078	2.65	83197	5056	404102	1788601	21.50
1945	60-64	0.01900	0.09093	2.66	78141	7106	374050	1384499	17.72
1945	65-69	0.03037	0.14152	2.6	71035	10053	331036	1010449	14.22
1945	70-74	0.04837	0.21673	2.6	60982	13217	273248	679413	11.14
1945	75-79	0.07571	0.31882	2.53	47765	15228	201144	406165	8.50
1945	80-84	0.11963	0.45708	2.42	32537	14872	124311	205021	6.30
1945	85-89	0.18935	0.62618	2.3	17665	11061	58419	80710	4.57
1945	90-94	0.27436	0.76322	2.09	6604	5040	18370	22292	3.38
1945	95-99	0.38564	0.87165	1.86	1564	1363	3534	3922	2.51
1945	100-104	0.51098	0.93610	1.62	201	188	368	388	1.93
1945	105-109	0.63634	0.96827	1.41	13	12	20	20	1.56
1945	110+	0.73244	1.00000	1.37	0	0	1	1	1.37
1946	0	0.03373	0.03278	0.14	100000	3278	97188	6929782	69.30
1946	1-4	0.00152	0.00606	1.45	96722	586	385393	6832594	70.64
1946	5-9	0.00087	0.00435	2.43	96136	418	479607	6447201	67.06
1946	10-14	0.00092	0.00460	2.67	95718	440	477563	5967594	62.35
1946	15-19	0.00148	0.00739	2.61	95278	704	474710	5490031	57.62
1946	20-24	0.00153	0.00764	2.44	94574	723	471018	5015321	53.03
1946	25-29	0.00149	0.00743	2.6	93851	697	467583	4544303	48.42
1946	30-34	0.00204	0.01017	2.59	93154	947	463484	4076720	43.76
1946	35-39	0.00249	0.01237	2.62	92207	1141	458317	3613236	39.19
1946	40-44	0.00374	0.01856	2.65	91066	1690	451361	3154919	34.64
1946	45-49	0.00538	0.02658	2.68	89377	2375	441379	2703558	30.25
1946	50-54	0.00814	0.03992	2.62	87001	3473	426745	2262178	26.00
1946	55-59	0.01186	0.05770	2.66	83528	4819	406386	1835433	21.97
1946	60-64	0.01852	0.08876	2.65	78709	6986	377151	1429047	18.16
1946	65-69	0.02876	0.13452	2.61	71723	9648	335532	1051897	14.67
1946	70-74	0.04440	0.20098	2.64	62074	12476	280957	716365	11.54
1946	75-79	0.07381	0.31239	2.54	49598	15494	209924	435408	8.78
1946	80-84	0.11279	0.43733	2.43	34104	14915	132230	225483	6.61
1946	85-89	0.17568	0.59733	2.32	19190	11463	65248	93253	4.86
1946	90-94	0.25277	0.73298	2.13	7727	5664	22407	28005	3.62
1946	95-99	0.35390	0.84622	1.92	2063	1746	4933	5598	2.71
1946	100-104	0.46969	0.91892	1.69	317	292	621	664	2.09
1946	105-109	0.58932	0.95833	1.48	26	25	42	43	1.69
1946	110+	0.68385	1.00000	1.46	1	1	2	2	1.46
1947	0	0.03014	0.02937	0.13	100000	2937	97451	6956781	69.57
1947	1-4	0.00139	0.00554	1.54	97063	537	386931	6859330	70.67
1947	5-9	0.00068	0.00341	2.35	96525	329	481756	6472399	67.05
1947	10-14	0.00074	0.00370	2.67	96196	356	480152	5990643	62.28
1947	15-19	0.00117	0.00582	2.68	95840	557	477910	5510491	57.50
1947	20-24	0.00160	0.00798	2.54	95283	760	474548	5032581	52.82
1947	25-29	0.00171	0.00854	2.55	94523	807	470634	4558033	48.22
1947	30-34	0.00187	0.00932	2.52	93716	874	466416	4087399	43.61
1947	35-39	0.00235	0.01170	2.68	92842	1086	461689	3620984	39.00
1947	40-44	0.00401	0.01988	2.67	91756	1824	454537	3159294	34.43
1947	45-49	0.00543	0.02678	2.6	89932	2409	443885	2704757	30.08
1947	50-54	0.00742	0.03645	2.65	87523	3190	430131	2260873	25.83
1947	55-59	0.01239	0.06022	2.7	84333	5078	409972	1830742	21.71
1947	60-64	0.01915	0.09154	2.61	79255	7255	378936	1420770	17.93
1947	65-69	0.02887	0.13510	2.63	71999	9727	336947	1041834	14.47
1947	70-74	0.04504	0.20357	2.64	62272	12677	281434	704887	11.32
1947	75-79	0.07641	0.32185	2.55	49596	15962	208906	423453	8.54
1947	80-84	0.12013	0.45946	2.44	33633	15453	128639	214547	6.38
1947	85-89	0.18138	0.60844	2.3	18180	11062	60984	85907	4.73
1947	90-94	0.26337	0.74793	2.11	7119	5324	20215	24924	3.50
1947	95-99	0.36725	0.85724	1.89	1794	1538	4189	4708	2.62
1947	100-104	0.48558	0.92592	1.66	256	237	488	520	2.03
1947	105-109	0.60669	0.96229	1.45	19	18	30	31	1.64
1947	110+	0.70164	1.00000	1.43	1	1	1	1	1.43
1948	0	0.02690	0.02628	0.12	100000	2628	97695	7009488	70.09
1948	1-4	0.00122	0.00485	1.57	97372	472	388341	6911794	70.98
1948	5-9	0.00056	0.00282	2.51	96899	273	483818	6523453	67.32
1948	10-14	0.00071	0.00357	2.75	96626	344	482354	6039635	62.51
1948	15-19	0.00128	0.00636	2.65	96282	612	479969	5557280	57.72
1948	20-24	0.00155	0.00773	2.54	95669	739	476526	5077311	53.07
1948	25-29	0.00164	0.00817	2.47	94930	775	472688	4600785	48.46
1948	30-34	0.00150	0.00750	2.58	94155	706	469069	4128096	43.84
1948	35-39	0.00237	0.01180	2.63	93449	1103	464636	3659028	39.16
1948	40-44	0.00324	0.01606	2.68	92347	1483	458291	3194392	34.59
1948	45-49	0.00537	0.02654	2.66	90863	2411	448670	2736101	30.11
1948	50-54	0.00839	0.04114	2.65	88452	3639	433718	2287431	25.86
1948	55-59	0.01287	0.06242	2.62	84813	5294	411472	1853712	21.86
1948	60-64	0.01767	0.08471	2.58	79519	6736	381281	1442241	18.14
1948	65-69	0.02856	0.13379	2.64	72783	9737	340939	1060960	14.58
1948	70-74	0.04425	0.20000	2.6	63045	12609	284933	720021	11.42
1948	75-79	0.07653	0.32170	2.52	50436	16225	212018	435088	8.63
1948	80-84	0.11431	0.44300	2.46	34211	15156	132584	223070	6.52
1948	85-89	0.18005	0.60627	2.31	19055	11553	64163	90486	4.75
1948	90-94	0.26219	0.74683	2.12	7503	5603	21371	26324	3.51
1948	95-99	0.36953	0.85945	1.89	1899	1633	4418	4953	2.61
1948	100-104	0.49150	0.92857	1.65	267	248	504	535	2.00
1948	105-109	0.61531	0.96419	1.44	19	18	30	31	1.62
1948	110+	0.71151	1.00000	1.41	1	1	1	1	1.41
1949	0	0.02754	0.02690	0.13	100000	2690	97647	7012527	70.13
1949	1-4	0.00124	0.00494	1.53	97310	481	388054	6914880	71.06
